alias_address,alias_city,Type,georeferencingString
VIA FONTANA,ARTA TERME,POLYGON,ARTA TERME
VIA G.CARDUCCI,ARTA TERME,POLYGON,ARTA TERME
VIA GIOSUE' CARDUCCI,ARTA TERME,POLYGON,ARTA TERME
VIA GIOVANNI GORTANI,ARTA TERME,POLYGON,ARTA TERME
VIA GUGLIELMO MARCONI,ARTA TERME,POLYGON,ARTA TERME
VIA LAUGE,ARTA TERME,POLYGON,ARTA TERME
VIA LAVOREIT,ARTA TERME,POLYGON,ARTA TERME
VIA LOVEA,ARTA TERME,POLYGON,ARTA TERME
VIA LUTIE,ARTA TERME,POLYGON,ARTA TERME
VIA MARTIRI DELLA LIBERTA',ARTA TERME,POLYGON,ARTA TERME
VIA MONSIGNORE COMELLI,ARTA TERME,POLYGON,ARTA TERME
VIA MONTEFIORE,ARTA TERME,POLYGON,ARTA TERME
VIA NAZIONALE,ARTA TERME,POLYGON,ARTA TERME
VIA PERARIA,ARTA TERME,POLYGON,ARTA TERME
VIA PERESSON,ARTA TERME,POLYGON,ARTA TERME
VIA PIEDIM,ARTA TERME,POLYGON,ARTA TERME
VIA PLAN DI COCES,ARTA TERME,POLYGON,ARTA TERME
VIA RADINA,ARTA TERME,POLYGON,ARTA TERME
VIA RINCH,ARTA TERME,POLYGON,ARTA TERME
VIA RIVALPO,ARTA TERME,POLYGON,ARTA TERME
VIA ROMA,ARTA TERME,POLYGON,ARTA TERME
VIA ROSA DEI VENTI,ARTA TERME,POLYGON,ARTA TERME
VIA SALANO,ARTA TERME,POLYGON,ARTA TERME
VIA SAURANO,ARTA TERME,POLYGON,ARTA TERME
VIA UMBERTO I,ARTA TERME,POLYGON,ARTA TERME
VIA VALLE,ARTA TERME,POLYGON,ARTA TERME
VIALE DELLE TERME,ARTA TERME,POLYGON,ARTA TERME
VIALE MARTIRI DELLA LIBERTA',ARTA TERME,POLYGON,ARTA TERME
VIALE MARTIRI PER LA LIBERTA',ARTA TERME,POLYGON,ARTA TERME
BORGO MONTE,ARTEGNA,POLYGON,ARTEGNA
BORGO VAL,ARTEGNA,POLYGON,ARTEGNA
BORGO ZUCCO,ARTEGNA,POLYGON,ARTEGNA
CASALE LEDRA,ARTEGNA,POLYGON,ARTEGNA
CASALE MARCHETTI,ARTEGNA,POLYGON,ARTEGNA
CASALE ORVENCO,ARTEGNA,POLYGON,ARTEGNA
CASALE SAVONITTI,ARTEGNA,POLYGON,ARTEGNA
CASALI BATTOIA,ARTEGNA,POLYGON,ARTEGNA
PIAZZA CARLO ROMANINI,ARTEGNA,POLYGON,ARTEGNA
PIAZZA CRAGNOLINI,ARTEGNA,POLYGON,ARTEGNA
PIAZZA MARNICO,ARTEGNA,POLYGON,ARTEGNA
STRADA DEI TOMADUC,ARTEGNA,POLYGON,ARTEGNA
STRADA DEL TROVO,ARTEGNA,POLYGON,ARTEGNA
STRADA STATALE 13,ARTEGNA,POLYGON,ARTEGNA
VIA ANDREUSSI,ARTEGNA,POLYGON,ARTEGNA
VIA APLIA INFERIORE,ARTEGNA,POLYGON,ARTEGNA
VIA APLIA SUPERIORE,ARTEGNA,POLYGON,ARTEGNA
VIA ARIO,ARTEGNA,POLYGON,ARTEGNA
VIA BUIA,ARTEGNA,POLYGON,ARTEGNA
VIA CASALI COLLI,ARTEGNA,POLYGON,ARTEGNA
VIA CHIAMUZZACCO,ARTEGNA,POLYGON,ARTEGNA
VIA CLAMA,ARTEGNA,POLYGON,ARTEGNA
VIA DEI CAMPI,ARTEGNA,POLYGON,ARTEGNA
VIA DEI GALLI,ARTEGNA,POLYGON,ARTEGNA
VIA DELLA FONTANA,ARTEGNA,POLYGON,ARTEGNA
VIA DELLA RESISTENZA,ARTEGNA,POLYGON,ARTEGNA
VIA DELLE CHIESE,ARTEGNA,POLYGON,ARTEGNA
VIA FAET,ARTEGNA,POLYGON,ARTEGNA
VIA GEMONA,ARTEGNA,POLYGON,ARTEGNA
VIA GIUSEPPE MARCHETTI,ARTEGNA,POLYGON,ARTEGNA
VIA GUARNERIO D' ARTEGNA,ARTEGNA,POLYGON,ARTEGNA
VIA GUARNERIO D'ARTEGNA,ARTEGNA,POLYGON,ARTEGNA
VIA GUARNIERO D'ARTEGNA,ARTEGNA,POLYGON,ARTEGNA
VIA JULIA AUGUSTA,ARTEGNA,POLYGON,ARTEGNA
VIA L. MENIS,ARTEGNA,POLYGON,ARTEGNA
VIA LIGUIRIA,ARTEGNA,POLYGON,ARTEGNA
VIA LIGURIA,ARTEGNA,POLYGON,ARTEGNA
VIA LUIGI MENIS,ARTEGNA,POLYGON,ARTEGNA
VIA MANIAGLIA,ARTEGNA,POLYGON,ARTEGNA
VIA MARIO BERTOLI,ARTEGNA,POLYGON,ARTEGNA
VIA MICOSSI,ARTEGNA,POLYGON,ARTEGNA
VIA MONTE,ARTEGNA,POLYGON,ARTEGNA
VIA MONTE QUARNAN,ARTEGNA,POLYGON,ARTEGNA
VIA MONTENARS,ARTEGNA,POLYGON,ARTEGNA
VIA NAZIONALE,ARTEGNA,POLYGON,ARTEGNA
VIA NAZIONALE KM,ARTEGNA,POLYGON,ARTEGNA
VIA OSOPPO,ARTEGNA,POLYGON,ARTEGNA
VIA PALMANOVA,ARTEGNA,POLYGON,ARTEGNA
VIA PIACENZA,ARTEGNA,POLYGON,ARTEGNA
VIA S. LEONARDO,ARTEGNA,POLYGON,ARTEGNA
VIA SALT,ARTEGNA,POLYGON,ARTEGNA
VIA SAN LEONARDO,ARTEGNA,POLYGON,ARTEGNA
VIA SANTO STEFANO,ARTEGNA,POLYGON,ARTEGNA
VIA SORNICO INFERIORE,ARTEGNA,POLYGON,ARTEGNA
VIA SORNICO SUPERIORE,ARTEGNA,POLYGON,ARTEGNA
VIA SOTTO CASTELLO,ARTEGNA,POLYGON,ARTEGNA
VIA SOTTOCASTELLO,ARTEGNA,POLYGON,ARTEGNA
VIA SOTTOCOLLE,ARTEGNA,POLYGON,ARTEGNA
