alias_address,alias_city,arsenico,calcio,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,sodio,solfato
Via Volta - Cassano Magnago,Cassano Magnago - Municipio,,,,494,,18/02/2020,24,,,,,25.8,,7.6,,
Via San Giuseppe 1 Castelseprio,Castelseprio - Municipio,,,,305,,17/02/2020,17,,,,,20.9,,7.4,,
Via San Giuseppe ang. Via Montegrappa Castelseprio,Castelseprio fontanella Piazza Mercato,,,,305,,17/02/2020,17,,,,,20.0,,7.2,,
Via Mons. Maurizio Galli - Castiglione Olona,Castiglione Olona Cimitero,,,,529,,17/02/2020,31,,,,,28.3,,7.7,,
Via G. Marconi 5 - Castiglione Olona,Castiglione Olona Scuola Infanzia,,,,530,,10/02/2020,30,,,,,29.2,,7.6,,
Via Castiglioni Branda 6 - Castiglione Olona,Castiglione Olona Scuola Media,,,,532,,17/02/2020,30,,,,,29.4,,7.5,,
Via Minniti 148 - Cavaria con Premezzo,Cavaria - Cimitero Premezzo,,,,241,,11/02/2020,13,,,,,16,,7.4,,
Piazza Marconi 1 Comabbio,Comabbio - Municipio,,,,188,,13/02/2020,11,,,,,7.6,,7.4,,
Via Risorgimento - Crosio della Valle,Crosio della Valle - Cimitero,,,,549,,10/03/2020,27,,,,,17.8,,7.5,,
Via IV Novembre - Crosio della Valle,Crosio della Valle - Municipio,,,,543,,17/02/2020,29,,,,,15.8,,7.6,,
Via XXV Aprile Fagnano Olona,Fagnano Olona,,,,206,,19/02/2020,9,,,,,10.4,,7.7,,
Via Dante Alighieri - Fagnano Olona,Fagnano Olona,,,,176,,19/02/2020,8,,,,,5.0,,7.9,,
Via Rovereto - Fagnano Olona,Fagnano Olona,,,,528,,19/02/2020,25,,,,,19.1,,7.5,,
Via Arcobaleno - Ferno,Ferno - Asilo Nido,,,,370,,21/02/2020,16,,,,,22.1,,7.4,,
Via 5 Martiri - Ferno,Ferno - Scuola Elementare,,,,238,,21/02/2020,9,,,,,5.7,,7.9,,
Via Marco Polo - Ferno,Ferno - Scuola Media,,,,415,,21/02/2020,18,,,,,41.2,,7.0,,
Via Pascoli Gallarate,Gallarate - Crenna,,,,322,,13/02/2020,16,,,,,28.1,,6.8,,
Via delle Rose - Gallarate,Gallarate - Parco delle Rose,,,,265,,13/02/2020,12,,,,,12.6,,7.5,,
Via XXII Marzo - Arnate,Gallarate Cimitero Arnate,,,,223,,13/02/2020,12,,,,,6.7,,7.9,,
Via della Pietà 24 - Gallarate,Gallarate Cimitero Cajello,,,,288,,13/02/2020,14,,,,,24.1,,7.1,,
Via Monte Santo - Cedrate,Gallarate Cimitero Cedrate,,,,266,,13/02/2020,14,,,,,13.0,,7.5,,
Via De Magri - Gallarate,Gallarate Cimitero Centro,,,,,,13/02/2020,,,,,,,,,,
Via Bravo Livio - Gavirate,Gavirate Fontana,,,,278,,17/02/2020,15,,,,,4.5,,8.0,,
Via Garoni - Gavirate,Gavirate Fontana,,,,487,,17/02/2020,26,,,,,17.7,,7.9,,
Via Piave - Gavirate,Gavirate Fontana Loc. Beut,,,,491,,17/02/2020,26,,,,,17.2,,8.1,,
Via dello Sport - Gavirate,Gavirate Idrante,,,,582,,17/02/2020,31,,,,,20.3,,7.7,,
Via Sassello - Gavirate,Gavirate Parco Morselli,,,,492,,17/02/2020,27,,,,,18.1,,7.8,,
Via Matteotti - Golasecca,Golasecca - Cimitero,1.5,,,221,,11/02/2020,12,,,,,5,,7.5,,
Piazza Libertà - Golasecca,Golasecca Municipio,1.4,,,220,,11/02/2020,9,,,,,5,,7.5,,
Via Roma ang. Via Sanzio - Gorla Maggiore,Gorla Maggiore - Colonnina,,,,191,,19/02/2020,9,,,,,2.6,,7.8,,
Via Dante Alighieri - Gorla Maggiore,Gorla Maggiore - Presa,,,,177,,19/02/2020,8,,,,,1.7,,7.8,,
Via Toti Gorla Maggiore,Gorla Maggiore - Presa Via Toti,,,,184,,19/02/2020,8,,,,,2.2,,7.8,,
Via Ambrogio Colombo - Gorla Minore,Gorla Minore,,,,231,,18/02/2020,11,,,,,7.1,,8.1,,
Via Deserto - Gorla Minore,Gorla Minore - Cimitero,,,,410,,18/02/2020,21,,,,,21.3,,7.9,,
Via Girolo 54 Ispra,Ispra - Comitato Cascine,7.5,,,348,,13/02/2020,19,,,,,16.5,,8.0,,
Via Enrico Fermi 751 Ispra,Ispra - rete segheria,8.1,,,346,,13/02/2020,20,,,,,16.5,,8.0,,
Piazza Carlo Locatelli Ispra,Ispra - Scuole Medie,7.5,,,349,,13/02/2020,19,,,,,16.3,,7.9,,
Via E. Fermi 24 - Laveno Mombello,Laveno Mombello - Asilo,,,,424,,13/02/2020,26,,,,,13.4,,7.6,,
Cerro - Laveno Mombello,Laveno Mombello - Cerro Lungo Lago,,,,427,,24/02/2020,20,,,,,14.3,,7.6,,
Via Roma 16/A - Laveno Mombello,Laveno Mombello - Municipio,,,,423,,13/02/2020,26,,,,,14.3,,7.7,,
Via L. Bellorini - Laveno Mombello,Laveno Mombello - Parco Alpini Bagno,,,,418,,13/02/2020,26,,,,,12.7,,7.6,,
Arolo - Leggiuno,Leggiuno - Arolo (Fontana),,,,145,,24/02/2020,6,,,,,2.9,,7.8,,
Reno - Leggiuno,Leggiuno - loc. Reno,,,,145,,13/02/2020,7,,,,,2.4,,7.5,,
Piazza G. Marconi- Leggiuno,Leggiuno - Municipio,,,,145,,13/02/2020,8,,,,,2.6,,7.3,,
Piazza Matteotti - Lonate Ceppino,Lonate Ceppino - Colonnina,,,,217,,20/02/2020,10,,,,,4.8,,8.1,,
Via Volta - Lonate Pozzolo,Lonate Pozzolo - Colonnina,,,,238,,21/02/2020,9,,,,,5.4,,8.2,,
Via Rimembranze - Lonate Pozzolo,Lonate Pozzolo - Colonnina,,,,236,,21/02/2020,8,,,,,5.3,,8.3,,
Via Pisa - Lonate Pozzolo,Lonate Pozzolo - Colonnina,,,,237,,21/02/2020,8,,,,,4.8,,8.0,,
Viale Rimembranze - Malgesso,Malgesso Scuola Elementare,,,,298,,13/02/2020,16,,,,,9.3,,8.1,,
Via Genova - Marnate,Marnate - rete colonna stradale,,,,186,,19/02/2020,8,,,,,4.5,,7.8,,
Via Tanaro - Marnate,Marnate - rete colonna stradale,,,,163,,19/02/2020,6,,,,,1.3,,8.0,,
Via Cesare Battisti - Marnate,Marnate - rete colonna stradale,,,,193,,19/02/2020,9,,,,,3.8,,7.8,,
Via Cascina Risaia - Mornago,Mornago - Cimitero Crugnola,,,,364,,17/02/2020,18,,,,,10.1,,7.8,,
Via Dante Alighieri - Mornago,Mornago - Cimitero Montonate,,,,404,,21/02/2020,20,,,,,21.7,,7.8,,
"Piazza Libertà, 1 - Mornago",Mornago Municipio,,,,403,,17/02/2020,21,,,,,20.0,,7.7,,
"Via Bonacalza, 135 - Oggiona Santo Stefano",Oggiona S. Stefano - casa dell'acqua,,,,306,,17/02/2020,15,,,,,18.1,,7.3,,
"P.zza Risorgimento, 1 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Elementare C. Battisti,,,,295,,17/02/2020,10,,,,,16.2,,7.1,,
Via Marconi - Oggiona Santo Stefano,Oggiona S. Stefano - Sc. Elementare Cantore,,,,288,,17/02/2020,15,,,,,16.0,,7.5,,
"Via Aldo Moro, 6 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Materna Maria Immacolata,,,,339,,17/02/2020,14,,,,,30.0,,6.8,,
"Via Asilo, 2 - Oggiona Santo Stefano",Oggiona S. Stefano - Sc. Materna Speri Castellini,,,,337,,17/02/2020,13,,,,,20.6,,7.3,,
Via Oriani - Olgiate Olona,Olgiate Olona - colonna stradale,,,,189,,18/02/2020,9,,,,,3.3,,8.0,,
Via Pascoli (Angolo via Feltre) - Olgiate Olona,Olgiate Olona - colonna stradale,,,,185,,18/02/2020,8,,,,,2.4,,8.2,,
Via Unità d'Italia - Olgiate Olona,Olgiate Olona - colonna stradale,,,,202,,18/02/2020,9,,,,,3.8,,8.0,,
Via Maggiore - Osmate,Osmate - Cimitero,,,,293,,13/02/2020,15,,,,,13.9,,7.9,,
Lungo Lago Dino Ciani - Ranco,Ranco,,,,347,,13/02/2020,19,,,,,16.5,,7.9,,
Via Roma - Ranco,Ranco,,,,345,,13/02/2020,19,,,,,16.4,,8.1,,
Via Pola ang. Via Ferrini - Samarate,Samarate - Colonnina,,,,678,,21/02/2020,29,,,,,39.2,,7.1,,
Via del Noce ang. Via Monteberico - Samarate,Samarate - Colonnina,,,,678,,21/02/2020,36,,,,,42.8,,7.3,,
Via Vittorio Veneto ang. Via Fiume - Samarate,Samarate - Colonnina,,,,326,,21/02/2020,14,,,,,33.2,,7.0,,
Viale Augusta ang. Via Bellini - Samarate,Samarate - Colonnina,,,,337,,21/02/2020,14,,,,,33.2,,7.2,,
Via Indipendenza ang. Via Locarno- Samarate,Samarate - Colonnina,,,,278,,21/02/2020,12,,,,,13.1,,7.3,,
Via Oriano - Sesto Calende,Sesto Calende,,,,382,,13/02/2020,22,,,,,18.7,,7.8,,
Via Angera ang. Via Cucchino - Sesto Calende,Sesto Calende - Colonina,,,,298,,13/02/2020,17,,,,,5.9,,7.9,,
Via Risorgimento - Sesto Calende,Sesto Calende - Colonina,9.0,,,296,,17/02/2020,16,,,,,6.3,,7.9,,
Via Lentate ang. Via Grisoni- Sesto Calende,Sesto Calende - punto rete,,,,353,,20/03/2020,20,,,,,17.3,,7.9,,
Via Repubblica - Somma Lombardo,Somma Lombardo - Centro,,,,428,,11/02/2020,22,,,,,21,,7.8,,
Via de Pinedo - Somma Lombardo,Somma Lombardo - Fraz. Case Nuove,,,,423,,11/02/2020,24,,,,,25,,8.0,,
Via Orsa - Somma Lombardo,Somma Lombardo - Fraz. Coarezza,1.4,,,197,,11/02/2020,11,,,,,,,7.4,,
Via Papa Giovanni XXIII - Somma Lombardo,Somma Lombardo - Fraz. Maddalena,,,,373,,11/02/2020,19,,,,,10,,8.0,,
Via Beltramolli - Somma Lombardo,Somma Lombardo - Fraz. Mezzana,,,,359,,11/02/2020,21,,,,,15,,7.8,,
Sumirago,Sumirago - Casa dell'Acqua,,,,331,,17/02/2020,16,,,,,11.2,,7.4,,
Via Luigi Rossi - Sumirago,Sumirago - Cimitero,,,,326,,17/02/2020,16,,,,,14.0,,7.8,,
Via de Gasperi - Sumirago,Sumirago - Cimitero,,,,324,,17/02/2020,16,,,,,13.8,,7.8,,
Via Campagna - Sumirago,Sumirago - Cimitero,,,,326,,17/02/2020,16,,,,,13.2,,7.9,,
Via Carducci - Sumirago,Sumirago - Scuola Elementare Manzoni,,,,363,,17/02/2020,18,,,,,15.7,,7.8,,
Via Cesare Battisti - Taino,Taino - Asilo Nido,,,,229,,13/02/2020,12,,,,,12.9,,7.5,,
Piazza Pajetta 5 - Taino,Taino - Municipio,,,,326,,13/02/2020,17,,,,,21.3,,7.9,,
Piazza della Repubblica - Travedona Monate,Travedona Monate - Fontanella,,,,308,,13/02/2020,17,,,,,21.0,,8.0,,
Via Don Luigi Sturzo 40 - Travedona Monate,Travedona Monate - Municipio,,,,309,,13/02/2020,16,,,,,21.0,,8.0,,
Via A. Manzoni Varano Borghi,Varano Borghi - Cimitero,,,,425,,19/02/2020,22,,,,,36.0,,8.0,,
Via N. Sauro - Varano Borghi,Varano Borghi - Municipio,,,,425,,19/02/2020,23,,,,,36.0,,7.9,,
"Via Damiano Chiesa, 26 - Venegono Inferiore",Venegono Inferiore - Municipio,,,,560,,18/02/2020,28,,,,,20.5,,7.3,,
Pianbosco - Venegono Inferiore,Venegono Inferiore - Rete Pianbosco,,,,228,,18/02/2020,4,,,,,14.3,,8.1,,
Via Pasubio - Venegono Superiore,Venegono Superiore - Parco Pratone,,,,298,,21/02/2020,14,,,,,14.3,,7.9,,
Piazza Mauceri - Venegono Superiore,Venegono Superiore - punto rete Municipio,,,,289,,21/02/2020,14,,,,,13.1,,7.3,,
Via Cuirone - Vergiate,Vergiate - Cimitero De Amicis,,,,366,,17/02/2020,21,,,,,15.1,,7.9,,
Via per Sesto Calende - Vergiate,Vergiate - Cimitero Posorti,,,,335,,11/02/2020,19,,,,,15,,7.9,,
Via Fratelli Rosselli - Vergiate,Vergiate - Cimitero Rosselli,,,,316,,11/02/2020,18,,,,,15,,7.9,,
Via Cavallotti - Vergiate,Vergiate - Municipio,,,,337,,11/02/2020,20,,,,,15,,7.7,,
Piazza Marconi - Vizzola Ticino,Vizzola Ticino - Municipio,,,,185,,11/02/2020,9,,,,,4,,8.0,,
Via al porto - Vizzola Ticino,Vizzola Ticino - rete al porto,,,,185,,11/02/2020,9,,,,,4,,7.8,,
Via San Giulio Vizzola Ticino,Vizzola Ticino - rete San Giulio,,,,484,,11/02/2020,30,,,,,21,,7.8,,
