alias_address,alias_city,georeferencingString,type
Via Cattaneo - Cairate,Cairate,"Via Cattaneo - Cairate, Cairate, Lombardia",POINT
Via Corridoni ang. Via Manzoni - Cairate,Cairate,"Via Corridoni ang. Via Manzoni - Cairate, Cairate, Lombardia",POINT
Via Milano - Cairate,Cairate,"Via Milano - Cairate, Cairate, Lombardia",POINT
Piazza Liberta' - Cairate,Cairate - Municipio,"Piazza Liberta' - Cairate, Cairate - Municipio, Lombardia",POINT
Piazza Mazzini - Cardano al Campo,Cardano al Campo - Municipio,"Piazza Mazzini - Cardano al Campo, Cardano al Campo - Municipio, Lombardia",POINT
Via Roma 6 - Casale Litta,Casale Litta - Municipio,"Via Roma 6 - Casale Litta, Casale Litta - Municipio, Lombardia",POINT
Via Don Antonio Corti - Casale Litta,Casale Litta - Scuola Infanzia,"Via Don Antonio Corti - Casale Litta, Casale Litta - Scuola Infanzia, Lombardia",POINT
Via F.lli Cervi - Casale Litta,Casale Litta - Scuola Primaria,"Via F.lli Cervi - Casale Litta, Casale Litta - Scuola Primaria, Lombardia",POINT
Via Roma 103 - Casorate Sempione,Casorate Sempione Cimitero Comunale,"Via Roma 103 - Casorate Sempione, Casorate Sempione Cimitero Comunale, Lombardia",POINT
Via De Amicis - Casorate Sempione,Casorate Sempione Municipio,"Via De Amicis - Casorate Sempione, Casorate Sempione Municipio, Lombardia",POINT
Viale Rimembranze 41 - Cassano Magnago,Cassano Magnago - Cimitero,"Viale Rimembranze 41 - Cassano Magnago, Cassano Magnago - Cimitero, Lombardia",POINT
Via Volta - Cassano Magnago,Cassano Magnago - Municipio,"Via Volta - Cassano Magnago, Cassano Magnago - Municipio, Lombardia",POINT
Via San Giuseppe 1 Castelseprio,Castelseprio - Municipio,"Via San Giuseppe 1 Castelseprio, Castelseprio - Municipio, Lombardia",POINT
Via San Giuseppe ang. Via Montegrappa Castelseprio,Castelseprio fontanella Piazza Mercato,"Via San Giuseppe ang. Via Montegrappa Castelseprio, Castelseprio fontanella Piazza Mercato, Lombardia",POINT
Via Mons. Maurizio Galli - Castiglione Olona,Castiglione Olona Cimitero,"Via Mons. Maurizio Galli - Castiglione Olona, Castiglione Olona Cimitero, Lombardia",POINT
Via G. Marconi 5 - Castiglione Olona,Castiglione Olona Scuola Infanzia,"Via G. Marconi 5 - Castiglione Olona, Castiglione Olona Scuola Infanzia, Lombardia",POINT
Via Castiglioni Branda 6 - Castiglione Olona,Castiglione Olona Scuola Media,"Via Castiglioni Branda 6 - Castiglione Olona, Castiglione Olona Scuola Media, Lombardia",POINT
Via Minniti 148 - Cavaria con Premezzo,Cavaria - Cimitero Premezzo,"Via Minniti 148 - Cavaria con Premezzo, Cavaria - Cimitero Premezzo, Lombardia",POINT
P.zza Sandro Pertini 75 - Cavaria con Premezzo,Cavaria - Municipio,"P.zza Sandro Pertini 75 - Cavaria con Premezzo, Cavaria - Municipio, Lombardia",POINT
Via Milano - Cocquio Trevisago,Cocquio Trevisago - Cimitero,"Via Milano - Cocquio Trevisago, Cocquio Trevisago - Cimitero, Lombardia",POINT
Vicolo alla Chiesa - Coquio Trevisago,Cocquio Trevisago - Fontana,"Vicolo alla Chiesa - Coquio Trevisago, Cocquio Trevisago - Fontana, Lombardia",POINT
Contrada S. Anna - Cocquio Trevisago,Cocquio Trevisago - Fontana,"Contrada S. Anna - Cocquio Trevisago, Cocquio Trevisago - Fontana, Lombardia",POINT
Via Roma - Cocquio Trevisago,Cocquio Trevisago - Municipio,"Via Roma - Cocquio Trevisago, Cocquio Trevisago - Municipio, Lombardia",POINT
Piazza Marconi 1 Comabbio,Comabbio - Municipio,"Piazza Marconi 1 Comabbio, Comabbio - Municipio, Lombardia",POINT
Via Risorgimento - Crosio della Valle,Crosio della Valle - Cimitero,"Via Risorgimento - Crosio della Valle, Crosio della Valle - Cimitero, Lombardia",POINT
Via IV Novembre - Crosio della Valle,Crosio della Valle - Municipio,"Via IV Novembre - Crosio della Valle, Crosio della Valle - Municipio, Lombardia",POINT
Via XXV Aprile Fagnano Olona,Fagnano Olona,"Via XXV Aprile Fagnano Olona, Fagnano Olona, Lombardia",POINT
Via Dante Alighieri - Fagnano Olona,Fagnano Olona,"Via Dante Alighieri - Fagnano Olona, Fagnano Olona, Lombardia",POINT
Via Rovereto - Fagnano Olona,Fagnano Olona,"Via Rovereto - Fagnano Olona, Fagnano Olona, Lombardia",POINT
Via Arcobaleno - Ferno,Ferno - Asilo Nido,"Via Arcobaleno - Ferno, Ferno - Asilo Nido, Lombardia",POINT
Via 5 Martiri - Ferno,Ferno - Scuola Elementare,"Via 5 Martiri - Ferno, Ferno - Scuola Elementare, Lombardia",POINT
Via Marco Polo - Ferno,Ferno - Scuola Media,"Via Marco Polo - Ferno, Ferno - Scuola Media, Lombardia",POINT
Via Pascoli Gallarate,Gallarate - Crenna,"Via Pascoli Gallarate, Gallarate - Crenna, Lombardia",POINT
Via delle Rose - Gallarate,Gallarate - Parco delle Rose,"Via delle Rose - Gallarate, Gallarate - Parco delle Rose, Lombardia",POINT
Via XXII Marzo - Arnate,Gallarate Cimitero Arnate,"Via XXII Marzo - Arnate, Gallarate Cimitero Arnate, Lombardia",POINT
Via della Pietà 24 - Gallarate,Gallarate Cimitero Cajello,"Via della Pietà 24 - Gallarate, Gallarate Cimitero Cajello, Lombardia",POINT
Via Monte Santo - Cedrate,Gallarate Cimitero Cedrate,"Via Monte Santo - Cedrate, Gallarate Cimitero Cedrate, Lombardia",POINT
Via De Magri - Gallarate,Gallarate Cimitero Centro,"Via De Magri - Gallarate, Gallarate Cimitero Centro, Lombardia",POINT
Via Bravo Livio - Gavirate,Gavirate Fontana,"Via Bravo Livio - Gavirate, Gavirate Fontana, Lombardia",POINT
Via Garoni - Gavirate,Gavirate Fontana,"Via Garoni - Gavirate, Gavirate Fontana, Lombardia",POINT
Via Piave - Gavirate,Gavirate Fontana Loc. Beut,"Via Piave - Gavirate, Gavirate Fontana Loc. Beut, Lombardia",POINT
Via dello Sport - Gavirate,Gavirate Idrante,"Via dello Sport - Gavirate, Gavirate Idrante, Lombardia",POINT
Via Sassello - Gavirate,Gavirate Parco Morselli,"Via Sassello - Gavirate, Gavirate Parco Morselli, Lombardia",POINT
Via Matteotti - Golasecca,Golasecca - Cimitero,"Via Matteotti - Golasecca, Golasecca - Cimitero, Lombardia",POINT
Piazza Libertà - Golasecca,Golasecca Municipio,"Piazza Libertà - Golasecca, Golasecca Municipio, Lombardia",POINT
Via Roma ang. Via Sanzio - Gorla Maggiore,Gorla Maggiore - Colonnina,"Via Roma ang. Via Sanzio - Gorla Maggiore, Gorla Maggiore - Colonnina, Lombardia",POINT
Via Dante Alighieri - Gorla Maggiore,Gorla Maggiore - Presa,"Via Dante Alighieri - Gorla Maggiore, Gorla Maggiore - Presa, Lombardia",POINT
Via Toti Gorla Maggiore,Gorla Maggiore - Presa Via Toti,"Via Toti Gorla Maggiore, Gorla Maggiore - Presa Via Toti, Lombardia",POINT
Via Ambrogio Colombo - Gorla Minore,Gorla Minore,"Via Ambrogio Colombo - Gorla Minore, Gorla Minore, Lombardia",POINT
Via Deserto - Gorla Minore,Gorla Minore - Cimitero,"Via Deserto - Gorla Minore, Gorla Minore - Cimitero, Lombardia",POINT
Via Girolo 54 Ispra,Ispra - Comitato Cascine,"Via Girolo 54 Ispra, Ispra - Comitato Cascine, Lombardia",POINT
Via Enrico Fermi 751 Ispra,Ispra - rete segheria,"Via Enrico Fermi 751 Ispra, Ispra - rete segheria, Lombardia",POINT
Piazza Carlo Locatelli Ispra,Ispra - Scuole Medie,"Piazza Carlo Locatelli Ispra, Ispra - Scuole Medie, Lombardia",POINT
Via E. Fermi 24 - Laveno Mombello,Laveno Mombello - Asilo,"Via E. Fermi 24 - Laveno Mombello, Laveno Mombello - Asilo, Lombardia",POINT
Cerro - Laveno Mombello,Laveno Mombello - Cerro Lungo Lago,"Cerro - Laveno Mombello, Laveno Mombello - Cerro Lungo Lago, Lombardia",POINT
Via Roma 16/A - Laveno Mombello,Laveno Mombello - Municipio,"Via Roma 16/A - Laveno Mombello, Laveno Mombello - Municipio, Lombardia",POINT
Via L. Bellorini - Laveno Mombello,Laveno Mombello - Parco Alpini Bagno,"Via L. Bellorini - Laveno Mombello, Laveno Mombello - Parco Alpini Bagno, Lombardia",POINT
Arolo - Leggiuno,Leggiuno - Arolo (Fontana),"Arolo - Leggiuno, Leggiuno - Arolo (Fontana), Lombardia",POINT
