alias_address,alias_city,geocode,geometry,georeferencingString,type
Via S. Michele - Besozzo,Besozzo - Cimitero Bogno,"Via San Michele, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.658844406185299, 45.84201847319822]}","Via S. Michele - Besozzo, Besozzo - Cimitero Bogno, Lombardia",POINT
Via Beolchi - Besozzo,Besozzo - Cimitero Cardana,"Via G. Beolchi, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.646569042123819, 45.85903008424761]}","Via Beolchi - Besozzo, Besozzo - Cimitero Cardana, Lombardia",POINT
Via Gaggio - Besozzo,Besozzo - Cimitero Olginasio,"Via Gaggio, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.684879959530454, 45.848944815205705]}","Via Gaggio - Besozzo, Besozzo - Cimitero Olginasio, Lombardia",POINT
Via Gorini - Besozzo,Besozzo - Valle debatterizzatore,"Via Antonio Gorini, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.675829466935475, 45.85226026451613]}","Via Gorini - Besozzo, Besozzo - Valle debatterizzatore, Lombardia",POINT
Via V. Veneto - Biandronno,Biandronno - Cassinetta Centro Diurno,"Via Vittorio Veneto, 21024, Biandronno, Varese","{'type': 'Point', 'coordinates': [8.706440250000007, 45.820161]}","Via V. Veneto - Biandronno, Biandronno - Cassinetta Centro Diurno, Lombardia",POINT
Via Rimembranze - Biandronno,Biandronno - Cimitero,"Viale Rimembranze, 21024, Biandronno, Varese","{'type': 'Point', 'coordinates': [8.714737692009507, 45.82601071567911]}","Via Rimembranze - Biandronno, Biandronno - Cimitero, Lombardia",POINT
"Piazza Cavour, 4 - Biandronno",Biandronno - Municipio,"Piazza Camillo Benso di Cavour 4, 21024, Biandronno, Varese","{'type': 'Point', 'coordinates': [8.713518616019359, 45.82149367055226]}","Piazza Cavour, 4 - Biandronno, Biandronno - Municipio, Lombardia",POINT
Via Pasubio - Brebbia,Brebbia - Municipio,"Via Pasubio, 21020, Brebbia, Varese","{'type': 'Point', 'coordinates': [8.632363731721632, 45.83730765625552]}","Via Pasubio - Brebbia, Brebbia - Municipio, Lombardia",POINT
"Via Piave, 39 - Bregano",Bregano - Municipio,"Via Piave 39, 21020, Bregano, Varese","{'type': 'Point', 'coordinates': [8.687561070777285, 45.82394614432454]}","Via Piave, 39 - Bregano, Bregano - Municipio, Lombardia",POINT
Via S. Maria 7 - Brunello,Brunello - Cimitero,"Via Santa Maria 7, 21020, Brunello, Varese","{'type': 'Point', 'coordinates': [8.794043219401003, 45.767496551762946]}","Via S. Maria 7 - Brunello, Brunello - Cimitero, Lombardia",POINT
Piazza Ballerio - Brunello,Brunello - Municipio,"Piazza P. Ballerio, 21020, Brunello, Varese","{'type': 'Point', 'coordinates': [8.797923434031334, 45.76503189417366]}","Piazza Ballerio - Brunello, Brunello - Municipio, Lombardia",POINT
Via Piermarini - Busto Arsizio,Busto Arsizio,"Via Giuseppe Piermarini, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.8522495182932, 45.63028542297824]}","Via Piermarini - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Palermo - Busto Arsizio,Busto Arsizio,"Via Palermo, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.859377373206419, 45.62011929025477]}","Via Palermo - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Viale Trentino - Busto Arsizio,Busto Arsizio,"Viale Trentino, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.83809784249387, 45.61779732149075]}","Viale Trentino - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Lualdi - Busto Arsizio,Busto Arsizio,"Via Giuseppe Lualdi, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.847385207521679, 45.61085924424776]}","Via Lualdi - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Azimonti - Busto Arsizio,Busto Arsizio,"Via L. Azimonti, 21053, Castellanza, Varese","{'type': 'Point', 'coordinates': [8.883641205353852, 45.60285095984758]}","Via Azimonti - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Viale dell'Industria/Via Tosi - Busto Arsizio,Busto Arsizio,"Viale dell'Industria, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.830630166005937, 45.587080021514346]}","Viale dell'Industria/Via Tosi - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Stradella - Busto Arsizio,Busto Arsizio,"Via Stradella, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.855390312827472, 45.58318090641373]}","Via Stradella - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Don Guanella - Busto Arsizio,Busto Arsizio,"Via Don Luigi Guanella, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.817228000000005, 45.60638766650993]}","Via Don Guanella - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Piazza S. Giovanni XXIII - Busto Arsizio,Busto Arsizio,"Piazza San Giovanni, 21052, Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.851571816654182, 45.611773692639794]}","Piazza S. Giovanni XXIII - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via B. da Busto - Busto Arsizio,Busto Arsizio,"Busto Arsizio, Varese","{'type': 'Point', 'coordinates': [8.854750000000024, 45.61187000000007]}","Via B. da Busto - Busto Arsizio, Busto Arsizio, Lombardia",POINT
