alias_address,alias_city,type,georeferencingString
via scalarini giuseppe,Milano,POINT,"Spazio Scalarini, 8, Via Giuseppe Scalarini, Scalo Romana, Vigentino, Milano, Lombardia, 20139, Italia"
via morivione,Milano,POINT,"Via Morivione, Ex Om - Morivione, Vigentino, Milano, Lombardia, 20141, Italia"
via ripamonti giuseppe,Milano,POINT,"211, Via Giuseppe Ripamonti, Ripamonti, Vigentino, Milano, Lombardia, 20141, Italia"
via ripamonti giuseppe,Milano,POINT,"Via Giuseppe Ripamonti, Quintosole, Municipio 5, Quintosole, Milano, Lombardia, 20141, Italia"
via manduria,Milano,POINT,"Via Manduria, Ronchetto delle Rane, Municipio 5, Ronchetto delle Rane, Milano, Lombardia, 20142, Italia"
via selvanesco,Milano,POINT,"Via Selvanesco, Gratosoglio - Ticinello, Gratosoglio, Milano, Lombardia, 20142, Italia"
via antonini giacomo,Milano,POINT,"Via Giacomo Antonini, Morivione, Municipio 5, Milano, Lombardia, 20141, Italia"
via bazzi carlo,Milano,POINT,"Via Carlo Bazzi, Morivione, Municipio 5, Milano, Lombardia, 20136, Italia"
piazzale cantore antonio,Milano,POINT,"UBI Banca Popolare Commercio&Industria, Via Francesco Carchidio, Navigli, Porta Genova, Milano, Lombardia, 20144, Italia"
via portaluppi ambrogi,Milano,POINT,"Dorelanbed, Via Ambrogio Portaluppi, San Cristoforo, Barona, Milano, Lombardia, 20143, Italia"
via sessa giannino,Milano,POINT,"Via Giannino Sessa, Barona, Milano, Lombardia, 20090, Italia"
alzaia naviglio pavese,Milano,POINT,"Alzaia Naviglio Pavese, Conca Fallata, Cantalupa, Milano, Lombardia, 20142, Italia"
via capo palinuro,Milano,POINT,"Condominio Capo Palinuro 2, 2, Via Capo Palinuro, Ronchetto Sul Naviglio, Barona, Milano, Lombardia, 20142, Italia"
via savona,Milano,POINT,"MioCugino Design, 97, Via Savona, Foppette, Municipio 6, Milano, Lombardia, 20143, Italia"
piazza del rosario,Milano,POINT,"Giorgia, 1, Piazza del Rosario, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia"
viale coni zugna,Milano,POINT,"12, Viale Coni Zugna, San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia"
via lorenteggio,Milano,POINT,"Quacquarelli, Via Lorenteggio, Bande Nere, Lorenteggio, Milano, Lombardia, 20146, Italia"
via lorenteggio,Milano,POINT,"Vodafone Village, Lorenteggio, Milano, Lombardia, Italia"
via mastronardi lucio,Milano,POINT,"Via Lucio Mastronardi, Muggiano, Milano, Lombardia, 20019, Italia"
via castrovillari,Milano,POINT,"Scuola dell'Infanzia Comunale, Via Castrovillari, Baggio, Milano, Lombardia, 20153, Italia"
via ferreri giulio,Milano,POINT,"Via Giulio Ferreri, Forze Armate, Quarto Cagnino, Milano, Lombardia, 20147, Italia"
via de vincenti angelo,Milano,POINT,"7, Via Angelo de Vincenti, Selinunte, San Siro, Milano, Lombardia, 20148, Italia"
piazza buonarroti michelangelo,Milano,POINT,"Casa di Riposo Giuseppe Verdi, Via Monte Rosa, San Pietro in Sala, Municipio 8, Milano, Lombardia, 20145, Italia"
via pompeo,Milano,POINT,"Via Demetrio Stratos, Tre Torri, Tre Torri-Fiera, Milano, Lombardia, 20149, Italia"
via san giusto,Milano,POINT,"Via Passo Tre Croci, San Siro, Quarto Cagnino, Milano, Lombardia, 20147, Italia"
via engels federico,Milano,POINT,"Via Stanislao Cannizzaro, Quarto Cagnino, Milano, Lombardia, 20153, Italia"
via caldera,Milano,POINT,"Via Caldera, Quinto Romano, Milano, Lombardia, 20153, Italia"
via novara,Milano,POINT,"Via Novara, Figino, Milano, Lombardia, 20019, Italia"
