alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Via Belcolle,NAVE,<0.05,<1,287,70.5,<0.05,2,490,Dicembre 2019,30.6,<0.1,32.5,<5,5,<0.02,8.0,<0.5,343,0.9,10
Via Dernago,NAVE,<0.05,<1,219,62.7,0.06,4,389,Dicembre 2019,23.2,<0.1,16.6,<5,7,<0.02,8.4,0.7,273,1.9,6
Via Monteclana alta,NAVE,<0.05,<1,219,62.7,0.06,4,389,Dicembre 2019,23.2,<0.1,16.6,<5,7,<0.02,8.4,0.7,273,1.9,6
Via Monteclana bassa,NAVE,<0.05,<1,219,62.7,0.06,4,389,Dicembre 2019,23.2,<0.1,16.6,<5,7,<0.02,8.4,0.7,273,1.9,6
Via San Francesco,NAVE,<0.05,<1,308,92.6,<0.05,11,573,Dicembre 2019,34.6,<0.1,29.9,<5,17,<0.02,8.2,0.9,401,4.7,12
Via San Marco,NAVE,<0.05,<1,285,66.4,<0.05,<2,470,Dicembre 2019,29.6,<0.1,29.7,<5,3,<0.02,8.3,<0.5,329,0.7,6
Via Livelli,NUVOLERA,<0.05,<1,259,84.0,<0.05,8,527,Dicembre 2019,30.2,<0.1,24.8,<5,18,<0.02,7.8,1.1,369,5.2,31
Via Roma,NUVOLERA,<0.05,<1,261,83.6,<0.05,8,528,Dicembre 2019,30.4,<0.1,24.8,<5,18,<0.02,7.9,1.1,370,5.3,31
Via Soldo,NUVOLERA,<0.05,<1,261,83.6,<0.05,8,528,Dicembre 2019,30.4,<0.1,24.8,<5,18,<0.02,7.9,1.1,370,5.3,31
Via Valle,NUVOLERA,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Campanile,Nave,<0.05,<1,288,68.1,0.05,2,492,Dicembre 2019,30.6,<0.1,31.7,<5,5,<0.02,8.1,<0.5,344,0.9,10
Via Camprelle,Nuvolera,<0.05,<1,261,83.6,<0.05,8,528,Dicembre 2019,30.4,<0.1,24.8,<5,18,<0.02,7.9,1.1,370,5.3,31
Piazza Santa Maria Bambina,ODOLO,<0.05,<1,262,65.2,0.08,2,460,Dicembre 2019,28.7,<0.1,31.5,<5,7,<0.02,8.2,<0.5,324,1.2,21
Via Brescia,ODOLO,<0.05,<1,261,72.5,0.08,3,546,Dicembre 2019,32.3,<0.1,30.7,<5,7,<0.02,8.2,<0.5,364,1.4,12
Via Fratelli Scalvini,ODOLO,<0.05,<1,259,76.5,<0.05,3,542,Dicembre 2019,32.2,0.1,31.2,<5,7,<0.02,8.2,<0.5,363,1.4,60
Piazza Vittoria,OFFLAGA,<0.05,<1,253,81.1,0.05,5,475,Dicembre 2019,26.7,<0.1,14.1,<5,<2,<0.02,7.9,1.7,333,9.3,26
Via Conte Fè d'Ostiani,OFFLAGA,<0.05,<1,252,81.6,<0.05,5,478,Dicembre 2019,26.7,<0.1,14.2,<5,<2,<0.02,7.9,1.7,335,9.3,26
Via Roma,OFFLAGA,<0.05,<1,240,77.0,<0.05,5,459,Dicembre 2019,25.2,0.1,14.4,<5,2,<0.02,8.0,1.8,321,10.7,26
Piazza Aldo Moro,OME,<0.05,<1,200,90.0,<0.05,6,410,Dicembre 2019,23.5,<0.1,4.1,<5,20,<0.02,7.7,0.7,287,2.0,10
Via Battola,OME,<0.05,<1,198,86.8,<0.05,6,403,Dicembre 2019,23.1,<0.1,4.0,<5,21,<0.02,7.8,0.7,282,1.9,10
Via Goiane angolo via San Michele,OME,<0.05,<1,216,100.1,0.07,9,447,Dicembre 2019,25.7,<0.1,4.0,<5,22,<0.02,7.7,0.7,313,2.3,10
Via Crispi angolo Via Galilei,ORZINUOVI,<0.05,<1,259,107.1,<0.05,12,595,Dicembre 2019,34.4,<0.1,15.1,<5,33,<0.02,7.7,1.3,417,7.2,47
Via Ferraroli,ORZINUOVI,<0.05,<1,249,100.5,<0.05,11,569,Dicembre 2019,33.0,<0.1,14.3,<5,29,<0.02,7.8,1.3,398,6.9,47
Via IV Novembre,ORZINUOVI,<0.05,<1,243,101.4,<0.05,10,539,Dicembre 2019,31.6,<0.1,13.8,<5,28,<0.02,8.0,1.3,378,5.8,49
Via Milano,ORZINUOVI,<0.05,<1,241,98.0,<0.05,10,553,Dicembre 2019,31.9,<0.1,13.9,<5,28,<0.02,7.9,1.3,387,6.8,46
Via Prebenda,ORZINUOVI,<0.05,<1,258,106.5,<0.05,12,593,Dicembre 2019,34.4,<0.1,14.8,<5,33,<0.02,7.8,1.3,415,7.0,47
Via Tasso,ORZINUOVI,<0.05,<1,242,99.0,<0.05,10,552,Dicembre 2019,31.9,<0.1,14.1,<5,28,<0.02,7.9,1.3,386,6.9,46
Via IV Novembre,OSPITALETTO,<0.05,1,202,59.2,<0.05,25,434,Dicembre 2019,19.6,<0.1,16.0,<5,2,<0.02,7.9,2.7,304,25.7,12
Via Leopardi,OSPITALETTO,<0.05,5,197,70.5,0.06,18,474,Dicembre 2019,23.0,0.1,12.4,<5,28,<0.02,7.7,1.8,332,19.1,27
Via Martiri della Libertà,OSPITALETTO,<0.05,4,186,64.1,<0.05,19,446,Dicembre 2019,21.0,0.1,12.3,<5,21,<0.02,7.7,2.0,312,20.0,23
Via Praes,Odolo,<0.05,<1,262,65.2,0.08,2,460,Dicembre 2019,28.7,<0.1,31.5,<5,7,<0.02,8.2,<0.5,324,1.2,21
Piazza del Mercato,Ome,<0.05,<1,200,90.0,<0.05,6,410,Dicembre 2019,23.5,<0.1,4.1,<5,20,<0.02,7.7,0.7,287,2.0,10
Via Giotto,Orzinuovi,<0.05,<1,242,99.0,<0.05,10,552,Dicembre 2019,31.9,<0.1,14.1,<5,28,<0.02,7.9,1.3,386,6.9,46
Via Sant'Antonio,Ospitaletto,<0.05,5,197,70.5,0.06,18,474,Dicembre 2019,23.0,0.1,12.4,<5,28,<0.02,7.7,1.8,332,19.1,27
Via Chiosetto,PAITONE,<0.05,<1,262,82.4,<0.05,11,535,Dicembre 2019,30.2,0.1,25.8,<5,17,<0.02,7.9,1.1,375,6.7,30
Via Pospesio,PAITONE,<0.05,<1,262,81.0,<0.05,11,534,Dicembre 2019,30.2,0.1,25.5,<5,17,<0.02,7.9,1.1,374,6.6,30
Via Sarzena,PAITONE,<0.05,<1,261,83.5,0.10,11,534,Dicembre 2019,30.2,<0.1,26.5,<5,17,<0.02,8.1,1.1,374,7.2,29
Via Don Bosco,PAVONE DEL MELLA,0.08,5,246,64.7,<0.05,2,456,Dicembre 2019,25.8,<0.1,22.8,<5,<2,<0.02,8.2,1.2,319,6.5,19
Via Marconi,PAVONE DEL MELLA,0.08,5,246,64.9,<0.05,2,454,Dicembre 2019,25.8,<0.1,23.0,<5,<2,<0.02,8.2,1.1,318,6.5,19
Via Togliatti,PAVONE DEL MELLA,0.08,5,247,62.9,<0.05,2,455,Dicembre 2019,25.8,<0.1,22.4,<5,<2,<0.02,8.2,1.1,319,6.3,19
Belprato,PERTICA ALTA,<0.05,<1,172,37.6,0.07,<2,296,Dicembre 2019,18.1,<0.1,17.0,<5,2,<0.02,8.3,0.5,207,0.6,4
Lavino,PERTICA ALTA,<0.05,<1,126,52.9,<0.05,2,242,Dicembre 2019,13.6,<0.1,2.0,<5,8,<0.02,7.3,<0.5,169,0.7,4
Navono,PERTICA ALTA,<0.05,<1,127,50.5,0.06,2,244,Dicembre 2019,13.7,<0.1,1.8,<5,9,<0.02,7.1,<0.5,171,0.7,3
Noffo Alta,PERTICA ALTA,<0.05,<1,126,52.9,<0.05,2,242,Dicembre 2019,13.6,<0.1,2.0,<5,8,<0.02,7.3,<0.5,169,0.7,4
Noffo Bassa,PERTICA ALTA,<0.05,<1,179,55.8,0.07,3,348,Dicembre 2019,20.3,<0.1,14.8,<5,7,<0.02,7.4,<0.5,243,0.8,16
Odeno,PERTICA ALTA,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Piazza Marconi,PERTICA ALTA,<0.05,<1,159,42.7,0.07,2,295,Dicembre 2019,17.0,<0.1,18.6,<5,10,<0.02,6.8,1.0,207,0.9,3
Via Moro,POLAVENO,<0.05,<1,214,98.5,<0.05,10,445,Dicembre 2019,25.2,<0.1,3.7,<5,23,<0.02,7.2,1.0,312,3.7,10
