alias_address,alias_city,geocode,geometry,georeferencingString,type
Via Piazza,CASTO,,,"Via Piazza, CASTO, BS, Lombardia",POINT
Via Tito Speri,CASTO,,,"Via Tito Speri, CASTO, BS, Lombardia",POINT
Via San Francesco,COLLEBEATO,,,"Via San Francesco, COLLEBEATO, BS, Lombardia",POINT
Via Gilli,CONCESIO,,,"Via Gilli, CONCESIO, BS, Lombardia",POINT
Via Segheria,CONCESIO,,,"Via Segheria, CONCESIO, BS, Lombardia",POINT
Via 24 Maggio,Capovalle,,,"Via 24 Maggio, Capovalle, BS, Lombardia",POINT
Via Garibaldi,Capriano del Colle,,,"Via Garibaldi, Capriano del Colle, BS, Lombardia",POINT
Via Pascoli,Concesio,,,"Via Pascoli, Concesio, BS, Lombardia",POINT
Piazza Caduti,FIESSE,,,"Piazza Caduti, FIESSE, BS, Lombardia",POINT
Via Denti,FIESSE,,,"Via Denti, FIESSE, BS, Lombardia",POINT
Via Nazzari,FIESSE,,,"Via Nazzari, FIESSE, BS, Lombardia",POINT
Piazza Corioni,GAVARDO,,,"Piazza Corioni, GAVARDO, BS, Lombardia",POINT
Piazza Moro,GAVARDO,,,"Piazza Moro, GAVARDO, BS, Lombardia",POINT
Piazza Pesa,GAVARDO,,,"Piazza Pesa, GAVARDO, BS, Lombardia",POINT
Piazza Martiri della Libertà,GOTTOLENGO,,,"Piazza Martiri della Libertà, GOTTOLENGO, BS, Lombardia",POINT
Via Alberini,GOTTOLENGO,,,"Via Alberini, GOTTOLENGO, BS, Lombardia",POINT
Via Kennedy,GUSSAGO,,,"Via Kennedy, GUSSAGO, BS, Lombardia",POINT
Via Cavour,Gottolengo,,,"Via Cavour, Gottolengo, BS, Lombardia",POINT
Strada Provinciale 58 per Capovalle,IDRO,,,"Strada Provinciale 58 per Capovalle, IDRO, BS, Lombardia",POINT
Via Treviso Bresciano,IDRO,,,"Via Treviso Bresciano, IDRO, BS, Lombardia",POINT
Piazza Castello angolo Via Marconi,ISORELLA,,,"Piazza Castello angolo Via Marconi, ISORELLA, BS, Lombardia",POINT
Piazza Roma,ISORELLA,,,"Piazza Roma, ISORELLA, BS, Lombardia",POINT
Via De Gasperi angolo via Berardo Maggi,ISORELLA,,,"Via De Gasperi angolo via Berardo Maggi, ISORELLA, BS, Lombardia",POINT
Via de Gasperi,Isorella,,,"Via de Gasperi, Isorella, BS, Lombardia",POINT
Piazza Santo Stefano,LAVENONE,,,"Piazza Santo Stefano, LAVENONE, BS, Lombardia",POINT
Via Pileca,LAVENONE,,,"Via Pileca, LAVENONE, BS, Lombardia",POINT
Piazza Corlo,LONATO,,,"Piazza Corlo, LONATO, BS, Lombardia",POINT
Via Arriga Alta,LONATO,,,"Via Arriga Alta, LONATO, BS, Lombardia",POINT
Via Ceruti,LONATO,,,"Via Ceruti, LONATO, BS, Lombardia",POINT
Via Galilei,LONATO,,,"Via Galilei, LONATO, BS, Lombardia",POINT
Via XXIV Maggio,LONATO,,,"Via XXIV Maggio, LONATO, BS, Lombardia",POINT
Piazza della Chiesa,LONGHENA,,,"Piazza della Chiesa, LONGHENA, BS, Lombardia",POINT
Via per Presegno,Lavenone,,,"Via per Presegno, Lavenone, BS, Lombardia",POINT
Via Colombere Pozze,Lonato del Garda,,,"Via Colombere Pozze, Lonato del Garda, BS, Lombardia",POINT
Piazza Calini,MAIRANO,,,"Piazza Calini, MAIRANO, BS, Lombardia",POINT
Via Mazzini,MAIRANO,,,"Via Mazzini, MAIRANO, BS, Lombardia",POINT
Via Donatori del Sangue,MANERBIO,,,"Via Donatori del Sangue, MANERBIO, BS, Lombardia",POINT
Via Morandi angolo Via Boccaccio,MANERBIO,,,"Via Morandi angolo Via Boccaccio, MANERBIO, BS, Lombardia",POINT
Via Offlaga,MANERBIO,,,"Via Offlaga, MANERBIO, BS, Lombardia",POINT
Via Roncagnani,MANERBIO,,,"Via Roncagnani, MANERBIO, BS, Lombardia",POINT
Via Garibaldi,MAZZANO,,,"Via Garibaldi, MAZZANO, BS, Lombardia",POINT
Via Battisti angolo Vicolo Magenta,MILZANO,,,"Via Battisti angolo Vicolo Magenta, MILZANO, BS, Lombardia",POINT
Via Dott. Galli angolo Via Maestà,MILZANO,,,"Via Dott. Galli angolo Via Maestà, MILZANO, BS, Lombardia",POINT
Via Europa angolo Via Gramsci,MILZANO,,,"Via Europa angolo Via Gramsci, MILZANO, BS, Lombardia",POINT
Via Allende,MONTICHIARI,,,"Via Allende, MONTICHIARI, BS, Lombardia",POINT
Via Arrighini,MONTICHIARI,,,"Via Arrighini, MONTICHIARI, BS, Lombardia",POINT
Via Bernardino,MONTICHIARI,,,"Via Bernardino, MONTICHIARI, BS, Lombardia",POINT
Via Boschetti di Mezzo,MONTICHIARI,,,"Via Boschetti di Mezzo, MONTICHIARI, BS, Lombardia",POINT
Via Dugali,MONTICHIARI,,,"Via Dugali, MONTICHIARI, BS, Lombardia",POINT
Via Lame,MONTICHIARI,,,"Via Lame, MONTICHIARI, BS, Lombardia",POINT
Via Marconi,MONTICHIARI,,,"Via Marconi, MONTICHIARI, BS, Lombardia",POINT
Via Monsignor Quaranta,MONTICHIARI,,,"Via Monsignor Quaranta, MONTICHIARI, BS, Lombardia",POINT
Via Sant'Eurosia,MONTICHIARI,,,"Via Sant'Eurosia, MONTICHIARI, BS, Lombardia",POINT
Piazza Risorgimento,MONTIRONE,,,"Piazza Risorgimento, MONTIRONE, BS, Lombardia",POINT
Piazza Cavour,MURA,,,"Piazza Cavour, MURA, BS, Lombardia",POINT
Via Castello,MURA,,,"Via Castello, MURA, BS, Lombardia",POINT
Via San Domenico,MURA,,,"Via San Domenico, MURA, BS, Lombardia",POINT
Piazzale Ospedale,Manerbio,,,"Piazzale Ospedale, Manerbio, BS, Lombardia",POINT
Strada Provinciale 50,Marmentino,,,"Strada Provinciale 50, Marmentino, BS, Lombardia",POINT
Viale della Resistenza (Molinetto),Mazzano,,,"Viale della Resistenza (Molinetto), Mazzano, BS, Lombardia",POINT
Via C. Inico,Montichiari,,,"Via C. Inico, Montichiari, BS, Lombardia",POINT
Via Carlo Cattaneo (Novagli),Montichiari,,,"Via Carlo Cattaneo (Novagli), Montichiari, BS, Lombardia",POINT
Via F. Corridoni,Montirone,,,"Via F. Corridoni, Montirone, BS, Lombardia",POINT
Via V. Trainini,Mura,,,"Via V. Trainini, Mura, BS, Lombardia",POINT
Via Monteclana bassa,NAVE,,,"Via Monteclana bassa, NAVE, BS, Lombardia",POINT
Via Soldo,NUVOLERA,,,"Via Soldo, NUVOLERA, BS, Lombardia",POINT
Piazza Santa Maria Bambina,ODOLO,,,"Piazza Santa Maria Bambina, ODOLO, BS, Lombardia",POINT
Via Fratelli Scalvini,ODOLO,,,"Via Fratelli Scalvini, ODOLO, BS, Lombardia",POINT
Via Conte Fè d'Ostiani,OFFLAGA,,,"Via Conte Fè d'Ostiani, OFFLAGA, BS, Lombardia",POINT
