alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
FRAZIONE BURRO - VIA BURRO,ALZANO LOMBARDO,<0.1,<1,288,53.5,02,<2,395,31 Dicembre 2019,26,<0.05,30.1,<5,7,<0.05,7.9,<0.5,276,<1,4
FRAZIONE BUSA - SCUOLA MATERNA VIA OLERA,ALZANO LOMBARDO,<0.1,<1,280,53.8,<0.1,5,390,31 Dicembre 2019,25,0.05,28.7,<5,7,<0.05,8.2,<0.5,273,1,6
FRAZIONE MONTE DI NESE - ABITAZIONE LICINI/GHERARDI,ALZANO LOMBARDO,<0.1,<1,296,53.9,<0.1,3,406,31 Dicembre 2019,25,0.08,29.0,<5,7,<0.05,8.0,<0.5,285,2,4
FRAZIONE MONTE DI NESE - BAR ITALIA,ALZANO LOMBARDO,<0.1,<1,347,53.7,01,3,405,31 Dicembre 2019,25,0.08,29.1,<5,7,<0.05,7.9,<0.5,284,2,4
FRAZIONE MONTE DI NESE CASTELLO - ABITAZIONE CORTINOVIS,ALZANO LOMBARDO,<0.1,<1,312,55.1,<0.1,6,418,31 Dicembre 2019,26,0.05,30.1,<5,7,<0.05,7.8,<0.5,293,4,4
FRAZIONE NESE - VIA BELVEDERE,ALZANO LOMBARDO,<0.1,<1,291,53.6,01,<2,374,31 Dicembre 2019,24,0.05,26.5,<5,7,<0.05,8.1,<0.5,262,1,7
"FRAZIONE NESE - VIA DEI CORNI, 20",ALZANO LOMBARDO,<0.1,<1,311,52.1,<0.1,<2,392,31 Dicembre 2019,25,<0.05,28.6,<5,7,<0.05,7.9,<0.5,274,<1,4
FRAZIONE OLERA - CIMITERO,ALZANO LOMBARDO,<0.1,<1,286,83.1,<0.1,3,408,31 Dicembre 2019,25,0.07,10.0,<5,6,<0.05,7.8,<0.5,286,2,6
FRAZIONE OLERA ALTA  - FONTANELLA,ALZANO LOMBARDO,<0.1,<1,289,73.8,02,3,426,31 Dicembre 2019,27,0.07,20.4,<5,6,<0.05,7.9,<0.5,298,2,8
TRATTORIA ANITA - VIA LUIO,ALZANO LOMBARDO,<0.1,<1,343,52.2,<0.1,<2,364,31 Dicembre 2019,23,<0.05,25.0,<5,6,<0.05,8.0,<0.5,255,2,8
VIA FORNACI,ALZANO LOMBARDO,<0.1,<1,386,53.4,<0.1,<2,385,31 Dicembre 2019,26,0.05,29.9,<5,7,<0.05,7.9,<0.5,270,1,4
VIA SPIAZZI - USCITA SERBATOIO,ALZANO LOMBARDO,<0.1,<1,288,52.5,02,<2,394,31 Dicembre 2019,25,<0.05,28.9,<5,7,<0.05,7.8,<0.5,276,<1,4
