alias_address,alias_city,data_prelievo,geocode,geometry,georeferencingString,type
Fontana pubblica vicino albergo Goldener Adler / Öffentlicher Brunnen neben Gasthaus Adler,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,16/07/2018,"Gasthof Goldener Adler, Indermauer-Straße - Via Indermauer, Graun - Corona, Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.2159107, 46.3225829]}",CORTACCIA SULLA STRADA DEL VINO Goldener Adler,POINT
Öffentlicher Brunnen Kirchplatz Penon / Öffentlicher Brunnen Kirchplatz Penon,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,10/01/2018,"Penon - Penone, Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2009346, 46.3031618]}",CORTACCIA SULLA STRADA DEL VINO Penon,POINT
WC - municipio / WC - Gemeinde,GARGAZZONE/GARGAZON,12/06/2018,"Gargazon - Gargazzone, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2027298, 46.5847807]}",GARGAZZONE,POINT
f.p. centro / Öffentlicher Brunnen Zentrum,GARGAZZONE/GARGAZON,16/08/2018,"Gargazon - Gargazzone, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2027298, 46.5847807]}",GARGAZZONE,POINT
"Fontana pubbl. via Schwanburg/Öff. Brunnen, Schwanburgerstr.",NALLES/NALS,20/03/2018,"Schwanburgerstraße - Via Schwanburg, Nals - Nalles, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia","{'type': 'Point', 'coordinates': [11.2053775, 46.5418507]}",NALLES via Schwanburg,POINT
fontana pubb. municipio nuovo / Brunnen Rathausplatz neu,NALLES/NALS,03/06/2018,"Nals - Nalles, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2046272, 46.5434871]}",NALLES,POINT
Uffici comunali Ponte Gardena / Gemeindeamt Waidbruck,PONTE GARDENA/WAIDBRUCK,05/07/2018,"Waidbruck - Ponte Gardena, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.530879, 46.597121]}",PONTE GARDENA,POINT
f.p. sopra la biblioteca pubblica / Öffentlicher Brunnen oberhalb der öffentlichen Bibliothek,RIFIANO/RIFFIAN,06/12/2018,"Riffian - Rifiano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.1814431, 46.7036399]}",RIFIANO,POINT
Fontana pubblica vicino alla ex scuola / öff. Brunnen neben ex Schule,SALORNO/SALURN,10/09/2018,"Salorno - Salurn, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2110749, 46.2396083]}",SALORNO,POINT
fontana pubblica via Trento / öff. Brunnen Trientstr.,SALORNO/SALURN,07/05/2018,"Via Trento - Trientstraße, Salorno - Salurn, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.2074863, 46.2375369]}",SALORNO via Trento,POINT
fontana pubblica via Valfredda / öff. Brunnen - Kaltentalstr.,SALORNO/SALURN,09/11/2018,"Via Valfredda - Kaltentalstraße, Salorno - Salurn, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.2149734, 46.2385004]}",SALORNO via Valfredda,POINT
Fontana pubblica presso Municipio / Öffentlicher Brunnen neben Gemeinde,SAN GENESIO ATESINO/JENESIEN,09/11/2018,"Jenesien - San Genesio Atesino, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.3312082, 46.5354011]}",SAN GENESIO ATESINO,POINT
"f.p. centro / Öffentlicher Brunnen, Zentrum",SAN MARTINO IN PASSIRIA/ST. MARTIN IN PASSEIER,04/05/2018,"St. Martin in Passeier - San Martino in Passiria, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2267986, 46.7839388]}",SAN MARTINO IN PASSIRIA,POINT
"f.p. centro / Öffentlicher Brunnen, Zentrum",SAN PANCRAZIO/ST. PANKRAZ,02/07/2018,,,SAN PANCRAZIO ALTO ADIGE,POINT
Bar Tennis / Bar Tennis,TERMENO SULLA STRADA DEL VINO/TRAMIN AN DER WEINSTRASSE,16/10/2018,"Tramin an der Weinstraße - Termeno sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2422716, 46.3415121]}",TERMENO SULLA STRADA DEL VINO,POINT
"fontana pubbl. Viertl Graun / Öffentl. Brunnen, Viertl Graun",TERMENO SULLA STRADA DEL VINO/TRAMIN AN DER WEINSTRASSE,09/11/2018,"Tramin an der Weinstraße - Termeno sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2422716, 46.3415121]}",TERMENO SULLA STRADA DEL VINO,POINT
f.p. presso il municipio / Öffentl. Brunnen bei Gemeinde,TESIMO/TISENS,04/11/2018,"Tisens - Tesimo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.1694971, 46.5638983]}",TESIMO,POINT
Fontana pubblica presso Ufficio postale / Öffentlicher Brunnen gegenüber Postamt,TIRES/TIERS,23/05/2018,"Tiers - Tires, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.5276758, 46.4683162]}",TIRES,POINT
"Bar Tennis, Monticolo paese / Bar Tennis, Montiggl Dorf",APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,13/11/2018,"Montiggl - Monticolo, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2771256, 46.417726]}",APPIANO SULLA STRADA DEL VINO Monticolo,POINT
Castel Masaccio / Schlössl Matschatsch,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,18/06/2018,"Matschatscher Weg - Strada Masaccio, Berg - Monte, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2443592, 46.4598891]}",APPIANO SULLA STRADA DEL VINO Masaccio,POINT
GH Sonnenheim / GH Sonnenheim,AVELENGO/HAFLING,13/03/2018,"Hotel Sonnenheim, 63, Falzebenerstraße - Via Falzeben, Hafling - Avelengo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia","{'type': 'Point', 'coordinates': [11.220735383450151, 46.653170349999996]}",AVELENGO Sonnenheim,POINT
WC comune / WC Gemeinde,AVELENGO/HAFLING,13/03/2018,"Hafling - Avelengo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.224384, 46.644615]}",AVELENGO,POINT
Associazione turistica / Tourismusverein,BADIA/ABTEI,04/04/2018,"Badia - Abtei, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39036, Italia","{'type': 'Point', 'coordinates': [11.893487, 46.610124]}",BADIA,POINT
Brunnen Scolina  /  Brunnen Scolina,BADIA/ABTEI,06/11/2018,"Badia - Abtei, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39036, Italia","{'type': 'Point', 'coordinates': [11.893487, 46.610124]}",BADIA,POINT
Caserma VF / FF Halle,BADIA/ABTEI,17/09/2018,"Badia - Abtei, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39036, Italia","{'type': 'Point', 'coordinates': [11.893487, 46.610124]}",BADIA,POINT
Fontana Municipio / Brunnen Rathaus,BADIA/ABTEI,06/11/2018,"Chemun - Gemeinde - Municipio, Strada Col Alt, Burjé, Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39033, Italia","{'type': 'Point', 'coordinates': [11.8745845, 46.5495617]}",BADIA Municipio,POINT
"Albergo Kalter Keller, Via Brennero 10 / Gasthof Kalter Keller, Brennerstr. 10",BARBIANO/BARBIAN,05/03/2018,"Brennerstraße - Via Brennero, Barbian - Barbiano, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.5288349, 46.5957976]}",BARBIANO Via Brennero,POINT
"Colma, Albergo Stern, Via Kunter 1 / Kollmann, Gasthof Stern, Am Kuntersweg 1; WH Bar",BARBIANO/BARBIAN,05/03/2018,"Am Kuntersweg - Via Kunter, Barbian - Barbiano, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.5228953, 46.5854955]}",BARBIANO Via Kunter,POINT
Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  /  Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  - WH WC,BARBIANO/BARBIAN,05/03/2018,"Handwerkerzone Barbian - Zona artigianale Barbiano, Barbian - Barbiano, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.53169992277843, 46.605701749999994]}",BARBIANO Handwerkerzone,POINT
"Scuola dell'infanzia Colma, S. Leonardo 26 / Kindergarten Kollmann, St. Leonhard 26 - WH WC",BARBIANO/BARBIAN,16/10/2018,"St. Leonhard - San Leonardo, Barbian - Barbiano, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.5240264, 46.5920025]}",BARBIANO San Leonardo,POINT
"Scuola dell'infanzia Colma, S. Leonardo 26 / Kindergarten Kollmann, St. Leonhard 26; WH WC",BARBIANO/BARBIAN,05/03/2018,"St. Leonhard - San Leonardo, Barbian - Barbiano, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.5240264, 46.5920025]}",BARBIANO San Leonardo,POINT
Casa di riposo Clara / Altersheim Clara,CORNEDO ALL'ISARCO/KARNEID,21/11/2018,"Karneid - Cornedo all'Isarco, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.4080724, 46.4898543]}",CORNEDO ALL'ISARCO,POINT
Fontana cimitero / Brunnen Friedhof,CORNEDO ALL'ISARCO/KARNEID,04/05/2018,"Karneid - Cornedo all'Isarco, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.4080724, 46.4898543]}",CORNEDO ALL'ISARCO,POINT
Fontana cimitero Collepietra / Brunnen Friedhof Steinegg,CORNEDO ALL'ISARCO/KARNEID,07/12/2018,"Steinegg - Collepietra, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39053, Italia","{'type': 'Point', 'coordinates': [11.4563044, 46.483944]}",CORNEDO ALL'ISARCO Collepietra,POINT
Gummer - Scuole elementari M. Pichler / Gummer - Grundschule M. Pichler,CORNEDO ALL'ISARCO/KARNEID,27/02/2018,"Grundschule und Kindergarten, Gummer Dorf - Via San Valentino in Campo Paese, Oberwieser, Karneid - Cornedo all'Isarco, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39053, Italia","{'type': 'Point', 'coordinates': [11.474949631066522, 46.43868055]}",CORNEDO ALL'ISARCO Gummer - Scuole,POINT
Azienda turistica / Tourismusverein,CORVARA IN BADIA/CORVARA,04/04/2018,"Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.855975823158872, 46.5517403]}",CORVARA IN BADIA,POINT
Brunnen Friedhof,CORVARA IN BADIA/CORVARA,17/09/2018,"Strada Pedecorvara, la flu, Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39033, Italia","{'type': 'Point', 'coordinates': [11.8777251, 46.5477018]}",CORVARA IN BADIA Friedhof,POINT
Fontana chiesa / Brunnen Kirche,MONGUELFO - TESIDO/WELSBERG - TAISTEN,17/09/2018,"Welsberg-Taisten - Monguelfo-Tesido, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39035, Italia","{'type': 'Point', 'coordinates': [12.118921771523121, 46.78114465]}",MONGUELFO - TESIDO,POINT
Municipio / Rathaus,MONGUELFO - TESIDO/WELSBERG - TAISTEN,14/02/2018,"Welsberg-Taisten - Monguelfo-Tesido, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39035, Italia","{'type': 'Point', 'coordinates': [12.118921771523121, 46.78114465]}",MONGUELFO - TESIDO,POINT
Reservoir (Einlauf) bei Schneebergbrücke / Reservoir (Einlauf) bei Schneebergbrücke,MOSO DI PASSIRIA /MOOS IN PASSEIER,13/11/2018,"Moos in Passeier - Moso in Passiria, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39013, Italia","{'type': 'Point', 'coordinates': [11.1672933, 46.8318323]}",MOSO DI PASSIRIA,POINT
Scuola elementare Corvara / Grundschule Rabenstein,MOSO DI PASSIRIA /MOOS IN PASSEIER,06/04/2018,"Volksschule - Scuola elementare, Pill - Bovile, Weierhof, Mitterpill, Moos in Passeier - Moso in Passiria, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39013, Italia","{'type': 'Point', 'coordinates': [11.15029254442048, 46.8237942]}",MOSO DI PASSIRIA  Scuola,POINT
"f.p. centro / Öffentlicher Brunnen, Zentrum",MOSO DI PASSIRIA /MOOS IN PASSEIER,06/04/2018,"Moos in Passeier - Moso in Passiria, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39013, Italia","{'type': 'Point', 'coordinates': [11.1672933, 46.8318323]}",MOSO DI PASSIRIA,POINT
