alias_address,alias_city,data_prelievo,geocode,geometry,georeferencingString,type
Fontana pubblica Riva di sotto / öffentliche Brunnen Unterrain,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,22/05/2018,"Unterrain - Riva di Sotto, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2591427, 46.4917035]}",APPIANO SULLA STRADA DEL VINO  Riva di sotto,POINT
Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,13/11/2018,"Marktstraße - Via della Fiera, Girlan - Cornaiano, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2800451, 46.4609587]}",APPIANO SULLA STRADA DEL VINO  Via della Fiera,POINT
Fontana pubblica davanti Unterhausenhof / Öffentl. Brunnen vor Unterhausenhof,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,16/04/2018,"Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2590488, 46.4553328]}",APPIANO SULLA STRADA DEL VINO,POINT
"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,16/04/2018,"Frangart - Frangarto, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.28521232569054, 46.48255685]}","APPIANO SULLA STRADA DEL VINO   , Frangarto",POINT
Fontana pubblica vicino chiesa  /  Öffentl. Brunnen neben Kirche,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,04/03/2018,"Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2590488, 46.4553328]}",APPIANO SULLA STRADA DEL VINO,POINT
Fontana pubblica vicino parcheggio/Öffentl. Brunnen neben Parkplatz,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,30/05/2018,"Eppan Zentrum - Appiano Centro, Bozner Straße - Via Bolzano, St. Michael - San Michele, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.260729, 46.458366]}",APPIANO SULLA STRADA DEL VINO   parcheggio,POINT
Ristorante Turmbach / Restaurant Turmbach,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,20/06/2018,"Landgasthof Turmbach, Turmbachweg - Via Rio della Torre, Berg - Monte, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.24886407289814, 46.46072585]}",APPIANO SULLA STRADA DEL VINO Ristorante Turmbach,POINT
Öffentl. Brunnen neben FF Montiggl / Öffentl. Brunnen neben FF Montiggl,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,22/05/2018,"fontana, Missianer Weg - Via Missiano, Missian - Missiano, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia","{'type': 'Point', 'coordinates': [11.2515807, 46.4776579]}",APPIANO SULLA STRADA DEL VINO  Brunnen,POINT
Gasthof Brunnerhof / Gasthof Brunnerhof,AVELENGO/HAFLING,13/03/2018,"Brunnerhof, 12, Hinterdorferweg - Via Hinterdorf, Hiasler, Hafling - Avelengo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia","{'type': 'Point', 'coordinates': [11.2328918, 46.6420023]}",AVELENGO  Brunnerhof,POINT
Bar Cavallino / Bar Cavallino,BADIA/ABTEI,04/04/2018,"Despar Cavallino, 56, Strada San Linert, San Linêrt, Badia - Abtei, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39036, Italia","{'type': 'Point', 'coordinates': [11.9009191, 46.6116323]}",BADIA Bar Cavallino,POINT
Brunnen Aurora,BADIA/ABTEI,06/11/2018,,,BADIA ALTO ADIGE  Aurora,POINT
Friedhof,BADIA/ABTEI,06/11/2018,,,BADIA ALTO ADIGE Friedhof,POINT
Hotel Cristallo / Hotel Cristallo,BADIA/ABTEI,04/04/2018,,,BADIA ALTO ADIGE ,POINT
Hotel Diamant / Hotel Diamant,BADIA/ABTEI,12/12/2018,"Hotel Diamant, Strada Soplá, Soplá, Badia - Abtei, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39036, Italia","{'type': 'Point', 'coordinates': [11.93308974777154, 46.5714119]}",BADIA Hotel Diamant,POINT
Municipio / Rathaus,BADIA/ABTEI,04/04/2018,"Chemun - Gemeinde - Municipio, Strada Col Alt, Burjé, Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39033, Italia","{'type': 'Point', 'coordinates': [11.8745845, 46.5495617]}",BADIA Municipio,POINT
Privato/Privat,BADIA/ABTEI,12/11/2018,"Badia - Abtei, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39036, Italia","{'type': 'Point', 'coordinates': [11.893487, 46.610124]}",BADIA,POINT
Cimitero / Friedhof,BOLZANO/BOZEN,07/02/2018,"Cimitero - Friedhof, Salorno - Salurn, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.210366932138264, 46.2379246]}",BOLZANO Cimitero,POINT
Fontana pubblica Parco Petrarca / öff. Brunnen Petrarcapark,BOLZANO/BOZEN,10/08/2018,"Parco Francesco Petrarca - Francesco-Petrarca-Park, San Quirino - Quirein, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.3455653, 46.5024646]}",BOLZANO  Parco Petrarca,POINT
Fontana pubblica chiesa don Bosco / Don Bosco Pfarrkirche Öff. Brunnen,BOLZANO/BOZEN,11/12/2018,"Chiesa Neo-Apostolica di Bolzano, 53, Viale Europa - Europaallee, Don Bosco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.3225966, 46.4920811]}",BOLZANO  chiesa don Bosco,POINT
"Fontana pubblica incrocio via Milano/via Gutenberg / Öffentl. Brunnen Park, Gutenberg/Mailandstr.",BOLZANO/BOZEN,10/08/2018,"Via Milano - Mailandstraße, Don Bosco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.3317033, 46.4896627]}",BOLZANO   via Milano,POINT
Fontana pubblica parco Mignone  /  Fontana pubblica parco Mignone,BOLZANO/BOZEN,05/03/2018,"Parco Mignone - Mignone Park, Aslago - Haslach, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.3455765696608, 46.483661350000006]}",BOLZANO  parco Mignone,POINT
Fontana pubblica parco ducale / Öff. Brunnen Herzogspark,BOLZANO/BOZEN,13/08/2018,"Parco Ducale - Herzogspark, Gries, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.338342822843522, 46.5053938]}",BOLZANO  parco ducale,POINT
Fontana pubblica piazza Mazzini / Mazzinipark - öff. Brunnen,BOLZANO/BOZEN,05/03/2018,"Piazza Mazzini - Mazzini Platz, Maria Himmelfahrt - S. Maria Assunta, Untermais - Maia Bassa, Meran - Merano, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39012, Italia","{'type': 'Point', 'coordinates': [11.1525932, 46.6712943]}",BOLZANO  piazza Mazzini,POINT
Fontana pubblica via Claudia Augusta / off. Brunnen Claudia Augustastrasse,BOLZANO/BOZEN,20/08/2018,"Claudia Augusta Straße - Via Claudia Augusta, Äußere Mühl - Molini di Fuori, Graun - Curon Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39027, Italia","{'type': 'Point', 'coordinates': [10.5414703, 46.8074781]}",BOLZANO  via Claudia Augusta,POINT
Premstallerhof / Premstallerhof,BOLZANO/BOZEN,01/10/2018,"Premstallerhof, 14, Via Dolomiti - Dolomitenstraße, Piani di Bolzano - Bozner Boden, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.37003853880818, 46.496860749999996]}",BOLZANO Premstallerhof,POINT
Privato/Privat,BOLZANO/BOZEN,19/04/2018,"Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.229637264169462, 46.65594215]}",BOLZANO,POINT
Scuola Tambosi  /  Schule Tambosi,BOLZANO/BOZEN,12/05/2018,"Scuola Elementare ""A. Tambosi "" - ""A. Tambosi"" Grundschule, Via Nazario Sauro - Nazario-Sauro-Straße, Aslago - Haslach, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.341377343538653, 46.48268295]}",BOLZANO Scuola Tambosi,POINT
"Scuola elementare ""A. Rosmini"" / Grundschule ""A. Rosmini""",BOLZANO/BOZEN,29/01/2018,"Grundschule - Scuola elementare ""A. Rosmini"", Via Fago - Fagenstraße, Gries, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.337683729331, 46.5060266]}","BOLZANO Scuola elementare ""A. Rosmini""",POINT
Scuola media Leonardo da Vinci / Mittelschule Leonardo da Vinci,BOLZANO/BOZEN,26/02/2018,"Scuola media ""Leonardo Da Vinci, Via Napoli - Neapelstraße, San Quirino - Quirein, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39100, Italia","{'type': 'Point', 'coordinates': [11.344012059564974, 46.4924155]}",BOLZANO Scuola media Leonardo da Vinci,POINT
Alpe Pragas / Alpe Pragas,BRAIES/PRAGS,29/01/2018,"Alpe Pragas, Außerprags - Braies du Fuori, Lärcha, Prags - Braies, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [12.1367539, 46.7344935]}",BRAIES Alpe Pragas,POINT
Privato/Privat,BRAIES/PRAGS,25/09/2018,"Prags - Braies, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [12.10375651926822, 46.68862505]}",BRAIES,POINT
Fontana pubblica cimitero / Öff. Brunnen Friedhof,BRENNERO/BRENNER,10/02/2018,"Passeggiata / Spazierweg, Brennerbad - Terme di Brennero, Brenner - Brennero, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39041, Italia","{'type': 'Point', 'coordinates': [11.5045685, 47.0046695]}",BRENNERO  cimitero,POINT
Privato/Privat,BRENNERO/BRENNER,09/04/2018,"Brennerpass - Passo del Brennero, B182, Gemeinde Gries am Brenner, Bezirk Innsbruck-Land, Tirol, 6156, Österreich","{'type': 'Point', 'coordinates': [11.5066996, 47.0073993]}",BRENNERO,POINT
"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24",BRESSANONE/BRIXEN,09/06/2018,"ASM Bressanone Spa - Stadwerke Brixen AG, 24, Alfred-Ammon-Straße - Via Alfred Ammon, St. Jakob - San Giacomo, Brixen - Bressanone, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia","{'type': 'Point', 'coordinates': [11.636859475556957, 46.68825765]}","BRESSANONE ASM Bressanone Spa, Via Alfred Ammon 24",POINT
"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24; WH WC",BRESSANONE/BRIXEN,07/04/2018,"ASM Bressanone Spa - Stadwerke Brixen AG, 24, Alfred-Ammon-Straße - Via Alfred Ammon, St. Jakob - San Giacomo, Brixen - Bressanone, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia","{'type': 'Point', 'coordinates': [11.636859475556957, 46.68825765]}","BRESSANONE ASM Bressanone Spa, Via Alfred Ammon 24",POINT
Fontana pubblica Cornale di Sopra / Öff. Brunnen Oberkarnol,BRESSANONE/BRIXEN,06/11/2018,"Oberkarnol - Cornale di Sopra, Brixen - Bressanone, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia","{'type': 'Point', 'coordinates': [11.6828256, 46.7136096]}",BRESSANONE  Cornale di Sopra,POINT
Fontana pubblica Via Prà Millan / Öffentlicher Brunnen Millanderau,BRESSANONE/BRIXEN,05/07/2018,"Millander Au - Via Pra' Millan, Unterkarnol - Cornale di sotto, Brixen - Bressanone, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia","{'type': 'Point', 'coordinates': [11.660252, 46.7086497]}",BRESSANONE  Via Prà Millan,POINT
Privato/Privat,BRESSANONE/BRIXEN,04/12/2018,"Brixen - Bressanone, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia","{'type': 'Point', 'coordinates': [11.6568621, 46.7158647]}",BRESSANONE,POINT
Fontana pubblica piazza Von Ferrari / öff. Brunnen Von Ferrariplatz,BRONZOLO/BRANZOLL,26/03/2018,"Piazza Von Ferrari - Von-Ferrari-Platz, Bronzolo - Branzoll, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39051, Italia","{'type': 'Point', 'coordinates': [11.3226069, 46.4040465]}",BRONZOLO  piazza Von Ferrari,POINT
Bar Agip / Bar Agip,BRUNICO/BRUNECK,26/03/2018,"Agip, Sankt Lorenzner Straße - Via San Lorenzo, Bruneck, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia","{'type': 'Point', 'coordinates': [11.9309466, 46.79286165]}",BRUNICO Bar Agip,POINT
Fontana / Brunnen,BRUNICO/BRUNECK,22/05/2018,"Dietenheimer Straße - Via Teodone, Bruneck, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia","{'type': 'Point', 'coordinates': [11.9440152, 46.7985756]}",BRUNICO Fontana,POINT
Herzlalm / Herzlalm,BRUNICO/BRUNECK,12/10/2018,"Herzlalm, Herrnsteig MTB Freeride Trail, Flatscher, Reischach, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia","{'type': 'Point', 'coordinates': [11.9585945, 46.7545044]}",BRUNICO Herzlalm,POINT
Kron  / Kron,BRUNICO/BRUNECK,12/10/2018,"Kron-Restaurant, Gassl MTB freeride trail, Flatscher, Reischach, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia","{'type': 'Point', 'coordinates': [11.960111169841294, 46.739064299999995]}",BRUNICO Kron,POINT
Luns / Luns,BRUNICO/BRUNECK,16/07/2018,"Luns - Lunes, Dietenheim, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.9694238, 46.796024]}",BRUNICO Luns,POINT
Prosl / Prosl,BRUNICO/BRUNECK,26/03/2018,"cafe Prosl, Prack-Zu-Asch-Straße - Via Pack Zu Asch, Hofer, Reischach, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia","{'type': 'Point', 'coordinates': [11.9556422, 46.7778981]}",BRUNICO Prosl,POINT
Fontana pubblica Pianizza di Sopra 61 / Öff. Brunnen Oberplanitzing 61,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,05/09/2018,"61, Oberplanitzing - Pianizza di Sopra, Kaltern an der Weinstraße - Caldaro sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39052, Italia","{'type': 'Point', 'coordinates': [11.2475944, 46.4354526]}",CALDARO SULLA STRADA DEL VINO  Pianizza di Sopra 61,POINT
Fontana pubblica Stilves / Öffen. Brunnen Stilfes,CAMPO DI TRENS/FREIENFELD,05/03/2018,"Stilfes - Stilves, Gschließhöfe, Freienfeld - Campo di Trens, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.4766495, 46.8650442]}",CAMPO DI TRENS  Stilves,POINT
Fontana pubblica Trens / Öffentlicher Brunnen Trens,CAMPO DI TRENS/FREIENFELD,05/03/2018,"Pfitscher Bach - Rio di Vizze, Freienfeld - Campo di Trens, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39049, Italia","{'type': 'Point', 'coordinates': [11.4527379, 46.8928555]}",CAMPO DI TRENS  Trens,POINT
Privato/Privat,CAMPO DI TRENS/FREIENFELD,06/12/2018,"Freienfeld - Campo di Trens, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.4867683, 46.8751215]}",CAMPO DI TRENS,POINT
Cascade/Cascade,CAMPO TURES/SAND IN TAUFERS,26/03/2018,"Cascade, 2, Industriestr. - via Industria, Winkel - Cantuccio, Sand in Taufers - Campo Tures, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39032, Italia","{'type': 'Point', 'coordinates': [11.962819, 46.9117875]}",CAMPO TURES Cascade,POINT
Privato/Privat,CAMPO TURES/SAND IN TAUFERS,21/11/2018,"Sand in Taufers - Campo Tures, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39032, Italia","{'type': 'Point', 'coordinates': [11.9551824, 46.9192363]}",CAMPO TURES,POINT
Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,02/05/2018,"Galsaun - Colsano, Kastelbell-Tschars - Castelbello-Ciardes, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.9154836, 46.6318964]}",CASTELBELLO-CIARDES  Galsaun,POINT
Privato/Privat,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,26/03/2018,"Kastelbell-Tschars - Castelbello-Ciardes, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.923998550347491, 46.6221611]}",CASTELBELLO-CIARDES,POINT
f.p. Lacinigo / Öffentlicher Brunnen Latschinig,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,02/06/2018,"Latschinig - Lacinigo, Kastelbell-Tschars - Castelbello-Ciardes, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [10.9031501, 46.6192933]}",CASTELBELLO-CIARDES f.p. Lacinigo,POINT
Brunnen bei Grundschule,CASTELROTTO/KASTELRUTH,23/05/2018,"Compatsch, Kastelruth - Castelrotto, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.601576, 46.5384192]}",CASTELROTTO Brunnen bei Grundschule,POINT
Privato/Privat,CASTELROTTO/KASTELRUTH,21/11/2018,"Kastelruth - Castelrotto, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.608297115541967, 46.54753885]}",CASTELROTTO,POINT
Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,CERMES/TSCHERMS,05/10/2018,"Tscherms - Cermes, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.146564, 46.6346188]}",CERMES  Centro,POINT
Fontana / Brunnen,CHIENES/KIENS,05/09/2018,"Kiener Dorfweg - Via Chienes, Gestl, Kiens, Kiens - Chienes, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.8392626, 46.8085965]}",CHIENES Fontana,POINT
Kindergarten / Kindergarten,CHIENES/KIENS,10/02/2018,"Kindergarten Ehrenburg, Schlossstraße - Via Castello, Untergols, Ehrenburg, Kiens - Chienes, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.835107000891792, 46.7969629]}",CHIENES Kindergarten,POINT
Privato/Privat,CHIENES/KIENS,23/10/2018,"Kiens - Chienes, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia","{'type': 'Point', 'coordinates': [11.8408721, 46.8093808]}",CHIENES,POINT
Fontana pubblica / Öffentlicher Brunnen,CHIUSA/KLAUSEN,04/11/2018,,,CHIUSA ALTO ADIGE,POINT
Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,CHIUSA/KLAUSEN,07/09/2018,"Gufidaun - Gudon, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39043, Italia","{'type': 'Point', 'coordinates': [11.6009589, 46.6486003]}",CHIUSA  Gudon,POINT
Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,CHIUSA/KLAUSEN,04/11/2018,"Tinneplatz - Piazza Tinne, Fuchsberger, Klausen - Chiusa, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39043, Italia","{'type': 'Point', 'coordinates': [11.5650778, 46.6392754]}",CHIUSA  Piazza Tinne,POINT
Privato/Privat,CHIUSA/KLAUSEN,06/06/2018,,,CHIUSA ALTO ADIGE,POINT
Privato/Privat,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,20/07/2018,"Kurtinig an der Weinstraße - Cortina sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2226851, 46.2687016]}",CORTINA SULLA STRADA DEL VINO,POINT
Comune - WC / Gemeinde - WC,CURON VENOSTA/GRAUN IM VINSCHGAU,12/12/2018,"WC, Vinschgauer Straße - Via Venosta, Arlund - Arlundo, Graun - Curon Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39027, Italia","{'type': 'Point', 'coordinates': [10.5384106, 46.8105392]}",CURON VENOSTA  - WC,POINT
Pizzeria Irene/Pizzeria Irene,CURON VENOSTA/GRAUN IM VINSCHGAU,12/12/2018,"Pizzeria Irene, Hauptstraße - Via Nazionale, Clopai / Klopair, Graun - Curon Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39027, Italia","{'type': 'Point', 'coordinates': [10.5068725, 46.845476]}",CURON VENOSTA Pizzeria Irene,POINT
Privato/Privat,CURON VENOSTA/GRAUN IM VINSCHGAU,14/11/2018,"Graun - Curon Venosta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39027, Italia","{'type': 'Point', 'coordinates': [10.5405563, 46.8085105]}",CURON VENOSTA,POINT
f.p. San Valentino alla Muta / Öffentlicher Brunnen - St. Valentin a.d.H.,CURON VENOSTA/GRAUN IM VINSCHGAU,25/06/2018,"St. Valentin auf der Haide - San Valentino alla Muta, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39027, Italia","{'type': 'Point', 'coordinates': [10.531858, 46.7659675]}",CURON VENOSTA f.p. San Valentino alla Muta,POINT
Privato/Privat,DOBBIACO/TOBLACH,24/09/2018,"Toblach - Dobbiaco, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39034, Italia","{'type': 'Point', 'coordinates': [12.2229283, 46.7343974]}",DOBBIACO,POINT
Fontana pubblica  Via Villa / Öffentlicher Brunnen Vill,EGNA/NEUMARKT,04/04/2018,"Villnerstraße - Via Villa, Vill - Villa, Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.2810255, 46.3266495]}",EGNA   Via Villa,POINT
"Fontana pubblica 2015, Via Portici 2  /  Öff. Brunnen 2015, Laubengasse 2",EGNA/NEUMARKT,15/05/2018,"2, Laubengasse - Via Portici, Mazon - Mazzon, Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.2725879, 46.3128539]}","EGNA  2015, Via Portici 2",POINT
Fontana pubblica Piazza Giovanni Prati / Öffentliche Brunnen Giovanni Prati Platz,EGNA/NEUMARKT,19/11/2018,"Giovanni-Prati-Platz - Piazza Giovanni Prati, Laag - Laghetti, Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.24008055, 46.2726114]}",EGNA  Piazza Giovanni Prati,POINT
Fontana pubblica Piazza principale / Öffentlicher  Brunnen Hauptplatz,EGNA/NEUMARKT,04/04/2018,"Hauptstraße - Via Principale, Laag - Laghetti, Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.240125, 46.2743004]}",EGNA  Piazza principale,POINT
Fontana pubblica Piazza principale / Öffentlicher Brunnen Hauptplatz,EGNA/NEUMARKT,04/04/2018,"Hauptstraße - Via Principale, Laag - Laghetti, Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.240125, 46.2743004]}",EGNA  Piazza principale,POINT
Privato/Privat,EGNA/NEUMARKT,15/05/2018,"Neumarkt - Egna, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39044, Italia","{'type': 'Point', 'coordinates': [11.2725698, 46.3169161]}",EGNA,POINT
