alias_address,alias_city,geocode,geometry,georeferencingString,tyoe
Territorio comunale,CERRO AL LAMBRO,"Cerro al Lambro, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.339053, 45.329969]}",CERRO AL LAMBRO MI,POINT
Territorio comunale,CERRO MAGGIORE,"Cerro Maggiore, Milano, Lombardia, 20023, Italia","{'type': 'Point', 'coordinates': [8.9513923, 45.5930123]}",CERRO MAGGIORE MI,POINT
Territorio comunale,CESANO BOSCONE,"Cesano Boscone, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0940542, 45.4471117]}",CESANO BOSCONE MI,POINT
Territorio comunale,CESATE,"Cesate, Milano, Lombardia, 20020, Italia","{'type': 'Point', 'coordinates': [9.0773084, 45.5964736]}",CESATE MI,POINT
Territorio comunale,CINISELLO BALSAMO,"Cinisello Balsamo, Milano, Lombardia, 20092, Italia","{'type': 'Point', 'coordinates': [9.2140112, 45.5560579]}",CINISELLO BALSAMO MI,POINT
Territorio comunale,CISLIANO,"Cisliano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.990243, 45.444669]}",CISLIANO MI,POINT
Territorio comunale,COLOGNO MONZESE,"Cologno Monzese, Milano, Lombardia, 20093, Italia","{'type': 'Point', 'coordinates': [9.2782244, 45.528554]}",COLOGNO MONZESE MI,POINT
Territorio comunale,COLTURANO,"Colturano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.337852, 45.37977]}",COLTURANO MI,POINT
Territorio comunale,CORBETTA,"Corbetta, Milano, Lombardia, 20011, Italia","{'type': 'Point', 'coordinates': [8.9200896, 45.4659366]}",CORBETTA MI,POINT
Territorio comunale,CORMANO,"Cormano, Milano, Lombardia, 20032, Italia","{'type': 'Point', 'coordinates': [9.1707469, 45.5440378]}",CORMANO MI,POINT
Territorio comunale,CORNAREDO,"Cornaredo, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.025746, 45.5016851]}",CORNAREDO MI,POINT
Territorio comunale,CORSICO,"Corsico, Milano, Lombardia, 20094, Italia","{'type': 'Point', 'coordinates': [9.1094065, 45.4328675]}",CORSICO MI,POINT
Territorio comunale,CUGGIONO,"Cuggiono, Milano, Lombardia, 20012, Italia","{'type': 'Point', 'coordinates': [8.8152655, 45.5062394]}",CUGGIONO MI,POINT
Territorio comunale,CUSAGO,"Cusago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0335277, 45.4462449]}",CUSAGO MI,POINT
Territorio comunale,CUSANO MILANINO,"Cusano Milanino, Milano, Lombardia, 20095, Italia","{'type': 'Point', 'coordinates': [9.1822377, 45.5507568]}",CUSANO MILANINO MI,POINT
Territorio comunale,DAIRAGO,"Dairago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8631736, 45.565972]}",DAIRAGO MI,POINT
Territorio comunale,DRESANO,"Dresano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.3606419, 45.3729705]}",DRESANO MI,POINT
Territorio comunale,GAGGIANO,"Gaggiano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0344178, 45.4064613]}",GAGGIANO MI,POINT
Territorio comunale,GARBAGNATE MILANESE,"Garbagnate Milanese, Milano, Lombardia, 20024, Italia","{'type': 'Point', 'coordinates': [9.0800251, 45.5771451]}",GARBAGNATE MILANESE MI,POINT
Territorio comunale,GESSATE,"Gessate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.4351918, 45.5543877]}",GESSATE MI,POINT
