name,provincia,alias,location,geocode,longitude,latitude
Ossago Lodigiano,Lodi,Ossago Lodigiano,"Ossago Lodigiano, Lodi","Ossago Lodigiano, Lodi, Lombardia, 26816, Italia",9.537059,45.245669
Pieve Fissiraga,Lodi,Pieve Fissiraga,"Pieve Fissiraga, Lodi","Pieve Fissiraga, Lodi, Lombardia, 26854, Italia",9.458357,45.263268
Salerano sul Lambro,Lodi,Salerano sul Lambro,"Salerano sul Lambro, Lodi","Salerano sul Lambro, Lodi, Lombardia, Italia",9.385155,45.296569
San Fiorano,Lodi,San Fiorano,"San Fiorano, Lodi","San Fiorano, Lodi, Lombardia, 26848, Italia",9.722165,45.136368
San Martino in Strada,Lodi,San Martino in Strada,"San Martino in Strada, Lodi","San Martino in Strada, Lodi, Lombardia, 26817, Italia",9.528233,45.2744238
San Rocco al Porto,Lodi,San Rocco al Porto,"San Rocco al Porto, Lodi","San Rocco al Porto, Lodi, Lombardia, 26865, Italia",9.697165,45.081966
Sant'Angelo Lodigiano,Lodi,Sant'Angelo Lodigiano,"Sant'Angelo Lodigiano, Lodi","Sant'Angelo Lodigiano, Lodi, Lombardia, Italia",9.408656,45.238067
Santo Stefano Lodigiano,Lodi,Santo Stefano Lodigiano,"Santo Stefano Lodigiano, Lodi","Santo Stefano Lodigiano, Lodi, Lombardia, 26849, Italia",9.7356142,45.1200659
Secugnago,Lodi,Secugnago,"Secugnago, Lodi","Secugnago, Lodi, Lombardia, Italia",9.59346,45.232869
Senna Lodigiana,Lodi,Senna Lodigiana,"Senna Lodigiana, Lodi","Senna Lodigiana, Lodi, Lombardia, 26856, Italia",9.593862,45.151667
Somaglia,Lodi,Somaglia,"Somaglia, Lodi","Somaglia, Lodi, Lombardia, 26867, Italia",9.6345779,45.1494441
Sordio,Lodi,Sordio,"Sordio, Lodi","Sordio, Lodi, Lombardia, 26858, Italia",9.365693,45.3411434
Tavazzano con Villavesco,Lodi,Tavazzano con Villavesco,"Tavazzano con Villavesco, Lodi","Tavazzano con Villavesco, Lodi, Lombardia, 26838, Italia",9.40365201186272,45.33409155
Terranova dei Passerini,Lodi,Terranova dei Passerini,"Terranova dei Passerini, Lodi","Terranova dei Passerini, Lodi, Lombardia, Italia",9.6770939,45.1984174
Turano Lodigiano,Lodi,Turano Lodigiano,"Turano Lodigiano, Lodi","Turano Lodigiano, Lodi, Lombardia, Italia",9.621461,45.24887
Valera Fratta,Lodi,Valera Fratta,"Valera Fratta, Lodi","Valera Fratta, Lodi, Lombardia, Italia",9.3360078,45.2569315
Villanova del Sillaro,Lodi,Villanova del Sillaro,"Villanova del Sillaro, Lodi","Villanova del Sillaro, Lodi, Lombardia, Italia",9.481858,45.237968
Zelo Buon Persico,Lodi,Zelo Buon Persico,"Zelo Buon Persico, Lodi","Zelo Buon Persico, Lodi, Lombardia, 26839, Italia",9.4317571,45.4110598
