alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Pozzolo Formigaro,<0.01,0.7,190,60,<0.2,20,440,01/07/2019,20,<1,9,2.5,1.5,<0.01,7-8,3,250,20,35
Comune,Predosa,<0.01,1.02,225,28,<0.2,65,600,01/07/2019,33,<1,65,<1,34,<0.01,7-8,1.15,400,7,33
Comune,Rivalta Bormida,<0.01,1.2,220,50,<0.2,15,450,01/07/2019,22,<1,25,<1,10,<0.01,7-8,0.8,265,7,20
Comune,Rocca Grimalda,<0.01,1.5,240,60,<0.2,25,510,01/07/2019,23,<1,19,<1,5,<0.01,7-8,1.5,290,1.4,18
Comune,Rocchetta,<0.01,<0.5,190,60,<0.2,2,320,01/07/2019,16,<1,4,5,3,<0.01,7-8,0.5,180,<0.5,8
Comune,San Cristoforo,<0.02,2,10,10,<0.2,5,200,01/07/2019,9-10,<0.1,16,1,3,<0.01,8,0.3,105,1-2,6-8
Comune,Sant’Agata Fossili,<0.01,<0.5,391,78,<0.2,12.3,670,01/07/2019,35,<1,39,<1,12.5,<0.01,7-8,1.83,405,12,23
Comune,Sarezzano,<0.01,1.34,253,99,<0.2,114,880,01/07/2019,30,<1,14,<1,3.2,<0.01,7-8,3.3,498,58,65
Comune,Serravalle,<0.01,<0.5,200,60,<0.2,5.5,360,01/07/2019,18,<1,8,1.8,2.2,<0.01,7-8,1.3,215,7,24
Comune,Silvano D’Orba,<0.01,1.1,300,80,<0.2,190,1200,01/07/2019,37,<1,40,1.4,14,<0.01,7-8,3,680,100,80
Comune,Spineto Scrivia,<0.01,1.34,253,99,<0.2,114,880,01/07/2019,30,<1,14,<1,3.2,<0.01,7-8,3.3,498,58,65
Comune,Stazzano,<0.01,<0.5,180-200,60,<0.2,2-6,300-360,01/07/2019,15-20,<1,4-8,2,2.5,<0.01,7-8,0.5-2,180-250,1-7,10-25
Comune,Strevi,<0.01,0.67,196,48,1.5,19,433,01/07/2019,22,<1,25,<1,128,<0.01,7.93,0.9,250,10,37
Comune,Tassarolo,<0.01,0.9,380,100,<0.2,20,720,01/07/2019,39,<1,45,14,18,<0.01,7-8,1.5,450,11,55
Comune,Tortona,<0.01,1.34,253,99,<0.2,114,880,01/07/2019,30,<1,14,<1,3.2,<0.01,7-8,3.3,498,58,65
Comune,Vignole Borbera,<0.01,<0.5,180-200,60,<0.2,2-6,300-360,01/07/2019,15-20,<1,4.8,2,2.5,<0.01,7-8,0.5-2,180-250,1-7,10-25
Comune,Viguzzolo,<0.01,1.34,253,99,<0.2,114,880,01/07/2019,30,<1,14,<1,3.2,<0.01,7-8,3.3,498,58,65
Comune,Volpedo,<0.01,<0.5,380,120,<0.2,20,800,01/07/2019,35,<1,25,<1,<0.01,<0.01,7-8,2,500,16,65
