Ammoniaca (NH4+),Attività ioni idrogeno,Bicarbonati,Calcio,Cloro residuo,Cloruri,Conduc. elettrica specifica a 20 °C,Durezza totale in gradi francesi,Ferro totale,Fluoruri,Magnesio,Manganese,Nitrati,Nitriti,Potassio,Sodio,Solfati,alias_address,alias_city,data_report
"< 0,05",7.5,111,22.3,,2,194,9.4,30.4,"< 0,2",9.3,< 1,7,"< 0,1",0.5,4.8,6,VIA 25 APRILE,Brogliano,06/12/2019
"< 0,05",7.5,111,22.3,,2,194,9.4,30.4,"< 0,2",9.3,< 1,7,"< 0,1",0.5,4.8,6,VIA BOLEO,Brogliano,06/12/2019
"< 0,05",7.5,111,22.3,,2,194,9.4,30.4,"< 0,2",9.3,< 1,7,"< 0,1",0.5,4.8,6,VIA BORGOLOCO,Brogliano,06/12/2019
"< 0,05",7.7,272,75.3,,7,498,29.9,< 5,"< 0,2",27,< 1,23,"< 0,1",1,5,32,CIRO MENOTTI,Caldogno,06/12/2019
"< 0,05",7.7,272,75.3,,7,498,29.9,< 5,"< 0,2",27,< 1,23,"< 0,1",1,5,32,PIAZZA BRUNO VIOLA,Caldogno,06/12/2019
"< 0,05",7.7,272,75.3,,7,498,29.9,< 5,"< 0,2",27,< 1,23,"< 0,1",1,5,32,PIAZZA CHIESA,Caldogno,06/12/2019
"< 0,05",7.7,272,75.3,,7,498,29.9,< 5,"< 0,2",27,< 1,23,"< 0,1",1,5,32,PIAZZA EUROPA,Caldogno,06/12/2019
"< 0,05",7.9,193,38.9,,3,284,17.2,5.6,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.8,9,PIAZZA DANTE,Caltrano,06/12/2019
"< 0,05",7.9,193,38.9,,3,284,17.2,5.6,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.8,9,PIAZZA MADONNA SALUTE,Caltrano,06/12/2019
"< 0,05",7.9,193,38.9,,3,284,17.2,5.6,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.8,9,PIAZZA S. MARCO,Caltrano,06/12/2019
"< 0,05",7.9,193,38.9,,3,284,17.2,5.6,"< 0,2",18.3,< 1,5,"< 0,1",0.5,1.8,9,VIA 25 APRILE,Caltrano,06/12/2019
"< 0,05",7.6,262,91.9,,3,394,24.1,< 5,"< 0,2",2.7,< 1,7,"< 0,1",0.6,0.9,9,PIAZZA RESISTENZA,Calvene,06/12/2019
"< 0,05",7.6,262,91.9,,3,394,24.1,< 5,"< 0,2",2.7,< 1,7,"< 0,1",0.6,0.9,9,VIA 25 APRILE,Calvene,06/12/2019
"< 0,05",7.6,262,91.9,,3,394,24.1,< 5,"< 0,2",2.7,< 1,7,"< 0,1",0.6,0.9,9,VIA ASTICO,Calvene,06/12/2019
"< 0,05",7.6,262,91.9,,3,394,24.1,< 5,"< 0,2",2.7,< 1,7,"< 0,1",0.6,0.9,9,VIA BISOZZO,Calvene,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA 29 APRILE,Camisano Vicentino,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA DELLA COSTITUZIONE,Camisano Vicentino,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA PIEVE,Camisano Vicentino,06/12/2019
"< 0,05",7.7,198,69.8,0.1,7,474,28.9,< 5,"< 0,2",27.7,< 1,18,"< 0,1",0.5,3.5,13,PIAZZA UMBERTO I,Camisano Vicentino,06/12/2019
"< 0,05",8,193,38.9,,2,290,17.2,< 5,"< 0,2",18.1,< 1,4,"< 0,1",0.5,0.9,8,LOCALITA' PRA' SECCO,Carre',06/12/2019
"< 0,05",8,193,38.9,,2,290,17.2,< 5,"< 0,2",18.1,< 1,4,"< 0,1",0.5,0.9,8,PIAZZA 11 FEBBRAIO,Carre',06/12/2019
"< 0,05",8,193,38.9,,2,290,17.2,< 5,"< 0,2",18.1,< 1,4,"< 0,1",0.5,0.9,8,PIAZZA 4 NOVEMBRE,Carre',06/12/2019
"< 0,05",8,193,38.9,,2,290,17.2,< 5,"< 0,2",18.1,< 1,4,"< 0,1",0.5,0.9,8,VIA ALBANIGO,Carre',06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZA G.B. CLEMENTI,Castegnero,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZA ORTIGARA,Castegnero,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZETTA S. GIORGIO,Castegnero,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,VIA BAGNOLO,Castegnero,06/12/2019
"< 0,05",7.7,175,41.5,,2,420,16.4,,"< 0,2",14.7,,4,"< 0,1",0.4,1.5,24,BORGO S. PIO X,Castelgomberto,06/12/2019
"< 0,05",7.7,175,41.5,,2,420,16.4,,"< 0,2",14.7,,4,"< 0,1",0.4,1.5,24,CONTRADA CANOVA,Castelgomberto,06/12/2019
"< 0,05",7.7,175,41.5,,2,420,16.4,,"< 0,2",14.7,,4,"< 0,1",0.4,1.5,24,CONTRADA CESTARI,Castelgomberto,06/12/2019
"< 0,05",7.7,175,41.5,,2,420,16.4,,"< 0,2",14.7,,4,"< 0,1",0.4,1.5,24,CONTRADA ROCCHI,Castelgomberto,06/12/2019
"< 0,05",8.1,196,39,,2,285,17.2,< 5,"< 0,2",18.2,< 1,5,"< 0,1",0.5,1.7,8,PIAZZA SERRAGLI,Chiuppano,06/12/2019
"< 0,05",8.1,196,39,,2,285,17.2,< 5,"< 0,2",18.2,< 1,5,"< 0,1",0.5,1.7,8,STRADA MARTIRI DELLE FOIBE,Chiuppano,06/12/2019
"< 0,05",8.1,196,39,,2,285,17.2,< 5,"< 0,2",18.2,< 1,5,"< 0,1",0.5,1.7,8,VIA 25 APRILE,Chiuppano,06/12/2019
"< 0,05",8.1,196,39,,2,285,17.2,< 5,"< 0,2",18.2,< 1,5,"< 0,1",0.5,1.7,8,VIA 4 NOVEMBRE,Chiuppano,06/12/2019
"< 0,05",7.9,190,38.8,,2,288,16.7,,"< 0,2",17.1,,4,"< 0,1",0.5,1.6,8,PIAZZA DELLA LIBERTA',Cogollo del Cengio,06/12/2019
"< 0,05",7.9,190,38.8,,2,288,16.7,,"< 0,2",17.1,,4,"< 0,1",0.5,1.6,8,VIA ALIGHIERI,Cogollo del Cengio,06/12/2019
"< 0,05",7.9,190,38.8,,2,288,16.7,,"< 0,2",17.1,,4,"< 0,1",0.5,1.6,8,VIA AMPURI,Cogollo del Cengio,06/12/2019
"< 0,05",7.9,190,38.8,,2,288,16.7,,"< 0,2",17.1,,4,"< 0,1",0.5,1.6,8,VIA ARTIGIANATO,Cogollo del Cengio,06/12/2019
"< 0,05",7.8,187,50.9,,4,311,17.9,5.9,"< 0,2",12.3,< 1,8,"< 0,1",0.5,3.2,24,CONTRADA CAECCHIONI,Cornedo Vic.,06/12/2019
