Alcalinità,Ammonio,Arsenico,Calcio,Cloruro,Conducibilità,Conta Clostridium perfringens (spore comprese),Conta Escherichia coli,Conta batteri coliformi,Durezza,Ferro,Fluoruro,Magnesio,Manganese,Nitrato,Nitrito,Potassio,Residuo secco a 180°C,Sodio,Solfato,alias_acqueduct,alias_city,data_report,pH,Nessun dato disponibile
51,0.02,< 1,35,15,344,0,0,0,14,< 20,0.14,9,< 5,6,< 0.05,2,191,6,44,Centrale di Cavarzere,Cavarzere,06/11/2019,7.8,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Ceneselli,06/11/2019,7.2,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Ceregnano,06/11/2019,7.6,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Cinto Euganeo,06/11/2019,7.2,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Conselve,06/11/2019,7.8,
75,0.02,< 1,51,36,446,0,0,0,19,< 20,0.07,11,< 5,11,< 0.05,2,269,12,45,Centrale di Corbola,Corbola,06/11/2019,7.5,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Costa di Rovigo,06/11/2019,7.6,
73,0.03,< 1,51,34,442,0,0,0,19,< 20,0.08,11,< 5,11,< 0.05,2,246,13,45,Centrale di Canalnovo,Crespino,06/11/2019,7.5,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Due Carrare,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Este,06/11/2019,7.2,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Ficarolo,06/11/2019,7.5,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Fiesso Umbertiano,06/11/2019,7.4,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Frassinelle Polesine,06/11/2019,7.4,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Fratta Polesine,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Gaiba,06/11/2019,7.5,
,,,,,,,,,,,,,,,,,,,,Comune di Gambellara,Gambellara,06/11/2019,,Nessun dato disponibile
73,0.03,< 1,51,34,442,0,0,0,19,< 20,0.08,11,< 5,11,< 0.05,2,246,13,45,Centrale di Canalnovo,Gavello,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Giacciano con Baruchella,06/11/2019,7.5,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Granze,06/11/2019,7.8,
73,0.03,< 1,51,34,442,0,0,0,19,< 20,0.08,11,< 5,11,< 0.05,2,246,13,45,Centrale di Canalnovo,Guarda Veneta,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Lendinara,06/11/2019,7.5,
51,0.02,< 1,35,15,344,0,0,0,14,< 20,0.14,9,< 5,6,< 0.05,2,191,6,44,Centrale di Cavarzere,Loreo,06/11/2019,7.8,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Lozzo Atestino,06/11/2019,7.2,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Lusia,06/11/2019,7.5,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Maserà di Padova,06/11/2019,7.5,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Masi,06/11/2019,7.7,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Megliadino San Vitale,06/11/2019,7.2,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Melara,06/11/2019,7.2,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Merlara,06/11/2019,7.7,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Monselice,06/11/2019,7.2,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Montagnana,06/11/2019,7.5,
,,,,,,,,,,,,,,,,,,,,Comune di Montebello Vicentino,Montebello Vicentino,06/11/2019,,Nessun dato disponibile
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Occhiobello,06/11/2019,7.4,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Orgiano,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Ospedaletto Euganeo,06/11/2019,7.2,
73,0.03,< 1,51,34,442,0,0,0,19,< 20,0.08,11,< 5,11,< 0.05,2,246,13,45,Centrale di Canalnovo,Papozze,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Pernumia,06/11/2019,7.2,
51,0.02,< 1,35,15,344,0,0,0,14,< 20,0.14,9,< 5,6,< 0.05,2,191,6,44,Centrale di Cavarzere,Pettorazza Grimani,06/11/2019,7.8,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Piacenza d'Adige,06/11/2019,7.7,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Pincara,06/11/2019,7.4,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Pojana Maggiore,06/11/2019,7.5,
108,0.02,1,57,19,402,0,0,0,20,< 20,0.11,12,< 5,3,< 0.05,2,305,14,29,Centrale di Polesella,Polesella,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Ponso,06/11/2019,7.2,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Ponte San Nicolò,06/11/2019,7.5,
