alias_address,alias_city,geocode,geometry,georeferencingString,type
Centrale di Castelnovo Bariano,Castelmassa,"Castelmassa, Rovigo, Veneto, 45035, Italia","{'type': 'Point', 'coordinates': [11.310498, 45.0168524]}","Castelmassa, Veneto, Italia",POINT
Centrale di Castelnovo Bariano,Castelnovo Bariano,"Castelnovo Bariano, Rovigo, Veneto, 45013, Italia","{'type': 'Point', 'coordinates': [11.2874453, 45.0278273]}","Castelnovo Bariano, Veneto, Italia",POINT
Centrale di Cavarzere,Cavarzere,"Cavarzere, Venezia, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0812854, 45.1360987]}","Cavarzere, Veneto, Italia",POINT
Centrale di Castelnovo Bariano,Ceneselli,"Ceneselli, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.369317, 45.0137428]}","Ceneselli, Veneto, Italia",POINT
Centrale di Boara Polesine,Ceregnano,"Ceregnano, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.869314, 45.047985]}","Ceregnano, Veneto, Italia",POINT
Fonte Camazzole,Cinto Euganeo,"Cinto Euganeo, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6723755, 45.2894673]}","Cinto Euganeo, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Conselve,"Conselve, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8740131, 45.2337438]}","Conselve, Veneto, Italia",POINT
Centrale di Corbola,Corbola,"Corbola, Rovigo, Veneto, 45015, Italia","{'type': 'Point', 'coordinates': [12.07852, 45.005685]}","Corbola, Veneto, Italia",POINT
Centrale di Boara Polesine,Costa di Rovigo,"Costa di Rovigo, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6945311, 45.0486883]}","Costa di Rovigo, Veneto, Italia",POINT
Centrale di Canalnovo,Crespino,"Crespino, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8861875, 44.9825584]}","Crespino, Veneto, Italia",POINT
AcegasApsAmga,Due Carrare,"Due Carrare, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8217529, 45.2905049]}","Due Carrare, Veneto, Italia",POINT
Fonte Camazzole,Este,"Este, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.659796, 45.2240069]}","Este, Veneto, Italia",POINT
Centrale di Badia Polesine,Ficarolo,"Ficarolo, Rovigo, Veneto, 45036, Italia","{'type': 'Point', 'coordinates': [11.4357293, 44.9537986]}","Ficarolo, Veneto, Italia",POINT
Centrale di Occhiobello,Fiesso Umbertiano,"Fiesso Umbertiano, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6053916, 44.96132]}","Fiesso Umbertiano, Veneto, Italia",POINT
Centrale di Occhiobello,Frassinelle Polesine,"Frassinelle Polesine, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.698811, 44.995182]}","Frassinelle Polesine, Veneto, Italia",POINT
Centrale di Badia Polesine,Fratta Polesine,"Fratta Polesine, Rovigo, Veneto, 45025, Italia","{'type': 'Point', 'coordinates': [11.64501, 45.029282]}","Fratta Polesine, Veneto, Italia",POINT
Centrale di Badia Polesine,Gaiba,"Gaiba, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.480207, 44.946179]}","Gaiba, Veneto, Italia",POINT
Comune di Gambellara,Gambellara,"Gambellara, Vicenza, Veneto, 36053, Italia","{'type': 'Point', 'coordinates': [11.3398403, 45.4625095]}","Gambellara, Veneto, Italia",POINT
Centrale di Canalnovo,Gavello,"Gavello, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9144267, 45.021847]}","Gavello, Veneto, Italia",POINT
Centrale di Badia Polesine,Giacciano con Baruchella,"Giacciano con Baruchella, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.4334274, 45.060423]}","Giacciano con Baruchella, Veneto, Italia",POINT
Centrale di Vescovana,Granze,"Granze, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7134853, 45.154289]}","Granze, Veneto, Italia",POINT
Centrale di Canalnovo,Guarda Veneta,"Guarda Veneta, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8028519, 44.9803991]}","Guarda Veneta, Veneto, Italia",POINT
Centrale di Badia Polesine,Lendinara,"Lendinara, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6041641, 45.0832589]}","Lendinara, Veneto, Italia",POINT
Centrale di Cavarzere,Loreo,"Loreo, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1889247, 45.0619946]}","Loreo, Veneto, Italia",POINT
Fonte Camazzole,Lozzo Atestino,"Lozzo Atestino, Padova, Veneto, 35034, Italia","{'type': 'Point', 'coordinates': [11.6304106, 45.2909178]}","Lozzo Atestino, Veneto, Italia",POINT
Centrale di Badia Polesine,Lusia,"Lusia, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6627796, 45.1005351]}","Lusia, Veneto, Italia",POINT
AcegasApsAmga,Maserà di Padova,"Maserà di Padova, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8709849, 45.3207113]}","Maserà di Padova, Veneto, Italia",POINT
