alias_address,alias_city,ammoniaca,arsenico,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
VIA STROMBOLI - MOMBELLO ZONA ESTERNA,LIMBIATE,<0.15,<1.0,70.5,27.9,482,16/03/2020,23.1,<30,<0.15,13.3,<5.0,35.1,<0.15,7.6,1.4,345,22.8,34.3
VIA LUCIANO MANARA,LIMBIATE,<0.15,1.0,76.7,15.0,451,16/03/2020,24.3,<30,<0.15,12.5,<5.0,33.7,<0.15,7.7,1.3,322,10.2,21.6
Via Generale Cantore,LIMBIATE,<0.15,3.0,40.6,6.7,284,16/03/2020,14.4,<30,<0.15,10.3,<5.0,12.8,<0.15,8.0,1.1,203,10.5,9.1
Via Monte Bianco,LIMBIATE,<0.15,<1.0,65.5,13.6,396,16/03/2020,21.4,<30,<0.15,12.2,<5.0,29.9,<0.15,7.8,1.2,283,10.0,17.8
"Via Pace, 38",LIMBIATE,<0.15,<1.0,71.2,32.0,508,16/03/2020,24.5,<30,<0.15,16.4,<5.0,38.5,<0.15,7.7,1.3,363,8.8,33.2
Via Leone Tolstoi,LIMBIATE,<0.15,<1.0,70.1,24.6,447,16/03/2020,22.7,<30,<0.15,12.5,<5.0,41.5,<0.15,7.6,1.3,320,18.7,26.9
Via Roma,LIMBIATE,<0.15,<1.0,70.3,24.8,431,16/03/2020,22.6,<30,<0.15,12.3,<5.0,41.0,<0.15,7.6,1.3,308,17.2,27.7
Via Monte Terminillo,LIMBIATE,<0.15,<1.0,67.9,25.9,457,16/03/2020,22.0,<30,<0.15,12.2,<5.0,39.1,<0.15,7.8,1.3,327,17.4,27.4
"Via Napoleone Bonaparte, 92C",LIMBIATE,<0.15,<1.0,67.2,14.6,428,16/03/2020,21.6,<30,<0.15,11.7,<5.0,31.6,<0.15,7.8,1.2,306,15.4,20.4
"Via Giacomo Puccini, 2",LIMBIATE,<0.15,<1.0,63.7,19.7,394,16/03/2020,20.6,<30,<0.15,11.5,<5.0,43.5,<0.15,7.8,<1.00,282,6.4,21.1
"Via Monte Generoso, 1",LIMBIATE,<0.15,<1.0,73.5,14.2,433,16/03/2020,23.6,<30,<0.15,12.7,<5.0,31.5,<0.15,7.7,1.3,310,10.2,20.4
"Via Bellaria, 21",LIMBIATE,<0.15,<1.0,55.1,15.4,358,16/03/2020,18.5,<30,<0.15,11.5,<5.0,21.4,<0.15,7.9,1.2,256,14.1,17.0
Via Giambattista Tiepolo,LIMBIATE,<0.15,<1.0,63.4,21.0,432,16/03/2020,20.5,<30,<0.15,11.3,<5.0,40.7,<0.15,7.8,1.2,309,15.7,24.9
Via Leopardi,LISSONE,<0.15,<1.0,106.0,26.9,634,16/03/2020,36.3,<30,<0.15,23.8,<5.0,37.1,<0.15,7.5,1.6,453,15.0,29.3
VIA MONS. BERNASCONI,LISSONE,<0.15,<1.0,105.0,22.5,639,16/03/2020,36.4,<30,<0.15,24.7,<5.0,37.9,<0.15,7.5,1.5,457,11.7,30.2
VIA TARRA,LISSONE,<0.15,<1.0,118.0,28.3,692,16/03/2020,40.7,<30,<0.15,27.3,<5.0,36.1,<0.15,7.4,1.7,495,12.3,26.0
VIA NOBEL,LISSONE,<0.15,<1.0,98.7,25.9,643,16/03/2020,34.2,<30,<0.15,23.1,<5.0,38.8,<0.15,6.7,1.4,460,14.7,28.9
VIA DEL CONCILIO,LISSONE,<0.15,<1.0,86.2,20.0,561,16/03/2020,31.5,<30,<0.15,24.3,<5.0,28.2,<0.15,7.5,1.5,401,12.3,28.3
"ViaLE LOMBARDIA, 35",LISSONE,<0.15,<1.0,102.0,29.7,664,16/03/2020,36.6,<30,<0.15,27.1,<5.0,34.8,<0.15,7.5,1.6,475,15.4,31.6
"Via MARTIRI DELLA LIBERTA', 52",LISSONE,<0.15,<1.0,110.0,30.3,675,16/03/2020,38.1,<30,<0.15,25.7,<5.0,41.3,<0.15,7.4,1.5,483,15.7,29.2
"Via SAN GIORGIO, 3/5",LISSONE,<0.15,<1.0,101.0,22.9,635,16/03/2020,35.1,<30,<0.15,24.0,<5.0,38.3,<0.15,6.7,1.5,454,11.5,30.0
"Via MARTIRI DELLA LIBERTA', 130/A",LISSONE,<0.15,<1.0,103.0,21.8,614,16/03/2020,35.0,<30,<0.15,22.6,<5.0,34.7,<0.15,7.5,1.6,439,13.8,26.8
"Piazzale Virgilio, 1",LISSONE,<0.15,<1.0,102.0,25.2,648,16/03/2020,35.9,<30,<0.15,25.4,<5.0,32.0,<0.15,7.5,1.6,463,16.1,31.7
"Via Felice Mariani, 1",LISSONE,<0.15,<1.0,95.1,21.8,623,16/03/2020,34.0,<30,<0.15,25.0,<5.0,36.2,<0.15,7.5,1.4,445,11.1,29.9
"Via NAZARIO SAURO, 1",LISSONE,<0.15,<1.0,65.3,15.8,462,16/03/2020,25.8,<30,<0.15,23.0,<5.0,23.4,<0.15,7.7,1.2,330,8.3,25.8
"ViaLE DELLA REPUBBLICA, 39",LISSONE,<0.15,<1.0,101.0,25.7,645,16/03/2020,34.9,<30,<0.15,23.5,<5.0,38.9,<0.15,6.7,1.4,461,15.4,28.7
"Via DE AMICIS, 18 FRAZIONE SANTA MARGHERITA",LISSONE,<0.15,<1.0,116.0,25.6,693,16/03/2020,40.0,<30,<0.15,26.9,<5.0,38.7,<0.15,7.3,1.7,495,12.5,28.8
"Via LAMARMORA, 30/a I COL. Via CANOVA",LISSONE,<0.15,<1.0,89.0,21.7,596,16/03/2020,30.3,<30,<0.15,19.7,<5.0,34.9,<0.15,7.4,1.8,426,12.9,28.4
"Via BATTISTI, 20",LISSONE,<0.15,<1.0,101.0,24.9,643,16/03/2020,36.3,<30,<0.15,26.8,<5.0,32.4,<0.15,6.8,1.7,460,13.3,31.1
"Via DALLA CHIESA, 32",LISSONE,<0.15,<1.0,88.2,21.0,564,16/03/2020,32.3,<30,<0.15,25.0,<5.0,24.1,<0.15,7.5,1.5,403,13.0,27.5
VIA SAURO,LISSONE,<0.15,<1.0,64.2,16.0,461,16/03/2020,25.3,<30,<0.15,22.6,<5.0,23.7,<0.15,7.7,1.2,330,8.0,26.0
Via Belgioioso,MACHERIO,<0.15,<1.0,105.0,26.1,661,16/03/2020,36.7,<30,<0.15,25.4,<5.0,36.7,<0.15,7.4,1.6,473,13.0,29.8
Via Mascagni,MACHERIO,<0.15,<1.0,70.5,16.1,444,16/03/2020,24.5,<30,<0.15,16.7,9.8,13.6,<0.15,7.6,1.9,317,14.5,17.5
VIALE Regina Margherita,MACHERIO,<0.15,<1.0,85.3,21.1,529,16/03/2020,28.3,71,<0.15,17.0,<5.0,23.1,<0.15,7.5,1.8,378,14.2,21.1
Via S. Ambrogio,MACHERIO,<0.15,<1.0,122.0,27.6,687,16/03/2020,42.2,<30,<0.15,28.5,<5.0,37.7,<0.15,7.1,1.7,491,15.7,27.5
VIALE Regina Margherita,MACHERIO,<0.15,<1.0,83.7,20.7,522,16/03/2020,27.9,<30,<0.15,16.9,<5.0,20.2,<0.15,7.8,1.8,373,14.4,21.2
"Via Visconti,41",MACHERIO,<0.15,<1.0,75.1,19.7,494,16/03/2020,25.3,<30,<0.15,16.0,8.4,17.6,<0.15,7.7,1.9,353,14.2,20.4
Via Cassiano-angolo Via Visconti,MACHERIO,<0.15,<1.0,73.7,16.2,475,16/03/2020,24.7,<30,<0.15,15.4,6.7,16.4,<0.15,7.8,2.0,340,15.6,18.3
VIA VITTORIO VENETO - VIA PIAVE,MACHERIO,<0.15,<1.0,88.7,25.5,565,16/03/2020,29.3,<30,<0.15,17.4,<5.0,29.9,<0.15,7.7,1.6,404,12.3,23.0
Viale Tre Venezie,MEDA,<0.15,<1.0,74.4,18.4,418,16/03/2020,23.8,<30,<0.15,12.6,<5.0,31.8,<0.15,7.1,1.1,299,10.5,22.7
VIA SAN GIUSEPPE,MEDA,<0.15,<1.0,76.2,17.1,453,16/03/2020,23.4,<30,<0.15,10.7,<5.0,27.7,<0.15,7.7,1.1,324,8.5,19.5
VIA SAN GIUSEPPE,MEDA,<0.15,<1.0,84.6,20.1,486,16/03/2020,26.0,<30,<0.15,11.9,<5.0,28.3,<0.15,7.7,1.4,347,10.6,20.5
VIA N. BIXIO,MEDA,<0.15,<1.0,68.0,17.9,424,16/03/2020,21.6,<30,<0.15,11.3,<5.0,31.2,<0.15,8.0,1.1,303,8.9,22.0
VIA SANTA MARIA,MEDA,<0.15,<1.0,50.0,10.6,309,16/03/2020,16.4,<30,<0.15,9.5,<5.0,22.6,<0.15,8.0,<1.0,221,5.3,16.2
VIA CIALDINI,MEDA,<0.15,<1.0,86.9,21.8,576,16/03/2020,26.6,<30,<0.15,11.9,<5.0,34.2,<0.15,7.4,1.9,412,11.9,23.6
PIAZZA CAVOUR,MEDA,<0.15,<1.0,58.0,11.6,336,16/03/2020,19.2,<30,<0.15,11.4,<5.0,23.6,<0.15,7.1,<1.0,240,7.2,16.6
Via Gagarin,MEDA,<0.15,<1.0,58.4,11.7,334,16/03/2020,19.4,<30,<0.15,11.6,<5.0,23.7,<0.15,7.0,<1.0,239,7.9,16.6
Via Orsini,MEDA,<0.15,<1.0,55.3,11.9,346,16/03/2020,18.3,<30,0.17,11.0,<5.0,24.0,<0.15,7.9,<1.0,247,6.6,17.0
Via Giovanni XXIII,MEDA,<0.15,<1.0,55.4,11.7,346,16/03/2020,18.2,<30,0.17,10.7,<5.0,24.0,<0.15,7.9,<1.0,247,6.5,16.9
VIA DE GASPERI,MEDA,<0.15,<1.0,98.3,21.5,561,16/03/2020,30.1,<30,<0.15,13.6,<5.0,32.6,<0.15,7.4,1.8,401,14.4,20.8
VIALE TRE VENEZIE,MEDA,<0.15,<1.0,74.8,17.9,425,16/03/2020,23.7,<30,<0.15,12.2,<5.0,32.0,<0.15,8.0,1.1,304,9.3,22.7
"Piazza Municipio, 4",MEDA,<0.15,<1.0,54.8,11.8,344,16/03/2020,18.1,31,<0.15,10.7,<5.0,24.2,<0.15,7.9,<1.0,246,6.4,17.1
Via Fratelli Brasca,MEZZAGO,<0.15,<1.0,71.1,13.8,503,16/03/2020,25.6,<30,<0.15,19.1,<5.0,38.9,<0.15,7.8,<1.0,360,<4.0,24.3
Cascina Orobona,MEZZAGO,<0.15,<1.0,47.1,6.7,374,16/03/2020,20.0,63,<0.15,20.1,<5.0,6.3,<0.15,7.8,1.2,267,9.7,15.1
Via Del Pozzo Mezzago,MEZZAGO,<0.15,<1.0,73.6,14.7,518,16/03/2020,26.3,<30,<0.15,19.2,<5.0,49.4,<0.15,7.6,<1.0,370,<4.0,24.9
Via del Pozzo,MEZZAGO,<0.15,<1.0,73.6,14.7,518,16/03/2020,26.3,<30,<0.15,19.2,<5.0,49.4,<0.15,7.6,<1.0,370,<4.0,24.9
Via Roma,MEZZAGO,<0.15,<1.0,77.7,13.1,502,16/03/2020,28.1,<30,<0.15,21.2,<5.0,44.0,<0.15,7.6,<1.0,359,5.6,23.2
Via Monte Rosa,MISINTO,<0.15,<1.0,76.1,38.6,472,16/03/2020,24.4,<30,<0.15,13.1,<5.0,30.9,<0.15,8.0,1.2,337,19.9,30.6
Via Mazzini,MISINTO,<0.15,<1.0,69.9,36.0,456,16/03/2020,22.4,37,<0.15,12.1,<5.0,32.3,<0.15,8.0,1.3,326,17.0,27.4
Via Pusterla,MISINTO,<0.15,<1.0,76.0,33.1,446,16/03/2020,24.7,<30,<0.15,14.0,<5.0,30.1,<0.15,7.9,1.1,319,22.6,26.1
Via Villa Vergani,MISINTO,<0.15,<1.0,79.3,39.4,478,16/03/2020,25.2,<30,<0.15,13.1,<5.0,35.3,<0.15,7.9,1.3,342,20.8,31.0
via Maroncelli,MONZA,<0.15,<1.0,89.3,21.3,557,16/03/2020,30.7,<30,<0.15,20.5,<5.0,16.8,<0.15,7.5,1.7,398,14.8,24.0
via Cremona,MONZA,<0.15,<1.0,81.8,14.6,507,16/03/2020,28.5,<30,<0.15,19.7,<5.0,16.0,<0.15,7.5,1.7,363,11.6,18.2
via della Birona,MONZA,<0.15,<1.0,113.0,27.3,646,16/03/2020,39.0,<30,<0.15,26.2,<5.0,33.6,<0.15,7.3,1.5,462,18.2,30.6
via Iseo,MONZA,<0.15,<1.0,95.5,17.6,574,16/03/2020,33.2,<30,<0.15,22.6,<5.0,22.4,<0.15,8.0,1.3,410,10.0,24.4
Via Pellettier,MONZA,<0.15,<1.0,74.3,17.0,493,16/03/2020,28.1,<30,<0.15,23.3,<5.0,14.0,<0.15,7.7,1.3,352,11.0,24.0
Via Paisiello,MONZA,<0.15,<1.0,101.0,29.7,632,16/03/2020,35.4,<30,<0.15,24.7,<5.0,37.2,<0.15,7.4,1.6,452,14.8,33.0
Via S. Fruttuoso,MONZA,<0.15,<1.0,102.0,21.7,594,16/03/2020,35.3,<30,<0.15,23.8,<5.0,30.4,<0.15,6.6,1.4,425,10.6,30.2
Via Sant'Alessandro,MONZA,<0.15,<1.0,101.0,30.6,618,16/03/2020,35.4,<30,<0.15,24.7,<5.0,36.7,<0.15,7.5,1.5,442,15.9,33.2
"Viale Foscolo, 6",MONZA,<0.15,<1.0,93.2,32.9,613,16/03/2020,31.7,<30,<0.15,20.5,<5.0,26.0,<0.15,7.5,2.4,438,21.2,26.1
"Via Mameli, 18",MONZA,<0.15,<1.0,83.3,15.6,504,16/03/2020,28.9,<30,<0.15,19.7,<5.0,13.2,<0.15,7.6,1.5,360,12.7,20.9
Via Volta Alessandro 27,MONZA,<0.15,<1.0,106.0,35.8,679,16/03/2020,36.2,<30,<0.15,23.7,<5.0,32.7,<0.15,7.4,1.5,485,19.7,30.3
"Via Gentili, 20",MONZA,<0.15,<1.0,95.6,31.3,619,16/03/2020,33.4,<30,<0.15,23.2,<5.0,36.2,<0.15,7.5,1.6,443,14.6,33.4
Via Correggio Allegria 40,MONZA,<0.15,<1.0,92.1,23.1,581,16/03/2020,31.0,<30,<0.15,19.5,<5.0,18.5,<0.15,7.5,1.6,415,16.8,25.8
Via Collodi,MONZA,<0.15,<1.0,94.8,27.7,577,16/03/2020,32.7,<30,<0.15,22.0,<5.0,21.4,<0.15,7.1,2.2,413,21.0,24.1
Via Monte Bisbino,MONZA,<0.15,<1.0,85.5,26.2,519,16/03/2020,29.4,<30,<0.15,19.6,<5.0,27.0,<0.15,7.1,1.6,371,17.5,29.7
via Boito,MONZA,<0.15,<1.0,115.0,28.1,671,16/03/2020,40.3,<30,<0.15,28.2,<5.0,32.2,<0.15,7.4,1.3,480,15.2,30.2
Via S.Alessandro13,MONZA,<0.15,<1.0,97.1,30.8,625,16/03/2020,33.8,<30,<0.15,23.3,<5.0,35.6,<0.15,7.5,1.5,447,14.3,34.8
Viale Enrico Fermi 105,MONZA,<0.15,<1.0,87.4,18.9,535,16/03/2020,30.2,<30,<0.15,20.3,<5.0,16.2,<0.15,7.5,1.6,383,14.4,22.1
"Via Monte Grappa, 1",MONZA,<0.15,<1.0,102.0,41.4,686,16/03/2020,35.3,<30,<0.15,23.9,<5.0,36.4,<0.15,7.5,1.8,490,24.0,34.2
Via Felice Cavallotti,MONZA,<0.15,<1.0,85.1,26.2,521,16/03/2020,29.2,<30,<0.15,19.2,<5.0,27.1,<0.15,7.3,1.6,373,17.0,29.7
"Via Caravaggio, 2",MONZA,<0.15,<1.0,96.4,36.0,667,16/03/2020,33.6,<30,<0.15,23.2,<5.0,32.7,<0.15,7.5,1.7,477,22.2,30.8
"Via Lario, 45",MONZA,<0.15,<1.0,109.0,38.6,698,16/03/2020,38.2,<30,<0.15,26.6,<5.0,43.2,<0.15,7.5,1.9,499,17.0,31.7
Via S.Fruttoso 15,MONZA,<0.15,<1.0,95.7,19.5,583,16/03/2020,33.3,<30,<0.15,22.9,<5.0,30.8,<0.15,7.6,1.4,417,10.0,28.5
Via della Birona,MONZA,<0.15,<1.0,108.0,29.0,665,16/03/2020,37.3,<30,<0.15,25.0,<5.0,32.3,<0.15,7.5,1.4,475,14.3,30.1
Via S. Martino 4,MONZA,<0.15,<1.0,91.4,27.2,576,16/03/2020,33.0,<30,<0.15,24.8,<5.0,20.5,<0.15,7.6,1.6,412,19.6,26.9
"Via Ardigò , 48",MONZA,<0.15,<1.0,64.6,19.7,463,16/03/2020,24.8,<30,<0.15,21.1,<5.0,14.8,<0.15,7.8,1.2,331,9.5,22.3
Piazza Matteotti,MONZA,<0.15,<1.0,104.0,32.6,639,16/03/2020,35.5,33,<0.15,23.1,<5.0,27.9,<0.15,7.5,1.6,457,20.3,30.0
Piazza Trento e Trieste,MONZA,<0.15,<1.0,105.0,42.0,686,16/03/2020,36.0,<30,<0.15,23.7,<5.0,33.3,<0.15,7.4,1.6,490,22.7,32.9
"Via Pier della Francesca, 1",MONZA,<0.15,<1.0,93.9,29.8,601,16/03/2020,32.2,<30,<0.15,21.3,<5.0,23.4,<0.15,7.5,2.2,430,19.7,24.9
Via Bertacchi,MONZA,<0.15,<1.0,76.1,14.8,501,16/03/2020,27.4,<30,<0.15,20.5,<5.0,11.4,<0.15,7.7,1.4,358,10.5,29.7
"Via Amudsen, 10",MONZA,<0.15,<1.0,75.4,17.7,511,16/03/2020,27.4,<30,<0.15,20.7,<5.0,15.7,<0.15,7.5,1.5,365,10.7,24.1
Via Correggio,MONZA,<0.15,<1.0,75.6,16.5,499,16/03/2020,26.7,<30,<0.15,19.0,<5.0,13.7,<0.15,7.6,1.4,357,10.9,22.3
"Via Luca della Robbia, 20",MONZA,<0.15,<1.0,74.8,12.6,453,16/03/2020,26.7,<30,<0.15,19.4,<5.0,12.1,<0.15,7.7,1.3,324,9.4,19.5
"Via Pacinotti, 1",MONZA,<0.15,<1.0,83.0,24.1,546,16/03/2020,29.7,<30,<0.15,21.9,<5.0,24.9,<0.15,7.6,1.5,390,14.3,28.4
Via Sempione 21,MONZA,<0.15,<1.0,88.1,23.7,551,16/03/2020,32.0,92,<0.15,24.3,<5.0,19.1,<0.15,7.6,1.4,394,16.4,27.6
Via della Taccona 16,MONZA,<0.15,<1.0,90.1,21.0,539,16/03/2020,31.2,<30,<0.15,21.1,<5.0,25.8,<0.15,7.5,1.6,385,16.7,31.6
"Via Boccaccio, 1",MONZA,<0.15,<1.0,58.9,14.4,434,16/03/2020,23.6,<30,<0.15,21.6,<5.0,16.2,<0.15,7.9,1.2,310,8.7,19.5
Via Marx,MUGGIÒ,<0.15,<1.0,100.0,26.1,604,16/03/2020,33.8,<30,<0.15,21.5,<5.0,32.9,<0.15,7.5,1.6,432,12.6,32.5
Via Casati,MUGGIÒ,<0.15,<1.0,109.0,28.2,658,16/03/2020,36.9,<30,<0.15,23.5,<5.0,36.5,<0.15,7.4,1.8,470,16.1,35.3
VIA SAN CARLO,MUGGIÒ,<0.15,<1.0,111.0,28.8,678,16/03/2020,37.6,39,<0.15,23.9,<5.0,36.2,<0.15,7.4,1.7,485,16.8,36.0
VIA D'AZEGLIO,MUGGIÒ,<0.15,<1.0,87.9,13.9,509,16/03/2020,30.6,<30,<0.15,20.9,<5.0,27.2,<0.15,7.8,1.3,364,8.8,22.5
"Via Ricostruzione, 3",MUGGIÒ,<0.15,<1.0,99.5,25.9,614,16/03/2020,33.5,<30,<0.15,21.1,<5.0,33.9,<0.15,7.5,1.7,439,13.0,31.5
"Via Ricostruzione, 3",MUGGIÒ,<0.15,<1.0,99.2,27.9,616,16/03/2020,33.4,<30,<0.15,21.0,<5.0,34.9,<0.15,7.5,1.7,440,13.5,33.6
Via De Gasperi,MUGGIÒ,<0.15,<1.0,102.0,26.9,603,16/03/2020,34.1,<30,<0.15,20.9,<5.0,33.8,<0.15,7.5,1.7,431,13.7,32.5
Via del Parco,MUGGIÒ,<0.15,<1.0,73.9,10.8,433,16/03/2020,25.3,<30,<0.15,16.7,<5.0,20.0,<0.15,7.9,1.3,310,8.9,17.3
"Via Montegrappa, 12",MUGGIÒ,<0.15,<1.0,111.0,28.8,683,16/03/2020,37.7,<30,<0.15,24.2,<5.0,36.2,<0.15,7.4,1.7,488,16.7,36.0
Via C. Battisti,MUGGIÒ,<0.15,<1.0,102.0,27.4,638,16/03/2020,34.3,<30,<0.15,21.4,<5.0,36.2,<0.15,7.5,1.8,456,14.6,34.1
"Via Roma, 71, 20835 Muggiò MB, Italia",MUGGIÒ,<0.15,<1.0,109.0,30.3,630,16/03/2020,36.0,<30,<0.15,21.4,<5.0,41.5,<0.15,7.5,2.0,450,14.6,34.9
VIA ROMA,MUGGIÒ,<0.15,<1.0,97.7,26.8,598,16/03/2020,32.6,<30,0.16,19.9,<5.0,36.5,<0.15,7.8,1.8,428,13.6,33.3
Via Locatelli,NOVA MILANESE,<0.15,<1.0,92.8,21.9,525,16/03/2020,29.3,<30,<0.15,14.8,<5.0,33.6,<0.15,7.6,1.3,375,12.5,28.9
Via Giacomo Brodolini,NOVA MILANESE,<0.15,<1.0,95.3,21.8,546,16/03/2020,30.7,<30,<0.15,16.7,<5.0,34.8,<0.15,7.5,1.4,390,12.3,24.8
Via Venezia,NOVA MILANESE,<0.15,<1.0,84.0,19.2,491,16/03/2020,26.7,<30,<0.15,13.9,<5.0,30.8,<0.15,7.6,1.5,351,15.0,23.0
Via De Gasperi,NOVA MILANESE,<0.15,<1.0,95.3,21.7,539,16/03/2020,29.9,<30,<0.15,14.9,<5.0,37.8,<0.15,7.5,1.4,385,11.1,30.2
Via Zara,NOVA MILANESE,<0.15,<1.0,95.3,19.7,502,16/03/2020,30.6,<30,<0.15,16.5,<5.0,32.6,<0.15,7.5,1.3,359,13.5,23.6
Via Carlo Pisacane,NOVA MILANESE,<0.15,<1.0,76.3,18.2,491,16/03/2020,24.0,<30,<0.15,12.1,<5.0,30.3,<0.15,7.5,1.5,351,13.9,22.4
Via Novati,NOVA MILANESE,<0.15,<1.0,79.3,19.0,509,16/03/2020,25.2,<30,<0.15,13.0,<5.0,33.2,<0.15,7.5,1.2,364,11.1,25.0
"Via Giorgio Biondi, 12",NOVA MILANESE,<0.15,<1.0,72.5,16.0,452,16/03/2020,23.0,<30,<0.15,11.9,<5.0,27.9,<0.15,7.5,1.1,323,9.9,20.3
Via Fiume 28,NOVA MILANESE,<0.15,<1.0,82.0,18.1,494,16/03/2020,26.1,<30,<0.15,13.6,<5.0,29.9,<0.15,7.7,1.5,353,14.7,22.2
"Via Giuseppe Mazzini, 39",NOVA MILANESE,<0.15,<1.0,84.0,18.3,503,16/03/2020,26.6,<30,<0.15,13.6,<5.0,29.7,<0.15,7.7,1.3,360,13.6,24.1
Via Pietro Verri,ORNAGO,<0.15,<1.0,95.5,15.0,556,16/03/2020,33.2,<30,<0.15,22.7,<5.0,28.6,<0.15,7.5,1.3,398,9.6,27.0
Via Cascina Rossino,ORNAGO,<0.15,<1.0,91.3,14.6,553,16/03/2020,31.8,<30,<0.15,21.9,<5.0,27.7,<0.15,7.5,1.3,395,8.9,26.7
"Via A. Moro, 17",ORNAGO,<0.15,<1.0,114.0,14.3,652,16/03/2020,38.2,<30,<0.15,23.7,<5.0,30.0,<0.15,7.5,1.4,466,12.4,28.1
Via Maria Montessori,RENATE,<0.15,<1.0,79.7,19.2,490,16/03/2020,26.8,<30,<0.15,16.8,<5.0,20.7,<0.15,7.6,1.6,350,12.8,27.2
"Via Rimembranze, 23 20838 Renate MB",RENATE,<0.15,<1.0,112.0,22.8,704,16/03/2020,41.7,<30,<0.15,33.4,<5.0,30.9,<0.15,7.3,2.3,503,17.0,34.7
Via Alessandro Manzoni,RENATE,<0.15,<1.0,91.5,20.8,591,16/03/2020,32.4,<30,<0.15,23.2,17.0,24.6,<0.15,7.4,2.1,423,13.9,31.0
"Via Tripoli, 7",RENATE,<0.15,<1.0,79.8,18.7,494,16/03/2020,26.8,<30,<0.15,16.8,<5.0,21.6,<0.15,7.6,1.6,353,12.5,27.1
Piazza Dante Alighieri,RONCO BRIANTINO,<0.15,<1.0,98.1,13.9,585,16/03/2020,33.8,73,<0.15,22.5,<5.0,26.4,<0.15,7.5,2.4,418,10.2,24.6
Via Eligio Brigatti,RONCO BRIANTINO,<0.15,<1.0,90.8,13.6,542,16/03/2020,31.6,<30,<0.15,21.6,<5.0,26.3,<0.15,7.5,2.4,388,10.5,23.9
Via Mandelli,RONCO BRIANTINO,<0.15,<1.0,101.0,14.2,588,16/03/2020,34.9,<30,<0.15,23.4,<5.0,28.2,<0.15,7.5,2.4,420,10.8,26.2
"Fontanella Via Cesare Battisti, 19",RONCO BRIANTINO,<0.15,<1.0,92.5,13.5,538,16/03/2020,32.1,<30,<0.15,21.9,<5.0,26.3,<0.15,7.4,2.4,385,10.7,24.0
"Via Vincenzo Bellini, 3",SEREGNO,<0.15,<1.0,77.5,18.3,493,16/03/2020,28.8,<30,<0.15,23.0,<5.0,27.0,<0.15,7.5,1.5,352,10.4,25.0
VIA CORSICA,SEREGNO,<0.15,<1.0,105.0,22.4,668,16/03/2020,37.1,<30,<0.15,26.5,<5.0,28.2,<0.15,7.4,1.6,478,12.6,29.6
VIA SOLFERINO,SEREGNO,<0.15,<1.0,76.8,14.8,453,16/03/2020,25.6,<30,<0.15,15.7,<5.0,29.8,<0.15,7.8,1.1,324,9.3,21.3
VIA BRIANTINA,SEREGNO,<0.15,<1.0,82.1,18.1,548,16/03/2020,30.8,<30,<0.15,25.0,<5.0,30.7,<0.15,7.5,1.4,392,9.6,27.2
VIA UMBRIA,SEREGNO,<0.15,<1.0,60.1,15.0,417,16/03/2020,24.4,<30,<0.15,22.8,<5.0,16.4,<0.15,7.2,1.4,298,13.1,19.4
Via Riccardo Wagner,SEREGNO,<0.15,<1.0,99.8,22.6,582,16/03/2020,30.9,<30,<0.15,14.6,<5.0,34.1,<0.15,7.5,2.1,416,12.0,23.7
VIA ZARA,SEREGNO,<0.15,<1.0,99.6,21.0,570,16/03/2020,31.1,<30,<0.15,15.0,<5.0,33.9,<0.15,7.4,1.9,408,11.5,23.2
VIA DON ORIONE,SEREGNO,<0.15,<1.0,110.0,23.1,641,16/03/2020,38.9,<30,<0.15,27.7,<5.0,30.4,<0.15,7.5,1.6,458,14.1,29.4
Via Giovanni Pacini,SEREGNO,<0.15,<1.0,94.3,23.1,570,16/03/2020,30.7,<30,<0.15,17.4,<5.0,35.3,<0.15,7.6,1.6,408,11.8,24.9
VIA ERODOTO,SEREGNO,<0.15,<1.0,95.1,22.6,565,16/03/2020,31.1,<30,<0.15,17.9,<5.0,34.8,<0.15,7.7,1.6,404,11.6,25.2
VIA UMBERTO I,SEREGNO,<0.15,<1.0,112.0,23.6,613,16/03/2020,37.7,<30,<0.15,23.7,<5.0,31.9,<0.15,6.8,1.8,438,15.0,26.9
STRADA VICINALE SAN SALVATORE,SEREGNO,<0.15,<1.0,59.1,15.0,419,16/03/2020,23.9,<30,<0.15,22.3,<5.0,16.4,<0.15,7.4,1.4,300,14.0,19.2
"Piazzale Cadorna, 3",SEREGNO,<0.15,<1.0,87.2,18.5,577,16/03/2020,32.0,<30,<0.15,24.9,<5.0,29.7,<0.15,7.7,1.5,413,10.3,27.0
Via giovanni Pacini,SEREGNO,<0.15,<1.0,94.5,22.2,561,16/03/2020,30.9,<30,<0.15,17.7,<5.0,34.3,<0.15,7.5,1.6,401,11.6,24.7
VIA MESSINA - VIA COPENAGHEN,SEREGNO,<0.15,<1.0,99.7,19.9,595,16/03/2020,36.1,<30,<0.15,27.3,<5.0,28.9,<0.15,7.2,1.6,425,13.7,28.9
VIALE TIZIANO,SEREGNO,<0.15,<1.0,112.0,23.8,627,16/03/2020,37.5,<30,<0.15,23.2,<5.0,32.1,<0.15,7.2,1.8,448,16.2,27.5
