alias_city,alias_address,aqueduct,urlPage,georeferencingString,type
Pergine Valsugana,Maso Casot,Maso Casot,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Casot, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Nogare',Nogare',https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Nogare', Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Rifugio Panarotta,Panarotta,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Rifugio Panarotta, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Roncogno,Roncogno,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Roncogno, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,San Cristoforo,"San Cristoforo, Canale, Valcanover",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"San Cristoforo, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Canale (bassa),"San Cristoforo, Canale, Valcanover",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Canale (bassa), Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,San Cristoforo,"San Cristoforo, Canale, Valcanover",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"San Cristoforo, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Dos Di san Cristoforo,"San Cristoforo, Canale, Valcanover",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Dos Di san Cristoforo, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso Toldi,"San Vito, Pianezza, Puller",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Toldi, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso Ungherle,"San Vito, Pianezza, Puller",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Ungherle, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso Pianezza,"San Vito, Pianezza, Puller",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Pianezza, Pergine Valsugana, TN, Trentino",POINT
