alias_address,alias_city,aqueduct,data_report,urlReport
Susa',Pergine Valsugana,Susa',1° semestre 2019,https://www.stetspa.it/sites/default/files/913908_10.pdf
Valar,Pergine Valsugana,Valar,1° semestre 2019,https://www.stetspa.it/sites/default/files/913902_10.pdf
Viarago,Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
Cittadella,Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
Toffolazzi,Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
Canezza (Portolo),Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
maso Girardi,Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
Palaori,Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
Drazzeri,Pergine Valsugana,"Viarago, Cittadella, Portolo",1° semestre 2019,https://www.stetspa.it/sites/default/files/913914_10.pdf
Visintainer,Pergine Valsugana,Visintainer,1° semestre 2019,https://www.stetspa.it/sites/default/files/913919_10.pdf
Fornaselle,Pergine Valsugana,Visintainer,1° semestre 2019,https://www.stetspa.it/sites/default/files/913919_10.pdf
Zava,Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Pozza,Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Ischia,Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Maso Braito,Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Assizzi (alta),Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Doss dei Masetti,Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Castello di Pergine,Pergine Valsugana,"Zava, Ischia, Assizzi Alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913904_10.pdf
Barco,Levico Terme,Barco,1° semestre 2019,https://www.stetspa.it/sites/default/files/910402_10.pdf
Campiello,Levico Terme,Campiello,1° semestre 2019,https://www.stetspa.it/sites/default/files/910404_10.pdf
Levico Nord/Est - Selva - Gocciadoro - Valdrana,Levico Terme,Levico Nord / Est - Selva,1° semestre 2019,https://www.stetspa.it/sites/default/files/910408_10.pdf
