alias_address,alias_address_value,alias_city,alias_province,geocode,geometry,georeferencingString,type
Tutte Le Zone,60,CASTEL SAN GIOVANNI,PC,"Castel San Giovanni, PC","{'type': 'Point', 'coordinates': [9.43512000000004, 45.060560000000066]}",", CASTEL SAN GIOVANNI, PC, Emilia Romagna",POINT
Tutte Le Zone,61,CASTELL'ARQUATO,PC,"Castell'Arquato, PC","{'type': 'Point', 'coordinates': [9.871930000000077, 44.85296000000005]}",", CASTELL'ARQUATO, PC, Emilia Romagna",POINT
Tutte Le Zone,62,CASTELVETRO PIACENTINO,PC,"Castelvetro Piacentino, PC","{'type': 'Point', 'coordinates': [9.98929000000004, 45.107300000000066]}",", CASTELVETRO PIACENTINO, PC, Emilia Romagna",POINT
Tutte Le Zone,65,CERIGNALE,PC,"Cerignale, PC","{'type': 'Point', 'coordinates': [9.350700000000074, 44.67719000000005]}",", CERIGNALE, PC, Emilia Romagna",POINT
Tutte Le Zone,63,COLI,PC,"Coli, PC","{'type': 'Point', 'coordinates': [9.414660000000026, 44.74524000000008]}",", COLI, PC, Emilia Romagna",POINT
Tutte Le Zone,64,CORTE BRUGNATELLA,PC,"Corte Brugnatella, PC","{'type': 'Point', 'coordinates': [9.381250000000023, 44.71381000000008]}",", CORTE BRUGNATELLA, PC, Emilia Romagna",POINT
Tutte Le Zone,437,CORTEMAGGIORE,PC,"Cortemaggiore, PC","{'type': 'Point', 'coordinates': [9.93085000000002, 44.994890000000055]}",", CORTEMAGGIORE, PC, Emilia Romagna",POINT
Tutte Le Zone,66,FARINI,PC,"Farini, PC","{'type': 'Point', 'coordinates': [9.569710000000043, 44.71368000000007]}",", FARINI, PC, Emilia Romagna",POINT
Tutte Le Zone,67,FERRIERE,PC,"Ferriere, PC","{'type': 'Point', 'coordinates': [9.498030000000028, 44.643980000000056]}",", FERRIERE, PC, Emilia Romagna",POINT
Tutte Le Zone,68,FIORENZUOLA D'ARDA,PC,"Fiorenzuola d'Arda, PC","{'type': 'Point', 'coordinates': [9.907880000000034, 44.93047000000007]}",", FIORENZUOLA D'ARDA, PC, Emilia Romagna",POINT
Tutte Le Zone,69,GAZZOLA,PC,"Gazzola, PC","{'type': 'Point', 'coordinates': [9.548680000000047, 44.96032000000008]}",", GAZZOLA, PC, Emilia Romagna",POINT
Tutte Le Zone,70,GOSSOLENGO,PC,"Gossolengo, PC","{'type': 'Point', 'coordinates': [9.625090000000057, 45.00482000000005]}",", GOSSOLENGO, PC, Emilia Romagna",POINT
Tutte Le Zone,71,GRAGNANO TREBBIENSE,PC,"Gragnano Trebbiense, PC","{'type': 'Point', 'coordinates': [9.567990000000066, 45.01457000000005]}",", GRAGNANO TREBBIENSE, PC, Emilia Romagna",POINT
Tutte Le Zone,72,GROPPARELLO,PC,"Gropparello, PC","{'type': 'Point', 'coordinates': [9.730450000000076, 44.83218000000005]}",", GROPPARELLO, PC, Emilia Romagna",POINT
Tutte Le Zone,73,LUGAGNANO VAL D'ARDA,PC,"Lugagnano Val d'Arda, PC","{'type': 'Point', 'coordinates': [9.825210000000027, 44.821690000000046]}",", LUGAGNANO VAL D'ARDA, PC, Emilia Romagna",POINT
Tutte Le Zone,74,MONTICELLI D'ONGINA,PC,"Monticelli d'Ongina, PC","{'type': 'Point', 'coordinates': [9.932990000000075, 45.08818000000008]}",", MONTICELLI D'ONGINA, PC, Emilia Romagna",POINT
Tutte Le Zone,75,MORFASSO,PC,"Morfasso, PC","{'type': 'Point', 'coordinates': [9.702690000000075, 44.72276000000005]}",", MORFASSO, PC, Emilia Romagna",POINT
Tutte Le Zone,76,NIBBIANO,PC,"Nibbiano, Alta Val Tidone, PC","{'type': 'Point', 'coordinates': [9.327590000000043, 44.90521000000007]}",", NIBBIANO, PC, Emilia Romagna",POINT
Tutte Le Zone,77,OTTONE,PC,"Ottone, PC","{'type': 'Point', 'coordinates': [9.331230000000062, 44.623680000000036]}",", OTTONE, PC, Emilia Romagna",POINT
Tutte Le Zone,78,PECORARA,PC,"Pecorara, Alta Val Tidone, PC","{'type': 'Point', 'coordinates': [9.384040000000027, 44.874870000000044]}",", PECORARA, PC, Emilia Romagna",POINT
Tutte Le Zone,79,PIACENZA,PC,"Piacenza, PC","{'type': 'Point', 'coordinates': [9.701760000000036, 45.05660000000006]}",", PIACENZA, PC, Emilia Romagna",POINT
Tutte Le Zone,80,PIANELLO VAL TIDONE,PC,"Pianello Val Tidone, PC","{'type': 'Point', 'coordinates': [9.406900000000064, 44.94905000000006]}",", PIANELLO VAL TIDONE, PC, Emilia Romagna",POINT
Tutte Le Zone,81,PIOZZANO,PC,"Piozzano, PC","{'type': 'Point', 'coordinates': [9.496740000000045, 44.926870000000065]}",", PIOZZANO, PC, Emilia Romagna",POINT
Tutte Le Zone,82,PODENZANO,PC,"Podenzano, PC","{'type': 'Point', 'coordinates': [9.681710000000066, 44.95739000000003]}",", PODENZANO, PC, Emilia Romagna",POINT
Tutte Le Zone,83,PONTE DELL'OLIO,PC,"Ponte dell'Olio, PC","{'type': 'Point', 'coordinates': [9.64369000000005, 44.87262000000004]}",", PONTE DELL'OLIO, PC, Emilia Romagna",POINT
Tutte Le Zone,84,PONTENURE,PC,"Pontenure, PC","{'type': 'Point', 'coordinates': [9.786090000000058, 45.000950000000046]}",", PONTENURE, PC, Emilia Romagna",POINT
