alias_address,alias_city,ammoniaca,arsenico,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Varese centro,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Biumo Inferiore,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Bosto,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Belforte,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Giubiano,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Valle Olona,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
S. Fermo,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
S.Gallo,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
S.Carlo,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Ippodromo,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Valganna,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Valmonte- Mentasti,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
via Vela,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Campigli,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Calcinate Degli Orrigoni,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Lissago,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Cartabbia,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Capolago,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Casbeno,Varese zona 1,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Bustecche,Varese zona 2,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Bizzozzero,Varese zona 2,<0.02,<1,52,0.06,17,521,24/01/2020,19,<10,nan,14,<1,18,<0.10,7.5,<1,373,6,15
Comune,Veddasca,<0.02,<1,3,0.07,<5,37,31/12/2019,1,23,0.38,1,4,4,<0.10,7.2,<1,46,2,<10
