alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,Cittiglio,"Cittiglio, Varese","{'type': 'Point', 'coordinates': [8.666070000000047, 45.895350000000064]}",", Cittiglio, Lombardia, Italia",POINT
Comune,Cittiglio Zona Vararo,"Vararo, Cittiglio, Varese","{'type': 'Point', 'coordinates': [8.653640000000053, 45.92203000000006]}",", Cittiglio  Vararo, Lombardia, Italia",POINT
Comune,Comerio,"Comerio, Varese","{'type': 'Point', 'coordinates': [8.747240000000033, 45.84170000000006]}",", Comerio, Lombardia, Italia",POINT
Comune,Cunardo,"Cunardo, Varese","{'type': 'Point', 'coordinates': [8.804630000000031, 45.93530000000004]}",", Cunardo, Lombardia, Italia",POINT
Comune,Daverio,"Daverio, Varese","{'type': 'Point', 'coordinates': [8.770140000000026, 45.776740000000075]}",", Daverio, Lombardia, Italia",POINT
Comune,Galliate Lombardo,"Galliate Lombardo, Varese","{'type': 'Point', 'coordinates': [8.770470000000046, 45.78511000000003]}",", Galliate Lombardo, Lombardia, Italia",POINT
Comune,Gazzada Schianno,"Gazzada Schianno, Varese","{'type': 'Point', 'coordinates': [8.823180000000036, 45.77829000000003]}",", Gazzada Schianno, Lombardia, Italia",POINT
Comune,Germignaga Zona 1,"Via Germignaga 1, 21010, Brezzo di Bedero, Varese","{'type': 'Point', 'coordinates': [8.715309145017047, 45.979647233971946]}",", Germignaga  1, Lombardia, Italia",POINT
Comune,Germignaga Zona 2,"Via Germignaga 2, 21010, Brezzo di Bedero, Varese","{'type': 'Point', 'coordinates': [8.714619291447717, 45.98135241355524]}",", Germignaga  2, Lombardia, Italia",POINT
Comune,Inarzo,"Inarzo, Varese","{'type': 'Point', 'coordinates': [8.734180000000038, 45.78537000000006]}",", Inarzo, Lombardia, Italia",POINT
Comune,Induno Olona,"Induno Olona, Varese","{'type': 'Point', 'coordinates': [8.839500000000044, 45.852280000000064]}",", Induno Olona, Lombardia, Italia",POINT
Comune,Jerago con Orago,"Jerago con Orago, Varese","{'type': 'Point', 'coordinates': [8.793640000000039, 45.707170000000076]}",", Jerago con Orago, Lombardia, Italia",POINT
Comune,Lozza,"Lozza, Varese","{'type': 'Point', 'coordinates': [8.85588000000007, 45.775690000000054]}",", Lozza, Lombardia, Italia",POINT
Luino centro,Luino zona 1,Luino,"{'type': 'Point', 'coordinates': [8.744760000000042, 46.00011000000006]}","Luino centro, Luino  1, Lombardia, Italia",POINT
Voldomino Inferiore,Luino zona 1,"Voldomino, Luino, Varese","{'type': 'Point', 'coordinates': [8.749030000000062, 45.98810000000003]}","Voldomino Inferiore, Luino  1, Lombardia, Italia",POINT
Baggiolina,Luino zona 1,"Via Baggiolina, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.751440054254452, 45.986177772548125]}","Baggiolina, Luino  1, Lombardia, Italia",POINT
Loc. Longhirolo,Luino zona 2,"Via Longhirolo, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.773483725744574, 46.00064824907677]}","Loc. Longhirolo, Luino  2, Lombardia, Italia",POINT
Pianazzo,Luino zona 2,"Pianazzo, Luino, Varese","{'type': 'Point', 'coordinates': [8.786310000000071, 45.999720000000025]}","Pianazzo, Luino  2, Lombardia, Italia",POINT
Torbere,Luino zona 2,"Via Torbiere, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.77766551258615, 46.00500967244196]}","Torbere, Luino  2, Lombardia, Italia",POINT
Valdo,Luino zona 2,"Vicolo Valdo, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.772407113351553, 46.006793172845896]}","Valdo, Luino  2, Lombardia, Italia",POINT
Moncucco,Luino zona 2,"Via Moncucco, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.754663112274086, 45.99806530581612]}","Moncucco, Luino  2, Lombardia, Italia",POINT
Creva,Luino zona 2,"Creva, Luino, Varese","{'type': 'Point', 'coordinates': [8.755260000000021, 45.99386000000004]}","Creva, Luino  2, Lombardia, Italia",POINT
Carnella,Luino zona 2,"Via Carnella, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.749422267328363, 46.006741069313456]}","Carnella, Luino  2, Lombardia, Italia",POINT
Loc.Poppino,Luino Zona 4,"Poppino, Luino, Varese","{'type': 'Point', 'coordinates': [8.764760000000024, 46.014770000000055]}","Loc.Poppino, Luino  4, Lombardia, Italia",POINT
Bonga,Luino Zona 4,"Via Bonga, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.762361603664457, 46.01998984635175]}","Bonga, Luino  4, Lombardia, Italia",POINT
Gaggio,Luino Zona 4,"Gaggio, Luino, Varese","{'type': 'Point', 'coordinates': [8.756700000000023, 46.02054000000004]}","Gaggio, Luino  4, Lombardia, Italia",POINT
Loc.Colmegna,Luino zona 5,"Colmegna, Luino, Varese","{'type': 'Point', 'coordinates': [8.754410000000064, 46.02436000000006]}","Loc.Colmegna, Luino  5, Lombardia, Italia",POINT
loc. Biviglione,Luino zona 6,"Via Biviglione, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.775209282916757, 45.98689434277505]}","loc. Biviglione, Luino  6, Lombardia, Italia",POINT
Loc.Voldomino superiore,Luino zona 7,"Voldomino, Luino, Varese","{'type': 'Point', 'coordinates': [8.749030000000062, 45.98810000000003]}","Loc.Voldomino superiore, Luino  7, Lombardia, Italia",POINT
Comune,Luvinate,"Luvinate, Varese","{'type': 'Point', 'coordinates': [8.767760000000067, 45.83981000000006]}",", Luvinate, Lombardia, Italia",POINT
Fraz.Caviggia,Maccagno zona 1,"Maccagno, Maccagno con Pino e Veddasca, Varese","{'type': 'Point', 'coordinates': [8.73825000000005, 46.04365000000007]}","Fraz.Caviggia, Maccagno  1, Lombardia, Italia",POINT
Veddo,Maccagno zona 1,"Maccagno, Maccagno con Pino e Veddasca, Varese","{'type': 'Point', 'coordinates': [8.73825000000005, 46.04365000000007]}","Veddo, Maccagno  1, Lombardia, Italia",POINT
Comune,Malnate,"Malnate, Varese","{'type': 'Point', 'coordinates': [8.878030000000024, 45.799840000000074]}",", Malnate, Lombardia, Italia",POINT
Comune,Marzio,"Marzio, Varese","{'type': 'Point', 'coordinates': [8.86289000000005, 45.93974000000003]}",", Marzio, Lombardia, Italia",POINT
Comune,Monvalle,"Monvalle, Varese","{'type': 'Point', 'coordinates': [8.632550000000037, 45.85418000000004]}",", Monvalle, Lombardia, Italia",POINT
Comune,Morazzone,"Morazzone, Varese","{'type': 'Point', 'coordinates': [8.830380000000048, 45.769420000000025]}",", Morazzone, Lombardia, Italia",POINT
Comune,Sangiano,"Sangiano, Varese","{'type': 'Point', 'coordinates': [8.632110000000068, 45.87281000000007]}",", Sangiano, Lombardia, Italia",POINT
Bosto,Varese zona 1,"Vicolo per Bosto, 21100, Varese","{'type': 'Point', 'coordinates': [8.830001543518119, 45.81291779698339]}","Bosto, Varese  1, Lombardia, Italia",POINT
Belforte,Varese zona 1,Belforte Varese,"{'type': 'Point', 'coordinates': [8.847259974464807, 45.816140000000075]}","Belforte, Varese  1, Lombardia, Italia",POINT
Valle Olona,Varese zona 1,"Strada Provinciale della Valle Olona, 21040, Venegono Inferiore, Varese","{'type': 'Point', 'coordinates': [8.901237735920933, 45.73215569675821]}","Valle Olona, Varese  1, Lombardia, Italia",POINT
Valle Olona,Varese zona 1,"Strada Provinciale della Valle Olona, 21040, Venegono Inferiore, Varese","{'type': 'Point', 'coordinates': [8.901237735920933, 45.73215569675821]}","Valle Olona, Varese  1, Lombardia, Italia",POINT
