alias_city,alias_address,georeferencingString,type
Varese zona 3,Avigno,"Avigno, Varese  3, Lombardia, Italia",POINT
Varese zona 3,Masnago,"Masnago, Varese  3, Lombardia, Italia",POINT
Varese zona 3,Montello,"Montello, Varese  3, Lombardia, Italia",POINT
Varese zona 3,Brunella,"Brunella, Varese  3, Lombardia, Italia",POINT
Varese zona 3,Biumo Superiore,"Biumo Superiore, Varese  3, Lombardia, Italia",POINT
Varese zona 3,Morosolo,"Morosolo, Varese  3, Lombardia, Italia",POINT
Varese zona 3,Velate,"Velate, Varese  3, Lombardia, Italia",POINT
Varese zona 3,loc.Oronco,"loc.Oronco, Varese  3, Lombardia, Italia",POINT
Varese zona 3,zona I°Cappella,"zona I°Cappella, Varese  3, Lombardia, Italia",POINT
Varese zona 4,S. Ambrogio,"S. Ambrogio, Varese  4, Lombardia, Italia",POINT
Varese zona 4,Fogliaro,"Fogliaro, Varese  4, Lombardia, Italia",POINT
Varese zona 4,Bregazzana,"Bregazzana, Varese  4, Lombardia, Italia",POINT
Varese zona 4,Molinetto Mulini Grassi,"Molinetto Mulini Grassi, Varese  4, Lombardia, Italia",POINT
Varese zona 5,Rasa,"Rasa, Varese  5, Lombardia, Italia",POINT
Varese zona 5,Provinciale per la Rasa,"Provinciale per la Rasa, Varese  5, Lombardia, Italia",POINT
Varese zona 6,S.M. Del Monte,"S.M. Del Monte, Varese  6, Lombardia, Italia",POINT
Varese zona 6,Campo dei Fiori,"Campo dei Fiori, Varese  6, Lombardia, Italia",POINT
Varese zona 7,Bobbiate,"Bobbiate, Varese  7, Lombardia, Italia",POINT
Varese zona 7,Schiranna,"Schiranna, Varese  7, Lombardia, Italia",POINT
Veddasca,Comune,", Veddasca, Lombardia, Italia",POINT
