alias_city,alias_address,georeferencingString,type
COSSANO CANAVESE,Comune,"COSSANO CANAVESE, Piemonte, Italia",POINT
CUCEGLIO,Comune,"CUCEGLIO, Piemonte, Italia",POINT
CUMIANA,Comune,"CUMIANA, Piemonte, Italia",POINT
CUORGNE’,Comune,"CUORGNE’, Piemonte, Italia",POINT
DRUENTO,Comune,"DRUENTO, Piemonte, Italia",POINT
EXILLES,Comune,"EXILLES, Piemonte, Italia",POINT
FAVRIA,Comune,"FAVRIA, Piemonte, Italia",POINT
FELETTO,Comune,"FELETTO, Piemonte, Italia",POINT
FIANO,Comune,"FIANO, Piemonte, Italia",POINT
FIORANO CANAVESE,Comune,"FIORANO CANAVESE, Piemonte, Italia",POINT
FOGLIZZO,Comune,"FOGLIZZO, Piemonte, Italia",POINT
FORNO CANAVESE,Comune,"FORNO CANAVESE, Piemonte, Italia",POINT
FRASSINETTO,Comune,"FRASSINETTO, Piemonte, Italia",POINT
FRONT,Comune,"FRONT, Piemonte, Italia",POINT
FROSSASCO,Comune,"FROSSASCO, Piemonte, Italia",POINT
GARZIGLIANA,Comune,"GARZIGLIANA, Piemonte, Italia",POINT
GASSINO TORINESE,Comune,"GASSINO TORINESE, Piemonte, Italia",POINT
GERMAGNANO,Comune,"GERMAGNANO, Piemonte, Italia",POINT
GIAGLIONE,Comune,"GIAGLIONE, Piemonte, Italia",POINT
GIAVENO,Comune,"GIAVENO, Piemonte, Italia",POINT
GIVOLETTO,Comune,"GIVOLETTO, Piemonte, Italia",POINT
GRAVERE,Comune,"GRAVERE, Piemonte, Italia",POINT
GROSCAVALLO,Comune,"GROSCAVALLO, Piemonte, Italia",POINT
GROSSO,Comune,"GROSSO, Piemonte, Italia",POINT
GRUGLIASCO,Comune,"GRUGLIASCO, Piemonte, Italia",POINT
INGRIA,Comune,"INGRIA, Piemonte, Italia",POINT
INVERSO PINASCA,Comune,"INVERSO PINASCA, Piemonte, Italia",POINT
ISOLABELLA,Comune,"ISOLABELLA, Piemonte, Italia",POINT
ISSIGLIO,Comune,"ISSIGLIO, Piemonte, Italia",POINT
IVREA,Comune,"IVREA, Piemonte, Italia",POINT
LA CASSA,Comune,"LA CASSA, Piemonte, Italia",POINT
LA LOGGIA,Comune,"LA LOGGIA, Piemonte, Italia",POINT
LANZO TORINESE,Comune,"LANZO TORINESE, Piemonte, Italia",POINT
LEINI’,Comune,"LEINI’, Piemonte, Italia",POINT
LEMIE,Comune,"LEMIE, Piemonte, Italia",POINT
LESSOLO,Comune,"LESSOLO, Piemonte, Italia",POINT
LEVONE,Comune,"LEVONE, Piemonte, Italia",POINT
LOCANA,Comune,"LOCANA, Piemonte, Italia",POINT
LOMBARDORE,Comune,"LOMBARDORE, Piemonte, Italia",POINT
LOMBRIASCO,Comune,"LOMBRIASCO, Piemonte, Italia",POINT
LORANZE’,Comune,"LORANZE’, Piemonte, Italia",POINT
LUSERNA SAN GIOVANNI,Comune,"LUSERNA SAN GIOVANNI, Piemonte, Italia",POINT
LUSERNETTA,Comune,"LUSERNETTA, Piemonte, Italia",POINT
LUSIGLIE’,Comune,"LUSIGLIE’, Piemonte, Italia",POINT
MACELLO,Comune,"MACELLO, Piemonte, Italia",POINT
MAGLIONE,Comune,"MAGLIONE, Piemonte, Italia",POINT
MAPPANO,Comune,"MAPPANO, Piemonte, Italia",POINT
MARENTINO,Comune,"MARENTINO, Piemonte, Italia",POINT
MASSELLO,Comune,"MASSELLO, Piemonte, Italia",POINT
MATHI,Comune,"MATHI, Piemonte, Italia",POINT
MATTIE,Comune,"MATTIE, Piemonte, Italia",POINT
MAZZE’,Comune,"MAZZE’, Piemonte, Italia",POINT
MEANA DI SUSA,Comune,"MEANA DI SUSA, Piemonte, Italia",POINT
MERCENASCO,Comune,"MERCENASCO, Piemonte, Italia",POINT
MEZZENILE,Comune,"MEZZENILE, Piemonte, Italia",POINT
MOMBELLO DI TORINO,Comune,"MOMBELLO DI TORINO, Piemonte, Italia",POINT
MOMPANTERO,Comune,"MOMPANTERO, Piemonte, Italia",POINT
MONASTERO DI LANZO,Comune,"MONASTERO DI LANZO, Piemonte, Italia",POINT
MONCALIERI,Comune,"MONCALIERI, Piemonte, Italia",POINT
MONCENISIO,Comune,"MONCENISIO, Piemonte, Italia",POINT
MONTALDO TORINESE,Comune,"MONTALDO TORINESE, Piemonte, Italia",POINT
MONTALENGHE,Comune,"MONTALENGHE, Piemonte, Italia",POINT
MONTALTO DORA,Comune,"MONTALTO DORA, Piemonte, Italia",POINT
MONTANARO,Comune,"MONTANARO, Piemonte, Italia",POINT
NICHELINO,Comune,"NICHELINO, Piemonte, Italia",POINT
NOASCA,Comune,"NOASCA, Piemonte, Italia",POINT
NOLE,Comune,"NOLE, Piemonte, Italia",POINT
NOMAGLIO,Comune,"NOMAGLIO, Piemonte, Italia",POINT
NONE,Comune,"NONE, Piemonte, Italia",POINT
NOVALESA,Comune,"NOVALESA, Piemonte, Italia",POINT
OGLIANICO,Comune,"OGLIANICO, Piemonte, Italia",POINT
ORBASSANO,Comune,"ORBASSANO, Piemonte, Italia",POINT
ORIO CANAVESE,Comune,"ORIO CANAVESE, Piemonte, Italia",POINT
OSASCO,Comune,"OSASCO, Piemonte, Italia",POINT
OSASIO,Comune,"OSASIO, Piemonte, Italia",POINT
OULX,Comune,"OULX, Piemonte, Italia",POINT
OZEGNA,Comune,"OZEGNA, Piemonte, Italia",POINT
PANCALIERI,Comune,"PANCALIERI, Piemonte, Italia",POINT
PARELLA,Comune,"PARELLA, Piemonte, Italia",POINT
PAVAROLO,Comune,"PAVAROLO, Piemonte, Italia",POINT
PAVONE CANAVESE,Comune,"PAVONE CANAVESE, Piemonte, Italia",POINT
PECETTO TORINESE,Comune,"PECETTO TORINESE, Piemonte, Italia",POINT
PEROSA ARGENTINA,Comune,"PEROSA ARGENTINA, Piemonte, Italia",POINT
PEROSA CANAVESE,Comune,"PEROSA CANAVESE, Piemonte, Italia",POINT
PERTUSIO,Comune,"PERTUSIO, Piemonte, Italia",POINT
PESSINETTO,Comune,"PESSINETTO, Piemonte, Italia",POINT
PIANEZZA,Comune,"PIANEZZA, Piemonte, Italia",POINT
PINASCA,Comune,"PINASCA, Piemonte, Italia",POINT
PINEROLO,Comune,"PINEROLO, Piemonte, Italia",POINT
PINO TORINESE,Comune,"PINO TORINESE, Piemonte, Italia",POINT
PIOBESI TORINESE,Comune,"PIOBESI TORINESE, Piemonte, Italia",POINT
PIOSSASCO,Comune,"PIOSSASCO, Piemonte, Italia",POINT
PISCINA,Comune,"PISCINA, Piemonte, Italia",POINT
POIRINO,Comune,"POIRINO, Piemonte, Italia",POINT
POMARETTO,Comune,"POMARETTO, Piemonte, Italia",POINT
PONT CANAVESE,Comune,"PONT CANAVESE, Piemonte, Italia",POINT
PORTE,Comune,"PORTE, Piemonte, Italia",POINT
PRAGELATO,Comune,"PRAGELATO, Piemonte, Italia",POINT
PRALORMO,Comune,"PRALORMO, Piemonte, Italia",POINT
PRAMOLLO,Comune,"PRAMOLLO, Piemonte, Italia",POINT
PRAROSTINO,Comune,"PRAROSTINO, Piemonte, Italia",POINT
PRASCORSANO,Comune,"PRASCORSANO, Piemonte, Italia",POINT
PRATIGLIONE,Comune,"PRATIGLIONE, Piemonte, Italia",POINT
QUAGLIUZZO,Comune,"QUAGLIUZZO, Piemonte, Italia",POINT
QUASSOLO,Comune,"QUASSOLO, Piemonte, Italia",POINT
QUINCINETTO,Comune,"QUINCINETTO, Piemonte, Italia",POINT
REANO,Comune,"REANO, Piemonte, Italia",POINT
RIBORDONE,Comune,"RIBORDONE, Piemonte, Italia",POINT
RIVA PRESSO CHIERI,Comune,"RIVA PRESSO CHIERI, Piemonte, Italia",POINT
RIVALBA,Comune,"RIVALBA, Piemonte, Italia",POINT
RIVALTA DI TORINO,Comune,"RIVALTA DI TORINO, Piemonte, Italia",POINT
RIVARA,Comune,"RIVARA, Piemonte, Italia",POINT
RIVAROLO CANAVESE,Comune,"RIVAROLO CANAVESE, Piemonte, Italia",POINT
RIVAROSSA,Comune,"RIVAROSSA, Piemonte, Italia",POINT
RIVOLI,Comune,"RIVOLI, Piemonte, Italia",POINT
ROBASSOMERO,Comune,"ROBASSOMERO, Piemonte, Italia",POINT
ROCCA CANAVESE,Comune,"ROCCA CANAVESE, Piemonte, Italia",POINT
ROLETTO,Comune,"ROLETTO, Piemonte, Italia",POINT
ROMANO CANAVESE,Comune,"ROMANO CANAVESE, Piemonte, Italia",POINT
RONCO CANAVESE,Comune,"RONCO CANAVESE, Piemonte, Italia",POINT
RONDISSONE,Comune,"RONDISSONE, Piemonte, Italia",POINT
RORA’,Comune,"RORA’, Piemonte, Italia",POINT
ROSTA,Comune,"ROSTA, Piemonte, Italia",POINT
RUBIANA,Comune,"RUBIANA, Piemonte, Italia",POINT
RUEGLIO,Comune,"RUEGLIO, Piemonte, Italia",POINT
SALASSA,Comune,"SALASSA, Piemonte, Italia",POINT
SALBERTRAND,Comune,"SALBERTRAND, Piemonte, Italia",POINT
SALERANO CANAVESE,Comune,"SALERANO CANAVESE, Piemonte, Italia",POINT
SAMONE,Comune,"SAMONE, Piemonte, Italia",POINT
SAN BENIGNO CANAVESE,Comune,"SAN BENIGNO CANAVESE, Piemonte, Italia",POINT
SAN CARLO CANAVESE,Comune,"SAN CARLO CANAVESE, Piemonte, Italia",POINT
SAN COLOMBANO BELMONTE,Comune,"SAN COLOMBANO BELMONTE, Piemonte, Italia",POINT
SAN DIDERO,Comune,"SAN DIDERO, Piemonte, Italia",POINT
SAN FRANCESCO AL CAMPO,Comune,"SAN FRANCESCO AL CAMPO, Piemonte, Italia",POINT
SAN GERMANO CHISONE,Comune,"SAN GERMANO CHISONE, Piemonte, Italia",POINT
SAN GILLIO,Comune,"SAN GILLIO, Piemonte, Italia",POINT
SAN GIORGIO CANAVESE,Comune,"SAN GIORGIO CANAVESE, Piemonte, Italia",POINT
SAN GIORIO DI SUSA,Comune,"SAN GIORIO DI SUSA, Piemonte, Italia",POINT
SAN GIUSTO CANAVESE,Comune,"SAN GIUSTO CANAVESE, Piemonte, Italia",POINT
SAN MARTINO CANAVESE,Comune,"SAN MARTINO CANAVESE, Piemonte, Italia",POINT
SAN MAURIZIO CANAVESE,Comune,"SAN MAURIZIO CANAVESE, Piemonte, Italia",POINT
SAN MAURO TORINESE,Comune,"SAN MAURO TORINESE, Piemonte, Italia",POINT
SAN PIETRO VAL LEMINA,Comune,"SAN PIETRO VAL LEMINA, Piemonte, Italia",POINT
SAN PONSO,Comune,"SAN PONSO, Piemonte, Italia",POINT
SAN RAFFAELE CIMENA,Comune,"SAN RAFFAELE CIMENA, Piemonte, Italia",POINT
SAN SEBASTIANO DA PO,Comune,"SAN SEBASTIANO DA PO, Piemonte, Italia",POINT
SAN SECONDO DI PINEROLO,Comune,"SAN SECONDO DI PINEROLO, Piemonte, Italia",POINT
SANGANO,Comune,"SANGANO, Piemonte, Italia",POINT
SANT’ AMBROGIO DI TORINO,Comune,"SANT’ AMBROGIO DI TORINO, Piemonte, Italia",POINT
SANT’ ANTONINO DI SUSA,Comune,"SANT’ ANTONINO DI SUSA, Piemonte, Italia",POINT
SANTENA,Comune,"SANTENA, Piemonte, Italia",POINT
SAUZE D’OULX,Comune,"SAUZE D’OULX, Piemonte, Italia",POINT
SAUZE DI CESANA,Comune,"SAUZE DI CESANA, Piemonte, Italia",POINT
SCALENGHE,Comune,"SCALENGHE, Piemonte, Italia",POINT
SCARMAGNO,Comune,"SCARMAGNO, Piemonte, Italia",POINT
SCIOLZE,Comune,"SCIOLZE, Piemonte, Italia",POINT
SESTRIERE,Comune,"SESTRIERE, Piemonte, Italia",POINT
SETTIMO ROTTARO,Comune,"SETTIMO ROTTARO, Piemonte, Italia",POINT
SETTIMO TORINESE,Comune,"SETTIMO TORINESE, Piemonte, Italia",POINT
SETTIMO VITTONE,Comune,"SETTIMO VITTONE, Piemonte, Italia",POINT
SPARONE,Comune,"SPARONE, Piemonte, Italia",POINT
STRAMBINO,Comune,"STRAMBINO, Piemonte, Italia",POINT
SUSA,Comune,"SUSA, Piemonte, Italia",POINT
TAVAGNASCO,Comune,"TAVAGNASCO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 1 TORINO,Comune,"CIRCOSCRIZIONE 1 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 2 TORINO,Comune,"CIRCOSCRIZIONE 2 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 3 TORINO,Comune,"CIRCOSCRIZIONE 3 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 4 TORINO,Comune,"CIRCOSCRIZIONE 4 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 5 TORINO,Comune,"CIRCOSCRIZIONE 5 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 6 TORINO,Comune,"CIRCOSCRIZIONE 6 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 7 TORINO,Comune,"CIRCOSCRIZIONE 7 TORINO, Piemonte, Italia",POINT
CIRCOSCRIZIONE 8 TORINO,Comune,"CIRCOSCRIZIONE 8 TORINO, Piemonte, Italia",POINT
TORRAZZA PIEMONTE,Comune,"TORRAZZA PIEMONTE, Piemonte, Italia",POINT
TORRE CANAVESE,Comune,"TORRE CANAVESE, Piemonte, Italia",POINT
TORRE PELLICE,Comune,"TORRE PELLICE, Piemonte, Italia",POINT
TRANA,Comune,"TRANA, Piemonte, Italia",POINT
TRAVERSELLA,Comune,"TRAVERSELLA, Piemonte, Italia",POINT
TROFARELLO,Comune,"TROFARELLO, Piemonte, Italia",POINT
USSEAUX,Comune,"USSEAUX, Piemonte, Italia",POINT
USSEGLIO,Comune,"USSEGLIO, Piemonte, Italia",POINT
VAIE,Comune,"VAIE, Piemonte, Italia",POINT
VAL DELLA TORRE,Comune,"VAL DELLA TORRE, Piemonte, Italia",POINT
VAL DI CHY,Comune,"VAL DI CHY, Piemonte, Italia",POINT
VALCHIUSA,Comune,"VALCHIUSA, Piemonte, Italia",POINT
VALGIOIE,Comune,"VALGIOIE, Piemonte, Italia",POINT
VALPERGA,Comune,"VALPERGA, Piemonte, Italia",POINT
VAUDA CANAVESE,Comune,"VAUDA CANAVESE, Piemonte, Italia",POINT
VENARIA REALE,Comune,"VENARIA REALE, Piemonte, Italia",POINT
VENAUS,Comune,"VENAUS, Piemonte, Italia",POINT
VEROLENGO,Comune,"VEROLENGO, Piemonte, Italia",POINT
VESTIGNE’,Comune,"VESTIGNE’, Piemonte, Italia",POINT
VIALFRE’,Comune,"VIALFRE’, Piemonte, Italia",POINT
VIDRACCO,Comune,"VIDRACCO, Piemonte, Italia",POINT
VIGONE,Comune,"VIGONE, Piemonte, Italia",POINT
VILLAFRANCA PIEMONTE,Comune,"VILLAFRANCA PIEMONTE, Piemonte, Italia",POINT
VILLANOVA CANAVESE,Comune,"VILLANOVA CANAVESE, Piemonte, Italia",POINT
VILLAR DORA,Comune,"VILLAR DORA, Piemonte, Italia",POINT
VILLAR PELLICE,Comune,"VILLAR PELLICE, Piemonte, Italia",POINT
VILLAR PEROSA,Comune,"VILLAR PEROSA, Piemonte, Italia",POINT
VILLARBASSE,Comune,"VILLARBASSE, Piemonte, Italia",POINT
VILLAREGGIA,Comune,"VILLAREGGIA, Piemonte, Italia",POINT
VILLASTELLONE,Comune,"VILLASTELLONE, Piemonte, Italia",POINT
VINOVO,Comune,"VINOVO, Piemonte, Italia",POINT
VIRLE PIEMONTE,Comune,"VIRLE PIEMONTE, Piemonte, Italia",POINT
VISCHE,Comune,"VISCHE, Piemonte, Italia",POINT
VISTRORIO,Comune,"VISTRORIO, Piemonte, Italia",POINT
VIU’,Comune,"VIU’, Piemonte, Italia",POINT
VOLPIANO,Comune,"VOLPIANO, Piemonte, Italia",POINT
VOLVERA,Comune,"VOLVERA, Piemonte, Italia",POINT
