alias_city,alias_address,georeferencingString,type
Montescudo - Monte Colombo,Comune,"Montescudo - Monte Colombo, Emilia Romagna",POINT
Morciano di Romagna,Comune,"Morciano di Romagna, Emilia Romagna",POINT
Marradi,Comune,"Marradi, Emilia Romagna",POINT
Meldola,Comune,"Meldola, Emilia Romagna",POINT
Mercato Saraceno,Comune,"Mercato Saraceno, Emilia Romagna",POINT
Modigliana,Comune,"Modigliana, Emilia Romagna",POINT
Montiano,Comune,"Montiano, Emilia Romagna",POINT
Pianoro,Comune,"Pianoro, Emilia Romagna",POINT
Pieve di Cento,Comune,"Pieve di Cento, Emilia Romagna",POINT
Poggio Renatico,Comune,"Poggio Renatico, Emilia Romagna",POINT
Portomaggiore,Comune,"Portomaggiore, Emilia Romagna",POINT
Palagano,Comune,"Palagano, Emilia Romagna",POINT
Pavullo nel Frignano,Comune,"Pavullo nel Frignano, Emilia Romagna",POINT
Pievepelago,Comune,"Pievepelago, Emilia Romagna",POINT
Polinago,Comune,"Polinago, Emilia Romagna",POINT
Prignano sulla Secchia,Comune,"Prignano sulla Secchia, Emilia Romagna",POINT
Pennabilli,Comune,"Pennabilli, Emilia Romagna",POINT
Poggio Torriana,Comune,"Poggio Torriana, Emilia Romagna",POINT
Palazzuolo sul Senio,Comune,"Palazzuolo sul Senio, Emilia Romagna",POINT
Portico e San Benedetto,Comune,"Portico e San Benedetto, Emilia Romagna",POINT
Predappio,Comune,"Predappio, Emilia Romagna",POINT
Premilcuore,Comune,"Premilcuore, Emilia Romagna",POINT
Ravenna,Comune,"Ravenna, Emilia Romagna",POINT
Riolo Terme,Comune,"Riolo Terme, Emilia Romagna",POINT
Russi,Comune,"Russi, Emilia Romagna",POINT
Riccione,Comune,"Riccione, Emilia Romagna",POINT
Rimini,Comune,"Rimini, Emilia Romagna",POINT
Rocca San Casciano,Comune,"Rocca San Casciano, Emilia Romagna",POINT
Roncofreddo,Comune,"Roncofreddo, Emilia Romagna",POINT
Sala Bolognese,Comune,"Sala Bolognese, Emilia Romagna",POINT
San Benedetto Val di sambro,Comune,"San Benedetto Val di sambro, Emilia Romagna",POINT
San Giorgio di Piano,Comune,"San Giorgio di Piano, Emilia Romagna",POINT
San Giovanni in Persiceto,Comune,"San Giovanni in Persiceto, Emilia Romagna",POINT
San Lazzaro di Savena,Comune,"San Lazzaro di Savena, Emilia Romagna",POINT
San Pietro in Casale,Comune,"San Pietro in Casale, Emilia Romagna",POINT
Sasso Marconi,Comune,"Sasso Marconi, Emilia Romagna",POINT
San Cesario sul Panaro,Comune,"San Cesario sul Panaro, Emilia Romagna",POINT
Sassuolo,Comune,"Sassuolo, Emilia Romagna",POINT
Savignano sul Panaro,Comune,"Savignano sul Panaro, Emilia Romagna",POINT
Serramazzoni,Comune,"Serramazzoni, Emilia Romagna",POINT
Sestola,Comune,"Sestola, Emilia Romagna",POINT
Spilamberto,Comune,"Spilamberto, Emilia Romagna",POINT
Sant'Agata sul Santerno,Comune,"Sant'Agata sul Santerno, Emilia Romagna",POINT
Solarolo,Comune,"Solarolo, Emilia Romagna",POINT
Saludecio,Comune,"Saludecio, Emilia Romagna",POINT
San Clemente,Comune,"San Clemente, Emilia Romagna",POINT
San Giovanni in Marignano,Comune,"San Giovanni in Marignano, Emilia Romagna",POINT
San Leo,Comune,"San Leo, Emilia Romagna",POINT
Sant'Agata Feltria,Comune,"Sant'Agata Feltria, Emilia Romagna",POINT
Santarcangelo di Romagna,Comune,"Santarcangelo di Romagna, Emilia Romagna",POINT
San Mauro Pascoli,Comune,"San Mauro Pascoli, Emilia Romagna",POINT
Santa Sofia,Comune,"Santa Sofia, Emilia Romagna",POINT
Sarsina,Comune,"Sarsina, Emilia Romagna",POINT
Savignano sul Rubicone,Comune,"Savignano sul Rubicone, Emilia Romagna",POINT
Sogliano al Rubicone,Comune,"Sogliano al Rubicone, Emilia Romagna",POINT
Terre del Reno,Comune,"Terre del Reno, Emilia Romagna",POINT
Talamello,Comune,"Talamello, Emilia Romagna",POINT
Tredozio,Comune,"Tredozio, Emilia Romagna",POINT
Valsamoggia,Comune,"Valsamoggia, Emilia Romagna",POINT
Vergato,Comune,"Vergato, Emilia Romagna",POINT
Vigarano Mainarda,Comune,"Vigarano Mainarda, Emilia Romagna",POINT
Voghiera,Comune,"Voghiera, Emilia Romagna",POINT
Vignola,Comune,"Vignola, Emilia Romagna",POINT
Verucchio,Comune,"Verucchio, Emilia Romagna",POINT
Verghereto,Comune,"Verghereto, Emilia Romagna",POINT
Zola Predosa,Comune,"Zola Predosa, Emilia Romagna",POINT
Zocca,Comune,"Zocca, Emilia Romagna",POINT
