alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
CASCINA REBUSTA,Robbiate,0.0,2.35,124.44,36.95,0.06,4.12,247.0,13/04/2020,12.37,0.0,0.11,7.61,0.0,3.25,0.0,8.27,1.27,190.19,3.55,26.2
P.ZA V. EMANUELE II,Rogeno,0.0,3.58,386.74,104.5,0.06,19.92,659.9,13/04/2020,35.22,0.0,0.05,22.13,0.0,27.74,0.0,7.08,1.46,475.13,12.49,28.99
P.ZZA PADRE FAUSTO TENTORIO,Santa Maria Hoe',0.0,0.0,265.47,63.48,0.2,3.85,400.4,13/04/2020,23.3,0.0,0.06,18.08,0.0,10.33,0.0,7.96,0.74,288.29,2.88,14.02
L.TA' BERTA,Sirone,0.0,5.81,92.48,31.78,,3.31,200.3,13/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
LOCALITA' ISOLA D'ELBA,Sirtori,0.0,5.81,92.48,31.78,,3.31,200.3,13/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
VIA PROVINCIALE,Suello,0.0,5.58,163.24,48.9,0.35,6.26,312.3,13/04/2020,15.76,0.0,0.13,8.59,0.0,3.8,0.0,7.78,1.43,240.47,8.56,34.22
VIA AI CAMPI,Taceno,0.0,1.43,63.68,17.45,,4.3,172.8,13/04/2020,8.01,0.0,0.11,8.87,0.0,6.29,0.0,7.42,1.38,133.06,5.0,31.98
FRAZ. BORNEDA,Valgreghentino,0.0,0.0,255.47,70.18,0.04,8.83,418.6,13/04/2020,22.82,0.0,0.12,12.84,0.0,8.54,0.0,8.24,3.25,301.39,7.5,17.51
VIA STRECCIOLA,Valmadrera,0.0,5.32,183.98,48.84,0.0,3.97,322.2,13/04/2020,17.71,0.0,0.1,13.37,0.0,5.82,0.0,8.0,2.01,248.09,3.53,25.1
P.ZA MANZONI,Vercurago,0.0,5.7,154.21,41.91,0.15,4.19,276.3,14/04/2020,14.67,0.0,0.1,10.2,0.0,3.75,0.0,7.81,1.19,212.75,3.96,22.64
CASCINA GIOVANNA,Vigano',0.0,5.81,92.48,31.78,,3.31,200.3,14/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
