alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
VIA LEOPARDI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CATULLO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA VIRGILIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA ARIOSTO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA BOCCACCIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA TASSO TORQUATO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PASUBIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CALATAFIMI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CA' ROSSA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA D' AZEGLIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA COL DI LANA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA LEGNANO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PASTRENGO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MONTANARA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
