alias_address,alias_city,geocode,geometry,georeferencingString,type
LOC. BRACCI,Esino Lario,"Esino Lario, Lecco","{'type': 'Point', 'coordinates': [9.336040000000025, 45.995040000000074]}","Esino Lario, Lecco, Lombardia",POINT
VIA MONTI ETTORE,Galbiate,"Galbiate, Lecco","{'type': 'Point', 'coordinates': [9.377200000000073, 45.81653000000006]}","Galbiate, Lecco, Lombardia",POINT
P.ZA BUTTI,Garbagnate Monastero,"Garbagnate Monastero, Lecco","{'type': 'Point', 'coordinates': [9.303160000000048, 45.77439000000004]}","Garbagnate Monastero, Lecco, Lombardia",POINT
P.ZA FOPPA,Garlate,"Garlate, Lecco","{'type': 'Point', 'coordinates': [9.403050000000064, 45.80659000000003]}","Garlate, Lecco, Lombardia",POINT
COLOMBE',Imbersago,"Imbersago, Lecco","{'type': 'Point', 'coordinates': [9.449320000000057, 45.70556000000005]}","Imbersago, Lecco, Lombardia",POINT
AI FORNI,Introbio,"Introbio, Lecco","{'type': 'Point', 'coordinates': [9.448380000000043, 45.97580000000005]}","Introbio, Lecco, Lombardia",POINT
LUNGO LARIO PIAVE,Lecco,Lecco,"{'type': 'Point', 'coordinates': [9.39187000000004, 45.85166000000004]}","Lecco, Lecco, Lombardia",POINT
LOC.TA' SAIOLI,Lierna,"Lierna, Lecco","{'type': 'Point', 'coordinates': [9.301410000000033, 45.962000000000046]}","Lierna, Lecco, Lombardia",POINT
VIA 1° MAGGIO,Lomagna,"Lomagna, Lecco","{'type': 'Point', 'coordinates': [9.374220000000037, 45.67107000000004]}","Lomagna, Lecco, Lombardia",POINT
VIA SAN MICHELE,Malgrate,"Malgrate, Lecco","{'type': 'Point', 'coordinates': [9.388690000000054, 45.84796000000006]}","Malgrate, Lecco, Lombardia",POINT
VIA STATALE,Mandello del Lario,"Mandello del Lario, Lecco","{'type': 'Point', 'coordinates': [9.316870000000051, 45.922330000000045]}","Mandello del Lario, Lecco, Lombardia",POINT
LOC. ALPE GRASSO,Margno,"Margno, Lecco","{'type': 'Point', 'coordinates': [9.380860000000041, 46.03248000000008]}","Margno, Lecco, Lombardia",POINT
VIA IV NOVEMBRE,Merate,"Merate, Lecco","{'type': 'Point', 'coordinates': [9.417280000000062, 45.69817000000006]}","Merate, Lecco, Lombardia",POINT
VIA DEL MORO,Missaglia,"Missaglia, Lecco","{'type': 'Point', 'coordinates': [9.339200000000062, 45.70799000000005]}","Missaglia, Lecco, Lombardia",POINT
LOC. IL PERO,Moggio,"Moggio, Lecco","{'type': 'Point', 'coordinates': [9.488140000000044, 45.93142000000006]}","Moggio, Lecco, Lombardia",POINT
P.ZA BIFFI DON GIUSEPPE,Molteno,"Molteno, Lecco","{'type': 'Point', 'coordinates': [9.306160000000034, 45.77689000000004]}","Molteno, Lecco, Lombardia",POINT
VIA PRATO DELLA SORTE,Monte Marenzo,"Monte Marenzo, Lecco","{'type': 'Point', 'coordinates': [9.454810000000066, 45.770170000000064]}","Monte Marenzo, Lecco, Lombardia",POINT
VIA BASSA DEL POGGIO,Montevecchia,"Montevecchia, Lecco","{'type': 'Point', 'coordinates': [9.380390000000034, 45.70464000000004]}","Montevecchia, Lecco, Lombardia",POINT
VIA CASATI GAETANO,Monticello Brianza,"Monticello Brianza, Lecco","{'type': 'Point', 'coordinates': [9.313850000000059, 45.707880000000046]}","Monticello Brianza, Lecco, Lombardia",POINT
LOCALITA' BOSCO,Morterone,"Morterone, Lecco","{'type': 'Point', 'coordinates': [9.48231000000004, 45.87421000000006]}","Morterone, Lecco, Lombardia",POINT
LOCALITA' CALIFORNIA,Nibionno,"Nibionno, Lecco","{'type': 'Point', 'coordinates': [9.267960000000073, 45.74712000000005]}","Nibionno, Lecco, Lombardia",POINT
P.ZA GARIBALDI,Oggiono,"Oggiono, Lecco","{'type': 'Point', 'coordinates': [9.341980000000035, 45.78950000000003]}","Oggiono, Lecco, Lombardia",POINT
VIA AI CAMPI,Olgiate Molgora,"Olgiate Molgora, Lecco","{'type': 'Point', 'coordinates': [9.400960000000055, 45.72842000000003]}","Olgiate Molgora, Lecco, Lombardia",POINT
VIA REDAELLI,Olginate,"Olginate, Lecco","{'type': 'Point', 'coordinates': [9.410830000000033, 45.798140000000046]}","Olginate, Lecco, Lombardia",POINT
P.ZA CONCILIAZIONE,Oliveto Lario,"Oliveto Lario, Lecco","{'type': 'Point', 'coordinates': [9.272040000000061, 45.955610000000036]}","Oliveto Lario, Lecco, Lombardia",POINT
VIA S.ANNA,Osnago,"Osnago, Lecco","{'type': 'Point', 'coordinates': [9.391580000000033, 45.678630000000055]}","Osnago, Lecco, Lombardia",POINT
CASCINA NUOVA,Paderno d'Adda,"Paderno d'Adda, Lecco","{'type': 'Point', 'coordinates': [9.441410000000076, 45.684330000000045]}","Paderno d'Adda, Lecco, Lombardia",POINT
LOC. PIAZZOLA,Pagnona,"Pagnona, Lecco","{'type': 'Point', 'coordinates': [9.402950000000033, 46.060190000000034]}","Pagnona, Lecco, Lombardia",POINT
LOC. CHIARELLO,Parlasco,"Parlasco, Lecco","{'type': 'Point', 'coordinates': [9.344180000000051, 46.01881000000003]}","Parlasco, Lecco, Lombardia",POINT
