alias_address,alias_city,geocode,geometry,georeferencingString,type
Verifica : PO0180399UIM04 - Castello d'Agogna-,CASTELLO D’AGOGNA,"Castello d'Agogna, PV","{'type': 'Point', 'coordinates': [8.688090000000045, 45.23550000000006]}","Verifica : PO0180399UIM04 - Castello d'Agogna-, PV",POINT
CASTELNOVETTO,CASTELNOVETTO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
R-Cava Manara via Giordano Bruno -,CAVA MANARA,"Via Giordano Bruno, 27051, Cava Manara, Pavia","{'type': 'Point', 'coordinates': [9.104511196832375, 45.13974730616441]}","R-Cava Manara via Giordano Bruno -, PV",POINT
CECIMA,CECIMA,"Cecima, PV","{'type': 'Point', 'coordinates': [9.08233000000007, 44.851870000000076]}","CECIMA, PV",POINT
C-Ceranova,CERANOVA,"Ceranova, PV","{'type': 'Point', 'coordinates': [9.242270000000076, 45.25938000000008]}","C-Ceranova, PV",POINT
CERETTO LOMELLINA,CERETTO LOMELLINA,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
Verifica : PO0180459UIM01 - Cergnago-out,CERGNAGO,"Cergnago, PV","{'type': 'Point', 'coordinates': [8.772710000000075, 45.19776000000007]}","Verifica : PO0180459UIM01 - Cergnago-out, PV",POINT
C-Certosa di Pavia Zona Monumento,CERTOSA DI PAVIA,Certosa di Pavia,"{'type': 'Point', 'coordinates': [9.130440000000021, 45.252500000000055]}","C-Certosa di Pavia Zona Monumento, PV",POINT
C-Cervesina - via Garibaldi,CERVESINA,"Via Giuseppe Garibaldi, 27061, Cervesina, Pavia","{'type': 'Point', 'coordinates': [9.018742157294813, 45.0621333639458]}","C-Cervesina - via Garibaldi, PV",POINT
CHIGNOLO PO,CHIGNOLO PO,"Chignolo Po, PV","{'type': 'Point', 'coordinates': [9.481270000000052, 45.148180000000025]}","CHIGNOLO PO, PV",POINT
CIGOGNOLA,CIGOGNOLA,"Cigognola, PV","{'type': 'Point', 'coordinates': [9.241110000000049, 45.03191000000004]}","CIGOGNOLA, PV",POINT
Verifica : PO0180509UIM03 - Cilavegna Via di,CILAVEGNA,"Cilavegna, PV","{'type': 'Point', 'coordinates': [8.748890000000074, 45.31101000000007]}","Verifica : PO0180509UIM03 - Cilavegna Via di, PV",POINT
CODEVILLA,CODEVILLA,"Codevilla, PV","{'type': 'Point', 'coordinates': [9.059220000000039, 44.963850000000036]}","CODEVILLA, PV",POINT
Verifica : PO0180529UIM02 - Confienza-out,CONFIENZA,"Confienza, PV","{'type': 'Point', 'coordinates': [8.557080000000042, 45.331980000000044]}","Verifica : PO0180529UIM02 - Confienza-out, PV",POINT
COPIANO,COPIANO,"Copiano, PV","{'type': 'Point', 'coordinates': [9.322600000000023, 45.196660000000065]}","COPIANO, PV",POINT
C-Cornale e Bastida - via Giuseppe Garibaldi -,CORNALE,"Via Giuseppe Garibaldi, 27061, Silvano Pietra, Pavia","{'type': 'Point', 'coordinates': [8.95022605712553, 45.040999914412815]}","C-Cornale e Bastida - via Giuseppe Garibaldi -, PV",POINT
C-Corteolona e Genzone - via De Gasperi -,CORTEOLONA,"Via Alcide De Gasperi, 27014, Corteolona e Genzone, Pavia","{'type': 'Point', 'coordinates': [9.350214750000013, 45.17632350000001]}","C-Corteolona e Genzone - via De Gasperi -, PV",POINT
C-Corvino San Quirico - via Marconi -,CORVINO SAN QUIRICO,"Via Guglielmo Marconi, 27061, Corvino San Quirico, Pavia","{'type': 'Point', 'coordinates': [9.15151034837886, 45.02238236466612]}","C-Corvino San Quirico - via Marconi -, PV",POINT
COSTA DE’ NOBILI,COSTA DE’ NOBILI,"Costa de' Nobili, PV","{'type': 'Point', 'coordinates': [9.379330000000039, 45.13132000000007]}","COSTA DE’ NOBILI, PV",POINT
COZZO,COZZO,"Cozzo, PV","{'type': 'Point', 'coordinates': [8.610610000000065, 45.191770000000076]}","COZZO, PV",POINT
C-Cura Carpignano,CURA CARPIGNANO,"Cura Carpignano, PV","{'type': 'Point', 'coordinates': [9.253430000000037, 45.21407000000005]}","C-Cura Carpignano, PV",POINT
FERRERA ERBOGNONE,FERRERA ERBOGNONE,"Ferrera Erbognone, PV","{'type': 'Point', 'coordinates': [8.863710000000026, 45.114900000000034]}","FERRERA ERBOGNONE, PV",POINT
C-Belgioioso,FILIGHERA,"Belgioioso, PV","{'type': 'Point', 'coordinates': [9.314700000000073, 45.15958000000006]}","C-Belgioioso, PV",POINT
FRASCAROLO,FRASCAROLO,"Frascarolo, PV","{'type': 'Point', 'coordinates': [8.679040000000043, 45.04839000000004]}","FRASCAROLO, PV",POINT
GALLIAVOLA,GALLIAVOLA,"Galliavola, PV","{'type': 'Point', 'coordinates': [8.818810000000042, 45.09686000000005]}","GALLIAVOLA, PV",POINT
GAMBARANA,GAMBARANA,"Gambarana, PV","{'type': 'Point', 'coordinates': [8.766520000000071, 45.02852000000007]}","GAMBARANA, PV",POINT
GAMBOLO’,GAMBOLO’,"Gambolò, PV","{'type': 'Point', 'coordinates': [8.860070000000064, 45.25837000000007]}","GAMBOLO’, PV",POINT
GARLASCO,GARLASCO,"Garlasco, PV","{'type': 'Point', 'coordinates': [8.923040000000071, 45.19735000000003]}","GARLASCO, PV",POINT
C-Corteolona e Genzone - via De Gasperi -,GENZONE,"Via Alcide De Gasperi, 27014, Corteolona e Genzone, Pavia","{'type': 'Point', 'coordinates': [9.350214750000013, 45.17632350000001]}","C-Corteolona e Genzone - via De Gasperi -, PV",POINT
C-Gerenzago - via Inverno - SE0180719U0001,GERENZAGO,"Via Inverno, 27010, Gerenzago, Pavia","{'type': 'Point', 'coordinates': [9.363391311979782, 45.205337990830756]}","C-Gerenzago - via Inverno - SE0180719U0001, PV",POINT
C-Giussago,GIUSSAGO,"Giussago, PV","{'type': 'Point', 'coordinates': [9.141920000000027, 45.285340000000076]}","C-Giussago, PV",POINT
"C-Giussago - Piazza del Volontariato, 1 -",GIUSSAGO,"Giussago, PV","{'type': 'Point', 'coordinates': [9.141920000000027, 45.285340000000076]}","C-Giussago - Piazza del Volontariato, 1 -, PV",POINT
"C-Giussago - Via Giuseppe Garibaldi, 38 -",GIUSSAGO,"Via Giuseppe Garibaldi 38, 27010, Giussago, Pavia","{'type': 'Point', 'coordinates': [9.164133481822372, 45.266651528997684]}","C-Giussago - Via Giuseppe Garibaldi, 38 -, PV",POINT
GODIASCO,GODIASCO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
