alias_address,alias_city,ammoniaca,arsenico,calcio,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
C-San Martino Siccomario,SAN MARTINO SICCOMARIO,0.3,2.4,34,10,289,<0.2,27/01/2020,11,3,0.11,7.1,5,<1,<0.05,8.1,0.98,179,19,<1
SANTA GIULETTA,SANTA GIULETTA,<0.1,0.4,155,121,1401,5.4,27/01/2020,59,12,0.26,49.7,0,35,<0.05,7.5,4.2,869,73,127
C-Santa Giuletta,SANTA GIULETTA,<0.1,0.4,156,123,1357,5.1,27/01/2020,59,21,0.26,49.9,2,35,<0.05,7.4,4.2,841,73,128
C-Sant'Alessio con Vialone,SANT’ALESSIO CON VIALONE,<0.1,0.2,42,1,281,<0.2,27/01/2020,14,2,0.09,8.1,0,<1,<0.05,7.9,1.4,174,8,4
C-Sant'Angelo Lomellina- V.lo Prati -,SANT’ANGELO LOMELLINA,<0.1,0.2,68,8,417,<0.2,03/02/2020,22,1,0.11,11.1,<0.1,<1,<0.05,7.6,1.6,259,6,37
C-Spessa,SPESSA,<0.1,3.4,51,5,357,<0.2,27/01/2020,17,2,0.08,10.6,<0.1,<1,<0.05,7.6,1.4,222,12,10
C-Belgioioso,TORRE DE’ NEGRI,<0.1,1.2,82,30,652,<0.2,27/01/2020,27,<0.5,0.10,16.2,1,1,<0.05,7.4,2.1,405,23,55
C-Valle Salimbene,VALLE SALIMBENE,<0.1,0.6,39,2,268,<0.2,27/01/2020,13,10,0.08,7.8,3,<1,<0.05,8.0,1.4,166,9,3
C-Velezzo Lomellina - via Roma -,VELEZZO LOMELLINA,<0.1,1.3,75,4,449,0.3,17/01/2020,23,7.0,0.14,10.7,5.5,<1,<0.05,7.0,1.5,278,5,44
"C-Vellezzo Bellini - Via Cesare Battisti, 24 -",VELLEZZO BELLINI,<0.1,0.3,48,1,325,<0.2,27/01/2020,16,13,0.10,9.5,0,<1,<0.05,7.6,1.8,202,9,6
C-Verretto,VERRETTO,<0.1,0.5,167,<1,1719,4.0,27/01/2020,66,4,0.25,57.7,0,31,<0.05,7.1,4.0,1066,122,95
C-Vidigulfo,VIDIGULFO,<0.1,1.8,30,<1,217,<0.2,27/01/2020,10,18,0.08,6.4,0,<1,<0.05,7.6,1.3,134,7,5
C-Villanova d'Ardenghi,VILLANOVA D’ARDENGHI,<0.1,1.6,72,9,476,<0.2,27/01/2020,24,17,0.09,13.8,1,<1,<0.05,8.1,1.1,295,10,47
"C-Zeccone - Via Italia, 25 - RE0181859U0015",ZECCONE,<0.1,0.9,53,1,370,<0.2,27/01/2020,18,20,0.17,12.6,1,<1,<0.05,7.8,1.7,230,9,6
C-Zerbolò,ZERBOLO’,<0.1,<0.1,58,5,393,<0.2,27/01/2020,19,90,0.11,10.9,34,<1,<0.05,8.0,1.7,243,10,33
"C-Zerbolò - Via Borgo San Siro, 112 -",ZERBOLO’,<0.1,0.1,26,11,232,<0.2,27/01/2020,9,31,0.13,5.0,3,<1,<0.05,7.8,1.2,144,18,<1
