alias_city,alias_address,georeferencingString,type
GROPELLO CAIROLI,GROPELLO CAIROLI,"GROPELLO CAIROLI, PV",POINT
INVERNO E MONTELEONE,INVERNO E MONTELEONE,"INVERNO E MONTELEONE, PV",POINT
LANDRIANO,LANDRIANO,"LANDRIANO, PV",POINT
LANGOSCO,C-Langosco - Via Garibaldi / v.lo Gambarana -,"C-Langosco - Via Garibaldi / v.lo Gambarana -, PV",POINT
LARDIRAGO,LARDIRAGO,"LARDIRAGO, PV",POINT
LINAROLO,C-Linarolo,"C-Linarolo, PV",POINT
LIRIO,LIRIO,"LIRIO, PV",POINT
LOMELLO,C-Lomello Piazza Castello - PO0180839UIM02,"C-Lomello Piazza Castello - PO0180839UIM02, PV",POINT
LUNGAVILLA,LUNGAVILLA,"LUNGAVILLA, PV",POINT
MAGHERNO,MAGHERNO,"MAGHERNO, PV",POINT
MARCIGNAGO,C-Marcignago,"C-Marcignago, PV",POINT
MARZANO,MARZANO,"MARZANO, PV",POINT
MEDE,,", PV",POINT
MEDE,C-Mede - Frazione Tortorolo,"C-Mede - Frazione Tortorolo, PV",POINT
MEDE,MEDE,"MEDE, PV",POINT
MENCONICO,MENCONICO,"MENCONICO, PV",POINT
MEZZANA BIGLI,C-Mezzana Bigli v.lo Protti - PO0180909UIM04,"C-Mezzana Bigli v.lo Protti - PO0180909UIM04, PV",POINT
MEZZANA BIGLI,C-Mezzana Bigli via Chiesa in Balossa Bigli -,"C-Mezzana Bigli via Chiesa in Balossa Bigli -, PV",POINT
MEZZANA BIGLI,C-Mezzana Bigli via Ferrera - Fraz. Casoni,"C-Mezzana Bigli via Ferrera - Fraz. Casoni, PV",POINT
MEZZANA RABATTONE,MEZZANA RABATTONE,"MEZZANA RABATTONE, PV",POINT
MEZZANINO,C-Verrua Po - via Canova -PO0181759UIM01,"C-Verrua Po - via Canova -PO0181759UIM01, PV",POINT
MIRADOLO TERME,MIRADOLO TERME,"MIRADOLO TERME, PV",POINT
MONTALTO PAVESE,MONTALTO PAVESE,"MONTALTO PAVESE, PV",POINT
MONTEBELLO DELLA BATTAGLIA,MONTEBELLO DELLA BATTAGLIA,"MONTEBELLO DELLA BATTAGLIA, PV",POINT
MONTECALVO VERSIGGIA,R-Montecalvo Versiggia - Fraz. Poggio,"R-Montecalvo Versiggia - Fraz. Poggio, PV",POINT
MONTESCANO,MONTESCANO,"MONTESCANO, PV",POINT
MONTICELLI PAVESE,MONTICELLI PAVESE,"MONTICELLI PAVESE, PV",POINT
MONTU BECCARIA,R- Montù Beccaria - Fraz. Roncole via Molino,"R- Montù Beccaria - Fraz. Roncole via Molino, PV",POINT
