Data prelievo / Entnahme Datum ,Codice Comune / Gemeindekodex,Comune / Gemeinde,Codice acquedotto / Kodex TWL,Denominazione acquedotto / TWL Benennung,Codice punto di prel. / Kodex Entnahmepunkt,Punto di prelievo / Entnahmepunkt,Conduc. Elettr. Spec.µS/cm,pH,Durezza totale F°,Durezza totale °D,Alcalinità CO3 mg/L,Alcalinità HCO3 mg/L,Ossidabilità O2 mg/L,Ammonio NH4 mg/L,Nitriti NO2 mg/L,Fluoruri mg/L,Cloruri mg/L,Nitrati NO3 mg/L,Solfati mg/L,Sodiomg/L,Boro µg/L,Alluminio µg/L,Cromo µg/L,Selenio µg/L,Vanadio µg/L,Rame mg/L,Nichel µg/L,Zinco µg/L,Arsenico µg/L,Antimonio µg/L,Cadmioµg/L,Piomboµg/L,Uranio µg/L,Ferro µg/L,Manganese µg/L,Mercurio µg/L,Idrocarburi policiclici aromatici µg/L,Benzo(a)pirene µg/L,Benzene µg/L,"1,2-Dicloroetano µg/L",Tricloroetilene (Trielina)µg/L,Tetracloroetileneµg/L,Trialometani µg/L,Cloroformioµg/L,Bromoformioµg/L,Dibromoclorometanoµg/L,Bromodiclorometanoµg/L
17/10/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0005,Juvale / Juval,E01,"Albergo ""Sonnenhof"" - Juvale / Gasth. Sonnenhof - Juval",142,7.5,7,3.9200000000000004,0,39,,< 0.02,< 0.01,0.33,< 1,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0005,Juvale / Juval,E01,"Albergo ""Sonnenhof"" - Juvale / Gasth. Sonnenhof - Juval",154,7.7,9,5.040000000000001,0,40,< 0.5,< 0.02,< 0.01,0.32,< 1,1,48,3,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,7,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
05/02/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0001,Castelbello / Kastelbell,E10,Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,110,7.4,6,3.3600000000000003,0,35,,< 0.02,< 0.01,< 0.05,< 1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0001,Castelbello / Kastelbell,E10,Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,116,7.4,6,3.3600000000000003,0,31,,< 0.02,< 0.01,< 0.05,< 1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0001,Castelbello / Kastelbell,E10,Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,110,7.2,6,3.3600000000000003,0,32,,< 0.02,< 0.01,< 0.05,< 1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0009,Steinach/Steinach,E01,Privato/Privat,333,7.7,18,10.080000000000002,0,194,,< 0.02,< 0.01,0.06,< 1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0004,Montefranco / Freiberg,E08,Privato/Privat,135,7.6,10,5.6000000000000005,0,69,< 0.5,< 0.02,< 0.01,0.12,< 1,1,22,2,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,13,1,< 0.5,< 0.5,< 1,1.4,19,< 2,< 0.2,,,,,,,,,,,
04/12/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0002,Ciardes / Tschars,E01,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",313,7.9,16,8.96,0,86,,< 0.02,< 0.01,0.79,< 1,< 1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0002,Ciardes / Tschars,E01,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",277,7.9,16,8.96,0,85,< 0.5,< 0.02,< 0.01,0.76,< 1,< 1,98,5,< 0.1,< 4,< 1,1,1,< 0.1,< 1,< 1,3,< 0.5,< 0.5,< 1,5.8,< 10,< 2,< 0.2,,,,,,,,,,,
06/09/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0002,Ciardes / Tschars,E01,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",310,7.9,16,8.96,0,86,,< 0.02,< 0.01,0.87,< 1,< 1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0002,Ciardes / Tschars,E01,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",314,7.9,16,8.96,0,89,,< 0.02,< 0.01,0.8,< 1,< 1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0002,Ciardes / Tschars,E01,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",315,7.9,17,9.520000000000001,0,89,,< 0.02,< 0.01,0.8,< 1,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0002,Ciardes / Tschars,E01,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",320,7.9,16,8.96,0,89,,< 0.02,< 0.01,0.83,< 1,< 1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0001,Castelbello / Kastelbell,E05,f.p. Lacinigo / Öffentlicher Brunnen Latschinig,114,7.6,7,3.9200000000000004,0,69,< 0.5,< 0.02,< 0.01,0.1,< 1,1,20,2,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,< 1,1,< 0.5,< 0.5,< 1,1.3,< 10,< 2,< 0.2,,,,,,,,,,,
03/09/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0001,Castelbello / Kastelbell,E01,f.p. centro / Öffentlicher Brunnen Zentrum,109,6.9,5,2.8000000000000003,0,31,,< 0.02,< 0.01,0.05,< 1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0001,Castelbello / Kastelbell,E01,f.p. centro / Öffentlicher Brunnen Zentrum,111,6.7,5,2.8000000000000003,0,33,,< 0.02,< 0.01,0.06,< 1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0007,Montetrumes / Trumsberg,E01,"ristoro di campagna ""Niedermair"" - Montetrumes+I71 / Buschenschank Niedermair - Trumsberg",61,7.7,3,1.6800000000000002,0,27,,< 0.02,< 0.01,0.85,< 1,2,8,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
12/03/2018,18.0,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,T0007,Montetrumes / Trumsberg,E01,"ristoro di campagna ""Niedermair"" - Montetrumes+I71 / Buschenschank Niedermair - Trumsberg",67,7.2,4,2.24,0,29,< 0.5,< 0.02,< 0.01,0.75,< 1,2,10,2,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,< 1,20,< 0.5,< 0.5,< 1,14.7,< 10,< 2,< 0.2,,,,,,,,,,,
10/04/2018,19.0,CASTELROTTO/KASTELRUTH,T0006,Runggaditsch Passua / Runggaditsch Passua,E02,Asilo / Kindergarten,201,7.9,14,7.840000000000001,0,122,< 0.5,< 0.02,< 0.01,< 0.05,< 1,3,14,3,< 0.1,9,< 1,< 1,2,< 0.1,< 1,21,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
16/01/2018,19.0,CASTELROTTO/KASTELRUTH,T0006,Runggaditsch Passua / Runggaditsch Passua,E02,Asilo / Kindergarten,276,8.1,15,8.4,0,181,,< 0.02,< 0.01,< 0.05,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2018,19.0,CASTELROTTO/KASTELRUTH,T0006,Runggaditsch Passua / Runggaditsch Passua,E02,Asilo / Kindergarten,223,8.1,13,7.280000000000001,0,154,,< 0.02,< 0.01,< 0.05,< 1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0006,Runggaditsch Passua / Runggaditsch Passua,E02,Asilo / Kindergarten,258,8,15,8.4,0,187,,< 0.02,< 0.01,0.11,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2018,19.0,CASTELROTTO/KASTELRUTH,T0003,Runggaditsch-Überwasser / Runggaditsch-Überwasser,E01,Asilo Sureghes / Kindergarten Sureghes,173,7.9,8,4.48,0,117,,< 0.02,< 0.01,< 0.05,< 1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2018,19.0,CASTELROTTO/KASTELRUTH,T0003,Runggaditsch-Überwasser / Runggaditsch-Überwasser,E01,Asilo Sureghes / Kindergarten Sureghes,208,8,10,5.6000000000000005,0,137,< 0.5,< 0.02,< 0.01,< 0.05,< 1,3,11,< 1,< 0.1,7,< 1,< 1,< 1,< 0.1,< 1,42,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
16/01/2018,19.0,CASTELROTTO/KASTELRUTH,T0003,Runggaditsch-Überwasser / Runggaditsch-Überwasser,E01,Asilo Sureghes / Kindergarten Sureghes,178,8,11,6.16,0,109,,< 0.02,< 0.01,< 0.05,< 1,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0001,Castelrotto/Kastelruth,E02,"Bagno Pubblico - Centro / Öff. Toiletten, Zentrum",345,8,21,11.760000000000002,0,167,,< 0.02,< 0.01,0.08,2,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0001,Castelrotto/Kastelruth,E02,"Bagno Pubblico - Centro / Öff. Toiletten, Zentrum",350,8.1,21,11.760000000000002,0,166,< 0.5,< 0.02,< 0.01,0.07,2,2,63,4,< 0.1,< 4,< 1,< 1,1,< 0.1,< 1,34,< 1,< 0.5,< 0.5,< 1,1.4,16,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
03/10/2018,19.0,CASTELROTTO/KASTELRUTH,T0004,Pufels / Pufels,E03,Bar Lavies - Pufels 5,300,8,17,9.520000000000001,0,213,< 0.5,< 0.02,< 0.01,0.09,< 1,1,7,5,< 0.1,< 4,< 1,< 1,2,< 0.1,< 1,34,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
26/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0004,Pufels / Pufels,E03,Bar Lavies - Pufels 5,318,8.1,16,8.96,0,226,,< 0.02,< 0.01,0.09,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2018,19.0,CASTELROTTO/KASTELRUTH,T0001,Castelrotto/Kastelruth,E04,Brunnen bei Grundschule,207,8,11,6.16,0,131,,< 0.02,< 0.01,0.06,< 1,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2018,19.0,CASTELROTTO/KASTELRUTH,T0002,Siusi / Seis,E01,Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,302,7.9,17,9.520000000000001,0,174,,< 0.02,< 0.01,0.17,2,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0002,Siusi / Seis,E01,Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,310,7.9,18,10.080000000000002,0,178,,< 0.02,< 0.01,0.09,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0002,Siusi / Seis,E01,Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,320,8,19,10.64,0,172,< 0.5,< 0.02,< 0.01,0.09,2,3,40,6,< 0.1,15,< 1,< 1,1,< 0.1,< 1,10,< 1,< 0.5,< 0.5,< 1,1.3,25,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
28/06/2018,19.0,CASTELROTTO/KASTELRUTH,T0002,Siusi / Seis,E01,Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,310,7.9,18,10.080000000000002,0,180,,< 0.02,< 0.01,0.11,2,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2018,19.0,CASTELROTTO/KASTELRUTH,T0001,Castelrotto/Kastelruth,E04,Fontana pubblica presso scuola elementare / Öffentlicher Brunnen bei Grundschule,307,8,17,9.520000000000001,0,150,,< 0.02,< 0.01,0.12,< 1,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2018,19.0,CASTELROTTO/KASTELRUTH,T0009,Alpe di Siusi / Seiseralm,E01,Nordiccenter / Nordiccenter,297,8,11,6.16,0,141,1,< 0.02,< 0.01,< 0.05,< 1,4,7,< 1,< 0.1,6,< 1,< 1,< 1,< 0.1,< 1,249,< 1,< 0.5,< 0.5,4,0.9,87,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
19/09/2018,19.0,CASTELROTTO/KASTELRUTH,T0009,Alpe di Siusi / Seiseralm,E01,Nordiccenter / Nordiccenter,291,7.8,16,8.96,0,224,< 0.5,< 0.02,< 0.01,0.05,< 1,1,6,2,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,9,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
28/06/2018,19.0,CASTELROTTO/KASTELRUTH,T0009,Alpe di Siusi / Seiseralm,E01,Nordiccenter / Nordiccenter,262,8,16,8.96,0,171,,< 0.02,< 0.01,0.06,< 1,< 1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2018,19.0,CASTELROTTO/KASTELRUTH,T0011,S. Osvaldo / St. Oswald,E01,Privato/Privat,212,8.2,11,6.16,0,141,0.9,< 0.02,< 0.01,< 0.05,< 1,4,7,< 1,< 0.1,6,< 1,< 1,< 1,< 0.1,< 1,8,< 1,< 0.5,< 0.5,< 1,0.9,< 10,< 2,< 0.2,,,,,,,,,,,
21/11/2018,19.0,CASTELROTTO/KASTELRUTH,T0012,Oberridl / Oberridl,E01,Privato/Privat,211,8.1,28,15.680000000000001,0,127,,< 0.02,< 0.01,0.08,< 1,3,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2018,20.0,CERMES/TSCHERMS,T0002,Basling / Basling,E01,"Cafe` Eggbauer, Basling / Cafe` Eggbauer, Basling",442,7.6,23,12.88,0,120,< 0.5,< 0.02,< 0.01,0.46,4,7,140,12,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,15,< 1,< 0.5,< 0.5,< 1,4.6,< 10,< 2,< 0.2,,,,,,,,,,,
04/12/2018,20.0,CERMES/TSCHERMS,T0001,Cermes / Tscherms,E01,Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,302,8,15,8.4,0,118,,< 0.02,< 0.01,0.25,4,7,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2018,20.0,CERMES/TSCHERMS,T0001,Cermes / Tscherms,E01,Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,307,8,17,9.520000000000001,0,124,< 0.5,< 0.02,< 0.01,0.23,5,8,57,6,< 0.1,5,< 1,< 1,< 1,< 0.1,1,2,< 1,< 0.5,< 0.5,< 1,8.3,12,< 2,< 0.2,,,,,,,,,,,
10/10/2018,20.0,CERMES/TSCHERMS,T0001,Cermes / Tscherms,E01,Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,275,8,14,7.840000000000001,0,116,< 0.5,< 0.02,< 0.01,0.35,4,6,58,7,< 0.1,5,< 1,< 1,< 1,< 0.1,< 1,3,2,< 0.5,< 0.5,< 1,6.7,< 10,< 2,< 0.2,,,,,,,,,,,
28/02/2018,20.0,CERMES/TSCHERMS,T0001,Cermes / Tscherms,E01,Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,318,7.7,17,9.520000000000001,0,128,,< 0.02,< 0.01,0.26,5,8,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2018,21.0,CHIENES/KIENS,T0002,Casteldarne / Ehrenburg,E03,Ehrenburgerhof Lido / Ehrenburgerhof Lido,179,7.4,10,5.6000000000000005,0,81,,< 0.02,< 0.01,0.14,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2018,21.0,CHIENES/KIENS,T0002,Casteldarne / Ehrenburg,E01,Fontana / Brunnen,112,7.1,6,3.3600000000000003,0,49,,< 0.02,< 0.01,< 0.05,< 1,< 1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,21.0,CHIENES/KIENS,T0002,Casteldarne / Ehrenburg,E01,Fontana / Brunnen,179,7.3,9,5.040000000000001,0,80,,< 0.02,< 0.01,0.1,2,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,21.0,CHIENES/KIENS,T0003,S. Sigismondo / St. Sigmund,E01,Fontana chiesa / Brunnen Kirche,229,7.6,12,6.720000000000001,0,91,,< 0.02,< 0.01,0.17,3,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2018,21.0,CHIENES/KIENS,T0003,S. Sigismondo / St. Sigmund,E01,Fontana chiesa / Brunnen Kirche,226,7.2,12,6.720000000000001,0,91,,< 0.02,< 0.01,0.22,2,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2018,21.0,CHIENES/KIENS,T0001,Chienes / Kiens,E03,Fontana paese / Brunnen Oberdorf,55,7.3,2,1.12,0,28,,< 0.02,< 0.01,< 0.05,1,< 1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,21.0,CHIENES/KIENS,T0001,Chienes / Kiens,E03,Fontana paese / Brunnen Oberdorf,54,7.5,3,1.6800000000000002,0,25,,< 0.02,< 0.01,0.16,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2018,21.0,CHIENES/KIENS,T0003,S. Sigismondo / St. Sigmund,E02,Kindergarten / Kindergarten,217,7.1,10,5.6000000000000005,0,90,,< 0.02,< 0.01,0.26,2,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2018,21.0,CHIENES/KIENS,T0004,Monghezzo / Getzenberg,E02,Privato/Privat,111,7.7,6,3.3600000000000003,0,55,,< 0.02,< 0.01,0.09,< 1,< 1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2018,22.0,CHIUSA/KLAUSEN,T0002,Verdignes / Verdings,E01,Fontana pubblica / Öffentlicher Brunnen,60,7.6,3,1.6800000000000002,0,30,,< 0.02,< 0.01,0.08,< 1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2018,22.0,CHIUSA/KLAUSEN,T0002,Verdignes / Verdings,E01,Fontana pubblica / Öffentlicher Brunnen,68,6.9,19,10.64,0,241,< 0.5,< 0.02,< 0.01,< 0.05,4,3,15,2,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,48,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
11/04/2018,22.0,CHIUSA/KLAUSEN,T0002,Verdignes / Verdings,E01,Fontana pubblica / Öffentlicher Brunnen,72,7.2,5,2.8000000000000003,0,31,,< 0.02,< 0.01,0.09,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2018,22.0,CHIUSA/KLAUSEN,T0002,Verdignes / Verdings,E01,Fontana pubblica / Öffentlicher Brunnen,63,7.3,3,1.6800000000000002,0,31,,< 0.02,< 0.01,0.08,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2018,22.0,CHIUSA/KLAUSEN,T0002,Verdignes / Verdings,E01,Fontana pubblica / Öffentlicher Brunnen,65,7.3,3,1.6800000000000002,0,32,< 0.5,< 0.02,< 0.01,0.07,< 1,2,9,2,< 0.1,14,< 1,< 1,< 1,< 0.1,< 1,3,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
09/07/2018,22.0,CHIUSA/KLAUSEN,T0004,Gudon / Gufidaun,E03,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,310,8.1,17,9.520000000000001,0,119,,< 0.02,< 0.01,0.08,< 1,3,72,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
11/09/2018,22.0,CHIUSA/KLAUSEN,T0004,Gudon / Gufidaun,E03,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,304,8.1,16,8.96,0,132,0.8,< 0.02,< 0.01,0.09,< 1,3,67,1,< 0.1,16,< 1,< 1,< 1,< 0.1,< 1,3,5,< 0.5,< 0.5,< 1,1.4,< 10,< 2,< 0.2,,,,,,,,,,,
14/11/2018,22.0,CHIUSA/KLAUSEN,T0004,Gudon / Gufidaun,E03,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,316,8.1,16,8.96,0,135,,< 0.02,< 0.01,0.07,< 1,3,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2018,22.0,CHIUSA/KLAUSEN,T0004,Gudon / Gufidaun,E03,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,244,8.1,13,7.280000000000001,0,125,,< 0.02,< 0.01,0.09,< 1,5,35,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
20/03/2018,22.0,CHIUSA/KLAUSEN,T0004,Gudon / Gufidaun,E03,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,415,8.1,3,1.6800000000000002,0,34,,< 0.02,< 0.01,0.08,< 1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E03,Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,56,7.4,3,1.6800000000000002,0,27,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,7,1,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,< 1,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
11/04/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E03,Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,63,7.1,3,1.6800000000000002,0,34,,< 0.02,< 0.01,0.07,< 1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E03,Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,58,7.2,3,1.6800000000000002,0,29,,< 0.02,< 0.01,0.1,< 1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E03,Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,62,7.1,3,1.6800000000000002,0,30,,< 0.02,< 0.01,0.06,< 1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2018,22.0,CHIUSA/KLAUSEN,T0003,Lazfons / Latzfons,E01,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,96,8.2,4,2.24,0,61,,< 0.02,< 0.01,< 0.05,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2018,22.0,CHIUSA/KLAUSEN,T0003,Lazfons / Latzfons,E01,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,97,8.1,4,2.24,0,62,,< 0.02,< 0.01,< 0.05,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2018,22.0,CHIUSA/KLAUSEN,T0003,Lazfons / Latzfons,E01,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,104,8.1,7,3.9200000000000004,0,64,,< 0.02,< 0.01,< 0.05,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2018,22.0,CHIUSA/KLAUSEN,T0003,Lazfons / Latzfons,E01,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,95,8.1,5,2.8000000000000003,0,61,,< 0.02,< 0.01,0.06,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2018,22.0,CHIUSA/KLAUSEN,T0003,Lazfons / Latzfons,E01,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,97,8,4,2.24,0,63,< 0.5,< 0.02,< 0.01,< 0.05,1,2,4,2,< 0.1,10,< 1,< 1,< 1,< 0.1,< 1,4,2,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
06/06/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E05,Privato/Privat,62,7.5,3,1.6800000000000002,0,31,< 0.5,< 0.02,< 0.01,0.06,< 1,2,7,1,< 0.1,4,< 1,< 1,< 1,< 0.1,< 1,162,< 1,< 0.5,< 0.5,2,< 0.5,290,< 2,< 0.2,,,,,,,,,,,
06/06/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E04,Privato/Privat,395,7.4,22,12.32,0,215,< 0.5,< 0.02,< 0.01,0.22,9,11,39,7,< 0.1,< 4,< 1,< 1,1,< 0.1,< 1,4,4,< 0.5,< 0.5,< 1,4.2,< 10,< 2,< 0.2,,,,,,,,,,,
18/06/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E06,Privato/Privat,72,7.4,3,1.6800000000000002,0,29,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,8,1,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,17,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
10/10/2018,22.0,CHIUSA/KLAUSEN,T0001,Chiusa / Klausen,E08,"Scuola dell'Infanzia Chiusa, Langrain 39 / Kindergarten Klausen, Langrain 39; WH Küche",98,7.5,4,2.24,0,32,,< 0.02,< 0.01,< 0.05,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
