Data prelievo / Entnahme Datum ,Codice Comune / Gemeindekodex,Comune / Gemeinde,Codice acquedotto / Kodex TWL,Denominazione acquedotto / TWL Benennung,Codice punto di prel. / Kodex Entnahmepunkt,Punto di prelievo / Entnahmepunkt,Conduc. Elettr. Spec.µS/cm,pH,Durezza totale F°,Durezza totale °D,Alcalinità CO3 mg/L,Alcalinità HCO3 mg/L,Ossidabilità O2 mg/L,Ammonio NH4 mg/L,Nitriti NO2 mg/L,Fluoruri mg/L,Cloruri mg/L,Nitrati NO3 mg/L,Solfati mg/L,Sodiomg/L,Boro µg/L,Alluminio µg/L,Cromo µg/L,Selenio µg/L,Vanadio µg/L,Rame mg/L,Nichel µg/L,Zinco µg/L,Arsenico µg/L,Antimonio µg/L,Cadmioµg/L,Piomboµg/L,Uranio µg/L,Ferro µg/L,Manganese µg/L,Mercurio µg/L,Idrocarburi policiclici aromatici µg/L,Benzo(a)pirene µg/L,Benzene µg/L,"1,2-Dicloroetano µg/L",Tricloroetilene (Trielina)µg/L,Tetracloroetileneµg/L,Trialometani µg/L,Cloroformioµg/L,Bromoformioµg/L,Dibromoclorometanoµg/L,Bromodiclorometanoµg/L
23/05/2018,2.0,ANDRIANO/ANDRIAN,T0001,Andriano / Andrian,E01,Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,456,8.1,23,12.88,0,275,< 0.5,< 0.02,< 0.01,0.28,3,6,50,37,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,1,3,< 0.5,< 0.5,< 1,17.3,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
14/11/2018,2.0,ANDRIANO/ANDRIAN,T0001,Andriano / Andrian,E02,Municipio / Rathaus,511,8.1,26,14.560000000000002,0,278,,< 0.02,< 0.01,0.29,3,6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2018,2.0,ANDRIANO/ANDRIAN,T0001,Andriano / Andrian,E02,Municipio / Rathaus,479,8.2,26,14.560000000000002,0,279,,< 0.02,< 0.01,0.28,4,6,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2018,3.0,ANTERIVO/ALTREI,T0001,Anterivo / Altrei,E02,Comune / Rathaus,50,6.7,2,1.12,0,29,,< 0.02,< 0.01,< 0.05,2,< 1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2018,3.0,ANTERIVO/ALTREI,T0001,Anterivo / Altrei,E01,Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,42,7,2,1.12,0,28,,< 0.02,< 0.01,< 0.05,< 1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2018,3.0,ANTERIVO/ALTREI,T0001,Anterivo / Altrei,E01,Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,41,6.8,2,1.12,0,27,,< 0.02,< 0.01,< 0.05,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/2018,3.0,ANTERIVO/ALTREI,T0001,Anterivo / Altrei,E01,Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,43,7.1,2,1.12,0,30,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,2,2,< 0.1,12,< 1,< 1,< 1,< 0.1,< 1,< 1,< 1,< 0.5,< 0.5,< 1,1.2,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
22/05/2018,3.0,ANTERIVO/ALTREI,T0001,Anterivo / Altrei,E01,Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,40,7.6,2,1.12,0,24,,< 0.02,< 0.01,< 0.05,< 1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E11,Asilo di lingua italiana / Italienischer Kindergarten,294,7.9,20,11.200000000000001,0,238,,< 0.02,< 0.01,< 0.05,< 1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/11/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E11,Asilo di lingua italiana / Italienischer Kindergarten,330,8,17,9.520000000000001,0,237,,< 0.02,< 0.01,0.06,< 1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E11,Asilo di lingua italiana / Italienischer Kindergarten,332,8,6,3.3600000000000003,0,49,,< 0.02,< 0.01,0.08,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0007,Monticolo / Montiggl,E01,"Bar Tennis, Monticolo paese / Bar Tennis, Montiggl Dorf",323,8.2,20,11.200000000000001,0,205,2,< 0.02,< 0.01,0.09,2,5,14,2,< 0.1,11,< 1,< 1,< 1,< 0.1,< 1,82,6,< 0.5,< 0.5,< 1,1.9,48,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
18/06/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0013,Matschatsch Freizeit / Matschatsch Freizeit,E01,Castel Masaccio / Schlössl Matschatsch,1172,7.3,45,25.200000000000003,0,400,< 0.5,< 0.02,< 0.01,0.07,22,4,18,100,< 0.1,< 4,< 1,< 1,< 1,< 0.1,1,74,< 1,< 0.5,< 0.5,1,2.3,12,< 2,< 0.2,,,,,,,,,,,
08/11/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E03,Fontana pubblica P.zza San Michele / Öffentlicher Brunnen St.-Michael-Platz,327,7.9,17,9.520000000000001,0,231,,< 0.02,< 0.01,0.06,< 1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0001,San Michele / St. Michael,E03,Fontana pubblica P.zza San Michele / Öffentlicher Brunnen St.-Michael-Platz,335,8,20,11.200000000000001,0,239,0.6,< 0.02,< 0.01,0.06,< 1,2,7,< 1,< 0.1,5,< 1,< 1,2,< 0.1,< 1,6,< 1,< 0.5,< 0.5,< 1,1.7,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
22/05/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0004,Missiano / Missian,E03,Fontana pubblica Riva di sotto / öffentliche Brunnen Unterrain,491,7.6,26,14.560000000000002,0,281,,< 0.02,< 0.01,0.16,9,4,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0006,Cornaiano / Girlan,E03,Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,321,8.1,20,11.200000000000001,0,229,2,< 0.02,< 0.01,0.05,< 1,5,4,< 1,< 0.1,6,< 1,< 1,2,< 0.1,< 1,2,1,< 0.5,< 0.5,3,0.8,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
16/08/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0006,Cornaiano / Girlan,E03,Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,328,8,17,9.520000000000001,0,180,,< 0.02,< 0.01,0.16,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0006,Cornaiano / Girlan,E03,Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,319,8.1,21,11.760000000000002,0,174,,< 0.02,< 0.01,0.15,4,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0011,Unterhausen / Unterhausen,E02,Fontana pubblica davanti Unterhausenhof / Öffentl. Brunnen vor Unterhausenhof,396,7.8,25,14.000000000000002,0,254,< 0.5,< 0.02,< 0.01,0.28,4,4,13,11,< 0.1,17,< 1,< 1,< 1,< 0.1,< 1,2,3,< 0.5,< 0.5,< 1,11.8,< 10,< 2,< 0.2,,,,,,,,,,,
16/08/2018,4.0,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,T0003,San Paolo / St. Pauls,E02,Fontana pubblica via S. Paolo n° 20 / Öffentlicher Brunnen St.-Pauls-Straße Nr. 20,643,7.5,34,19.040000000000003,0,310,,< 0.02,< 0.01,0.13,7,11,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
