alias_address,alias_city,geocode,geometry,georeferencingString,type
Serra di Variglie n. 86,Asti,"Località Variglie 86, 14100, Asti","{'type': 'Point', 'coordinates': [8.160784930896158, 44.87484725618895]}","Serra di Variglie n. 86, Asti, 14100, Asti, AT",POINT
Località Vallebenedetta 7/A,Asti,"Località Vallebenedetta, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.172699749999996, 44.90525249999999]}","Località Vallebenedetta 7/A, Asti, 14100, Asti, AT",POINT
Fraz. Valleandona str. Lascaris 58/60,Asti,"Strada Lascaris 58, 14100, Asti","{'type': 'Point', 'coordinates': [8.116462351376294, 44.913285671100525]}","Fraz. Valleandona str. Lascaris 58/60, Asti, 14100, Asti, AT",POINT
Via Giribaldi 1,Asti,"Via Giuseppe Garibaldi 1, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.206332459201347, 44.899223427145245]}","Via Giribaldi 1, Asti, 14100, Asti, AT",POINT
Fraz.Vaglierano Alto n. 13,Asti,"Frazione Vaglierano 13, 14100, Asti","{'type': 'Point', 'coordinates': [8.137769024554267, 44.8723386766691]}","Fraz.Vaglierano Alto n. 13, Asti, 14100, Asti, AT",POINT
Strada San Bartolomeo 276/A,Asti,"Strada San Bartolomeo, 14100, Asti","{'type': 'Point', 'coordinates': [8.27132108933447, 44.90051130193399]}","Strada San Bartolomeo 276/A, Asti, 14100, Asti, AT",POINT
Fraz. San Marzanotto piana 278,Asti,"Frazione San Marzanotto 278, 14100, Asti","{'type': 'Point', 'coordinates': [8.205776449218014, 44.86226591756594]}","Fraz. San Marzanotto piana 278, Asti, 14100, Asti, AT",POINT
Fraz.San Marzanotto paese 26,Asti,"Frazione San Marzanotto 26, 14100, Asti","{'type': 'Point', 'coordinates': [8.213747935743594, 44.86301136554322]}","Fraz.San Marzanotto paese 26, Asti, 14100, Asti, AT",POINT
Bricco Gianotti,Asti,"Bricco Gianotti, 14100, Asti","{'type': 'Point', 'coordinates': [8.24070278781368, 44.873031724097245]}","Bricco Gianotti, Asti, 14100, Asti, AT",POINT
Fraz.Montemarzo 139,Asti,"Frazione Montemarzo 139, 14100, Asti","{'type': 'Point', 'coordinates': [8.254789261988671, 44.864544666397315]}","Fraz.Montemarzo 139, Asti, 14100, Asti, AT",POINT
Fraz. Valterza 69/A,Asti,"Località Valterza 69, 14100, Asti","{'type': 'Point', 'coordinates': [8.258229382047421, 44.9103675858965]}","Fraz. Valterza 69/A, Asti, 14100, Asti, AT",POINT
Fraz.Quarto Inferiore 145,Asti,"Frazione Quarto Inferiore 145, 14100, Asti","{'type': 'Point', 'coordinates': [8.287263314732582, 44.90948918956661]}","Fraz.Quarto Inferiore 145, Asti, 14100, Asti, AT",POINT
Via Mattarella,Asti,"Via Piersanti Mattarella, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.188404990931092, 44.89053647037238]}","Via Mattarella, Asti, 14100, Asti, AT",POINT
Via Duca d’Aosta n°42,Asti,"Via Duca d'Aosta 42, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.19390674978367, 44.904511247013694]}","Via Duca d’Aosta n°42, Asti, 14100, Asti, AT",POINT
Via Testa n. 56,Asti,"Via Gioacchino Testa 56, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.197226999999998, 44.901512999999994]}","Via Testa n. 56, Asti, 14100, Asti, AT",POINT
Via Ugo Foscolo,Asti,"Via Ugo Foscolo, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.203078214093642, 44.911735949873346]}","Via Ugo Foscolo, Asti, 14100, Asti, AT",POINT
Via Cavanna 34,Asti,"Via Monsignor Nicola Cavanna 34, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.217857278014353, 44.91854466889562]}","Via Cavanna 34, Asti, 14100, Asti, AT",POINT
Corso Savona 180,Asti,"Corso Savona 180, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.211357523457751, 44.888597245628716]}","Corso Savona 180, Asti, 14100, Asti, AT",POINT
Viale Pilone 222,Asti,"Viale Pilone 222, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.228047374545591, 44.90520734722136]}","Viale Pilone 222, Asti, 14100, Asti, AT",POINT
Via Sant’Anna – Asilo,Asti,"Via Sant'Anna, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.195106868404702, 44.89752508271788]}","Via Sant’Anna – Asilo, Asti, 14100, Asti, AT",POINT
Corso XXV Aprile – scuola elementare,Asti,"Corso 25 Aprile, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.192250579129631, 44.90681911194292]}","Corso XXV Aprile – scuola elementare, Asti, 14100, Asti, AT",POINT
Via Cecchin – scuola elementare,Asti,"Via Giuseppe Cecchin, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.22000626191066, 44.89242752014697]}","Via Cecchin – scuola elementare, Asti, 14100, Asti, AT",POINT
Corso Alessandria 83,Asti,"Corso Alessandria 83, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.21745730766343, 44.903912940879486]}","Corso Alessandria 83, Asti, 14100, Asti, AT",POINT
Valle San Pietro n°87,Asti,"Piazza San Pietro 87, 14100, Asti, AT","{'type': 'Point', 'coordinates': [8.215043646964888, 44.902916304409025]}","Valle San Pietro n°87, Asti, 14100, Asti, AT",POINT
