alias_address,alias_city,georeferencingString,geocode,geometry
VIA CIMOLAIS,UDINE,UDINE VIA CIMOLAIS,"Via Cimolais, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2596968, 46.0648671]}"
VIA CIRO DI PERS,UDINE,UDINE VIA CIRO DI PERS,"Via Ciro di Pers, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2346363, 46.0570751]}"
VIA CISIS,UDINE,UDINE VIA CISIS,"Via Cisis, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2318308, 46.0561939]}"
VIA CIVIDALE,UDINE,UDINE VIA CIVIDALE,"Via Cividale, Quartiere Riccardo di Giusto, San Gottardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.271105, 46.0743696]}"
VIA CIVIDALE DI COLUGNA,UDINE,UDINE VIA CIVIDALE DI COLUGNA,,
VIA CIVIDINA,UDINE,UDINE VIA CIVIDINA,"Via Cividina, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2280987, 46.0982466]}"
VIA CJARANDE,UDINE,UDINE VIA CJARANDE,"Via Cjarande, San Bernardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2706484, 46.1105923]}"
VIA CJAVECIS,UDINE,UDINE VIA CJAVECIS,"Via Cjavecis, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2295776, 46.0898278]}"
VIA CODROIPO,UDINE,UDINE VIA CODROIPO,"Via Codroipo, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2370601, 46.0739421]}"
VIA COLLALTO,UDINE,UDINE VIA COLLALTO,"Via Collalto, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2314967, 46.0831209]}"
VIA COLONIA CAROYA,UDINE,UDINE VIA COLONIA CAROYA,"Via Colonia Caroya, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2104477, 46.0702859]}"
VIA COLUGNA,UDINE,UDINE VIA COLUGNA,"Via Colugna, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2224949, 46.0828384]}"
VIA COMELICO,UDINE,UDINE VIA COMELICO,"Via Comelico, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2478634, 46.0385436]}"
VIA COMO,UDINE,UDINE VIA COMO,"Via Como, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2045745, 46.0857827]}"
VIA CONEGLIANO,UDINE,UDINE VIA CONEGLIANO,"Via Conegliano, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2611622, 46.0200865]}"
VIA CONTEA DI CUSSIGNACCO,UDINE,UDINE VIA CONTEA DI CUSSIGNACCO,"Via Contea di Cussignacco, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2641715, 46.0205897]}"
VIA CORDENONS,UDINE,UDINE VIA CORDENONS,"Via Cordenons, Borgo Villalta, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2175762, 46.0582221]}"
VIA CORGNALI,UDINE,UDINE VIA CORGNALI,"Via Gio Batta Corgnali, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2581965, 46.0241578]}"
VIA CORMONS,UDINE,UDINE VIA CORMONS,"Via Cormons, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2326271, 46.0747472]}"
VIA CORMOR ALTO,UDINE,UDINE VIA CORMOR ALTO,"Via Cormor Alto, Borgo Villalta, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2143227, 46.0598274]}"
VIA CORMOR BASSO,UDINE,UDINE VIA CORMOR BASSO,"Via Cormor Basso, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2086235, 46.0573214]}"
VIA CORMOR DI BASALDELLA,UDINE,UDINE VIA CORMOR DI BASALDELLA,,
VIA CORNAPPO,UDINE,UDINE VIA CORNAPPO,"Via Cornappo, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2673775, 46.0727542]}"
VIA CORNELIO GALLO,UDINE,UDINE VIA CORNELIO GALLO,"Via Cornelio Gallo, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2575557, 46.0527674]}"
VIA CORTAZZIS,UDINE,UDINE VIA CORTAZZIS,"Via Cortazzis, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2339218, 46.062843]}"
VIA CREMA,UDINE,UDINE VIA CREMA,"Via Crema, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2001074, 46.0854401]}"
VIA CREMONA,UDINE,UDINE VIA CREMONA,"Via Cremona, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2033042, 46.0800722]}"
VIA CROAZIA,UDINE,UDINE VIA CROAZIA,"Via Croazia, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2406923, 46.0347213]}"
VIA CUNEO,UDINE,UDINE VIA CUNEO,"Via Cuneo, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.239093, 46.081865]}"
VIA CUSSIGNACCO,UDINE,UDINE VIA CUSSIGNACCO,"Via Cussignacco, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2259981, 46.0303538]}"
VIA DA MARCOTE,UDINE,UDINE VIA DA MARCOTE,,
VIA DAL MELON,UDINE,UDINE VIA DAL MELON,"Via dal Melon, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2123777, 46.0893945]}"
VIA DAL MIUL,UDINE,UDINE VIA DAL MIUL,"Via dal Miul, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2078558, 46.0621473]}"
VIA DALMAZIO BIRAGO,UDINE,UDINE VIA DALMAZIO BIRAGO,"Via Dalmazio Birago, Borgo Villalta, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2132604, 46.0564006]}"
VIA DAMIANO CHIESA,UDINE,UDINE VIA DAMIANO CHIESA,"Via Damiano Chiesa, Borgo Villalta, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2126794, 46.0573211]}"
VIA DANIELE CARENZANI,UDINE,UDINE VIA DANIELE CARENZANI,,
VIA DANIELE CERNAZAI,UDINE,UDINE VIA DANIELE CERNAZAI,"Via Daniele Cernazai, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2299857, 46.0609956]}"
VIA DANIELE MANIN,UDINE,UDINE VIA DANIELE MANIN,"Via Daniele Manin, Borgo Aquileia, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.238182, 46.064177]}"
VIA DANIELE MORO,UDINE,UDINE VIA DANIELE MORO,"Via Daniele Moro, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2377842, 46.0604821]}"
VIA DANTE ALIGHIERI,UDINE,UDINE VIA DANTE ALIGHIERI,"Via Dante Alighieri, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2395671, 46.0591031]}"
VIA DE CILIA JOLE,UDINE,UDINE VIA DE CILIA JOLE,,
VIA DE MONTE G  LIVORNO,UDINE,UDINE VIA DE MONTE G  LIVORNO,,
VIA DE RUBEIS,UDINE,UDINE VIA DE RUBEIS,"De Rubeis, Via Bernardo De Rubeis, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2356923, 46.0567037]}"
VIA DE RUBIES,UDINE,UDINE VIA DE RUBIES,,
VIA DECANI,UDINE,UDINE VIA DECANI,"Via Decani di Cussignacco, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2556582, 46.022967]}"
VIA DECANI DI CUSSIGNACCO,UDINE,UDINE VIA DECANI DI CUSSIGNACCO,"Via Decani di Cussignacco, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2556582, 46.022967]}"
VIA DEGLI ORTI,UDINE,UDINE VIA DEGLI ORTI,,
VIA DEI CALZOLAI,UDINE,UDINE VIA DEI CALZOLAI,"Via dei Calzolai, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2369923, 46.0617017]}"
VIA DEI CARLINI,UDINE,UDINE VIA DEI CARLINI,"Via dei Carlini, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2525161, 46.0491138]}"
VIA DEI CASALI OSELLIN,UDINE,UDINE VIA DEI CASALI OSELLIN,"Via dei Casali Osellin, Quartiere Riccardo di Giusto, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.261099, 46.07169]}"
VIA DEI PASCOLI,UDINE,UDINE VIA DEI PASCOLI,"Via dei Pascoli, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2224948, 46.086887]}"
VIA DEI PRATI,UDINE,UDINE VIA DEI PRATI,"Via dei Prati, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2612557, 46.037051]}"
VIA DEI RIZZANI,UDINE,UDINE VIA DEI RIZZANI,"Via dei Rizzani, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2325181, 46.0649545]}"
VIA DEI TORRIANI,UDINE,UDINE VIA DEI TORRIANI,"Via dei Torriani, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2314694, 46.0639998]}"
VIA DEI TRE GALLI,UDINE,UDINE VIA DEI TRE GALLI,"Via dei Tre Galli, Borgo Aquileia, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2499808, 46.0422322]}"
VIA DEL  COTONIFICIO,UDINE,UDINE VIA DEL  COTONIFICIO,"Via del Cotonificio, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2145641, 46.0926032]}"
VIA DEL BON,UDINE,UDINE VIA DEL BON,"Via del Bon, Quartiere Riccardo di Giusto, La Buse dai Veris, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2808553, 46.0688999]}"
VIA DEL BOSCAT,UDINE,UDINE VIA DEL BOSCAT,"Via del Boscat, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2602451, 46.0207592]}"
VIA DEL CARBONE,UDINE,UDINE VIA DEL CARBONE,"Via del Carbone, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2340149, 46.0639663]}"
VIA DEL CEMENTIFICIO,UDINE,UDINE VIA DEL CEMENTIFICIO,"Via del Cementificio, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2546764, 46.058131]}"
VIA DEL COTONIFICIO,UDINE,UDINE VIA DEL COTONIFICIO,"Via del Cotonificio, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2145641, 46.0926032]}"
VIA DEL FREDDO,UDINE,UDINE VIA DEL FREDDO,"Via del Freddo, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2307862, 46.0607933]}"
VIA DEL GELSO,UDINE,UDINE VIA DEL GELSO,"Via del Gelso, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2331089, 46.060879]}"
VIA DEL MAGIO,UDINE,UDINE VIA DEL MAGIO,,
VIA DEL MAGLIO,UDINE,UDINE VIA DEL MAGLIO,"Via del Maglio, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2413688, 46.0838373]}"
VIA DEL MONTE,UDINE,UDINE VIA DEL MONTE,"Via del Monte, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2342006, 46.0636421]}"
VIA DEL PALIO ANTICO,UDINE,UDINE VIA DEL PALIO ANTICO,"Via del Palio Antico, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2568399, 46.0381405]}"
VIA DEL PARTIDOR,UDINE,UDINE VIA DEL PARTIDOR,"Via del Partidor, Borgo Aquileia, Baldasseria Bassa, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2469348, 46.0405807]}"
VIA DEL PIOPPO,UDINE,UDINE VIA DEL PIOPPO,"Via del Pioppo, Borgo Villalta, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2140924, 46.0736951]}"
VIA DEL POZZO,UDINE,UDINE VIA DEL POZZO,"Via del Pozzo, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2441698, 46.0588551]}"
VIA DEL SALE,UDINE,UDINE VIA DEL SALE,"Via del Sale, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2332083, 46.0602559]}"
VIA DEL TIGLIO,UDINE,UDINE VIA DEL TIGLIO,"Via del Tiglio, Chiavris, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2450183, 46.0802546]}"
VIA DEL TUNNEL,UDINE,UDINE VIA DEL TUNNEL,"Via del Tunnel, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2302067, 46.0843983]}"
VIA DEL VASCELLO,UDINE,UDINE VIA DEL VASCELLO,"Via del Vascello, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2457975, 46.0553498]}"
VIA DELL' ANCONA,UDINE,UDINE VIA DELL' ANCONA,,
VIA DELLA BAINSIZZA,UDINE,UDINE VIA DELLA BAINSIZZA,"Via della Bainsizza, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2391947, 46.0491529]}"
VIA DELLA BRAIDA,UDINE,UDINE VIA DELLA BRAIDA,"Via della Braida, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2603879, 46.0204923]}"
VIA DELLA BRAIDATE,UDINE,UDINE VIA DELLA BRAIDATE,"Via della Braidate, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.259548, 46.0327128]}"
VIA DELLA CERNAIA,UDINE,UDINE VIA DELLA CERNAIA,"Via della Cernaia, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2457166, 46.0559232]}"
VIA DELLA CISTERNA,UDINE,UDINE VIA DELLA CISTERNA,"Via della Cisterna, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2299892, 46.0579285]}"
VIA DELLA FAULA,UDINE,UDINE VIA DELLA FAULA,"Via della Faula, Borgo Villalta, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2123745, 46.0732271]}"
VIA DELLA MADONNETTA,UDINE,UDINE VIA DELLA MADONNETTA,"Via della Madonnetta, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2453269, 46.049602]}"
VIA DELLA PACE,UDINE,UDINE VIA DELLA PACE,"Via della Pace, Quartiere Riccardo di Giusto, Villaggio Resistenza, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33047, Italia","{'type': 'Point', 'coordinates': [13.2826462, 46.0759323]}"
VIA DELLA POLVERIERA,UDINE,UDINE VIA DELLA POLVERIERA,"Via della Polveriera, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2567881, 46.0659321]}"
VIA DELLA PREFETTURA,UDINE,UDINE VIA DELLA PREFETTURA,"Via della Prefettura, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2401521, 46.0622232]}"
VIA DELLA ROGGIA,UDINE,UDINE VIA DELLA ROGGIA,"Via della Roggia, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2247707, 46.0540734]}"
VIA DELLA ROSTA,UDINE,UDINE VIA DELLA ROSTA,"Via della Rosta, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2415586, 46.0585286]}"
VIA DELLA SCARPATA,UDINE,UDINE VIA DELLA SCARPATA,"Via della Scarpata, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2309897, 46.0826556]}"
VIA DELLA VALLE,UDINE,UDINE VIA DELLA VALLE,"Via della Valle, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2218593, 46.051005]}"
VIA DELLA VIGNA,UDINE,UDINE VIA DELLA VIGNA,"Via della Vigna, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2325907, 46.0579153]}"
VIA DELLA VIOTTA,UDINE,UDINE VIA DELLA VIOTTA,"Via della Viotta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2060886, 46.070052]}"
VIA DELLE ACACIE,UDINE,UDINE VIA DELLE ACACIE,"Via delle Acacie, Baldasseria Alta, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2633015, 46.042173]}"
VIA DELLE ACQUE,UDINE,UDINE VIA DELLE ACQUE,"Via delle Acque, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2524972, 46.0769258]}"
VIA DELLE BRAIDATE,UDINE,UDINE VIA DELLE BRAIDATE,,
VIA DELLE ERBE,UDINE,UDINE VIA DELLE ERBE,"Via delle Erbe, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2342001, 46.0629876]}"
VIA DELLE FORNACI,UDINE,UDINE VIA DELLE FORNACI,"Via delle Fornaci, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2479575, 46.055017]}"
VIA DELLE SCIENZE,UDINE,UDINE VIA DELLE SCIENZE,"Via delle Scienze, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2098659, 46.0798247]}"
VIA DELLE SCUOLE,UDINE,UDINE VIA DELLE SCUOLE,"Via delle Scuole, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2001046, 46.0843732]}"
VIA DELLO STELLA,UDINE,UDINE VIA DELLO STELLA,"Via dello Stella, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2498285, 46.0719259]}"
VIA DERNA,UDINE,UDINE VIA DERNA,"Via Derna, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2118002, 46.0709947]}"
VIA DES MACILIS,UDINE,UDINE VIA DES MACILIS,"Via des Macilis, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2274709, 46.0911169]}"
VIA DI MEZZO,UDINE,UDINE VIA DI MEZZO,"Via di Mezzo, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2459747, 46.0593735]}"
VIA DI PRAMPERTO,UDINE,UDINE VIA DI PRAMPERTO,,
VIA DIAZ,UDINE,UDINE VIA DIAZ,"Diaz, 26, Viale Armando Diaz, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2398858, 46.0696901]}"
VIA DIEGO SIMONETTI,UDINE,UDINE VIA DIEGO SIMONETTI,"Via Diego Simonetti, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2451468, 46.0716066]}"
VIA DINO MENICHINI,UDINE,UDINE VIA DINO MENICHINI,"Via Dino Menichini, Sant'Ulderico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2561588, 46.0282838]}"
VIA DINO VIRGILI,UDINE,UDINE VIA DINO VIRGILI,"Via Dino Virgili, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2159197, 46.0651196]}"
VIA DIV. GARIBALDI-OSOPPO,UDINE,UDINE VIA DIV. GARIBALDI-OSOPPO,,
VIA DIVISIONE JULIA,UDINE,UDINE VIA DIVISIONE JULIA,"Via Divisione Julia, Borgo di San Lazzaro, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2320638, 46.0690972]}"
VIA DOMENICO DEL BIANCO,UDINE,UDINE VIA DOMENICO DEL BIANCO,"Via Domenico del Bianco, Chiavris, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2419349, 46.0780671]}"
VIA DOMENICO SOMEDA,UDINE,UDINE VIA DOMENICO SOMEDA,"Via Domenico Someda, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2527053, 46.0543749]}"
VIA DON GIOVANNI BOSCO,UDINE,UDINE VIA DON GIOVANNI BOSCO,,
VIA DRENCHIA,UDINE,UDINE VIA DRENCHIA,"Via Drenchia, Quartiere Riccardo di Giusto, San Gottardo, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2767008, 46.0757374]}"
VIA DUCHI D' AOSTA,UDINE,UDINE VIA DUCHI D' AOSTA,,
VIA DUINO,UDINE,UDINE VIA DUINO,"Via Duino, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2452793, 46.0700699]}"
VIA DUODO,UDINE,UDINE VIA DUODO,"Viale Giuseppe Duodo, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2295999, 46.0552109]}"
