alias_address,alias_city,geocode,geometry,georeferencingString
VIA COLDEMIES,ALLEGHE,"Coldemies, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0255834, 46.4105156]}",ALLEGHE VIA COLDEMIES
VIA CORDELLA,ALLEGHE,"Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0201018, 46.4095332]}",ALLEGHE VIA CORDELLA
VIA DEGLI ALPINI,ALLEGHE,"Via degli Alpini, Coldemies, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0282925, 46.4069144]}",ALLEGHE VIA DEGLI ALPINI
VIA DEI PINI,ALLEGHE,"Via dei Pini, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0149719, 46.3979231]}",ALLEGHE VIA DEI PINI
VIA EUROPA,ALLEGHE,"Via Europa, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0191704, 46.4065106]}",ALLEGHE VIA EUROPA
VIA FERNAZZA,ALLEGHE,"Fernazza, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0359916, 46.4155914]}",ALLEGHE VIA FERNAZZA
VIA MONTE CIVETTA,ALLEGHE,"Via Monte Civetta, Coi, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.029277, 46.4109001]}",ALLEGHE VIA MONTE CIVETTA
VIA MONTE FERTAZZA,ALLEGHE,"Fertazza, Via Monte Civetta, Coi, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0455845, 46.4236344]}",ALLEGHE VIA MONTE FERTAZZA
CORSO ALPINO,ALPAGO,"Corso Alpino, Farra d'Alpago, Alpago, Belluno, Veneto, 32016, Italia","{'type': 'Point', 'coordinates': [12.361772, 46.1177631]}",ALPAGO CORSO ALPINO
FRAZIONE BASTIA,ALPAGO,"Bastia, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.3357893, 46.1332022]}",ALPAGO  BASTIA
FRAZIONE S.CROCE,ALPAGO,"Lago di Santa Croce, Via Filippo Turati, Puos d'Alpago, Alpago, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.340668809557474, 46.1101272]}",ALPAGO  S.CROCE
FRAZIONE SPERT,ALPAGO,"Spert, Alpago, Belluno, Veneto, 32016, Italia","{'type': 'Point', 'coordinates': [12.4016862, 46.1137645]}",ALPAGO  SPERT
FRAZIONE TORCH,ALPAGO,"Torch, Alpago, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.3646902, 46.1524823]}",ALPAGO  TORCH
FRAZIONE TORRES,ALPAGO,"Torres, Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.3611072, 46.1673086]}",ALPAGO  TORRES
FRAZIONE VALZELLA,ALPAGO,"Valzella, Alpago, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.3566859, 46.147709]}",ALPAGO  VALZELLA
LOCALITA' CAMPON,ALPAGO,"Località Campon, Pieve d'Alpago, Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.3567547, 46.176688]}",ALPAGO  CAMPON
LOCALITA' FONTANA,ALPAGO,"Fontana di Poiatte, Via Poiatte, Farra d'Alpago, Alpago, Belluno, Veneto, 32016, Italia","{'type': 'Point', 'coordinates': [12.3550298, 46.1065076]}",ALPAGO  FONTANA
LOCALITA' MONTAGNA,ALPAGO,"Via Montagna, Farra d'Alpago, Tambre, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4158605, 46.1144053]}",ALPAGO  MONTAGNA
BORGO SAN LORENZO,ARSIE',"Borgo San Lorenzo, San Lorenzo, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7589869, 45.9899522]}",ARSIE' BORGO SAN LORENZO
LOCALITA' COL PERER,ARSIE',"Col Perer, Arsiè, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7321173, 46.0102497]}",ARSIE'  COL PERER
LOCALITA' GAJOLE,ARSIE',"Camping Gajole, Via Campagna, C. Placido, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.765084068986672, 45.96809905]}",ARSIE'  GAJOLE
PIAZZA MARTIRI,ARSIE',"Piazza Martiri, Cascine alle Rive, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.747456539488798, 45.98923905]}",ARSIE' PIAZZA MARTIRI
PIAZZA S. MARCO,ARSIE',"San Marco, Frazione Arsiè, Reveane, Ponte nelle Alpi, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.327095933775748, 46.1719043]}",ARSIE' PIAZZA S. MARCO
PIAZZA SAN MARTINO,ARSIE',"Piazza S. Martino, Cascine alle Rive, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7469195, 45.9914312]}",ARSIE' PIAZZA SAN MARTINO
PIAZZA SAN VITO,ARSIE',"Piazza San Vito, Case Cecchin, Arsiè, Belluno, Veneto, 36052, Italia","{'type': 'Point', 'coordinates': [11.7148899, 45.959709]}",ARSIE' PIAZZA SAN VITO
VIA A. MANZONI,ARSIE',"Via A. Manzoni, Cascine alle Rive, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7488193, 45.990116]}",ARSIE' VIA A. MANZONI
VIA ANGELO ARBOIT,ARSIE',"Via Angelo Arboit, C. Mason, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7568481, 45.9769019]}",ARSIE' VIA ANGELO ARBOIT
VIA ANGOA,ARSIE',"Via Angoa, Soras, Arsiè, Belluno, Veneto, 32033, Italia","{'type': 'Point', 'coordinates': [11.7642343, 45.9953805]}",ARSIE' VIA ANGOA
VIA BERNARDI,ARSIE',"Via Bernardi, Rocca d'Arsiè, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7517094, 45.9515123]}",ARSIE' VIA BERNARDI
VIA CADORNA,ARSIE',"Via Cadorna, Sassei, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7558564, 45.9835084]}",ARSIE' VIA CADORNA
VIA CAMPAGNA,ARSIE',"Via Campagna, C. Placido, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7623224, 45.9645844]}",ARSIE' VIA CAMPAGNA
VIA CANEVAL,ARSIE',"Via Caneval, C. Mason, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7559622, 45.977422]}",ARSIE' VIA CANEVAL
VIA CANOVA,ARSIE',"Via Canova, Sassei, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7567354, 45.9819459]}",ARSIE' VIA CANOVA
VIA CARAZZAGNO,ARSIE',"Val Carazzagno, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7714939, 45.9517948]}",ARSIE' VIA CARAZZAGNO
VIA CASERE,ARSIE',"Casere, Arsiè, Belluno, Veneto, 36052, Italia","{'type': 'Point', 'coordinates': [11.7305399, 45.9382449]}",ARSIE' VIA CASERE
VIA CESARE BATTISTI,ARSIE',"Via Cesare Battisti, Sassei, Arsiè, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7551878, 45.9822009]}",ARSIE' VIA CESARE BATTISTI
LARGO TARIN,AURONZO DI CADORE,"Largo Tarin, Cima Gogna, Auronzo di Cadore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4434034, 46.5516977]}",AURONZO DI CADORE LARGO TARIN
VIA AIARNOLA,AURONZO DI CADORE,"Lago Aiarnola, 153, Sopalù, Comelico Superiore, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.459746103211366, 46.5917041]}",AURONZO DI CADORE VIA AIARNOLA
