alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Seborga,SEBORGA,<0.02,<1,209,64,0.14,10,383,periodo dal 01/07/2019 al 31/12/2019,19,<0.1,8,<1,4,0.02,7.8,1.6,242,10,32
Soldano,SOLDANO,<0.02,<1,209,64,0.14,10,383,periodo dal 01/07/2019 al 31/12/2019,19,<0.1,8,<1,4,0.02,7.8,1.6,242,10,32
Vallebona,VALLEBONA,<0.02,<1,209,64,0.14,10,383,periodo dal 01/07/2019 al 31/12/2019,19,<0.1,8,<1,4,0.02,7.8,1.6,242,10,32
Vallecrosia,VALLECROSIA,<0.02,<1,210,66,0.18,10,381,periodo dal 01/07/2019 al 31/12/2019,20,<0.1,8,<1,4,<0.01,7.7,1.6,242,10,31
Ventimiglia,VENTIMIGLIA,<0.02,<1,209,64,0.17,10,380,periodo dal 01/07/2019 al 31/12/2019,19,<0.1,8,<1,4,<0.01,7.7,1.5,241,10,33
Albisola Superiore,ALBISOLA SUPERIORE,0.02,<1,153,30,0.15,10,261,periodo dal 01/07/2019 al 31/12/2019,13,<0.1,14,<1,5,<0.01,7.6,0.7,165,6,18
Albissola Marina,ALBISSOLA MARINA,0.05,1.02,120,27,0.12,10,251,periodo dal 01/07/2019 al 31/12/2019,11,<0.1,10,<1,5,<0.01,7.5,1.2,145,7,19
Altare,ALTARE,<0.02,1.47,25,5,0.15,6,70,periodo dal 01/07/2019 al 31/12/2019,2,<0.1,2,10.1,3,<0.01,7.0,0.4,48,4,5
Bergeggi,BERGEGGI,0.02,1.15,61,15,0.11,12,168,periodo dal 01/07/2019 al 31/12/2019,6,<0.1,5,<1,6,<0.01,7.3,1.2,102,8,17
Cairo Montenotte,CAIRO MONTENOTTE,<0.02,1.38,166,36,0.14,7,272,periodo dal 01/07/2019 al 31/12/2019,14,<0.1,12,3.92,2,<0.01,7.8,0.6,166,4,15
Celle Ligure,CELLE LIGURE,0.05,<1,140,30,0.14,9,237,periodo dal 01/07/2019 al 31/12/2019,13,<0.1,12,<1,4,<0.01,7.8,0.8,154,6,15
Cengio,CENGIO,<0.02,<1,287,66,0.14,6,403,periodo dal 01/07/2019 al 31/12/2019,24,<0.1,19,1.5,2,<0.01,7.8,1.0,266,4,14
Noli,NOLI,0.02,1.47,183,41,0.10,21,456,periodo dal 01/07/2019 al 31/12/2019,19,<0.1,22,<1,7,<0.01,7.8,2.0,235,14,35
Quiliano,QUILIANO,<0.02,<1,54,15,0.12,9,146,periodo dal 01/07/2019 al 31/12/2019,5,<0.1,3,<1,4,<0.01,7.2,0.5,83,5,13
Savona,SAVONA,0.06,1.06,127,29,0.11,12,239,periodo dal 01/07/2019 al 31/12/2019,11,<0.1,8,29.65,6,0.02,7.5,1.5,150,7,19
Spotorno,SPOTORNO,0.03,1.37,126,28,0.11,17,269,periodo dal 01/07/2019 al 31/12/2019,12,<0.1,13,<1,6,<0.01,7.4,1.6,170,11,25
Stella,STELLA,0.03,<1,94,21,0.24,7,212,periodo dal 01/07/2019 al 31/12/2019,8,<0.1,8,<1,4,<0.01,7.7,0.4,102,4,10
Vado Ligure,VADO LIGURE,<0.02,<1,38,16,0.11,15,170,periodo dal 01/07/2019 al 31/12/2019,6,<0.1,5,<1,6,<0.01,7.2,1.2,131,9,16
Varazze,VARAZZE,0.02,<1,57,16,0.19,7,159,periodo dal 01/07/2019 al 31/12/2019,7,<0.1,8,<1,4,<0.01,7.9,0.5,113,4,10
