alias_address,alias_city,alias_province,geocode,geometry,georeferencingString,type
Pieve Ligure,PIEVE LIGURE,GE,"Pieve Ligure, GE","{'type': 'Point', 'coordinates': [9.085830000000044, 44.37373000000008]}","Pieve Ligure, GE, Liguria",POINT
Portofino,PROPATA,GE,"Portofino, GE","{'type': 'Point', 'coordinates': [9.207100000000025, 44.30439000000007]}","Portofino, GE, Liguria",POINT
Propata,RAPALLO,GE,"Propata, GE","{'type': 'Point', 'coordinates': [9.18423000000007, 44.56595000000004]}","Propata, GE, Liguria",POINT
Rapallo,RAPALLO,GE,"Rapallo, GE","{'type': 'Point', 'coordinates': [9.22276000000005, 44.35175000000004]}","Rapallo, GE, Liguria",POINT
Recco,RECCO,GE,"Recco, GE","{'type': 'Point', 'coordinates': [9.146740000000023, 44.364640000000065]}","Recco, GE, Liguria",POINT
Rezzoaglio,REZZOAGLIO,GE,"Rezzoaglio, GE","{'type': 'Point', 'coordinates': [9.386180000000024, 44.52589000000006]}","Rezzoaglio, GE, Liguria",POINT
Ronco Scrivia,RONDANINA,GE,"Ronco Scrivia, GE","{'type': 'Point', 'coordinates': [8.945190000000025, 44.615830000000074]}","Ronco Scrivia, GE, Liguria",POINT
Rondanina,RONDANINA,GE,"Rondanina, GE","{'type': 'Point', 'coordinates': [9.217760000000055, 44.562880000000064]}","Rondanina, GE, Liguria",POINT
Rossiglione,ROSSIGLIONE,GE,"Rossiglione, GE","{'type': 'Point', 'coordinates': [8.665320000000065, 44.565990000000056]}","Rossiglione, GE, Liguria",POINT
Rovegno,ROVEGNO,GE,"Rovegno, GE","{'type': 'Point', 'coordinates': [9.278590000000065, 44.576730000000055]}","Rovegno, GE, Liguria",POINT
San Colombano Certenoli,SAN COLOMBANO CERTENOLI,GE,"San Colombano Certenoli, GE","{'type': 'Point', 'coordinates': [9.31176000000005, 44.37172000000004]}","San Colombano Certenoli, GE, Liguria",POINT
Santo Stefano D'Aveto,SANTO STEFANO D'AVETO,GE,"Santo Stefano d'Aveto, GE","{'type': 'Point', 'coordinates': [9.451520000000073, 44.54576000000003]}","Santo Stefano D'Aveto, GE, Liguria",POINT
Sant'Olcese,SANT'OLCESE,GE,"Sant'Olcese, GE","{'type': 'Point', 'coordinates': [8.96933000000007, 44.491070000000036]}","Sant'Olcese, GE, Liguria",POINT
Savignone,SAVIGNONE,GE,"Savignone, GE","{'type': 'Point', 'coordinates': [8.989900000000034, 44.56412000000006]}","Savignone, GE, Liguria",POINT
Serra RiccÒ,SERRA RICCO',GE,"Serra Riccò, GE","{'type': 'Point', 'coordinates': [8.931660000000022, 44.506290000000035]}","Serra RiccÒ, GE, Liguria",POINT
Sori,SORI,GE,"Sori, GE","{'type': 'Point', 'coordinates': [9.107200000000034, 44.37778000000003]}","Sori, GE, Liguria",POINT
Tiglieto,TIGLIETO,GE,"Tiglieto, GE","{'type': 'Point', 'coordinates': [8.619310000000041, 44.52673000000004]}","Tiglieto, GE, Liguria",POINT
Torriglia,TORRIGLIA,GE,"Torriglia, GE","{'type': 'Point', 'coordinates': [9.158840000000055, 44.51932000000005]}","Torriglia, GE, Liguria",POINT
Tribogna,TRIBOGNA,GE,"Tribogna, GE","{'type': 'Point', 'coordinates': [9.195610000000045, 44.416180000000054]}","Tribogna, GE, Liguria",POINT
Uscio,USCIO,GE,"Uscio, GE","{'type': 'Point', 'coordinates': [9.153620000000046, 44.41728000000006]}","Uscio, GE, Liguria",POINT
Valbrevenna,VALBREVENNA,GE,"Valbrevenna, GE","{'type': 'Point', 'coordinates': [9.063820000000021, 44.55719000000005]}","Valbrevenna, GE, Liguria",POINT
Vobbia,VOBBIA,GE,"Vobbia, GE","{'type': 'Point', 'coordinates': [9.038360000000068, 44.600580000000036]}","Vobbia, GE, Liguria",POINT
Zoagli,ZOAGLI,GE,"Zoagli, GE","{'type': 'Point', 'coordinates': [9.265120000000024, 44.33734000000004]}","Zoagli, GE, Liguria",POINT
Bordighera,BORDIGHERA,IM,"Bordighera, IM","{'type': 'Point', 'coordinates': [7.671000000000049, 43.77843000000007]}","Bordighera, IM, Liguria",POINT
Camporosso,CAMPOROSSO,IM,"Camporosso, IM","{'type': 'Point', 'coordinates': [7.629470000000026, 43.81635000000006]}","Camporosso, IM, Liguria",POINT
Dolceacqua,DOLCEACQUA,IM,"Dolceacqua, IM","{'type': 'Point', 'coordinates': [7.622980000000041, 43.85044000000005]}","Dolceacqua, IM, Liguria",POINT
Isolabona,ISOLABONA,IM,"Isolabona, IM","{'type': 'Point', 'coordinates': [7.638640000000066, 43.87894000000006]}","Isolabona, IM, Liguria",POINT
Perinaldo,PERINALDO,IM,"Perinaldo, IM","{'type': 'Point', 'coordinates': [7.672510000000045, 43.86668000000003]}","Perinaldo, IM, Liguria",POINT
San Biagio Della Cima ,SAN BIAGIO DELLA CIMA,IM,"San Biagio della Cima, IM","{'type': 'Point', 'coordinates': [7.650540000000035, 43.818430000000035]}","San Biagio Della Cima, IM, Liguria",POINT
Seborga,SEBORGA,IM,"Seborga, IM","{'type': 'Point', 'coordinates': [7.695820000000026, 43.82734000000005]}","Seborga, IM, Liguria",POINT
Soldano,SOLDANO,IM,"Soldano, IM","{'type': 'Point', 'coordinates': [7.654930000000036, 43.82842000000005]}","Soldano, IM, Liguria",POINT
Vallebona,VALLEBONA,IM,"Vallebona, IM","{'type': 'Point', 'coordinates': [7.665810000000022, 43.812100000000044]}","Vallebona, IM, Liguria",POINT
Vallecrosia,VALLECROSIA,IM,"Vallecrosia, IM","{'type': 'Point', 'coordinates': [7.652280000000076, 43.80962000000005]}","Vallecrosia, IM, Liguria",POINT
Ventimiglia,VENTIMIGLIA,IM,"Ventimiglia, IM","{'type': 'Point', 'coordinates': [7.615420000000029, 43.78836000000007]}","Ventimiglia, IM, Liguria",POINT
Bolano,BOLANO,SP,"Bolano, SP","{'type': 'Point', 'coordinates': [9.893510000000049, 44.18607000000003]}","Bolano, SP, Liguria",POINT
Albisola Superiore,ALBISOLA SUPERIORE,SV,"Albisola Superiore, SV","{'type': 'Point', 'coordinates': [8.51565000000005, 44.332400000000064]}","Albisola Superiore, SV, Liguria",POINT
Albissola Marina,ALBISSOLA MARINA,SV,"Albissola Marina, SV","{'type': 'Point', 'coordinates': [8.503210000000024, 44.32716000000005]}","Albissola Marina, SV, Liguria",POINT
Altare,ALTARE,SV,"Altare, SV","{'type': 'Point', 'coordinates': [8.341120000000046, 44.33558000000005]}","Altare, SV, Liguria",POINT
Bergeggi,BERGEGGI,SV,"Bergeggi, SV","{'type': 'Point', 'coordinates': [8.447350000000029, 44.25037000000003]}","Bergeggi, SV, Liguria",POINT
Cairo Montenotte,CAIRO MONTENOTTE,SV,"Cairo Montenotte, SV","{'type': 'Point', 'coordinates': [8.274500000000046, 44.39997000000005]}","Cairo Montenotte, SV, Liguria",POINT
Celle Ligure,CELLE LIGURE,SV,"Celle Ligure, SV","{'type': 'Point', 'coordinates': [8.545820000000049, 44.34281000000004]}","Celle Ligure, SV, Liguria",POINT
Cengio,CENGIO,SV,"Cengio, SV","{'type': 'Point', 'coordinates': [8.208930000000066, 44.38874000000004]}","Cengio, SV, Liguria",POINT
Noli,NOLI,SV,"Noli, SV","{'type': 'Point', 'coordinates': [8.416360000000054, 44.205040000000054]}","Noli, SV, Liguria",POINT
Quiliano,QUILIANO,SV,"Quiliano, SV","{'type': 'Point', 'coordinates': [8.412920000000042, 44.29272000000003]}","Quiliano, SV, Liguria",POINT
Savona,SAVONA,SV,"Savona, SV","{'type': 'Point', 'coordinates': [8.483640000000037, 44.30582000000004]}","Savona, SV, Liguria",POINT
Spotorno,SPOTORNO,SV,"Spotorno, SV","{'type': 'Point', 'coordinates': [8.419200000000046, 44.22841000000005]}","Spotorno, SV, Liguria",POINT
Stella,STELLA,SV,"Stella, SV","{'type': 'Point', 'coordinates': [8.496960000000058, 44.39214000000004]}","Stella, SV, Liguria",POINT
Vado Ligure,VADO LIGURE,SV,"Vado Ligure, SV","{'type': 'Point', 'coordinates': [8.435590000000047, 44.27117000000004]}","Vado Ligure, SV, Liguria",POINT
Varazze,VARAZZE,SV,"Varazze, SV","{'type': 'Point', 'coordinates': [8.578790000000026, 44.359380000000044]}","Varazze, SV, Liguria",POINT
