alias_city,alias_address,type,georeferencingString
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Beato Odorico,POINT,Fiume Veneto   Via Beato Odorico
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bevorchia,POINT,Fiume Veneto   Via Bevorchia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Borgo Venezia,POINT,Fiume Veneto   Via Borgo Venezia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bosco dell'Arneret,POINT,Fiume Veneto   Via Bosco dell'Arneret
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Marco Polo,POINT,Fiume Veneto   Via Marco Polo
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Padre Marco d'Aviano,POINT,Fiume Veneto   Via Padre Marco d'Aviano
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Zol,POINT,Fiume Veneto   Via Zol
Fiume Veneto ,"Fiume Veneto - mini acquedotto Vie Braida, Bosco, Dei Roveri, Verdi, Suor S. Gregoris",POINT,"Fiume Veneto   Vie Braida, Bosco, Dei Roveri, Verdi, Suor S. Gregoris"
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Chino Ermacora - Via Liut,POINT,Fiume Veneto   Via Chino Ermacora  Via Liut
Fiume Veneto ,Fiume Veneto - mini acquedotto Vie Praderoni - Delle Querce - Degli Olmi,POINT,Fiume Veneto   Vie Praderoni  Delle Querce  Degli Olmi
Fiume Veneto ,Fiume Veneto - mini acquedotto Via delle Rive,POINT,Fiume Veneto   Via delle Rive
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bartolomeo Aprilis - loc. Bannia,POINT,Fiume Veneto   Via Bartolomeo Aprilis   Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Damiano Chiesa loc. Bannia,POINT,Fiume Veneto   Via Damiano Chiesa  Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Strada dei Conti loc. Bannia,POINT,Fiume Veneto   Via Strada dei Conti  Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via dei Tigli loc. Bannia,POINT,Fiume Veneto   Via dei Tigli  Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Chiesiole - dei Pinali loc. Cimpello,POINT,Fiume Veneto   Via Chiesiole  dei Pinali  Cimpello
Fiume Veneto ,Fiume Veneto - mini acquedotto Via della Piantalonga / Via Matteotti / Via Barbaro / Via Saba / Via Carducci / Via Mazzini,POINT,Fiume Veneto   Via della Piantalonga / Via Matteotti / Via Barbaro / Via Saba / Via Carducci / Via Mazzini
