alias_address,alias_city,geocode,geometry,georeferencingString,type
Azzano Decimo - Via Pradat,Azzano Decimo ,"Via Pradat, Borgo Facca, Azzano Decimo, UTI Sile e Meduna, Friuli Venezia Giulia, 33082, Italia","{'type': 'Point', 'coordinates': [12.7032551, 45.8756783]}",Azzano Decimo  Via Pradat,POINT
Brugnera - Via Talmasson,Brugnera ,"Via Talmasson, Brugnera, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5384841, 45.865117]}",Brugnera  Via Talmasson,POINT
Caorle - loc. Castello di Brussa Via Strada Brussa,Caorle ,"Strada Brussa, Castello di Brussa, Caorle, Venezia, Veneto, Italia","{'type': 'Point', 'coordinates': [12.9530088, 45.7073539]}",Caorle   Castello di Brussa Via Strada Brussa,POINT
Casarsa della Delizia - Via Vittorio Veneto,Casarsa della Delizia ,"Via Vittorio Veneto, Località Turridetta, Località Boscat, Casarsa della Delizia, UTI del Tagliamento, Friuli Venezia Giulia, 33072, Italia","{'type': 'Point', 'coordinates': [12.8364261, 45.9525786]}",Casarsa della Delizia  Via Vittorio Veneto,POINT
Cavasso Nuovo - Via Rinascita,Cavasso Nuovo ,"Viale Rinascita, Borgo Dreon, Cavasso Nuovo, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33092, Italia","{'type': 'Point', 'coordinates': [12.7734882, 46.1957862]}",Cavasso Nuovo  Via Rinascita,POINT
Chions - Via Saragat,Chions ,"Via Giuseppe Saragat, Villafranca di Sopra, Chions, UTI Sile e Meduna, Friuli Venezia Giulia, 33083, Italia","{'type': 'Point', 'coordinates': [12.772786, 45.8894703]}",Chions  Via Saragat,POINT
Cinto Caomaggiore - Via Udine,Cinto Caomaggiore ,"Via Udine, Cinto Caomaggiore, Venezia, Veneto, Italia","{'type': 'Point', 'coordinates': [12.7883566, 45.8408625]}",Cinto Caomaggiore  Via Udine,POINT
Cordovado - Via Rivis,Cordovado ,"Via Rivis, Cordovado, UTI del Tagliamento, Friuli Venezia Giulia, 33075, Italia","{'type': 'Point', 'coordinates': [12.8792641, 45.8425768]}",Cordovado  Via Rivis,POINT
Concordia Sagittaria - Via Giovane Italia,Concordia Sagittaria ,"Via Giovane Italia, San Giusto, Concordia Sagittaria, Venezia, Veneto, 30023, Italia","{'type': 'Point', 'coordinates': [12.8491867, 45.7339466]}",Concordia Sagittaria  Via Giovane Italia,POINT
Cordenons - Via del Tramit,Cordenons ,"Via del Tramit, Romans, Cordenons, UTI del Noncello, Friuli Venezia Giulia, 33084, Italia","{'type': 'Point', 'coordinates': [12.7014239, 45.9960057]}",Cordenons  Via del Tramit,POINT
Fontanafredda - Via Casut,Fontanafredda ,"SP50, San Odorico, Sacile, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33077, Italia","{'type': 'Point', 'coordinates': [12.532065, 45.9370313]}",Fontanafredda  Via Casut,POINT
Maniago - Via Polcenigo,Maniago ,"Via Polcenigo, Fratta, Molino di Campagna, Maniago, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33085, Italia","{'type': 'Point', 'coordinates': [12.7171634, 46.1628643]}",Maniago  Via Polcenigo,POINT
Pasiano di Pordenone - Via dei Grilli,Pasiano di Pordenone ,"Via dei Grilli, Borgo dei Grilli, Pasiano di Pordenone, UTI Sile e Meduna, Friuli Venezia Giulia, 33087, Italia","{'type': 'Point', 'coordinates': [12.6338213, 45.8472169]}",Pasiano di Pordenone  Via dei Grilli,POINT
Portogruaro - loc. Summaga Via Masata,Portogruaro ,"Via Masata, Campeio, Portogruaro, Venezia, Veneto, 30026, Italia","{'type': 'Point', 'coordinates': [12.8122658, 45.7787495]}",Portogruaro   Summaga Via Masata,POINT
Portogruaro - Viale Venezia,Portogruaro ,"Portogruaro - Viale Venezia, Viale Venezia, Portogruaro, Venezia, Veneto, 30026, Italia","{'type': 'Point', 'coordinates': [12.8347606, 45.7686615]}",Portogruaro  Viale Venezia,POINT
Porcia - Via Papa Giovanni XXIII,Porcia ,"Via Papa Giovanni XXIII, Via papa Giovanni Ventitreesimo, Talponedo, Porcia, UTI del Noncello, Friuli Venezia Giulia, 33080, Italia","{'type': 'Point', 'coordinates': [12.611687, 45.975244]}",Porcia  Via Papa Giovanni XXIII,POINT
Pramaggiore - Via Callalta,Pramaggiore ,"Via Callalta, Bisciola, Pramaggiore, Venezia, Veneto, 33076, Italia","{'type': 'Point', 'coordinates': [12.7274585, 45.807509]}",Pramaggiore  Via Callalta,POINT
Prata di Pordenone - Casali Villanova,Prata di Pordenone ,"Via Casali Villanova, Case Rossetto, Prata di Pordenone, UTI Sile e Meduna, Friuli Venezia Giulia, 33087, Italia","{'type': 'Point', 'coordinates': [12.5769548, 45.8640597]}",Prata di Pordenone  Casali Villanova,POINT
Pravisdomini - Via Barco,Pravisdomini ,"Via Barco, Panigai, Pravisdomini, UTI Sile e Meduna, Friuli Venezia Giulia, 33076, Italia","{'type': 'Point', 'coordinates': [12.6825477, 45.8116116]}",Pravisdomini  Via Barco,POINT
Sacile - Via Campo Marzio,Sacile ,"Campo Marzio, San Odorico, Sacile, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33077, Italia","{'type': 'Point', 'coordinates': [12.5010089, 45.9530606]}",Sacile  Via Campo Marzio,POINT
San Giorgio della Richinvelda - loc. Provesano Via Boschetto,San Giorgio della Richinvelda ,"Via Boschetto, San Giorgio della Richinvelda, UTI del Tagliamento, Friuli Venezia Giulia, 33095, Italia","{'type': 'Point', 'coordinates': [12.8850027, 46.0687636]}",San Giorgio della Richinvelda   Provesano Via Boschetto,POINT
San Giorgio della Richinvelda - loc. Rauscedo Via Poligono,San Giorgio della Richinvelda ,"Via Poligono, Case Pascutto, San Giorgio della Richinvelda, UTI del Tagliamento, Friuli Venezia Giulia, 33095, Italia","{'type': 'Point', 'coordinates': [12.830379, 46.0465805]}",San Giorgio della Richinvelda   Rauscedo Via Poligono,POINT
San Michele al Tagliamento - Corso del Popolo,San Michele al Tagliamento ,"Corso del Popolo, Solazzetto, San Michele al Tagliamento, Venezia, Veneto, 33053, Italia","{'type': 'Point', 'coordinates': [12.9934142, 45.7654537]}",San Michele al Tagliamento  Corso del Popolo,POINT
San Michele al Tagliamento loc. Bibione - Via Nettuno,San Michele al Tagliamento loc. Bibione ,"Via Nettuno, Bevazzana, San Michele al Tagliamento, Venezia, Veneto, Italia","{'type': 'Point', 'coordinates': [13.0647365, 45.640558]}",San Michele al Tagliamento  Bibione  Via Nettuno,POINT
San Quirino - Via San Rocco,San Quirino ,"Via San Rocco, Case Teston, San Quirino, UTI del Noncello, Friuli Venezia Giulia, 33080, Italia","{'type': 'Point', 'coordinates': [12.6818244, 46.0337534]}",San Quirino  Via San Rocco,POINT
San Stino di Livenza - Via Riviera Corbolone,San Stino di Livenza ,"riviera Corbolone, Corbolone, San Stino di Livenza, Venezia, Veneto, 30029, Italia","{'type': 'Point', 'coordinates': [12.6752719, 45.7432782]}",San Stino di Livenza  Via Riviera Corbolone,POINT
San Vito al Tagliamento - Via Ciliti,San Vito al Tagliamento ,"Via Angelo Galante 'Ciliti', Località Formaier, San Vito al Tagliamento, UTI del Tagliamento, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.87091094485698, 45.91404405]}",San Vito al Tagliamento  Via Ciliti,POINT
Sesto al Reghena - Via Verdi,Sesto al Reghena ,"Via Giuseppe Verdi, Melmosa Bassa, Sesto al Reghena, UTI del Tagliamento, Friuli Venezia Giulia, 33079, Italia","{'type': 'Point', 'coordinates': [12.8146886, 45.8519497]}",Sesto al Reghena  Via Verdi,POINT
Teglio Veneto - Via Parz,Teglio Veneto ,"Via Parz, Teglio Veneto, Venezia, Veneto, 33075, Italia","{'type': 'Point', 'coordinates': [12.8956398, 45.817862]}",Teglio Veneto  Via Parz,POINT
Vaiont - Via Piancuert,Vaiont ,"Via Piancuert, Vajont, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33085, Italia","{'type': 'Point', 'coordinates': [12.6949449, 46.1458173]}",Vaiont  Via Piancuert,POINT
Valvasone Arzene - Arzene Via Casarsa,Valvasone Arzene ,"Via Casarsa, Casamatta, Valvasone Arzene, UTI del Tagliamento, Friuli Venezia Giulia, 33072, Italia","{'type': 'Point', 'coordinates': [12.8346116, 45.9773399]}",Valvasone Arzene  Arzene Via Casarsa,POINT
Zoppola - Via Pra di Risi,Zoppola ,"via Prà di Risi, Zoppola, UTI del Noncello, Friuli Venezia Giulia, 33084, Italia","{'type': 'Point', 'coordinates': [12.7321313, 45.9544985]}",Zoppola  Via Pra di Risi,POINT
Fiume Veneto - mini acquedotto Via Beato Odorico,Fiume Veneto ,"Via Beato Odorico, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7366543, 45.9213708]}",Fiume Veneto   Via Beato Odorico,POINT
Fiume Veneto - mini acquedotto Via Bevorchia,Fiume Veneto ,"Via Bevorchia, Fiume Piccolo, Tavella, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.727370257128264, 45.9310032]}",Fiume Veneto   Via Bevorchia,POINT
Fiume Veneto - mini acquedotto Via Borgo Venezia,Fiume Veneto ,"Via Borgo Venezia, Fiume Piccolo, Tavella, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7288071, 45.9284766]}",Fiume Veneto   Via Borgo Venezia,POINT
Fiume Veneto - mini acquedotto Via Bosco dell'Arneret,Fiume Veneto ,"Via Bosco dell'Arneret, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7418522, 45.9260197]}",Fiume Veneto   Via Bosco dell'Arneret,POINT
Fiume Veneto - mini acquedotto Via Enrico da Fiume,Fiume Veneto ,"Via Enrico Da Fiume, Fiume Piccolo, Tavella, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, 33084, Italia","{'type': 'Point', 'coordinates': [12.7266653, 45.9468807]}",Fiume Veneto   Via Enrico da Fiume,POINT
Fiume Veneto - mini acquedotto Via Marco Polo,Fiume Veneto ,"Via Marco Polo, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7354804, 45.920718]}",Fiume Veneto   Via Marco Polo,POINT
Fiume Veneto - mini acquedotto Via Padre Marco d'Aviano,Fiume Veneto ,"Via Padre Marco D'Aviano, Fiume Piccolo, Tavella, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7241121, 45.9320593]}",Fiume Veneto   Via Padre Marco d'Aviano,POINT
Fiume Veneto - mini acquedotto Via Zol,Fiume Veneto ,"Via Zol, Fiume Piccolo, Tavella, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.72631, 45.9289006]}",Fiume Veneto   Via Zol,POINT
Fiume Veneto - mini acquedotto Via delle Rive,Fiume Veneto ,"Via delle Rive, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.732079, 45.9194074]}",Fiume Veneto   Via delle Rive,POINT
