alias_address,alias_city,ammonio,arsenico,bicarbonato,calcio,cloro residuo,cloruri,conducibilità,data_report,durezza,fluoruri,magnesio,manganese,nitrati,nitriti,pH,potassio,residuo fisso 180°C,sodio,solfati
via degli artigianelli,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via scialoia vittorio,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via bovisasca,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via spadini armando,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale fermi enrico,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale fermi enrico,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via ripamonti giuseppe,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
alzaia naviglio pavese,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via muggiano,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via sora,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via ripamonti giuseppe,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via martinazzoli antonio,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via achille,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via manduria,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via agordat,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via rizzoli angelo,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via quintosole,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via san vittore,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via senofonte,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via stephenson giorgio,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via vaiano valle,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via bardolino,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via palach jan,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
