alias_address,alias_city,ammonio,arsenico,bicarbonato,calcio,cloro residuo,cloruri,conducibilità,data_report,durezza,fluoruri,magnesio,manganese,nitrati,nitriti,pH,potassio,residuo fisso 180°C,sodio,solfati
via ferrari virgilio,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via camporgnago,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via pescara,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via romeo nicola,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via ferrari virgilio,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via gandino cristoforo,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
viale romolo,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via carlo bo,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via mazzolari,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via de finetti giuseppe,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via santi fernando,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via dei tulipani,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via modigliani amedeo,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via parmigianino,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via gio' ponti,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via valsesia,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
largo don saturnino villa,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via don giuseppe gervasini,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via rossellini roberto,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
via novara,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
