alias_city,alias_address,data_report,georeferencingString,type
BARBIANO/BARBIAN,"Albergo Kalter Keller, Via Brennero 10 / Gasthof Kalter Keller, Brennerstr. 10",05/03/2018,"BARBIANO Albergo Kalter Keller, Via Brennero 10",POINT
BARBIANO/BARBIAN,"Colma, Albergo Stern, Via Kunter 1 / Kollmann, Gasthof Stern, Am Kuntersweg 1; WH Bar",05/03/2018,"BARBIANO Colma, Albergo Stern, Via Kunter 1",POINT
BARBIANO/BARBIAN,Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  /  Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  - WH WC,05/03/2018,BARBIANO Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4,POINT
BARBIANO/BARBIAN,"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4",05/03/2018,"BARBIANO Falegnameria Erlacher, via Brennero 4",POINT
BARBIANO/BARBIAN,"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4 - WH WC Tischlerei",09/05/2018,"BARBIANO Falegnameria Erlacher, via Brennero 4",POINT
BARBIANO/BARBIAN,"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4; WH WC",07/05/2018,"BARBIANO Falegnameria Erlacher, via Brennero 4",POINT
BARBIANO/BARBIAN,"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4; WH WC Werkstatt",16/10/2018,"BARBIANO Falegnameria Erlacher, via Brennero 4",POINT
BARBIANO/BARBIAN,"Scuola dell'infanzia Colma, S. Leonardo 26 / Kindergarten Kollmann, St. Leonhard 26 - WH WC",16/10/2018,"BARBIANO Scuola dell'infanzia Colma, S. Leonardo 26",POINT
BARBIANO/BARBIAN,"Scuola dell'infanzia Colma, S. Leonardo 26 / Kindergarten Kollmann, St. Leonhard 26; WH WC",05/03/2018,"BARBIANO Scuola dell'infanzia Colma, S. Leonardo 26",POINT
BOLZANO/BOZEN,Albergo  Klaus  / Gasthaus Klaus,13/09/2018,BOLZANO Albergo  Klaus,POINT
BOLZANO/BOZEN,Asilo nido Arcobaleno / Kindergarten Arcobaleno,12/05/2018,BOLZANO Asilo nido Arcobaleno,POINT
BOLZANO/BOZEN,Cimitero / Friedhof,07/02/2018,BOLZANO Cimitero,POINT
BOLZANO/BOZEN,Convitto Damiano Chiesa  /  Convitto Damiano Chiesa,26/02/2018,BOLZANO Convitto Damiano Chiesa,POINT
BOLZANO/BOZEN,Distretto socio - sanitario val d'Ega - Cardano / Gesundheitssprengel  Eggental Schlern - Kardaun,20/08/2018,BOLZANO Distretto socio - sanitario val d'Ega - Cardano,POINT
BOLZANO/BOZEN,Distretto socio-sanitario Oltrisarco / Gesundheitssprengel Oberau,01/10/2018,BOLZANO Distretto socio-sanitario Oltrisarco,POINT
BOLZANO/BOZEN,Font. pubb. parco giochi via Ortles (Casanova) / öff. Brunnen Spielplatz Ortlesstr. (Casanova),05/03/2018,BOLZANO Font. pubb. parco giochi via Ortles (Casanova),POINT
BOLZANO/BOZEN,Fontana Pubblica angolo via Cassa di Risparmio/via Vanga / öff. Brunnen Sparkassestr./Wangerstrasse,07/04/2018,BOLZANO  angolo via Cassa di Risparmio,POINT
BOLZANO/BOZEN,Fontana funivia / Brunnen Seilbahn,19/04/2018,BOLZANO Fontana funivia,POINT
BOLZANO/BOZEN,Fontana pubblica Parco Petrarca / öff. Brunnen Petrarcapark,10/08/2018,BOLZANO  Parco Petrarca,POINT
BOLZANO/BOZEN,Fontana pubblica chiesa don Bosco / Don Bosco Pfarrkirche Öff. Brunnen,11/12/2018,BOLZANO  chiesa don Bosco,POINT
BOLZANO/BOZEN,"Fontana pubblica incrocio via Milano/via Gutenberg / Öffentl. Brunnen Park, Gutenberg/Mailandstr.",10/08/2018,BOLZANO   via Milano,POINT
BOLZANO/BOZEN,Fontana pubblica parco Mignone  /  Fontana pubblica parco Mignone,05/03/2018,BOLZANO  parco Mignone,POINT
BOLZANO/BOZEN,Fontana pubblica parco ducale / Öff. Brunnen Herzogspark,13/08/2018,BOLZANO  parco ducale,POINT
BOLZANO/BOZEN,Fontana pubblica parco giochi Piani / öff. Brunnen Spielplatz Bozner-Boden,05/03/2018,BOLZANO  parco giochi Piani,POINT
BOLZANO/BOZEN,Fontana pubblica parco giochi lungo Isarco via Parma / öff. Brunnen Spielplatz Eisackufer Parmastr.,05/09/2018,BOLZANO  parco giochi lungo Isarco via Parma,POINT
BOLZANO/BOZEN,"Fontana pubblica parco giochi via Genova / Öffentl. Brunnen Spielplatz, Genuastr.",06/04/2018,BOLZANO  parco giochi via Genova,POINT
BOLZANO/BOZEN,Fontana pubblica parco giochi via Mozart  (Firmian) / öff. Brunnen Spielplatz Mozartstr.(Firmian),05/03/2018,BOLZANO  parco giochi via Mozart  (Firmian),POINT
BOLZANO/BOZEN,"Fontana pubblica parco giochi via della Vigna / Weingartenpark, öff. Brunnen",05/09/2018,BOLZANO  parco giochi via della Vigna,POINT
BOLZANO/BOZEN,Fontana pubblica piazza Mazzini / Mazzinipark - öff. Brunnen,05/03/2018,BOLZANO  piazza Mazzini,POINT
BOLZANO/BOZEN,Fontana pubblica via Claudia Augusta / off. Brunnen Claudia Augustastrasse,20/08/2018,BOLZANO  via Claudia Augusta,POINT
BOLZANO/BOZEN,Ospedale - mensa WC / Krankenhaus - Mensa WC,07/02/2018,BOLZANO Ospedale - mensa WC,POINT
BOLZANO/BOZEN,Premstallerhof / Premstallerhof,01/10/2018,BOLZANO Premstallerhof,POINT
BOLZANO/BOZEN,Privato/Privat,19/04/2018,BOLZANO,POINT
BOLZANO/BOZEN,Scuola Materna O.N.M.I. / Kindergarten O.N.M.I.,12/10/2018,BOLZANO Scuola Materna O.N.M.I.,POINT
BOLZANO/BOZEN,Scuola Tambosi  /  Schule Tambosi,12/05/2018,BOLZANO Scuola Tambosi,POINT
BOLZANO/BOZEN,"Scuola elementare ""A. Rosmini"" / Grundschule ""A. Rosmini""",29/01/2018,"BOLZANO Scuola elementare ""A. Rosmini""",POINT
BOLZANO/BOZEN,"Scuola elementare ""M. L. King"" / Grundschule ""M.L.King""",10/08/2018,"BOLZANO Scuola elementare ""M. L. King""",POINT
BOLZANO/BOZEN,"Scuola elementare ""Stolz""/Grundschule ""Stolz""",12/10/2018,"BOLZANO Scuola elementare ""Stolz""",POINT
BOLZANO/BOZEN,Scuola elementare Dante Alighieri / Grundschule Dante Alighieri,31/01/2018,BOLZANO Scuola elementare Dante Alighieri,POINT
BOLZANO/BOZEN,Scuola elementare Firmian / Grundschule Firmian,10/08/2018,BOLZANO Scuola elementare Firmian,POINT
BOLZANO/BOZEN,Scuola materna Mariaheim / Kindergarten Mariaheim,02/07/2018,BOLZANO Scuola materna Mariaheim,POINT
BOLZANO/BOZEN,Scuola media Leonardo da Vinci / Mittelschule Leonardo da Vinci,26/02/2018,BOLZANO Scuola media Leonardo da Vinci,POINT
BOLZANO/BOZEN,"Scuola professionale tedesca ""Max Valier"" via Druso / Gewerbeoberschule ""Max Valier"", Drusustrasse",31/01/2018,"BOLZANO Scuola professionale tedesca ""Max Valier"" via Druso",POINT
