alias_city,alias_address,data_report,georeferencingString,type
CAMPO DI TRENS/FREIENFELD,Fontana pubblica Trens / Öffentlicher Brunnen Trens,05/03/2018,CAMPO DI TRENS  Trens,POINT
CAMPO DI TRENS/FREIENFELD,Privato/Privat,06/12/2018,CAMPO DI TRENS,POINT
CAMPO DI TRENS/FREIENFELD,Scuola elementare Mules / Grundschule Mauls -  WH WC Mädchen,05/03/2018,CAMPO DI TRENS Scuola elementare Mules,POINT
CAMPO DI TRENS/FREIENFELD,Scuola elementare Mules / Grundschule Mauls - Gansör WH WC Mädchen,10/01/2018,CAMPO DI TRENS Scuola elementare Mules,POINT
CAMPO DI TRENS/FREIENFELD,"Scuola elementare Mules / Grundschule Mauls, WH WC Damen Mauls Gansör",19/03/2018,CAMPO DI TRENS Scuola elementare Mules,POINT
CAMPO TURES/SAND IN TAUFERS,Cascade/Cascade,26/03/2018,CAMPO TURES Cascade,POINT
CAMPO TURES/SAND IN TAUFERS,Fontana Daimer / Daimerbrunnen,07/11/2018,CAMPO TURES Fontana Daimer,POINT
CAMPO TURES/SAND IN TAUFERS,Fontana Taufra Bahnl / Taufra Bahnl Brunnen,07/11/2018,CAMPO TURES Fontana Taufra Bahnl,POINT
CAMPO TURES/SAND IN TAUFERS,Fontana Unimet / Brunnen Unimet,05/02/2018,CAMPO TURES Fontana Unimet,POINT
CAMPO TURES/SAND IN TAUFERS,Fontana chiesa / Brunnen Kirche,08/07/2018,CAMPO TURES Fontana chiesa,POINT
CAMPO TURES/SAND IN TAUFERS,Fontana municipio / Brunnen Rathaus,31/05/2018,CAMPO TURES Fontana municipio,POINT
CAMPO TURES/SAND IN TAUFERS,Privato/Privat,21/11/2018,CAMPO TURES,POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,"Albergo ""Sonnenhof"" - Juvale / Gasth. Sonnenhof - Juval",17/10/2018,"CASTELBELLO-CIARDES Albergo ""Sonnenhof"" - Juvale",POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,02/05/2018,CASTELBELLO-CIARDES  Galsaun,POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,Privato/Privat,26/03/2018,CASTELBELLO-CIARDES,POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",02/06/2018,"CASTELBELLO-CIARDES f.p. ""Widumplatz"" Ciardes",POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,f.p. Lacinigo / Öffentlicher Brunnen Latschinig,02/06/2018,CASTELBELLO-CIARDES f.p. Lacinigo,POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,f.p. centro / Öffentlicher Brunnen Zentrum,09/03/2018,CASTELBELLO-CIARDES f.p. centro,POINT
CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,"ristoro di campagna ""Niedermair"" - Montetrumes+I71 / Buschenschank Niedermair - Trumsberg",03/12/2018,"CASTELBELLO-CIARDES ristoro di campagna ""Niedermair"" - Montetrumes+I71",POINT
CASTELROTTO/KASTELRUTH,Asilo / Kindergarten,04/10/2018,CASTELROTTO Asilo,POINT
CASTELROTTO/KASTELRUTH,Asilo Sureghes / Kindergarten Sureghes,05/08/2018,CASTELROTTO Asilo Sureghes,POINT
CASTELROTTO/KASTELRUTH,"Bagno Pubblico - Centro / Öff. Toiletten, Zentrum",14/02/2018,CASTELROTTO Bagno Pubblico - Centro,POINT
CASTELROTTO/KASTELRUTH,Bar Lavies - Pufels 5,10/03/2018,CASTELROTTO Bar Lavies - Pufels 5,POINT
CASTELROTTO/KASTELRUTH,Brunnen bei Grundschule,23/05/2018,CASTELROTTO Brunnen bei Grundschule,POINT
CASTELROTTO/KASTELRUTH,Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,13/08/2018,CASTELROTTO  O.-v.-Wolkenstein - Siusi,POINT
CASTELROTTO/KASTELRUTH,Fontana pubblica presso scuola elementare / Öffentlicher Brunnen bei Grundschule,17/07/2018,CASTELROTTO  presso scuola elementare,POINT
CASTELROTTO/KASTELRUTH,Nordiccenter / Nordiccenter,14/02/2018,CASTELROTTO Nordiccenter,POINT
CASTELROTTO/KASTELRUTH,Privato/Privat,21/11/2018,CASTELROTTO,POINT
CERMES/TSCHERMS,"Cafe` Eggbauer, Basling / Cafe` Eggbauer, Basling",30/05/2018,"CERMES Cafe` Eggbauer, Basling",POINT
CERMES/TSCHERMS,Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,05/10/2018,CERMES  Centro,POINT
CHIENES/KIENS,Ehrenburgerhof Lido / Ehrenburgerhof Lido,14/03/2018,CHIENES Ehrenburgerhof Lido,POINT
CHIENES/KIENS,Fontana / Brunnen,05/09/2018,CHIENES Fontana,POINT
CHIENES/KIENS,Fontana chiesa / Brunnen Kirche,05/09/2018,CHIENES Fontana chiesa,POINT
CHIENES/KIENS,Fontana paese / Brunnen Oberdorf,05/09/2018,CHIENES Fontana paese,POINT
CHIENES/KIENS,Kindergarten / Kindergarten,10/02/2018,CHIENES Kindergarten,POINT
CHIENES/KIENS,Privato/Privat,23/10/2018,CHIENES,POINT
CHIUSA/KLAUSEN,Fontana pubblica / Öffentlicher Brunnen,04/11/2018,CHIUSA,POINT
CHIUSA/KLAUSEN,Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,07/09/2018,CHIUSA  Gudon,POINT
CHIUSA/KLAUSEN,Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,04/11/2018,CHIUSA  Piazza Tinne,POINT
CHIUSA/KLAUSEN,Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,04/11/2018,CHIUSA  Piazza paese,POINT
CHIUSA/KLAUSEN,Privato/Privat,06/06/2018,CHIUSA,POINT
CHIUSA/KLAUSEN,"Scuola dell'Infanzia Chiusa, Langrain 39 / Kindergarten Klausen, Langrain 39; WH Küche",10/10/2018,"CHIUSA Scuola dell'Infanzia Chiusa, Langrain 39",POINT
CORNEDO ALL'ISARCO/KARNEID,Brunnen Friedhof Gummer  /  Brunnen Friedhof Gummer,10/03/2018,CORNEDO ALL'ISARCO Brunnen Friedhof Gummer,POINT
CORNEDO ALL'ISARCO/KARNEID,Casa di riposo Clara / Altersheim Clara,21/11/2018,CORNEDO ALL'ISARCO Casa di riposo Clara,POINT
CORNEDO ALL'ISARCO/KARNEID,Fontana cimitero / Brunnen Friedhof,04/05/2018,CORNEDO ALL'ISARCO Fontana cimitero,POINT
CORNEDO ALL'ISARCO/KARNEID,Fontana cimitero Collepietra / Brunnen Friedhof Steinegg,07/12/2018,CORNEDO ALL'ISARCO Fontana cimitero Collepietra,POINT
CORNEDO ALL'ISARCO/KARNEID,Gummer - Scuole elementari M. Pichler / Gummer - Grundschule M. Pichler,27/02/2018,CORNEDO ALL'ISARCO Gummer - Scuole elementari M. Pichler,POINT
CORNEDO ALL'ISARCO/KARNEID,"Scuola elementare Cornedo "" Martin Wenter"" / Grundschule Karneid ""Martin Wenter""",26/11/2018,"CORNEDO ALL'ISARCO Scuola elementare Cornedo "" Martin Wenter""",POINT
CORNEDO ALL'ISARCO/KARNEID,Scuole medie Prato Isarco / Mittelschule in Blumau,27/02/2018,CORNEDO ALL'ISARCO Scuole medie Prato Isarco,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Ditta Finstral zona industriale / Fa. Finstral Industriezone,16/05/2018,CORTACCIA SULLA STRADA DEL VINO Ditta Finstral zona industriale,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,F. p. Weg K. von Fenner / Öff. Brunnen Weg K. von Fenner,04/05/2018,CORTACCIA SULLA STRADA DEL VINO F. p. Weg K. von Fenner,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Fontana pubblica Platzl / Öffentlicher Brunnen Platzl,09/03/2018,CORTACCIA SULLA STRADA DEL VINO  Platzl,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Fontana pubblica piazza H.M.Schweiggl / Ö.B. Hauptmann Schweigglplatz,14/03/2018,CORTACCIA SULLA STRADA DEL VINO  piazza H.M.Schweiggl,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Fontana pubblica vicino albergo Goldener Adler / Öffentlicher Brunnen neben Gasthaus Adler,16/07/2018,CORTACCIA SULLA STRADA DEL VINO   albergo Goldener Adler,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Ufficio Cantina Tiefenbrunner / Büro Kellerei Tiefenbrunner,04/11/2018,CORTACCIA SULLA STRADA DEL VINO Ufficio Cantina Tiefenbrunner,POINT
CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,Öffentlicher Brunnen Kirchplatz Penon / Öffentlicher Brunnen Kirchplatz Penon,10/01/2018,CORTACCIA SULLA STRADA DEL VINO Öffentlicher Brunnen  Penon,POINT
CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,Privato/Privat,20/07/2018,CORTINA SULLA STRADA DEL VINO,POINT
CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,fontana pubblica piazza S. Martino / öff. Brunnen St. Martin Platz,04/10/2018,CORTINA SULLA STRADA DEL VINO fontana pubblica piazza S. Martino,POINT
CORVARA IN BADIA/CORVARA,Azienda turistica / Tourismusverein,04/04/2018,CORVARA IN BADIA Azienda turistica,POINT
CORVARA IN BADIA/CORVARA,Brunnen Friedhof,17/09/2018,CORVARA IN BADIA Brunnen Friedhof,POINT
CORVARA IN BADIA/CORVARA,Costabiei / Costabiei,04/04/2018,CORVARA IN BADIA Costabiei,POINT
CORVARA IN BADIA/CORVARA,Garni Pcei / Garni Pcei,12/12/2018,CORVARA IN BADIA Garni Pcei,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,Comune - WC / Gemeinde - WC,12/12/2018,CURON VENOSTA  - WC,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,Pizzeria Irene/Pizzeria Irene,12/12/2018,CURON VENOSTA Pizzeria Irene,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,Privato/Privat,14/11/2018,CURON VENOSTA,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,Res. Plagätt - Einlauf,20/09/2018,CURON VENOSTA Res. Plagätt - Einlauf,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,WC - scuola media  /  WC - Mittelschule,23/01/2018,CURON VENOSTA WC - scuola media,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f. p. S. Valentino - cimitero / Ö. B. St. Valentin - Friedhof,10/08/2018,CURON VENOSTA f. p. S. Valentino - cimitero,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. Kaschon / ö.B. Kaschon,14/11/2018,CURON VENOSTA f.p. Kaschon,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. Monteplai / Öffentlicher Brunnen Dörfl,14/05/2018,CURON VENOSTA f.p. Monteplai,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. Pedrossi Vallelunga di fuori / Öffentlicher Brunnen Pedross Außerlangtaufers,14/05/2018,CURON VENOSTA f.p. Pedrossi Vallelunga di fuori,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. San Valentino alla Muta / Öffentlicher Brunnen - St. Valentin a.d.H.,25/06/2018,CURON VENOSTA f.p. San Valentino alla Muta,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. parcheggio  / Ö.B. Parkplatz,14/05/2018,CURON VENOSTA f.p. parcheggio,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. parcheggio torre / ö.B. beim Parkplatz Turm,14/05/2018,CURON VENOSTA f.p. parcheggio torre,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,f.p. vallelunga di dentro / Öffentlicher Brunnen Innerlangtaufers,20/09/2018,CURON VENOSTA f.p. vallelunga di dentro,POINT
CURON VENOSTA/GRAUN IM VINSCHGAU,Öff. Brunnen unter der Strasse  /  Öff. Brunnen unter der Strasse,12/12/2018,CURON VENOSTA Öff. Brunnen unter der Strasse,POINT
DOBBIACO/TOBLACH,Fontana chiesa / Brunnen Kirche,24/09/2018,DOBBIACO Fontana chiesa,POINT
DOBBIACO/TOBLACH,Fontana municipio / Brunnen Rathaus,09/10/2018,DOBBIACO Fontana municipio,POINT
DOBBIACO/TOBLACH,Latteria / Sennerei,04/03/2018,DOBBIACO Latteria,POINT
DOBBIACO/TOBLACH,Panificio Trenker / Bäckerei Trenker,14/02/2018,DOBBIACO Panificio Trenker,POINT
DOBBIACO/TOBLACH,Privato/Privat,24/09/2018,DOBBIACO,POINT
EGNA/NEUMARKT,Fontana pubblica  Via Villa / Öffentlicher Brunnen Vill,04/04/2018,EGNA   Via Villa,POINT
EGNA/NEUMARKT,"Fontana pubblica 2015, Via Portici 2  /  Öff. Brunnen 2015, Laubengasse 2",15/05/2018,"EGNA  2015, Via Portici 2",POINT
EGNA/NEUMARKT,Fontana pubblica Piazza Giovanni Prati / Öffentliche Brunnen Giovanni Prati Platz,19/11/2018,EGNA  Piazza Giovanni Prati,POINT
EGNA/NEUMARKT,Fontana pubblica Piazza della Libertà / Öffentliche Brunnen Freiheitsplatz,15/05/2018,EGNA  Piazza della Libertà,POINT
EGNA/NEUMARKT,Fontana pubblica Piazza principale / Öffentlicher  Brunnen Hauptplatz,04/04/2018,EGNA  Piazza principale,POINT
EGNA/NEUMARKT,Fontana pubblica Piazza principale / Öffentlicher Brunnen Hauptplatz,04/04/2018,EGNA  Piazza principale,POINT
EGNA/NEUMARKT,Fontana pubblica via A. Hofer / Öffentliche Brunnen A. Hofer Straße,28/08/2018,EGNA  via A. Hofer,POINT
EGNA/NEUMARKT,Privato/Privat,15/05/2018,EGNA,POINT
FALZES/PFALZEN,Fontana Osnerplatz / Brunnen Osnerplatz,08/09/2018,FALZES Fontana Osnerplatz,POINT
FALZES/PFALZEN,Fontana Reichegger / Brunnen Reichegger,08/06/2018,FALZES Fontana Reichegger,POINT
FALZES/PFALZEN,Fontana chiesa / Brunnen Kirche,08/06/2018,FALZES Fontana chiesa,POINT
FALZES/PFALZEN,Fontana farmacia / Brunnen Apotheke,08/09/2018,FALZES Fontana farmacia,POINT
FALZES/PFALZEN,Privato/Privat,08/09/2018,FALZES,POINT
FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,Autobahnraststätte Atzwang-Schlern West/Autobahnraststätte Atzwang-Schlern West,25/01/2018,FIÈ ALLO SCILIAR Autobahnraststätte Atzwang-Schlern West,POINT
FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,Fontana Hotel Perwanger/Brunnen Hotel Perwanger,13/08/2018,FIÈ ALLO SCILIAR Fontana Hotel Perwanger,POINT
FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,Fontana pubblica / Öffentlicher Brunnen,13/08/2018,FIÈ ALLO SCILIAR,POINT
FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,Fontana pubblica Binderplatz / Öffentlicher Brunnen Binderplatz,05/10/2018,FIÈ ALLO SCILIAR  Binderplatz,POINT
FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,Fontana pubblica vicino chiesa / Öffentlicher Brunnen Kirche,14/02/2018,FIÈ ALLO SCILIAR,POINT
FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,GH Kircher / GH Kircher - Ums,26/02/2018,FIÈ ALLO SCILIAR GH Kircher,POINT
FORTEZZA/FRANZENSFESTE,"Albergo Brückenwirt, Mezzaselva / Gasthof Brückenwirt, Mittewald - WH Bar - ohne Abflaemmen",08/07/2018,"FORTEZZA Albergo Brückenwirt, Mezzaselva",POINT
FORTEZZA/FRANZENSFESTE,"Albergo Riol, Fortezza / Gasthof Riol, Franzenfeste",05/03/2018,"FORTEZZA Albergo Riol, Fortezza",POINT
FORTEZZA/FRANZENSFESTE,"Albergo Riol, Fortezza / Gasthof Riol, Franzenfeste - Riolbar, WH Bar - Entnahme ohne abflammen",19/03/2018,"FORTEZZA Albergo Riol, Fortezza",POINT
FORTEZZA/FRANZENSFESTE,"Albergo Riol, Fortezza / Gasthof Riol, Franzenfeste - WH Bar - ohne Abfalmmen",08/07/2018,"FORTEZZA Albergo Riol, Fortezza",POINT
FORTEZZA/FRANZENSFESTE,"Fontana pubblica, Le Cave / Öffentlicher Brunnen, Grasstein",07/03/2018,"FORTEZZA , Le Cave",POINT
FUNES/VILLNÖSS,"Albergo Edelweiss, S. Maddalena 77 / Gasthof Edelweiss, St. Magdalena 77 - WH Bar",27/03/2018,"FUNES Albergo Edelweiss, S. Maddalena 77",POINT
FUNES/VILLNÖSS,"Albergo Edelweiss, S. Maddalena 77 / Gasthof Edelweiss, St. Magdalena 77; WH Bar",07/09/2018,"FUNES Albergo Edelweiss, S. Maddalena 77",POINT
FUNES/VILLNÖSS,"Fa. Hewoline, Schmelze 4/Fa. Hewoline, Schmelze 4, WH Garage",24/09/2018,"FUNES Fa. Hewoline, Schmelze 4",POINT
FUNES/VILLNÖSS,Font. pubbl. sede del circolo Tiso/Öff. Brunnen Vereinshaus Teis,05/07/2018,FUNES Font. pubbl. sede del circolo Tiso,POINT
FUNES/VILLNÖSS,Fontana S. Pietro / Dorfbrunnen St. Peter,05/07/2018,FUNES Fontana S. Pietro,POINT
FUNES/VILLNÖSS,Privato/Privat,16/10/2018,FUNES,POINT
FUNES/VILLNÖSS,"Scuola elementare S. Pietro, S. Pietro 140 / Grundschule St. Peter, St. Peter 140; WH WC",27/03/2018,"FUNES Scuola elementare S. Pietro, S. Pietro 140",POINT
FUNES/VILLNÖSS,"Scuola elementare S. Pietro, S. Pietro 140 / Grundschule St. Peter, St. Peter 140; WH WC Vereinslokale",07/09/2018,"FUNES Scuola elementare S. Pietro, S. Pietro 140",POINT
FUNES/VILLNÖSS,"Scuola materna S. Maddalena/Kindergarten St. Magdalen, St. Magdalena 114; WH Küche",24/09/2018,FUNES Scuola materna S. Maddalena,POINT
FUNES/VILLNÖSS,"Scuola materna S. Maddalena/Kindergarten St. Magdalena, WH Küche",27/11/2018,FUNES Scuola materna S. Maddalena,POINT
FUNES/VILLNÖSS,Scuola materna S. Maddalena/Kindergarten St. Magdalena; WH Küche,05/07/2018,FUNES Scuola materna S. Maddalena,POINT
GAIS/GAIS,Albergo Huber / Gasthaus Huber,24/10/2018,GAIS Albergo Huber,POINT
GAIS/GAIS,Fontana Brunner / Brunner Brunnen,17/04/2018,GAIS Fontana Brunner,POINT
GAIS/GAIS,Fontana chiesa / Brunnen Kirche,17/04/2018,GAIS Fontana chiesa,POINT
GAIS/GAIS,Fontana municipio / Brunnen Rathaus,07/11/2018,GAIS Fontana municipio,POINT
GAIS/GAIS,Miraval / Miraval,24/10/2018,GAIS Miraval,POINT
GARGAZZONE/GARGAZON,WC - municipio / WC - Gemeinde,12/06/2018,GARGAZZONE WC - municipio,POINT
GARGAZZONE/GARGAZON,f.p. centro / Öffentlicher Brunnen Zentrum,16/08/2018,GARGAZZONE f.p. centro,POINT
GLORENZA/GLURNS,f.p. centro / Öffentlicher Brunnen Zentrum,08/06/2018,GLORENZA f.p. centro,POINT
GLORENZA/GLURNS,f.p. vicino la chiesa e ristorante Stambecco / Öffentlicher Brunnen neben Kirche u. Gh. Steinbock,01/09/2018,GLORENZA f.p.  la chiesa e ristorante Stambecco,POINT
LA VALLE/WENGEN,Municipio / Rathaus,05/08/2018,LA VALLE Municipio,POINT
LACES/LATSCH,Coldrano: f.p. incrocio via Castello - via Tschanderle / Goldrain: Öffentlicher Brunnen Kreuzung Schlossstr. - Tschanderleweg,03/12/2018,LACES Coldrano: f.p.  via Castello - via Tschanderle,POINT
LACES/LATSCH,Privato/Privat,21/11/2018,LACES,POINT
LACES/LATSCH,f.p. Coldrano - piazzetta / Öffentlicher Brunnen Goldrain - Platzl,12/06/2018,LACES f.p. Coldrano - piazzetta,POINT
LACES/LATSCH,"f.p. Tarres / Öffentlicher Brunnen, Tarsch",09/06/2018,LACES f.p. Tarres,POINT
LACES/LATSCH,f.p. Tiss / Öffentlicher Brunnen Tiss,09/11/2018,LACES f.p. Tiss,POINT
LACES/LATSCH,f.p. pista ciclabile / Öff. Brunnen bei Radweg,05/03/2018,LACES f.p. pista ciclabile,POINT
LACES/LATSCH,"f.p. via Schuler / Öffentlicher Brunnen, Schulerstrasse",27/08/2018,LACES f.p. via Schuler,POINT
LACES/LATSCH,fontana pubblica zona industriale Pedross / Öffentlicher Brunnen Industriezone Pedross,24/09/2018,LACES fontana pubblica zona industriale Pedross,POINT
LACES/LATSCH,ristorante stazione a monte a San Martino / Restaurant Bergstation in St. Martin,03/12/2018,LACES ristorante stazione a monte a San Martino,POINT
LACES/LATSCH,Ö.B. neben Kirche,27/02/2018,LACES Ö.B. neben Kirche,POINT
LAGUNDO /ALGUND,"Albergo ""Maratscher, Plars di Mezzo / Gasthaus Maratscher, Mitterplars",12/06/2018,"LAGUNDO  Albergo ""Maratscher, Plars di Mezzo",POINT
LAGUNDO /ALGUND,"GH Gruber, Vellau",07/09/2018,"LAGUNDO  GH Gruber, Vellau",POINT
LAGUNDO /ALGUND,"Gasthaus Ladurner, Vellau / Gasthaus Ladurner, Vellau",12/06/2018,"LAGUNDO  Gasthaus Ladurner, Vellau",POINT
LAGUNDO /ALGUND,Privato/Privat,22/05/2018,LAGUNDO,POINT
LAGUNDO /ALGUND,Servizi pubblici seggiovia stazione di monte  /  Öffentl. Toiletten Bergstation Seilbahn,22/05/2018,LAGUNDO  Servizi pubblici seggiovia stazione di monte,POINT
LAGUNDO /ALGUND,WC - municipio / Gemeinde -  WC,02/07/2018,LAGUNDO  WC - municipio,POINT
LAGUNDO /ALGUND,f.p. via B. Leiter / ö.B. B. Leiter Str.,04/04/2018,LAGUNDO  f.p. via B. Leiter,POINT
LAGUNDO /ALGUND,"f.p., Plars di Sopra / Öffentlicher Brunnen, Oberplars",05/08/2018,"LAGUNDO  f.p., Plars di Sopra",POINT
LAGUNDO /ALGUND,fontana pubblica presso la chiesa / Öffentlicher Brunnen bei Kirche,05/08/2018,LAGUNDO  fontana pubblica presso la chiesa,POINT
LAGUNDO/ALGUND,f.p. via B. Leiter / ö.B. B. Leiter Str.,07/09/2018,LAGUNDO f.p. via B. Leiter,POINT
LAGUNDO/ALGUND,"f.p., Plars di Sopra / Öffentlicher Brunnen, Oberplars",07/09/2018,"LAGUNDO f.p., Plars di Sopra",POINT
LAION/LAJEN,"Ditta ELA Srl, Zona Artigianale Pontives 10 / Fa. ELA GmbH, Gewerbezone Pontives 10",17/04/2018,"LAION Ditta ELA Srl, Zona Artigianale Pontives 10",POINT
LAION/LAJEN,Fontana pubblica Albions / Öff. Brunnen Albions,05/07/2018,LAION  Albions,POINT
LAION/LAJEN,Fontana pubblica Ceves / Öffentlicher Brunnen Tschöfas,09/10/2018,LAION  Ceves,POINT
LAION/LAJEN,Fontana pubblica Tanürz  /  Öffentlicher Brunnen Tanürz,05/07/2018,LAION  Tanürz,POINT
LAION/LAJEN,Fontana pubblica scuola elementare Lajener Ried/Öff. Brunnen Grundschule Lajener Ried,09/10/2018,LAION  scuola elementare Lajener Ried,POINT
LAION/LAJEN,Hotel Überbacher / Hotel Überbacher,17/05/2018,LAION Hotel Überbacher,POINT
LAION/LAJEN,Privato/Privat,17/05/2018,LAION,POINT
LAIVES/LEIFERS,Bagni 1° compagnia,12/11/2018,LAIVES Bagni 1° compagnia,POINT
LAIVES/LEIFERS,Caserma CC. Guella - rubinetto cucina carabinieri / Kaserne CC. Guella - Wasserhahn der Küche der Carabinieri,21/02/2018,LAIVES Caserma CC. Guella -  carabinieri,POINT
LAIVES/LEIFERS,Fontana Pubblica S.Giacomo / öff. Brunnen St.Jakob,05/09/2018,LAIVES  S.Giacomo,POINT
LAIVES/LEIFERS,Fontana pubblica Pineta di Laives  /  Fontana pubblica Pineta di Laives,10/09/2018,LAIVES  Pineta di Laives,POINT
LAIVES/LEIFERS,Fontana pubblica parco Marconi / öff. Brunnen Marconipark,07/05/2018,LAIVES  parco Marconi,POINT
LAIVES/LEIFERS,Laboratorio Biologico / Biologisches Landeslabor,12/11/2018,LAIVES Laboratorio Biologico,POINT
LAIVES/LEIFERS,Magazzino comunale zona industriale/ Magazin der Gemeinde Industriezone,02/07/2018,LAIVES Magazzino comunale zona industriale,POINT
LAIVES/LEIFERS,Scuola Elementare Fraz. Pineta / Grundschule Steinmannwald,19/02/2018,LAIVES Scuola Elementare Fraz. Pineta,POINT
LAIVES/LEIFERS,Scuola elementare San Giacomo / Grundschule St. Jakob,19/02/2018,LAIVES Scuola elementare San Giacomo,POINT
LAIVES/LEIFERS,WC piscina coperta comunale / WC Gemeindehallenbad,28/02/2018,LAIVES WC piscina coperta comunale,POINT
LAIVES/LEIFERS,f.p. giardino zona 46/Öff. Brunnen Garten Zone 46,14/06/2018,LAIVES f.p. giardino zona 46,POINT
LAIVES/LEIFERS,"f.p. parco giochi via Sottomonte / öff. Brunnen, Spielplatz, Unterbergstr.",17/05/2018,LAIVES f.p. parco giochi via Sottomonte,POINT
LANA/LANA,"Albergo ""Pawiglerwirt"" - Pavicolo / Gasthaus Pawiglerwirt - Pawigl",03/07/2018,"LANA Albergo ""Pawiglerwirt"" - Pavicolo",POINT
LANA/LANA,Bar Nordkap / Bar Nordkap,05/10/2018,LANA Bar Nordkap,POINT
LANA/LANA,Privato/Privat,03/07/2018,LANA,POINT
LANA/LANA,f.p. p.zza della chiesa / Öffentlicher Brunnen Kirchplatz,04/04/2018,LANA f.p. p.zza della chiesa,POINT
LANA/LANA,"f.p. presso la chiesa ""Kapuziner"" / Öffentlicher Brunnen bei Kapuziner Kirche",02/01/2018,"LANA f.p. presso la chiesa ""Kapuziner""",POINT
LANA/LANA,"f.p. presso la chiesa, Foiana / Öffentlicher Brunnen neben Kirche, Völlan",05/08/2018,"LANA f.p. presso la chiesa, Foiana",POINT
LANA/LANA,mensa zona industriale / Mensa Industriezone,03/01/2018,LANA mensa zona industriale,POINT
LASA/LAAS,Fontana pubblica Tarnell/Öffentlicher Brunnen Tarnell,15/05/2018,LASA  Tarnell,POINT
LASA/LAAS,Oris: WC scuola elementare/Eyrs: WC Grundschule,12/11/2018,LASA Oris: WC scuola elementare,POINT
LASA/LAAS,f.p. - Cengles / Öffentlicher Brunnen - Tschengls,08/08/2018,LASA f.p. - Cengles,POINT
LASA/LAAS,f.p. - parcheggio / Öffentlicher Brunnen am Parkplatz,30/07/2018,LASA f.p. - parcheggio,POINT
LASA/LAAS,f.p. Alliz / Öffentlicher Brunnen - Allitz,19/11/2018,LASA f.p. Alliz,POINT
LASA/LAAS,f.p. Oris / Öffentlicher Brunnen - Eyrs,04/12/2018,LASA f.p. Oris,POINT
LASA/LAAS,f.p. Tanas / Öffentlicher Brunnen - Tanas,19/11/2018,LASA f.p. Tanas,POINT
LASA/LAAS,"f.p. ciclabile ""Zapferbad"" / ö.B. Radweg Zapferbad",15/05/2018,"LASA f.p. ciclabile ""Zapferbad""",POINT
LASA/LAAS,f.p. strada principale / Öffentlicher Brunnen Hauptstrasse,01/09/2018,LASA f.p. strada principale,POINT
LAUREGNO/LAUREIN,Privato/Privat,08/08/2018,LAUREGNO,POINT
LAUREGNO/LAUREIN,fontana pubblica cimitero / Öffentlicher Brunnen Friedhof,08/08/2018,LAUREGNO fontana pubblica cimitero,POINT
