alias_city,alias_address,data_report
BOLZANO/BOZEN,Distretto socio-sanitario Oltrisarco / Gesundheitssprengel Oberau,27/02/2018
BOLZANO/BOZEN,Font. pubb. parco giochi via Ortles (Casanova) / öff. Brunnen Spielplatz Ortlesstr. (Casanova),17/10/2018
BOLZANO/BOZEN,Fontana Pubblica angolo via Cassa di Risparmio/via Vanga / öff. Brunnen Sparkassestr./Wangerstrasse,11/12/2018
BOLZANO/BOZEN,Fontana funivia / Brunnen Seilbahn,19/04/2018
BOLZANO/BOZEN,Fontana pubblica Parco Petrarca / öff. Brunnen Petrarcapark,28/05/2018
BOLZANO/BOZEN,Fontana pubblica chiesa don Bosco / Don Bosco Pfarrkirche Öff. Brunnen,11/12/2018
BOLZANO/BOZEN,"Fontana pubblica incrocio via Milano/via Gutenberg / Öffentl. Brunnen Park, Gutenberg/Mailandstr.",28/05/2018
BOLZANO/BOZEN,Fontana pubblica parco Mignone  /  Fontana pubblica parco Mignone,10/08/2018
BOLZANO/BOZEN,Fontana pubblica parco ducale / Öff. Brunnen Herzogspark,17/10/2018
BOLZANO/BOZEN,Fontana pubblica parco giochi Piani / öff. Brunnen Spielplatz Bozner-Boden,17/10/2018
BOLZANO/BOZEN,Fontana pubblica parco giochi lungo Isarco via Parma / öff. Brunnen Spielplatz Eisackufer Parmastr.,07/04/2018
BOLZANO/BOZEN,"Fontana pubblica parco giochi via Genova / Öffentl. Brunnen Spielplatz, Genuastr.",15/10/2018
BOLZANO/BOZEN,Fontana pubblica parco giochi via Mozart  (Firmian) / öff. Brunnen Spielplatz Mozartstr.(Firmian),20/08/2018
BOLZANO/BOZEN,"Fontana pubblica parco giochi via della Vigna / Weingartenpark, öff. Brunnen",23/08/2018
BOLZANO/BOZEN,Fontana pubblica piazza Mazzini / Mazzinipark - öff. Brunnen,11/12/2018
BOLZANO/BOZEN,Fontana pubblica via Claudia Augusta / off. Brunnen Claudia Augustastrasse,20/08/2018
BOLZANO/BOZEN,Ospedale - mensa WC / Krankenhaus - Mensa WC,27/11/2018
BOLZANO/BOZEN,Premstallerhof / Premstallerhof,06/04/2018
BOLZANO/BOZEN,Privato/Privat,24/01/2018
BOLZANO/BOZEN,Scuola Materna O.N.M.I. / Kindergarten O.N.M.I.,29/01/2018
BOLZANO/BOZEN,Scuola Tambosi  /  Schule Tambosi,12/05/2018
BOLZANO/BOZEN,"Scuola elementare ""A. Rosmini"" / Grundschule ""A. Rosmini""",29/01/2018
BOLZANO/BOZEN,"Scuola elementare ""M. L. King"" / Grundschule ""M.L.King""",27/02/2018
BOLZANO/BOZEN,"Scuola elementare ""Stolz""/Grundschule ""Stolz""",12/10/2018
BOLZANO/BOZEN,Scuola elementare Dante Alighieri / Grundschule Dante Alighieri,31/01/2018
BOLZANO/BOZEN,Scuola elementare Firmian / Grundschule Firmian,26/02/2018
BOLZANO/BOZEN,Scuola materna Mariaheim / Kindergarten Mariaheim,02/07/2018
BOLZANO/BOZEN,Scuola media Leonardo da Vinci / Mittelschule Leonardo da Vinci,26/02/2018
BOLZANO/BOZEN,"Scuola professionale tedesca ""Max Valier"" via Druso / Gewerbeoberschule ""Max Valier"", Drusustrasse",31/01/2018
BOLZANO/BOZEN,"Scuole Medie Archimede / Mittelschule ""Archimede""",31/01/2018
BOLZANO/BOZEN,Servizio riabilitazione / Rehabilitationsdienst,02/07/2018
BOLZANO/BOZEN,Stabilimento Milkon / Lebensmittelindustrie Milkon,28/02/2018
BOLZANO/BOZEN,fontana pubblica Rencio  / öffentl. Brunnen Rentscher,19/04/2018
BRAIES/PRAGS,Alpe Pragas / Alpe Pragas,29/01/2018
BRAIES/PRAGS,Fontana Ferrara / Brunnen Schmieden,25/09/2018
BRAIES/PRAGS,Privato/Privat,25/09/2018
BRENNERO/BRENNER,Albergo Bergkristall / Hotel Bergkristall,10/03/2018
BRENNERO/BRENNER,"Fontana pubblica Via Argentieri, Colle Isarco / Öffentlicher Brunnen Silbergasse, Gossensass",23/04/2018
BRENNERO/BRENNER,Fontana pubblica cimitero / Öff. Brunnen Friedhof,10/02/2018
BRENNERO/BRENNER,Outlet Center Brennero / Outlet Center Brenner,13/11/2018
BRENNERO/BRENNER,Privato/Privat,10/02/2018
BRESSANONE/BRIXEN,"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24",14/03/2018
BRESSANONE/BRIXEN,"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24; WH WC",07/04/2018
BRESSANONE/BRIXEN,"Albergo Plansoler, S. Leonardo 96 / Gasthof Plansoler, St. Leonhard 96; WH Bar",06/11/2018
BRESSANONE/BRIXEN,"Bergrestaurant Plose, Valcroce/Bergrestaurant Plose, Kreuztal",18/06/2018
BRESSANONE/BRIXEN,Fontana pubbl. Sarns / Öffentl. Brunnen Sarns,16/10/2018
BRESSANONE/BRIXEN,Fontana pubblica Cornale di Sopra / Öff. Brunnen Oberkarnol,06/11/2018
BRESSANONE/BRIXEN,"Fontana pubblica Schmiedplatz, Varna / Öffentlicher Brunnen Schmiedplatz, Vahrn",09/06/2018
BRESSANONE/BRIXEN,Fontana pubblica Via Prà Millan / Öffentlicher Brunnen Millanderau,09/05/2018
BRESSANONE/BRIXEN,Fontana pubblica Völkl / Öffentlicher Brunnen Völkl,31/05/2018
BRESSANONE/BRIXEN,Gabinetto pubblico scuola / Öff. WC Schulgebäude,09/05/2018
BRESSANONE/BRIXEN,Gabinetto pubblico scuola / Öff. WC Schulgebäude; WH WC,21/11/2018
BRESSANONE/BRIXEN,"Gasthof Majestic, Lüsnerstr. 29 / Albergo Majestic, Via Luson 29",27/06/2018
BRESSANONE/BRIXEN,"Haka SpA, Competence.Center, Perara 79/A/Haka AG, Competence.Center, Pairdorf 79/A; WH Theke",18/04/2018
BRESSANONE/BRIXEN,"Hotel Gasserhof, Via Paese 31 - S. Andrea / Hotel Gasserhof, Dorfstrasse 31 - St. Andrä; WH Bar",28/05/2018
BRESSANONE/BRIXEN,"Hotel Rosalpina, Palmschoss 292  /  Hotel Rosalpina, Palmschoss 292;; WH Bar",10/08/2018
BRESSANONE/BRIXEN,"Hotel Schlemmer, Plancios 294 / Berghotel Schlemmer, Palmschoss 294 ; WH Bar",10/08/2018
BRESSANONE/BRIXEN,"Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44 / Reha- Werkstatt ""Kastell"", Otto von Guggenbergstr. 44 - WH WC",27/06/2018
BRESSANONE/BRIXEN,"Laboratorio riabilitativo ""Kastell"", Via Otto von Guggenberg 44 / Reha- Werkstatt ""Kastell"", Otto von Guggenbergstr. 44; WH WC",26/11/2018
BRESSANONE/BRIXEN,"Macello Valle Isarco, Via Julius Durst, 90 / Schlachthof Brixen, Durststr. 90",05/08/2018
BRESSANONE/BRIXEN,"Macello Valle Isarco, Via Julius Durst, 90 / Schlachthof Brixen, Durststr. 90; WH WC",26/11/2018
BRESSANONE/BRIXEN,"Ospedale di Bressanone, Via Dante 53, radiologia / Krankenhaus Brixen, Dantestr. 53, Radiologie",14/03/2018
BRESSANONE/BRIXEN,"Ospedale di Bressanone, Via Dante 53, radiologia / Krankenhaus Brixen, Dantestr. 53, Radiologie; WH WC",26/11/2018
BRESSANONE/BRIXEN,Privato/Privat,31/05/2018
BRESSANONE/BRIXEN,"Ristorante Plose-Stodl, via della Funivia, 15/Restaurant Plose-Stodl, Seilbahnstr. 15; WH Bar",23/08/2018
BRESSANONE/BRIXEN,"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A",21/11/2018
BRESSANONE/BRIXEN,"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A - WH Küche",10/10/2018
BRESSANONE/BRIXEN,"Scuola dell''infanzia S. Andrea, Via Vinzenz Goller 5/A / Kindergarten St.Andrä, Vinzenz Goller Weg 5/A; WH Küche",28/05/2018
BRESSANONE/BRIXEN,"Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5 / Kindergarten Anna Seidner, Kaspar von Kempterweg 5",14/03/2018
BRESSANONE/BRIXEN,"Scuola dell'infanzia Anna Seidner, Via Kaspar von Kempter 5 / Kindergarten Anna Seidner, Kaspar von Kempterweg 5; WH Küche",26/11/2018
BRESSANONE/BRIXEN,"Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201 / Kindergarten Arcobaleno, Wolkensteinstr. 201 - WH Wäscherei",13/03/2018
BRESSANONE/BRIXEN,"Scuola dell'infanzia Arcobaleno, Via Wolkenstein 201 / Kindergarten Arcobaleno, Wolkensteinstr. 201; WH Wäscherei",26/11/2018
BRESSANONE/BRIXEN,"Scuola elementare Albes, Albes 1 / Grundschule Albeins, Albeins 1; WH WC",26/04/2018
BRESSANONE/BRIXEN,"Scuola elementare Varna, Via Salern 5 / Grundschule Vahrn, Salernstr. 5 - WH WC",14/03/2018
