alias_address,alias_city,ammoniaca,arsenico,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,nitrato,nitrito,ph,sodio,solfato
Sowi Gym,BRUNICO/BRUNECK,<0.02,2,<1,107,<1,25/09/2018,5,<10,0.16,1,<0.01,7.9,2,11
f.p. caserma dei VVFF / öffentl. Brunnen bei der Feuerwehrhalle,CAINES/KUENS,<0.02,<1,<1,55,<1,10/10/2018,2,33,0.05,1,<0.01,7.9,<1,14
Fontana pubblica Pianizza di Sopra 61 / Öff. Brunnen Oberplanitzing 61,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,<1,6,404,<1,05/09/2018,24,<10,0.08,3,<0.01,7.8,3,34
font. pubb.  Brunnenweg St. Nikolaus / Öffentlicher Brunnen - Brunnenweg St. Nikolaus,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,,10,519,,21/06/2018,30,,0.15,4,<0.01,7.9,,100
font. pubb. Brunnenweg Nr. 21 / Öffentlicher Brunnen - Brunnenweg Nr. 21,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,<1,10,511,<1,05/09/2018,27,<10,0.12,4,<0.01,7.9,5,91
font. pubb. Kreuzung Trutsch / Öffent. Brunnen Kreuzung Trutsch,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,<1,5,350,<1,20/03/2018,26,<10,0.06,2,<0.01,8.0,2,15
font. pubb. Mitterdorf - Mayor v. Morandellplatz / Öffentlicher Brunnen Mitterdorf - Mayor v. Morandellplatz,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,,7,403,,21/06/2018,23,,0.11,3,<0.01,7.9,,27
font. pubb. Oberplanitzing Hauptstraße / Öffentlicher Brunnen Oberplanitzing Hauptstraße,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,,5,379,,28/02/2018,23,,0.06,3,<0.01,8.1,,29
"font. pubb. Pianizza di sopra, Strada Principale n. 17 / Öff. Brunnen Oberplanitzing, Hauptstrasse Nr. 17",CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,,6,395,,08/02/2018,22,,0.08,2,<0.01,8.0,,26
font. pubb. cimitero / Friedhofsbrunnen,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,<1,2,649,<1,22/10/2018,34,21,0.25,3,<0.01,7.8,2,180
font.pubb. Rottenburgplatz / Öffentlicher Brunnen Rottenburgplatz,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,,2,644,,21/06/2018,37,,0.25,3,<0.01,7.8,,170
Öffentlicher Brunnen Altenburg / Öffentlicher Brunnen Altenburg,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,<0.02,<1,<1,294,<1,22/10/2018,16,<10,<0.05,4,<0.01,8.0,<1,7
Fontana pubblica Stilves / Öffen. Brunnen Stilfes,CAMPO DI TRENS/FREIENFELD,<0.02,,2,184,,29/03/2018,13,,0.14,1,<0.01,8.1,,28
Fontana pubblica Trens / Öffentlicher Brunnen Trens,CAMPO DI TRENS/FREIENFELD,<0.02,,<1,134,,29/03/2018,9,,0.11,2,<0.01,8.3,,21
Privato/Privat,CAMPO DI TRENS/FREIENFELD,<0.02,<1,1,436,<1,13/11/2018,24,<10,<0.05,2,<0.01,8.3,2,29
Scuola elementare Mules / Grundschule Mauls -  WH WC Mädchen,CAMPO DI TRENS/FREIENFELD,<0.02,,<1,183,,05/03/2018,9,,<0.05,1,<0.01,8.0,,30
Scuola elementare Mules / Grundschule Mauls - Gansör WH WC Mädchen,CAMPO DI TRENS/FREIENFELD,<0.02,,<1,278,,10/01/2018,15,,<0.05,<1,<0.01,7.9,,42
"Scuola elementare Mules / Grundschule Mauls, WH WC Damen Mauls Gansör",CAMPO DI TRENS/FREIENFELD,<0.02,,<1,339,,19/03/2018,8,,<0.05,1,<0.01,7.9,,26
Cascade/Cascade,CAMPO TURES/SAND IN TAUFERS,<0.02,,2,139,,26/03/2018,10,,<0.05,2,<0.01,7.3,,20
Fontana Daimer / Daimerbrunnen,CAMPO TURES/SAND IN TAUFERS,<0.02,,<1,107,,19/09/2018,5,,0.07,1,<0.01,7.8,,18
Fontana Taufra Bahnl / Taufra Bahnl Brunnen,CAMPO TURES/SAND IN TAUFERS,<0.02,,<1,116,,19/09/2018,5,,0.08,2,<0.01,7.8,,20
Fontana Unimet / Brunnen Unimet,CAMPO TURES/SAND IN TAUFERS,<0.02,<1,7,234,<1,08/07/2018,13,<10,<0.05,3,<0.01,7.4,5,19
Fontana chiesa / Brunnen Kirche,CAMPO TURES/SAND IN TAUFERS,<0.02,,<1,67,,18/04/2018,3,,0.11,1,<0.01,7.9,,13
Fontana municipio / Brunnen Rathaus,CAMPO TURES/SAND IN TAUFERS,<0.02,,<1,117,,31/05/2018,7,,0.06,2,<0.01,7.9,,19
Privato/Privat,CAMPO TURES/SAND IN TAUFERS,<0.02,,<1,28,,21/11/2018,1,,<0.05,1,<0.01,6.6,,3
"Albergo ""Sonnenhof"" - Juvale / Gasth. Sonnenhof - Juval",CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,<1,<1,154,<1,26/03/2018,9,<10,0.32,1,<0.01,7.7,3,48
Fontana pubblica Galsaun/ Öffentlicher Brunnen Galsaun,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,,<1,116,,08/08/2018,6,,<0.05,1,<0.01,7.4,,32
Privato/Privat,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,1,<1,135,<1,27/03/2018,10,19,0.12,1,<0.01,7.6,2,22
"f.p. ""Widumplatz"" Ciardes / Öffentlicher Brunnen Widumplatz, Tschars",CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,,<1,320,,19/06/2018,16,,0.83,<1,<0.01,7.9,,97
f.p. Lacinigo / Öffentlicher Brunnen Latschinig,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,1,<1,114,<1,02/06/2018,7,<10,0.1,1,<0.01,7.6,2,20
f.p. centro / Öffentlicher Brunnen Zentrum,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,,<1,111,,19/12/2018,5,,0.06,1,<0.01,6.7,,32
"ristoro di campagna ""Niedermair"" - Montetrumes+I71 / Buschenschank Niedermair - Trumsberg",CASTELBELLO-CIARDES/KASTELBELL-TSCHARS,<0.02,3,<1,61,,07/02/2018,3,,0.85,2,<0.01,7.7,,8
Asilo / Kindergarten,CASTELROTTO/KASTELRUTH,<0.02,,2,258,,26/02/2018,15,,0.11,2,<0.01,8.0,,10
Asilo Sureghes / Kindergarten Sureghes,CASTELROTTO/KASTELRUTH,<0.02,,<1,178,,16/01/2018,11,,<0.05,3,<0.01,8.0,,12
"Bagno Pubblico - Centro / Öff. Toiletten, Zentrum",CASTELROTTO/KASTELRUTH,<0.02,<1,2,350,<1,27/02/2018,21,16,0.07,2,<0.01,8.1,4,63
Bar Lavies - Pufels 5,CASTELROTTO/KASTELRUTH,<0.02,,3,318,,26/02/2018,16,,0.09,2,<0.01,8.1,,8
Brunnen bei Grundschule,CASTELROTTO/KASTELRUTH,<0.02,,<1,207,,23/05/2018,11,,0.06,6,<0.01,8.0,,13
Fontana pubblica O.-v.-Wolkenstein - Siusi / Öffentlicher Brunnen O.-v.-Wolkenstein-Platz - Seis,CASTELROTTO/KASTELRUTH,<0.02,,2,310,,28/06/2018,18,,0.11,3,<0.01,7.9,,33
Fontana pubblica presso scuola elementare / Öffentlicher Brunnen bei Grundschule,CASTELROTTO/KASTELRUTH,<0.02,,<1,307,,17/07/2018,17,,0.12,3,<0.01,8.0,,56
Nordiccenter / Nordiccenter,CASTELROTTO/KASTELRUTH,<0.02,,<1,262,,28/06/2018,16,,0.06,<1,<0.01,8.0,,16
Privato/Privat,CASTELROTTO/KASTELRUTH,<0.02,<1,<1,212,<1,21/11/2018,11,<10,<0.05,4,<0.01,8.2,<1,7
"Cafe` Eggbauer, Basling / Cafe` Eggbauer, Basling",CERMES/TSCHERMS,<0.02,<1,4,442,<1,30/05/2018,23,<10,0.46,7,<0.01,7.6,12,140
Fontana pubblica Centro  / Öffentlicher Brunnen Zentrum,CERMES/TSCHERMS,<0.02,,5,318,,28/02/2018,17,,0.26,8,<0.01,7.7,,64
Ehrenburgerhof Lido / Ehrenburgerhof Lido,CHIENES/KIENS,<0.02,,2,179,,14/03/2018,10,,0.14,2,<0.01,7.4,,30
Fontana / Brunnen,CHIENES/KIENS,<0.02,,<1,112,,10/02/2018,6,,<0.05,<1,<0.01,7.1,,22
Fontana chiesa / Brunnen Kirche,CHIENES/KIENS,<0.02,,2,226,,14/03/2018,12,,0.22,2,<0.01,7.2,,46
Fontana paese / Brunnen Oberdorf,CHIENES/KIENS,<0.02,,1,55,,10/02/2018,2,,<0.05,<1,<0.01,7.3,,6
Kindergarten / Kindergarten,CHIENES/KIENS,<0.02,,2,217,,10/02/2018,10,,0.26,2,<0.01,7.1,,45
Privato/Privat,CHIENES/KIENS,<0.02,,<1,111,,23/10/2018,6,,0.09,<1,<0.01,7.7,,17
Fontana pubblica / Öffentlicher Brunnen,CHIUSA/KLAUSEN,<0.02,<1,<1,65,<1,16/08/2018,3,<10,0.07,2,<0.01,7.3,2,9
Fontana pubblica Gudon  /  Dorfbrunnen Gufidaun,CHIUSA/KLAUSEN,<0.02,,<1,415,,20/03/2018,3,,0.08,2,<0.01,8.1,,9
Fontana pubblica Piazza Tinne / Öffentlicher Brunnen Tinneplatz,CHIUSA/KLAUSEN,<0.02,,<1,62,,16/08/2018,3,,0.06,2,<0.01,7.1,,8
Fontana pubblica Piazza paese / Öffentlicher Brunnen Dorfplatz,CHIUSA/KLAUSEN,<0.02,2,1,97,<1,16/08/2018,4,<10,<0.05,2,<0.01,8.0,2,4
Privato/Privat,CHIUSA/KLAUSEN,<0.02,<1,<1,72,<1,18/06/2018,3,<10,<0.05,2,<0.01,7.4,1,8
"Scuola dell'Infanzia Chiusa, Langrain 39 / Kindergarten Klausen, Langrain 39; WH Küche",CHIUSA/KLAUSEN,<0.02,,1,98,,10/10/2018,4,,<0.05,2,<0.01,7.5,,9
Brunnen Friedhof Gummer  /  Brunnen Friedhof Gummer,CORNEDO ALL'ISARCO/KARNEID,<0.02,<1,5,369,<1,10/03/2018,19,<10,<0.05,2,<0.01,7.6,3,15
Casa di riposo Clara / Altersheim Clara,CORNEDO ALL'ISARCO/KARNEID,<0.02,,3,377,,27/02/2018,24,,<0.05,2,<0.01,8.0,,24
Fontana cimitero / Brunnen Friedhof,CORNEDO ALL'ISARCO/KARNEID,<0.02,,4,370,,09/10/2018,22,,<0.05,3,<0.01,8.1,,16
Fontana cimitero Collepietra / Brunnen Friedhof Steinegg,CORNEDO ALL'ISARCO/KARNEID,<0.02,,5,377,,09/10/2018,22,,<0.05,3,<0.01,7.9,,16
Gummer - Scuole elementari M. Pichler / Gummer - Grundschule M. Pichler,CORNEDO ALL'ISARCO/KARNEID,<0.02,,3,378,,27/02/2018,23,,<0.05,2,<0.01,8.0,,24
"Scuola elementare Cornedo "" Martin Wenter"" / Grundschule Karneid ""Martin Wenter""",CORNEDO ALL'ISARCO/KARNEID,<0.02,,4,363,,26/11/2018,20,,<0.05,3,<0.01,8.2,,15
Scuole medie Prato Isarco / Mittelschule in Blumau,CORNEDO ALL'ISARCO/KARNEID,<0.02,,3,375,,27/02/2018,23,,<0.05,2,<0.01,8.1,,24
Ditta Finstral zona industriale / Fa. Finstral Industriezone,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,<1,4,360,<1,16/05/2018,21,42,0.07,5,<0.01,7.8,2,5
F. p. Weg K. von Fenner / Öff. Brunnen Weg K. von Fenner,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,,5,452,,04/11/2018,31,,0.07,11,<0.01,7.9,,17
Fontana pubblica Platzl / Öffentlicher Brunnen Platzl,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,,4,351,,16/05/2018,20,,0.06,5,<0.01,7.8,,5
Fontana pubblica piazza H.M.Schweiggl / Ö.B. Hauptmann Schweigglplatz,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,<1,3,346,<1,14/03/2018,23,<10,0.07,5,<0.01,7.8,2,5
Fontana pubblica vicino albergo Goldener Adler / Öffentlicher Brunnen neben Gasthaus Adler,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,,1,339,,26/02/2018,23,,<0.05,10,<0.01,8.2,,7
Ufficio Cantina Tiefenbrunner / Büro Kellerei Tiefenbrunner,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,,5,447,,04/11/2018,31,,<0.05,11,<0.01,7.9,,17
Öffentlicher Brunnen Kirchplatz Penon / Öffentlicher Brunnen Kirchplatz Penon,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,<0.02,,2,295,,26/02/2018,19,,<0.05,3,<0.01,8.0,,2
Privato/Privat,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,<0.02,,2,421,,20/07/2018,25,,0.09,5,<0.01,7.7,,12
fontana pubblica piazza S. Martino / öff. Brunnen St. Martin Platz,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE,<0.02,,2,401,,05/07/2018,28,,0.08,5,<0.01,7.8,,9
Azienda turistica / Tourismusverein,CORVARA IN BADIA/CORVARA,<0.02,,<1,169,,17/09/2018,8,,<0.05,2,<0.01,7.7,,3
Brunnen Friedhof,CORVARA IN BADIA/CORVARA,<0.02,,<1,233,,17/09/2018,13,,0.06,1,<0.01,7.9,,7
Costabiei / Costabiei,CORVARA IN BADIA/CORVARA,<0.02,,<1,232,,12/05/2018,13,,0.07,1,<0.01,8.1,,8
Garni Pcei / Garni Pcei,CORVARA IN BADIA/CORVARA,<0.02,<1,2,230,<1,12/12/2018,12,11,0.08,3,<0.01,8.1,4,11
Comune - WC / Gemeinde - WC,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,,<1,253,,12/12/2018,13,,0.2,<1,<0.01,7.4,,110
Pizzeria Irene/Pizzeria Irene,CURON VENOSTA/GRAUN IM VINSCHGAU,,<1,,,<1,12/12/2018,,<10,,,,,<1,
Privato/Privat,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,4,<1,178,<1,14/11/2018,8,<10,0.75,2,<0.01,7.7,3,22
Res. Plagätt - Einlauf,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,,<1,121,,20/09/2018,5,,0.16,1,<0.01,7.2,,43
WC - scuola media  /  WC - Mittelschule,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,,<1,122,,23/01/2018,6,,0.2,1,<0.01,7.3,,41
f. p. S. Valentino - cimitero / Ö. B. St. Valentin - Friedhof,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,<1,<1,118,<1,20/09/2018,6,<10,0.16,1,<0.01,6.7,3,40
f.p. Kaschon / ö.B. Kaschon,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,2,<1,107,<1,14/11/2018,5,<10,0.53,<1,<0.01,7.5,2,25
f.p. Monteplai / Öffentlicher Brunnen Dörfl,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,,<1,112,,14/05/2018,6,,0.12,2,<0.01,7.0,,37
f.p. Pedrossi Vallelunga di fuori / Öffentlicher Brunnen Pedross Außerlangtaufers,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,<1,<1,206,<1,14/05/2018,11,<10,0.19,1,<0.01,6.5,3,100
f.p. San Valentino alla Muta / Öffentlicher Brunnen - St. Valentin a.d.H.,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,<1,<1,117,<1,25/06/2018,5,<10,0.19,2,<0.01,7.2,3,42
f.p. parcheggio  / Ö.B. Parkplatz,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,<1,<1,255,<1,25/06/2018,16,<10,0.85,<1,<0.01,7.8,<1,30
f.p. parcheggio torre / ö.B. beim Parkplatz Turm,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,,<1,120,,25/06/2018,6,,0.25,<1,<0.01,7.5,,24
f.p. vallelunga di dentro / Öffentlicher Brunnen Innerlangtaufers,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,<1,<1,268,<1,20/09/2018,14,<10,<0.05,1,<0.01,6.8,2,130
Öff. Brunnen unter der Strasse  /  Öff. Brunnen unter der Strasse,CURON VENOSTA/GRAUN IM VINSCHGAU,<0.02,,<1,260,,14/11/2018,14,,0.8,<1,<0.01,8.0,,26
Fontana chiesa / Brunnen Kirche,DOBBIACO/TOBLACH,<0.02,,<1,138,,24/09/2018,7,,0.12,<1,<0.01,7.3,,18
Fontana municipio / Brunnen Rathaus,DOBBIACO/TOBLACH,<0.02,,2,186,,20/11/2018,10,,0.06,1,<0.01,7.9,,6
Latteria / Sennerei,DOBBIACO/TOBLACH,<0.02,,1,187,,04/03/2018,13,,0.06,2,<0.01,7.9,,7
Panificio Trenker / Bäckerei Trenker,DOBBIACO/TOBLACH,<0.02,,1,206,,14/02/2018,12,,<0.05,2,<0.01,8.0,,7
Privato/Privat,DOBBIACO/TOBLACH,<0.02,,<1,66,,28/11/2018,3,,0.1,<1,<0.01,7.1,,5
Fontana pubblica  Via Villa / Öffentlicher Brunnen Vill,EGNA/NEUMARKT,<0.02,,3,325,,28/08/2018,17,,0.1,5,<0.01,7.9,,38
"Fontana pubblica 2015, Via Portici 2  /  Öff. Brunnen 2015, Laubengasse 2",EGNA/NEUMARKT,<0.02,<1,4,411,<1,15/05/2018,23,17,0.09,6,<0.01,7.8,4,73
Fontana pubblica Piazza Giovanni Prati / Öffentliche Brunnen Giovanni Prati Platz,EGNA/NEUMARKT,<0.02,,<1,308,,19/11/2018,15,,<0.05,4,<0.01,7.9,,5
Fontana pubblica Piazza della Libertà / Öffentliche Brunnen Freiheitsplatz,EGNA/NEUMARKT,<0.02,2,14,334,<1,15/05/2018,19,<10,0.12,5,<0.01,7.9,7,14
Fontana pubblica Piazza principale / Öffentlicher  Brunnen Hauptplatz,EGNA/NEUMARKT,<0.02,,7,317,,28/08/2018,18,,0.2,3,<0.01,7.7,,28
Fontana pubblica Piazza principale / Öffentlicher Brunnen Hauptplatz,EGNA/NEUMARKT,<0.02,,3,354,,19/11/2018,18,,0.1,5,<0.01,8.0,,45
Fontana pubblica via A. Hofer / Öffentliche Brunnen A. Hofer Straße,EGNA/NEUMARKT,<0.02,,8,552,,28/08/2018,32,,0.16,8,<0.01,7.6,,120
Privato/Privat,EGNA/NEUMARKT,<0.02,,3,247,,28/08/2018,13,,0.13,5,<0.01,8.0,,5
Fontana Osnerplatz / Brunnen Osnerplatz,FALZES/PFALZEN,<0.02,,<1,60,,08/09/2018,3,,0.37,<1,<0.01,7.0,,5
Fontana Reichegger / Brunnen Reichegger,FALZES/PFALZEN,<0.02,2,6,84,<1,08/06/2018,3,<10,0.47,2,<0.01,7.0,6,6
Fontana chiesa / Brunnen Kirche,FALZES/PFALZEN,<0.02,5,<1,50,<1,08/06/2018,2,<10,0.63,<1,<0.01,8.3,3,3
Fontana farmacia / Brunnen Apotheke,FALZES/PFALZEN,<0.02,,<1,59,,27/03/2018,5,,0.11,<1,<0.01,8.0,,7
Privato/Privat,FALZES/PFALZEN,<0.02,,<1,45,,08/09/2018,2,,0.59,<1,<0.01,8.8,,3
Autobahnraststätte Atzwang-Schlern West/Autobahnraststätte Atzwang-Schlern West,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,<0.02,,<1,230,,25/01/2018,15,,<0.05,3,<0.01,8.0,,7
Fontana Hotel Perwanger/Brunnen Hotel Perwanger,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,<0.02,,<1,248,,28/08/2018,16,,<0.05,3,<0.01,7.8,,6
Fontana pubblica / Öffentlicher Brunnen,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,<0.02,,1,339,,13/08/2018,18,,0.18,5,<0.01,7.9,,19
Fontana pubblica Binderplatz / Öffentlicher Brunnen Binderplatz,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,<0.02,<1,<1,226,<1,27/02/2018,14,<10,<0.05,3,<0.01,8.1,<1,9
Fontana pubblica vicino chiesa / Öffentlicher Brunnen Kirche,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,<0.02,,<1,270,,30/07/2018,14,,<0.05,3,<0.01,7.8,,4
GH Kircher / GH Kircher - Ums,FIÈ ALLO SCILIAR/VÖLS AM SCHLERN,<0.02,,1,327,,26/02/2018,20,,<0.05,5,<0.01,8.0,,21
"Albergo Brückenwirt, Mezzaselva / Gasthof Brückenwirt, Mittewald - WH Bar - ohne Abflaemmen",FORTEZZA/FRANZENSFESTE,<0.02,<1,<1,63,<1,08/07/2018,3,32,0.24,2,<0.01,8.6,1,12
"Albergo Riol, Fortezza / Gasthof Riol, Franzenfeste",FORTEZZA/FRANZENSFESTE,<0.02,,<1,74,,10/02/2018,3,,0.13,2,<0.01,8.3,,12
"Albergo Riol, Fortezza / Gasthof Riol, Franzenfeste - Riolbar, WH Bar - Entnahme ohne abflammen",FORTEZZA/FRANZENSFESTE,<0.02,,<1,62,,19/03/2018,4,,0.12,2,<0.01,7.7,,13
"Albergo Riol, Fortezza / Gasthof Riol, Franzenfeste - WH Bar - ohne Abfalmmen",FORTEZZA/FRANZENSFESTE,<0.02,<1,<1,62,<1,08/07/2018,3,23,0.18,2,<0.01,8.6,1,12
"Fontana pubblica, Le Cave / Öffentlicher Brunnen, Grasstein",FORTEZZA/FRANZENSFESTE,<0.02,3,<1,86,<1,07/03/2018,4,<10,0.22,3,<0.01,7.0,2,8
"Albergo Edelweiss, S. Maddalena 77 / Gasthof Edelweiss, St. Magdalena 77 - WH Bar",FUNES/VILLNÖSS,<0.02,,<1,189,,27/03/2018,15,,<0.05,2,<0.01,7.9,,4
"Albergo Edelweiss, S. Maddalena 77 / Gasthof Edelweiss, St. Magdalena 77; WH Bar",FUNES/VILLNÖSS,<0.02,,<1,197,,07/09/2018,11,,<0.05,2,<0.01,8.0,,3
"Fa. Hewoline, Schmelze 4/Fa. Hewoline, Schmelze 4, WH Garage",FUNES/VILLNÖSS,<0.02,<1,<1,203,<1,24/09/2018,12,<10,<0.05,2,<0.01,8.2,<1,4
Font. pubbl. sede del circolo Tiso/Öff. Brunnen Vereinshaus Teis,FUNES/VILLNÖSS,<0.02,,<1,206,,27/11/2018,10,,<0.05,2,<0.01,8.3,,3
Fontana S. Pietro / Dorfbrunnen St. Peter,FUNES/VILLNÖSS,<0.02,<1,<1,193,<1,24/09/2018,12,<10,<0.05,2,<0.01,8.0,<1,4
Privato/Privat,FUNES/VILLNÖSS,<0.02,<1,<1,199,<1,24/09/2018,12,<10,<0.05,2,<0.01,8.2,<1,4
"Scuola elementare S. Pietro, S. Pietro 140 / Grundschule St. Peter, St. Peter 140; WH WC",FUNES/VILLNÖSS,<0.02,,<1,206,,27/11/2018,6,,0.43,<1,<0.01,8.2,,18
"Scuola elementare S. Pietro, S. Pietro 140 / Grundschule St. Peter, St. Peter 140; WH WC Vereinslokale",FUNES/VILLNÖSS,<0.02,,<1,199,,07/09/2018,11,,<0.05,2,<0.01,8.1,,3
"Scuola materna S. Maddalena/Kindergarten St. Magdalen, St. Magdalena 114; WH Küche",FUNES/VILLNÖSS,<0.02,<1,<1,197,<1,24/09/2018,12,<10,<0.05,2,<0.01,8.2,<1,4
"Scuola materna S. Maddalena/Kindergarten St. Magdalena, WH Küche",FUNES/VILLNÖSS,<0.02,,<1,208,,27/11/2018,10,,<0.05,2,<0.01,8.2,,3
Scuola materna S. Maddalena/Kindergarten St. Magdalena; WH Küche,FUNES/VILLNÖSS,<0.02,,<1,199,,05/07/2018,12,,<0.05,2,<0.01,8.0,,4
Albergo Huber / Gasthaus Huber,GAIS/GAIS,<0.02,,<1,44,,24/10/2018,2,,0.17,<1,<0.01,7.2,,8
Fontana Brunner / Brunner Brunnen,GAIS/GAIS,<0.02,,24,178,,17/04/2018,8,,0.36,3,<0.01,8.1,,13
Fontana chiesa / Brunnen Kirche,GAIS/GAIS,<0.02,,1,151,,24/09/2018,7,,0.07,1,<0.01,7.5,,33
Fontana municipio / Brunnen Rathaus,GAIS/GAIS,<0.02,,5,100,,24/09/2018,4,,0.3,1,<0.01,8.3,,14
Miraval / Miraval,GAIS/GAIS,<0.02,,<1,54,,24/10/2018,2,,0.28,<1,<0.01,7.2,,3
WC - municipio / WC - Gemeinde,GARGAZZONE/GARGAZON,<0.02,,9,330,,28/02/2018,16,,0.15,11,<0.01,7.4,,35
f.p. centro / Öffentlicher Brunnen Zentrum,GARGAZZONE/GARGAZON,<0.02,<1,9,332,<1,19/06/2018,16,<10,0.15,11,<0.01,7.4,15,34
f.p. centro / Öffentlicher Brunnen Zentrum,GLORENZA/GLURNS,<0.02,,<1,114,,08/06/2018,5,,0.41,<1,<0.01,7.2,,19
f.p. vicino la chiesa e ristorante Stambecco / Öffentlicher Brunnen neben Kirche u. Gh. Steinbock,GLORENZA/GLURNS,<0.02,,<1,129,,26/11/2018,7,,0.38,<1,<0.01,7.8,,25
Municipio / Rathaus,LA VALLE/WENGEN,<0.02,,<1,178,,23/10/2018,9,,<0.05,2,<0.01,8.0,,2
Coldrano: f.p. incrocio via Castello - via Tschanderle / Goldrain: Öffentlicher Brunnen Kreuzung Schlossstr. - Tschanderleweg,LACES/LATSCH,<0.02,<1,<1,193,<1,03/12/2018,10,<10,0.05,1,<0.01,6.7,1,62
Privato/Privat,LACES/LATSCH,<0.02,<1,<1,176,<1,21/11/2018,8,43,0.05,1,<0.01,7.6,1,60
f.p. Coldrano - piazzetta / Öffentlicher Brunnen Goldrain - Platzl,LACES/LATSCH,<0.02,<1,<1,154,<1,26/06/2018,8,<10,0.08,1,<0.01,8.4,1,47
"f.p. Tarres / Öffentlicher Brunnen, Tarsch",LACES/LATSCH,<0.02,<1,<1,169,<1,27/02/2018,9,29,0.1,2,<0.01,7.3,3,34
f.p. Tiss / Öffentlicher Brunnen Tiss,LACES/LATSCH,<0.02,,1,175,,09/11/2018,8,,0.23,4,<0.01,8.5,,32
f.p. pista ciclabile / Öff. Brunnen bei Radweg,LACES/LATSCH,<0.02,,<1,183,,05/03/2018,10,,0.1,1,<0.01,8.3,,61
"f.p. via Schuler / Öffentlicher Brunnen, Schulerstrasse",LACES/LATSCH,<0.02,,<1,96,,27/08/2018,4,,0.13,2,<0.01,7.7,,19
fontana pubblica zona industriale Pedross / Öffentlicher Brunnen Industriezone Pedross,LACES/LATSCH,<0.02,,<1,101,,28/05/2018,7,,0.11,2,<0.01,8.4,,17
ristorante stazione a monte a San Martino / Restaurant Bergstation in St. Martin,LACES/LATSCH,<0.02,2,<1,147,,07/02/2018,7,,0.83,2,<0.01,7.9,,41
Ö.B. neben Kirche,LACES/LATSCH,<0.02,1,<1,122,<1,27/02/2018,6,<10,0.07,1,<0.01,7.3,2,25
"Albergo ""Maratscher, Plars di Mezzo / Gasthaus Maratscher, Mitterplars",LAGUNDO /ALGUND,<0.02,2,4,289,<1,12/06/2018,14,<10,0.24,7,<0.01,8.0,7,52
"GH Gruber, Vellau",LAGUNDO /ALGUND,<0.02,<1,<1,82,<1,07/09/2018,4,<10,0.08,2,<0.01,7.7,2,14
