alias_address,alias_city,ammoniaca,arsenico,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,nitrato,nitrito,ph,sodio,solfato
Brunnen Scolina  /  Brunnen Scolina,BADIA/ABTEI,<0.02,,<1,155,,09/11/2018,8,,<0.05,2,<0.01,8.1,,4
Brunnen museum ladin,BADIA/ABTEI,<0.02,,<1,180,,28/05/2018,10,,0.07,2,<0.01,7.9,,5
Caserma VF / FF Halle,BADIA/ABTEI,<0.02,,<1,178,,17/09/2018,9,,0.06,2,<0.01,8.0,,4
Fontana Municipio / Brunnen Rathaus,BADIA/ABTEI,<0.02,,<1,222,,09/11/2018,11,,<0.05,2,<0.01,7.8,,6
Friedhof,BADIA/ABTEI,<0.02,<1,<1,200,<1,06/11/2018,11,<10,<0.05,2,<0.01,8.0,<1,7
Hotel Cristallo / Hotel Cristallo,BADIA/ABTEI,<0.02,,<1,198,,04/04/2018,15,,0.08,2,<0.01,8.1,,13
Hotel Diamant / Hotel Diamant,BADIA/ABTEI,<0.02,<1,<1,175,<1,12/12/2018,8,<10,<0.05,2,<0.01,8.1,<1,4
Municipio / Rathaus,BADIA/ABTEI,<0.02,,<1,227,,04/04/2018,17,,0.05,2,<0.01,8.0,,8
Privato/Privat,BADIA/ABTEI,<0.02,,<1,301,,28/05/2018,19,,0.16,2,<0.01,7.9,,16
"Albergo Kalter Keller, Via Brennero 10 / Gasthof Kalter Keller, Brennerstr. 10",BARBIANO/BARBIAN,<0.02,1,<1,50,<1,05/03/2018,3,18,<0.05,2,<0.01,8.1,2,<2
"Colma, Albergo Stern, Via Kunter 1 / Kollmann, Gasthof Stern, Am Kuntersweg 1; WH Bar",BARBIANO/BARBIAN,<0.02,1,<1,45,<1,05/03/2018,2,17,<0.05,<1,<0.01,8.3,2,<2
Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  /  Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  - WH WC,BARBIANO/BARBIAN,<0.02,1,<1,57,<1,05/03/2018,3,26,<0.05,2,<0.01,8.0,2,2
"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4",BARBIANO/BARBIAN,<0.02,1,<1,44,<1,05/03/2018,2,19,<0.05,2,<0.01,8.2,2,<2
"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4 - WH WC Tischlerei",BARBIANO/BARBIAN,<0.02,,<1,67,,09/05/2018,3,,0.08,3,<0.01,8.3,,2
"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4; WH WC",BARBIANO/BARBIAN,<0.02,,<1,77,,19/03/2018,6,,0.07,2,<0.01,7.6,,2
"Falegnameria Erlacher, via Brennero 4 / Tischlerei Erlacher, Brennerstr. 4; WH WC Werkstatt",BARBIANO/BARBIAN,<0.02,,<1,77,,16/10/2018,3,,0.1,2,<0.01,8.2,,2
"Scuola dell'infanzia Colma, S. Leonardo 26 / Kindergarten Kollmann, St. Leonhard 26 - WH WC",BARBIANO/BARBIAN,<0.02,,<1,77,,19/03/2018,6,,0.07,2,<0.01,8.1,,2
"Scuola dell'infanzia Colma, S. Leonardo 26 / Kindergarten Kollmann, St. Leonhard 26; WH WC",BARBIANO/BARBIAN,<0.02,,<1,68,,09/05/2018,3,,0.07,3,<0.01,8.3,,2
Albergo  Klaus  / Gasthaus Klaus,BOLZANO/BOZEN,<0.02,<1,2,151,<1,13/09/2018,7,41,0.57,4,<0.01,7.2,5,6
Asilo nido Arcobaleno / Kindergarten Arcobaleno,BOLZANO/BOZEN,<0.02,,7,264,,29/01/2018,15,,0.14,7,<0.01,7.9,,22
Cimitero / Friedhof,BOLZANO/BOZEN,<0.02,,7,303,,15/10/2018,16,,0.16,6,<0.01,8.0,,33
Convitto Damiano Chiesa  /  Convitto Damiano Chiesa,BOLZANO/BOZEN,<0.02,,9,275,,26/02/2018,15,,0.17,8,<0.01,7.8,,25
Distretto socio - sanitario val d'Ega - Cardano / Gesundheitssprengel  Eggental Schlern - Kardaun,BOLZANO/BOZEN,<0.02,,22,372,,27/02/2018,19,,0.2,7,<0.01,7.9,,40
Distretto socio-sanitario Oltrisarco / Gesundheitssprengel Oberau,BOLZANO/BOZEN,<0.02,,10,299,,27/02/2018,16,,0.34,7,<0.01,8.0,,29
Font. pubb. parco giochi via Ortles (Casanova) / öff. Brunnen Spielplatz Ortlesstr. (Casanova),BOLZANO/BOZEN,<0.02,,9,303,,17/10/2018,15,,0.26,7,<0.01,7.9,,31
Fontana Pubblica angolo via Cassa di Risparmio/via Vanga / öff. Brunnen Sparkassestr./Wangerstrasse,BOLZANO/BOZEN,<0.02,,9,326,,11/12/2018,16,,0.2,8,<0.01,7.7,,25
Fontana funivia / Brunnen Seilbahn,BOLZANO/BOZEN,<0.02,<1,3,132,<1,19/04/2018,7,208,0.44,5,<0.01,7.6,6,6
Fontana pubblica Parco Petrarca / öff. Brunnen Petrarcapark,BOLZANO/BOZEN,<0.02,,9,290,,28/05/2018,18,,0.2,8,<0.01,7.6,,26
Fontana pubblica chiesa don Bosco / Don Bosco Pfarrkirche Öff. Brunnen,BOLZANO/BOZEN,<0.02,,10,297,,11/12/2018,16,,0.17,8,<0.01,7.9,,24
"Fontana pubblica incrocio via Milano/via Gutenberg / Öffentl. Brunnen Park, Gutenberg/Mailandstr.",BOLZANO/BOZEN,<0.02,,12,327,,28/05/2018,19,,<0.05,14,<0.01,7.7,,27
Fontana pubblica parco Mignone  /  Fontana pubblica parco Mignone,BOLZANO/BOZEN,<0.02,,10,303,,10/08/2018,15,,0.38,7,<0.01,7.9,,28
Fontana pubblica parco ducale / Öff. Brunnen Herzogspark,BOLZANO/BOZEN,<0.02,,8,252,,17/10/2018,13,,0.21,8,<0.01,7.6,,21
Fontana pubblica parco giochi Piani / öff. Brunnen Spielplatz Bozner-Boden,BOLZANO/BOZEN,<0.02,,<1,351,,17/10/2018,12,,<0.05,2,<0.01,7.8,,28
Fontana pubblica parco giochi lungo Isarco via Parma / öff. Brunnen Spielplatz Eisackufer Parmastr.,BOLZANO/BOZEN,<0.02,,7,283,,07/04/2018,15,,0.15,6,<0.01,8.0,,23
"Fontana pubblica parco giochi via Genova / Öffentl. Brunnen Spielplatz, Genuastr.",BOLZANO/BOZEN,<0.02,,8,287,,15/10/2018,16,,0.18,6,<0.01,8.0,,24
Fontana pubblica parco giochi via Mozart  (Firmian) / öff. Brunnen Spielplatz Mozartstr.(Firmian),BOLZANO/BOZEN,<0.02,,17,306,,20/08/2018,18,,0.21,5,<0.01,8.0,,34
"Fontana pubblica parco giochi via della Vigna / Weingartenpark, öff. Brunnen",BOLZANO/BOZEN,<0.02,,12,320,,23/08/2018,17,,<0.05,13,<0.01,7.7,,26
Fontana pubblica piazza Mazzini / Mazzinipark - öff. Brunnen,BOLZANO/BOZEN,<0.02,,8,268,,11/12/2018,15,,0.2,7,<0.01,7.9,,22
Fontana pubblica via Claudia Augusta / off. Brunnen Claudia Augustastrasse,BOLZANO/BOZEN,<0.02,,10,303,,20/08/2018,16,,0.33,7,<0.01,8.0,,28
Ospedale - mensa WC / Krankenhaus - Mensa WC,BOLZANO/BOZEN,<0.02,,12,433,,27/11/2018,22,,0.16,11,<0.01,7.9,,49
Premstallerhof / Premstallerhof,BOLZANO/BOZEN,<0.02,4,23,369,<1,06/04/2018,19,<10,0.15,7,<0.01,7.8,14,37
Privato/Privat,BOLZANO/BOZEN,<0.02,,8,264,,24/01/2018,15,,0.17,8,<0.01,7.9,,25
Scuola Materna O.N.M.I. / Kindergarten O.N.M.I.,BOLZANO/BOZEN,<0.02,,8,250,,29/01/2018,14,,0.12,9,<0.01,7.9,,20
Scuola Tambosi  /  Schule Tambosi,BOLZANO/BOZEN,<0.02,,10,298,,12/05/2018,15,,0.32,7,<0.01,7.9,,28
"Scuola elementare ""A. Rosmini"" / Grundschule ""A. Rosmini""",BOLZANO/BOZEN,<0.02,,7,243,,29/01/2018,13,,0.18,8,<0.01,7.8,,21
"Scuola elementare ""M. L. King"" / Grundschule ""M.L.King""",BOLZANO/BOZEN,<0.02,,7,276,,27/02/2018,16,,0.14,6,<0.01,8.1,,23
"Scuola elementare ""Stolz""/Grundschule ""Stolz""",BOLZANO/BOZEN,<0.02,,10,299,,12/10/2018,15,,0.32,7,<0.01,7.9,,27
Scuola elementare Dante Alighieri / Grundschule Dante Alighieri,BOLZANO/BOZEN,<0.02,,10,292,,31/01/2018,16,,0.15,11,<0.01,7.7,,25
Scuola elementare Firmian / Grundschule Firmian,BOLZANO/BOZEN,<0.02,,14,336,,26/02/2018,18,,0.09,16,<0.01,7.9,,28
Scuola materna Mariaheim / Kindergarten Mariaheim,BOLZANO/BOZEN,<0.02,,9,267,,02/07/2018,15,,0.15,10,<0.01,7.9,,22
Scuola media Leonardo da Vinci / Mittelschule Leonardo da Vinci,BOLZANO/BOZEN,<0.02,,14,305,,26/02/2018,17,,0.15,10,<0.01,7.8,,29
"Scuola professionale tedesca ""Max Valier"" via Druso / Gewerbeoberschule ""Max Valier"", Drusustrasse",BOLZANO/BOZEN,<0.02,,13,339,,31/01/2018,18,,0.11,16,<0.01,7.8,,28
"Scuole Medie Archimede / Mittelschule ""Archimede""",BOLZANO/BOZEN,<0.02,,9,277,,31/01/2018,15,,0.16,11,<0.01,7.8,,24
Servizio riabilitazione / Rehabilitationsdienst,BOLZANO/BOZEN,<0.02,,10,278,,02/07/2018,15,,0.16,9,<0.01,7.8,,24
Stabilimento Milkon / Lebensmittelindustrie Milkon,BOLZANO/BOZEN,<0.02,,21,358,,28/02/2018,7,,0.16,7,<0.01,7.8,,40
fontana pubblica Rencio  / öffentl. Brunnen Rentscher,BOLZANO/BOZEN,<0.02,,24,379,,19/04/2018,21,,<0.05,8,<0.01,7.7,,41
Alpe Pragas / Alpe Pragas,BRAIES/PRAGS,<0.02,,2,297,,29/01/2018,19,,<0.05,2,<0.01,7.8,,41
Fontana Ferrara / Brunnen Schmieden,BRAIES/PRAGS,<0.02,,3,324,,25/09/2018,19,,0.08,2,<0.01,7.8,,40
Privato/Privat,BRAIES/PRAGS,<0.02,,<1,267,,25/09/2018,16,,0.06,2,<0.01,7.9,,20
Albergo Bergkristall / Hotel Bergkristall,BRENNERO/BRENNER,<0.02,<1,<1,200,<1,10/03/2018,10,<10,0.05,2,<0.01,7.9,<1,11
"Fontana pubblica Via Argentieri, Colle Isarco / Öffentlicher Brunnen Silbergasse, Gossensass",BRENNERO/BRENNER,<0.02,<1,<1,239,<1,23/04/2018,15,<10,<0.05,4,<0.01,7.9,1,3
Fontana pubblica cimitero / Öff. Brunnen Friedhof,BRENNERO/BRENNER,<0.02,1,<1,178,<1,10/02/2018,9,<10,0.28,2,<0.01,8.1,<1,3
Outlet Center Brennero / Outlet Center Brenner,BRENNERO/BRENNER,<0.02,<1,<1,186,<1,13/11/2018,9,<10,<0.05,2,<0.01,8.1,<1,9
Privato/Privat,BRENNERO/BRENNER,<0.02,<1,<1,231,<1,10/02/2018,12,<10,<0.05,2,<0.01,8.0,<1,31
"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24",BRESSANONE/BRIXEN,<0.02,,3,124,,14/03/2018,8,,0.08,4,<0.01,8.1,,13
"ASM Bressanone Spa, Via Alfred Ammon 24 / Stadtwerke Brixen AG, Alfred-Ammon-Str. 24; WH WC",BRESSANONE/BRIXEN,<0.02,<1,<1,77,<1,07/04/2018,4,14,0.06,2,<0.01,8.0,1,10
"Albergo Plansoler, S. Leonardo 96 / Gasthof Plansoler, St. Leonhard 96; WH Bar",BRESSANONE/BRIXEN,<0.02,<1,<1,59,<1,06/11/2018,3,22,0.08,3,<0.01,7.6,2,10
"Bergrestaurant Plose, Valcroce/Bergrestaurant Plose, Kreuztal",BRESSANONE/BRIXEN,<0.02,<1,<1,39,<1,18/06/2018,2,<10,<0.05,2,<0.01,7.6,2,4
Fontana pubbl. Sarns / Öffentl. Brunnen Sarns,BRESSANONE/BRIXEN,<0.02,<1,<1,83,<1,16/10/2018,4,<10,0.1,2,<0.01,8.3,2,7
Fontana pubblica Cornale di Sopra / Öff. Brunnen Oberkarnol,BRESSANONE/BRIXEN,<0.02,<1,7,147,<1,06/11/2018,7,<10,<0.05,15,<0.01,7.1,5,16
"Fontana pubblica Schmiedplatz, Varna / Öffentlicher Brunnen Schmiedplatz, Vahrn",BRESSANONE/BRIXEN,<0.02,,<1,70,,09/06/2018,3,,0.06,2,<0.01,8.2,,9
Fontana pubblica Via Prà Millan / Öffentlicher Brunnen Millanderau,BRESSANONE/BRIXEN,<0.02,,<1,82,,09/05/2018,4,,0.08,2,<0.01,7.7,,6
Fontana pubblica Völkl / Öffentlicher Brunnen Völkl,BRESSANONE/BRIXEN,<0.02,<1,<1,125,<1,31/05/2018,3,<10,0.05,2,<0.01,7.7,<1,9
Gabinetto pubblico scuola / Öff. WC Schulgebäude,BRESSANONE/BRIXEN,<0.02,,10,264,,09/05/2018,14,,0.25,8,<0.01,7.6,,42
Gabinetto pubblico scuola / Öff. WC Schulgebäude; WH WC,BRESSANONE/BRIXEN,<0.02,5,7,225,<1,21/11/2018,11,15,0.24,7,<0.01,7.6,6,37
