alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. - SCANDOLARA R.O. - VIA UMBERTO I,Scandolara Ripa d'Oglio,<0.1,6,311,86,8,530, 15/11/2019,26,9,<0.05,11.2,<5,5,<0.05,7.9,0.96,328,18,<1
F.P. - BINENGO,Sergnano,<0.1,1,235,76,20,528, 15/11/2019,27,11,<0.05,20.5,<5,15,<0.05,7.6,0.74,327,4,32
F.P. - CASANOVA M. - V. MIGLIOLI,Sesto Cremonese,<0.1,5,301,84,4,508, 15/11/2019,26,76,0.09,13.7,<5,2,<0.05,7.9,1.11,315,11,<1
F.P. - CORTETANO - V. TRIPOLI,Sesto Cremonese,<0.1,5,317,85,4,510, 15/11/2019,26,60,0.07,13.3,<5,2,<0.05,7.9,1.10,316,11,<1
F.P. - LUIGNANO - VIA CIBOLDI,Sesto Cremonese,<0.1,5,300,84,4,509, 15/11/2019,26,66,0.08,13.5,<5,2,<0.05,7.9,1.11,316,11,<1
F.P. - SESTO - P.ZA GARIBALDI,Sesto Cremonese,<0.1,9,298,84,4,509, 15/11/2019,26,537,0.09,13.6,15,2,<0.05,7.8,1.15,316,11,<1
F.P. - RIPARI - GIUSEPPINA,Solarolo Rainerio,<0.1,2,310,67,8,513, 15/11/2019,24,<5,0.06,17.9,<5,5,<0.05,7.9,0.97,318,25,<1
F.P. - S. LORENZO AROLDO - P.ZZA CAMILLA,Solarolo Rainerio,<0.1,2,311,67,9,516, 15/11/2019,24,<5,0.06,18.0,<5,5,<0.05,7.9,0.98,320,25,<1
F.P - ISENGO - VIA NUOVA,Soncino,<0.1,1,229,67,2,415, 15/11/2019,21,19,0.09,11.4,17,<1,<0.05,7.8,1.15,257,6,18
F.P. - BASTIONI ANTICA ROCCA,Soncino,<0.1,1,342,126,16,727, 15/11/2019,37,<5,0.06,14.2,<5,44,<0.05,7.4,1.41,451,8,46
F.P. - GALLIGNANO - VIA AMBROGIO BENZONI,Soncino,<0.1,<1,250,95,10,568, 15/11/2019,29,<5,0.08,14.1,<5,35,<0.05,7.8,0.96,352,3,38
F.P. - VIA I MAGGIO - ZONA INDUSTRIALE,Soncino,<0.1,1,288,102,11,595, 15/11/2019,30,<5,0.08,12.4,<5,28,<0.05,7.6,1.31,369,7,36
F.P. - VILLACAMPAGNA - VIA MAGGIORE,Soncino,<0.1,1,225,72,4,434, 15/11/2019,22,<5,0.08,10.3,<5,9,<0.05,7.7,1.12,269,5,25
F.P - GIARDINI,Soresina,<0.1,3,322,91,6,566, 15/11/2019,29,<5,0.07,16.6,<5,5,<0.05,7.9,1.47,350,10,16
F.P - MOSCONA,Soresina,<0.1,7,317,97,9,584, 15/11/2019,30,12,0.06,14.0,<5,13,<0.05,7.8,1.31,362,9,15
F.P - OLZANO,Soresina,3.17,3,335,97,8,624, 15/11/2019,30,<5,0.07,15.3,<5,6,<0.05,7.9,1.59,387,8,19
F.P. - LONGARDORE - V. EMANUELE,Sospiro,<0.1,5,293,76,8,504, 15/11/2019,24,155,0.07,12.6,<5,6,<0.05,7.9,1.03,312,19,<1
F.P. - S. SALVATORE - ROMA,Sospiro,<0.1,4,294,76,8,502, 15/11/2019,24,<5,0.07,12.7,<5,6,<0.05,8.0,1.01,311,20,<1
F.P. - SPINADESCO - V. XXV APRILE,Spinadesco,<0.1,5,297,84,4,509, 15/11/2019,26,72,0.08,13.5,<5,2,<0.05,7.9,1.10,315,11,<1
F.P. - SPINEDA - P.ZZA FELLINI,Spineda,<0.1,5,303,76,4,504, 15/11/2019,26,116,0.06,17.8,<5,6,<0.05,7.9,1.07,312,20,<1
F.P. - ARTIGIANI,Spino d'Adda,<0.1,3,285,59,1,436, 15/11/2019,22,7,0.06,18.4,<5,<1,<0.05,7.8,1.71,270,9,2
F.P. - DELLE INDUSTRIE,Spino d'Adda,<0.1,3,270,58,1,436, 15/11/2019,22,<5,0.06,18.3,<5,<1,<0.05,7.8,1.71,270,9,2
F.P. - BRANCERE - CIMITERO,Stagno Lombardo,<0.1,4,261,61,141,900, 15/11/2019,23,66,0.06,20.8,<5,6,<0.05,7.7,1.29,558,92,<1
F.P. - PAGLIARI,Stagno Lombardo,<0.1,9,282,63,141,900, 15/11/2019,24,191,0.08,21.7,10,6,<0.05,7.7,1.35,558,88,<1
F.P. - TICENGO - V. EUROPA,Ticengo,<0.1,2,262,67,1,430, 15/11/2019,22,<5,0.08,13.3,<5,<1,<0.05,7.9,1.21,267,9,10
F.P. - FRAZ. AZZANO VIA CHIESA - TORLINO VIMERCATI,Torlino Vimarcati,<0.1,1,240,67,2,456, 15/11/2019,24,<5,0.06,19.1,<5,1,<0.05,7.8,2.31,283,4,31
F.P. - PIAZZA ROMA - TORLINO VIMERCATI,Torlino Vimarcati,<0.1,2,241,67,2,456, 15/11/2019,24,<5,0.06,19.0,<5,1,<0.05,7.8,2.39,282,4,31
F.P. - ROMA,Tornata,<0.1,4,286,69,2,485, 15/11/2019,23,12,0.05,15.0,5,6,<0.05,7.9,0.87,301,17,5
F.P. - ROMPREZZAGNO - VIA SOLFERINO,Tornata,0.15,6,295,71,2,486, 15/11/2019,24,19,0.05,15.2,5,6,<0.05,7.9,0.89,301,18,5
F.P. - S. LORENZO PICENARDI - Via Martini,Torre de' Picenardi,<0.1,3,292,72,6,495, 15/11/2019,24,20,<0.05,15.4,<5,5,<0.05,7.8,0.72,307,16,<1
F.P. - TORRE PICENARDI - CAMPO VECCHIO,Torre de' Picenardi,<0.1,3,289,73,6,494, 15/11/2019,24,5,<0.05,15.4,<5,5,<0.05,7.8,0.72,306,16,<1
F.P. - GUIDO ROSSA,Torricella del Pizzo,<0.1,3,391,114,17,726, 15/11/2019,38,10,0.05,23.0,<5,7,<0.05,8.0,1.06,450,20,26
F.P. - TRESCORE - VIA MULINO,Trescore Cremasco,<0.1,2,261,61,6,469, 15/11/2019,23,<5,0.06,19.6,<5,<1,<0.05,8.0,1.41,290,13,11
F.P. - TRIGOLO - P.ZA EUROPA,Trigolo,<0.1,1,342,90,2,556, 15/11/2019,30,<5,0.06,19.5,<5,1,<0.05,7.8,1.27,345,5,11
F.P. - VAIANO - LIBERAZIONE,Vaiano Cremasco,<0.1,3,241,60,1,427, 15/11/2019,22,<5,0.06,17.2,<5,<1,<0.05,8.1,1.93,265,7,14
F.P. - VERDI,Vailate,<0.1,1,255,71,6,501, 15/11/2019,26,<5,0.06,21.5,<5,11,<0.05,7.7,1.02,311,3,29
F.P. - VIA ROMA,Vailate,<0.1,1,258,71,7,502, 15/11/2019,26,5,0.06,21.3,<5,11,<0.05,7.7,1.00,311,3,29
F.P. - VESCOVATO - MONTANARA,Vescovato,<0.1,4,321,85,1,521, 15/11/2019,26,<5,0.05,13.7,<5,5,<0.05,7.9,0.86,323,14,6
F.P. - VESCOVATO - ROMA,Vescovato,<0.1,4,318,85,1,521, 15/11/2019,26,<5,<0.05,13.6,<5,5,<0.05,7.9,0.89,323,14,6
F.P. - VOLONGO - CHIESA - Via AGAZZI,Volongo,<0.1,4,298,75,5,498, 15/11/2019,25,11,0.05,17.3,<5,3,<0.05,7.9,0.82,309,13,<1
F.P. - VOLTIDO - Via delle Libertá,Voltido,<0.1,2,301,67,8,516, 15/11/2019,24,<5,0.06,18.0,<5,5,<0.05,7.9,1.00,320,25,<1
