alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P.- PIAZZA LIBERTA,Cremona,<0.1,5,279,70,17,512, 15/11/2019,23,8,0.06,14.4,<5,4,<0.05,8.0,1.02,317,22,<1
F.P.- PIAZZA PACE,Cremona,<0.1,5,277,69,19,515, 15/11/2019,23,8,0.06,14.4,<5,4,<0.05,8.0,1.05,319,23,<1
F.P.- PIAZZA S.ANNA,Cremona,<0.1,5,286,71,17,515, 15/11/2019,23,7,0.05,14.1,<5,4,<0.05,7.9,1.09,319,22,<1
F.P.- PICENENGO,Cremona,<0.1,4,264,56,17,485, 15/11/2019,19,13,0.07,13.3,<5,4,<0.05,8.0,1.15,301,32,<1
F.P.- S.FELICE,Cremona,<0.1,4,279,72,19,517, 15/11/2019,24,12,0.06,14.6,<5,4,<0.05,8.0,1.12,320,23,<1
F.P.- S.SAVINO,Cremona,<0.1,5,277,69,19,518, 15/11/2019,23,8,0.06,14.0,<5,4,<0.05,8.0,1.07,321,24,<1
F.P.- STAZIONE FF.SS.,Cremona,<0.1,5,266,58,17,484, 15/11/2019,20,11,0.06,13.8,<5,4,<0.05,8.0,1.15,300,32,<1
F.P.- VIA BERENZI,Cremona,<0.1,3,275,71,32,555, 15/11/2019,23,9,0.07,14.7,<5,4,<0.05,8.1,1.18,344,27,<1
F.P.- VIA BRESCIA,Cremona,<0.1,5,262,56,18,487, 15/11/2019,19,13,0.07,13.7,<5,4,<0.05,8.0,1.12,302,32,<1
F.P.- VIA GIUSEPPINA,Cremona,<0.1,5,286,71,22,529, 15/11/2019,23,10,0.06,14.5,<5,4,<0.05,8.0,1.08,328,24,<1
F.P.- VIA NUVOLONE,Cremona,<0.1,5,259,56,18,488, 15/11/2019,19,13,0.06,13.7,<5,4,<0.05,8.0,1.13,303,31,<1
F.P.- VIA S.ROCCO,Cremona,<0.1,4,278,71,23,528, 15/11/2019,23,7,0.05,14.3,<5,4,<0.05,8.1,1.12,327,24,<1
F.P.- VIA TREBBIA,Cremona,<0.1,5,268,58,17,487, 15/11/2019,20,11,0.06,13.5,<5,4,<0.05,8.0,1.12,302,31,<1
F.P.- VIA VOSGI,Cremona,<0.1,3,279,71,23,527, 15/11/2019,23,6,0.06,14.4,<5,4,<0.05,8.1,1.11,327,23,<1
F.P. - CREMOSANO - ( ZONA  ARTIGIANALE CREMA),Cremosano,<0.1,2,268,64,1,437, 15/11/2019,24,<5,0.05,19.4,<5,<1,<0.05,7.8,1.49,271,6,16
F.P. - CREMOSANO - VIA DELLA BASSA,Cremosano,<0.1,2,258,64,4,462, 15/11/2019,23,11,0.05,19.1,<5,<1,<0.05,7.8,1.65,287,8,22
F.P. - CROTTA D'ADDA - MARCONI,Crotta d'Adda,<0.1,5,288,81,3,481, 15/11/2019,25,8,0.06,13.2,<5,2,<0.05,7.7,1.06,298,10,<1
F.P. - Cumignano - V.TICENGO,Cumignano S/N,<0.1,2,263,67,1,429, 15/11/2019,22,<5,0.08,13.3,<5,<1,<0.05,7.8,1.21,266,9,10
F.P. - DEROVERE - P.ZA S. GIORGIO,Derovere,<0.1,1,293,66,9,496, 15/11/2019,22,6,0.05,14.2,<5,6,<0.05,7.7,1.74,307,25,<1
F.P. - POSTINO - V.VITT. EMANUELE,Dovera,<0.1,1,221,54,1,394, 15/11/2019,20,<5,0.07,15.6,<5,<1,<0.05,8.0,1.76,244,8,11
F.P. - RONCADELLO - Via della Chiesa,Dovera,<0.1,2,217,55,1,394, 15/11/2019,20,<5,0.07,15.7,<5,<1,<0.05,8.0,1.71,244,7,11
F.P. - DRIZZONA - V.TRENTO TRIESTE,Drizzona,<0.1,3,284,72,7,498, 15/11/2019,24,<5,<0.05,15.6,<5,5,<0.05,7.8,0.89,308,17,<1
F.P. - PIAZZA MAGGIORE,Fiesco,<0.1,1,349,90,1,554, 15/11/2019,30,7,0.06,19.2,<5,<1,<0.05,7.8,1.25,344,5,11
F.P. - CORNALETO - VIA A.DIAZ,Formigara,<0.1,5,290,82,3,503, 15/11/2019,26,17,0.07,14.2,<5,1,<0.05,7.8,1.36,312,8,6
F.P. - BINANUOVA - P.ZZA GARIBALDI,Gabbioneta Binanuova,<0.1,6,311,85,8,531, 15/11/2019,26,<5,<0.05,11.2,<5,5,<0.05,7.9,0.93,329,18,<1
F.P. - GABBIONETA - Via del PATRIOTA,Gabbioneta Binanuova,<0.1,3,299,74,5,501, 15/11/2019,25,<5,0.05,17.4,<5,3,<0.05,7.8,0.83,310,13,<1
F.P. - CA' DE' QUINZANI - PASUBIO,Gadesco Pieve Delmona,<0.1,8,301,78,6,486, 15/11/2019,24,44,<0.05,11.6,<5,4,<0.05,7.8,0.97,301,16,<1
F.P. - PIEVE DELMONA - P.ZA CHIESA,Gadesco Pieve Delmona,<0.1,9,293,78,6,488, 15/11/2019,24,358,<0.05,11.5,<5,3,<0.05,7.9,0.98,302,16,<1
F.P. - VIA BERLINGUER,Gadesco Pieve Delmona,<0.1,9,298,78,6,486, 15/11/2019,24,42,<0.05,11.6,<5,4,<0.05,7.9,0.97,301,16,<1
F.P. - ORTAGLIA,Genivolta,<0.1,2,252,61,1,413, 15/11/2019,20,<5,0.08,12.3,<5,1,<0.05,8.1,1.02,256,13,4
"F.P. - NOLLI (Via Nolli, 2 Gerre de' Caprioli)",Gerre de' Caprioli,<0.1,4,270,69,18,509, 15/11/2019,23,9,0.06,13.9,<5,4,<0.05,8.2,1.12,315,22,<1
F.P. - MARCONI,Gombito,<0.1,5,276,64,1,446, 15/11/2019,23,8,0.06,17.2,<5,2,<0.05,8.1,1.02,276,11,2
F.P. - LEVATA GR. - SCUOLE - V. Giovanni XXIII,Grontardo,<0.1,6,317,85,8,530, 15/11/2019,26,5,<0.05,11.2,<5,5,<0.05,7.8,0.91,328,18,<1
F.P. - MUNICIPIO - P.ZZA ROMA,Grontardo,<0.1,5,318,86,8,529, 15/11/2019,26,<5,<0.05,11.3,<5,5,<0.05,7.9,0.91,328,18,<1
F.P. - CADUTI DELLA PATRIA,Grumello Cremonese,<0.1,6,290,81,3,486, 15/11/2019,25,34,0.06,13.3,<5,2,<0.05,7.8,1.05,301,10,<1
F.P. - ZANENGO - P.ZA S. MATERNO,Grumello Cremonese,<0.1,5,298,80,3,483, 15/11/2019,25,5,0.07,13.2,<5,2,<0.05,7.7,1.02,299,10,<1
F.P. - C/O USCITA IMPIANTO,Gussola,<0.1,2,319,66,10,535, 15/11/2019,27,5,0.06,26.6,<5,3,<0.05,8.1,1.40,331,17,<1
F.P. - CIMITERO,Gussola,<0.1,2,318,66,10,535, 15/11/2019,27,6,0.07,26.6,<5,3,<0.05,8.0,1.42,332,17,<1
F.P. - XIII MARTIRI - V.ROMA,Gussola,<0.1,2,321,66,10,537, 15/11/2019,27,<5,0.08,26.6,<5,3,<0.05,8.1,1.42,333,17,<1
F.P. - Isola - P. MATTEOTTI,Isola dovarese,<0.1,3,298,72,5,492, 15/11/2019,24,6,<0.05,15.3,<5,5,<0.05,7.7,0.72,305,16,<1
F.P. - P. MARCONI,Izano,<0.1,1,329,87,4,554, 15/11/2019,29,<5,0.07,19.2,<5,1,<0.05,7.6,1.24,343,8,23
F.P. - I MAGGIO,Madignano,<0.1,1,257,63,1,422, 15/11/2019,22,15,0.09,16.1,<5,<1,<0.05,7.9,1.22,261,6,13
F.P. - RIPALTA VECCHIA - VAL SERIO,Madignano,<0.1,2,227,63,1,418, 15/11/2019,22,7,<0.05,15.9,<5,<1,<0.05,7.9,1.11,259,6,13
F.P. - S. GIACOMO LOVARA - Via S.GIACOMO – MALAGNINO,Malagnino,<0.1,6,299,80,7,513, 15/11/2019,25,33,<0.05,12.7,<5,4,<0.05,7.8,1.11,318,16,2
F.P. - Martignana - CA' DEL FERRO,Martignana Po,<0.1,2,317,67,10,536, 15/11/2019,27,12,0.07,26.8,<5,3,<0.05,8.1,1.42,332,17,<1
F.P. - MONTE - MATTEOTTI,Monte Cremasco,<0.1,3,241,60,1,428, 15/11/2019,22,<5,0.05,17.5,<5,<1,<0.05,8.1,1.85,265,7,15
F.P. - MORO,Montodine,<0.1,6,276,67,1,459, 15/11/2019,23,8,0.06,16.9,<5,1,<0.05,8.0,1.11,285,10,5
F.P. - Via dei CAMPI,Montodine,<0.1,6,275,68,1,458, 15/11/2019,23,<5,0.06,16.8,<5,1,<0.05,8.0,1.11,284,10,5
F.P. - ROMA,Moscazzano,<0.1,5,275,68,1,460, 15/11/2019,24,<5,0.07,17.1,<5,1,<0.05,8.1,1.10,285,10,5
