alias_city,alias_address,georeferencingString,type
Cingia de' Botti,F.P. - VIDICETO,"VIDICETO, Cingia de' Botti, Lombardia",POINT
Corte de'  Frati,F.P. - ASPICE - P.zza I MAGGIO,"ASPICE - P.zza I MAGGIO, Corte de'  Frati, Lombardia",POINT
Corte de'  Frati,F.P. - NOCI GARIONI - VIA VERDI,"NOCI GARIONI - VIA VERDI, Corte de'  Frati, Lombardia",POINT
Corte de' Cortesi,F.P. - CIGNONE - V. DALLA CHIESA,"CIGNONE - V. DALLA CHIESA, Corte de' Cortesi, Lombardia",POINT
Corte de' Cortesi,F.P. - Corte C. - Via L. BISSOLATI,"Corte C. - Via L. BISSOLATI, Corte de' Cortesi, Lombardia",POINT
Credera  Rubbiano,F.P. - CREDERA - VIA ROMA,"CREDERA - VIA ROMA, Credera  Rubbiano, Lombardia",POINT
Credera  Rubbiano,F.P. - ROVERETO - V. MOSCAZZANO,"ROVERETO - V. MOSCAZZANO, Credera  Rubbiano, Lombardia",POINT
Credera  Rubbiano,F.P. - RUBBIANO - VIA RUBBIANO,"RUBBIANO - VIA RUBBIANO, Credera  Rubbiano, Lombardia",POINT
Crema,F.P. -  VIA SINIGAGLIA," VIA SINIGAGLIA, Crema, Lombardia",POINT
Crema,F.P. - CAMPO DI MARTE,"CAMPO DI MARTE, Crema, Lombardia",POINT
Crema,F.P. - VIA ALBERGONI,"VIA ALBERGONI, Crema, Lombardia",POINT
Crema,F.P. - VIA BRUNELLI,"VIA BRUNELLI, Crema, Lombardia",POINT
Crema,F.P. - VIA MULINI,"VIA MULINI, Crema, Lombardia",POINT
Crema,F.P. - VIA TOFFETTI,"VIA TOFFETTI, Crema, Lombardia",POINT
Crema,F.P. - VIA XI FEBBRAIO,"VIA XI FEBBRAIO, Crema, Lombardia",POINT
Cremona,F.P.- BAGNARA,"F.P.- BAGNARA, Cremona, Lombardia",POINT
Cremona,F.P.- BARRIERA PO,"F.P.- BARRIERA PO, Cremona, Lombardia",POINT
Cremona,F.P.- BOSCHETTO,"F.P.- BOSCHETTO, Cremona, Lombardia",POINT
Cremona,F.P.- CAVATIGOZZI,"F.P.- CAVATIGOZZI, Cremona, Lombardia",POINT
Cremona,F.P.- GERRE BORGHI,"F.P.- GERRE BORGHI, Cremona, Lombardia",POINT
Cremona,F.P.- MARISTELLA,"F.P.- MARISTELLA, Cremona, Lombardia",POINT
Cremona,F.P.- MIGLIARO,"F.P.- MIGLIARO, Cremona, Lombardia",POINT
Cremona,F.P.- PIAZZA 4 NOVEMBRE,"F.P.- PIAZZA 4 NOVEMBRE, Cremona, Lombardia",POINT
Cremona,F.P.- PIAZZA CASTELLO,"F.P.- PIAZZA CASTELLO, Cremona, Lombardia",POINT
Cremona,F.P.- PIAZZA GIOVANNI XXIII,"F.P.- PIAZZA GIOVANNI XXIII, Cremona, Lombardia",POINT
Cremona,F.P.- PIAZZA LIBERTA,"F.P.- PIAZZA LIBERTA, Cremona, Lombardia",POINT
Cremona,F.P.- PIAZZA PACE,"F.P.- PIAZZA PACE, Cremona, Lombardia",POINT
Cremona,F.P.- PIAZZA S.ANNA,"F.P.- PIAZZA S.ANNA, Cremona, Lombardia",POINT
Cremona,F.P.- PICENENGO,"F.P.- PICENENGO, Cremona, Lombardia",POINT
Cremona,F.P.- S.FELICE,"F.P.- S.FELICE, Cremona, Lombardia",POINT
Cremona,F.P.- S.SAVINO,"F.P.- S.SAVINO, Cremona, Lombardia",POINT
Cremona,F.P.- STAZIONE FF.SS.,"F.P.- STAZIONE FF.SS., Cremona, Lombardia",POINT
Cremona,F.P.- VIA BERENZI,"F.P.- VIA BERENZI, Cremona, Lombardia",POINT
Cremona,F.P.- VIA BRESCIA,"F.P.- VIA BRESCIA, Cremona, Lombardia",POINT
Cremona,F.P.- VIA GIUSEPPINA,"F.P.- VIA GIUSEPPINA, Cremona, Lombardia",POINT
Cremona,F.P.- VIA NUVOLONE,"F.P.- VIA NUVOLONE, Cremona, Lombardia",POINT
Cremona,F.P.- VIA S.ROCCO,"F.P.- VIA S.ROCCO, Cremona, Lombardia",POINT
Cremona,F.P.- VIA TREBBIA,"F.P.- VIA TREBBIA, Cremona, Lombardia",POINT
Cremona,F.P.- VIA VOSGI,"F.P.- VIA VOSGI, Cremona, Lombardia",POINT
Cremosano,F.P. - CREMOSANO - ( ZONA  ARTIGIANALE CREMA),"CREMOSANO - ( ZONA  ARTIGIANALE CREMA), Cremosano, Lombardia",POINT
Cremosano,F.P. - CREMOSANO - VIA DELLA BASSA,"CREMOSANO - VIA DELLA BASSA, Cremosano, Lombardia",POINT
Crotta d'Adda,F.P. - CROTTA D'ADDA - MARCONI,"CROTTA D'ADDA - MARCONI, Crotta d'Adda, Lombardia",POINT
