alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Bocca Pignone,BORGHETTO VARA,<0.05,<0.05,62.2,12.2,,7.1,131,17/01/19,4.1,<0.05,2.6,<5,2.9,<0.05,6.8,1.2,108.3,12.1,8
Acquedotto Borghetto Vara capoluogo,BORGHETTO VARA,<0.05,<0.05,102.5,31.5,0.01,8.8,190,25/03/19,9.1,<0.05,3,<5,0.7,<0.05,7.7,0.8,164.1,7.2,9.6
Acquedotto Borghetto capoluogo,BORGHETTO VARA,<0.05,<0.05,93.4,29.5,0.1,8.8,182,17/01/19,8,<0.05,1.6,<5,0.7,<0.05,7.4,0.8,151.5,7.4,9.3
Acquedotto Cassana Chiesa,BORGHETTO VARA,<0.05,0.87,67,16.8,<0.01,8.4,131,16/10/19,5.1,<0.05,2.3,<5,0.4,<0.05,7.9,0.7,481.8,7.8,7.3
Acquedotto Cassana Corneto,BORGHETTO VARA,<0.05,0.91,72,16.9,<0.01,8.4,131,16/10/19,5.2,0.1,2.3,<5,0.4,<0.05,7.9,0.7,482,7.8,7.3
Acquedotto L'Ago,BORGHETTO VARA,<0.05,0.67,101.3,25.5,<0.01,8.8,173,16/10/19,7.6,<0.05,2.9,<5,0.8,<0.05,7.8,0.7,157.2,8.4,8.8
Acquedotto Pogliasca,BORGHETTO VARA,<0.05,0.23,172,22.1,<0.01,8.4,248,16/10/19,13.2,<0.05,18.8,<5,0.3,<0.05,8.0,0.7,522.8,8.8,7.6
Acquedotto Ripalta,BORGHETTO VARA,<0.05,<0.05,91.5,27,<0.01,6.6,162,17/01/19,7.2,<0.05,1.1,<5,0.4,<0.05,7.4,1.1,141.4,7,6.7
Acquedotto Termine di Roverano,BORGHETTO VARA,<0.05,<0.05,91.5,27.7,,8.6,176,17/01/19,7.7,<0.05,1.9,<5,0.6,<0.05,7.5,0.7,149.2,7.9,10.3
Acquedotto Bozzolo,BRUGNATO,<0.05,0.30,174,43,0.28,11.4,267,16/10/19,13.9,0.1,7.7,<5,0.5,<0.05,7.8,1.1,691.4,11.3,10.1
