alias_city,alias_address,data_report,georeferencingString,type
CALICE AL CORNOVIGLIO,Acquedotto  S. Maria Cassorane,13/02/19,"S. Maria Cassorane, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Borseda,13/02/19,"Borseda, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Bruscarolo,13/02/19,"Bruscarolo, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Castello,13/02/19,"Castello, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Debeduse,13/02/19,"Debeduse, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Nasso,13/02/19,"Nasso, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Pegui,13/02/19,"Pegui, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Piano di Madrignano,13/02/19,"Piano di Madrignano, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto S. Maria Beigo,13/02/19,"S. Maria Beigo, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Terrugiara,13/02/19,"Terrugiara, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Tranci,13/02/19,"Tranci, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Usurana Alta,13/02/19,"Usurana Alta, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Valdonica,13/02/19,"Valdonica, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CALICE AL CORNOVIGLIO,Acquedotto Villagrossa,13/02/19,"Villagrossa, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
CARRO,Acquedotto Agnola,05/06/19,"Agnola, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Carro capoluogo,05/06/19,"Carro capoluogo, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Carro capoluogo Confraternita,29/05/19,"Carro capoluogo Confraternita, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Carro capoluogo Municipio,29/05/19,"Carro capoluogo Municipio, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Carro capoluogo via Paganini,29/05/19,"Carro capoluogo via Paganini, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Castello,29/05/19,"Castello, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Cerreta,05/06/19,"Cerreta, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Pavareto,05/06/19,"Pavareto, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Pavareto,05/06/19,"Pavareto, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Pera,29/05/19,"Pera, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Verdigliolo,29/05/19,"Verdigliolo, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Verdigliolo (Serbatoio Serracciana),29/05/19,"Verdigliolo (Serbatoio Serracciana), CARRO, SP, Liguria",POINT
CARRO,Acquedotto Ziona,05/06/19,"Ziona, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Ziona,05/06/19,"Ziona, CARRO, SP, Liguria",POINT
CARRO,Acquedotto Ziona (Pianesola),05/06/19,"Ziona (Pianesola), CARRO, SP, Liguria",POINT
CARRO,Carro Ponte S. Margherita,29/05/19,"Carro Ponte S. Margherita, CARRO, SP, Liguria",POINT
CASTELNUOVO MAGRA,Acquedotto Caprignano,06/02/19,"Caprignano, CASTELNUOVO MAGRA, SP, Liguria",POINT
CASTELNUOVO MAGRA,Acquedotto Castelnuovo capoluogo,06/02/19,"Castelnuovo capoluogo, CASTELNUOVO MAGRA, SP, Liguria",POINT
CASTELNUOVO MAGRA,Acquedotto Molino del Piano,06/02/19,"Molino del Piano, CASTELNUOVO MAGRA, SP, Liguria",POINT
FOLLO,Acquedotto  Pian di Follo,26/03/19,"Pian di Follo, FOLLO, SP, Liguria",POINT
FOLLO,Acquedotto Pian di Follo,20/06/19,"Pian di Follo, FOLLO, SP, Liguria",POINT
FOLLO,Acquedotto Piana Battolla,26/03/19,"Piana Battolla, FOLLO, SP, Liguria",POINT
FOLLO,Acquedotto Sorbolo,20/06/19,"Sorbolo, FOLLO, SP, Liguria",POINT
FOLLO,Acquedotto Tivegna,26/03/19,"Tivegna, FOLLO, SP, Liguria",POINT
FOLLO,Acquedotto Tivegna Canale del monte,20/06/19,"Tivegna Canale del monte, FOLLO, SP, Liguria",POINT
FRAMURA,Acquedotto Anzo,08/01/19,"Anzo, FRAMURA, SP, Liguria",POINT
FRAMURA,Acquedotto Castagnola,08/01/19,"Castagnola, FRAMURA, SP, Liguria",POINT
FRAMURA,Acquedotto Costa,08/01/19,"Costa, FRAMURA, SP, Liguria",POINT
FRAMURA,Acquedotto Laviosa,08/01/19,"Laviosa, FRAMURA, SP, Liguria",POINT
FRAMURA,Acquedotto Ravecca,08/01/19,"Ravecca, FRAMURA, SP, Liguria",POINT
FRAMURA,Acquedotto Tarì,08/01/19,"Tarì, FRAMURA, SP, Liguria",POINT
LERICI,Acquedotto Barcola,28/03/19,"Barcola, LERICI, SP, Liguria",POINT
LERICI,Acquedotto Lerici capoluogo,20/02/19,"Lerici capoluogo, LERICI, SP, Liguria",POINT
LERICI,Acquedotto Senato,20/02/19,"Senato, LERICI, SP, Liguria",POINT
LEVANTO,Acquedotto  Montale,11/03/19,"Montale, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Casella,11/03/19,"Casella, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Chiesanuova,11/03/19,"Chiesanuova, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Fontona,11/03/19,"Fontona, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Gallona,11/03/19,"Gallona, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Groppo,11/03/19,"Groppo, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Lavaggiorosso,11/03/19,"Lavaggiorosso, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Legnaro,11/03/19,"Legnaro, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Levanto capoluogo,11/03/19,"Levanto capoluogo, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Lizza,11/03/19,"Lizza, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Pastine Inferiore,11/03/19,"Pastine Inferiore, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Ridarolo,11/03/19,"Ridarolo, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Vignana inferiore,11/03/19,"Vignana inferiore, LEVANTO, SP, Liguria",POINT
LEVANTO,Acquedotto Vignana superiore,11/03/19,"Vignana superiore, LEVANTO, SP, Liguria",POINT
LEVANTO,Levanto  capoluogo (loc. Chiesa dei frati),11/03/19,"Levanto  capoluogo (loc. Chiesa dei frati), LEVANTO, SP, Liguria",POINT
LUNI (ORTONOVO),Acquedotto Pistello,06/02/19,"Pistello, LUNI (ORTONOVO), SP, Liguria",POINT
LUNI (ORTONOVO),Acquedotto Marcianella,04/06/19,"Marcianella, LUNI (ORTONOVO), SP, Liguria",POINT
LUNI (ORTONOVO),Acquedotto Marcianella,06/02/19,"Marcianella, LUNI (ORTONOVO), SP, Liguria",POINT
