alias_address,alias_city,data_report,geocode,geometry,georeferencingString,type
Acquedotto Ortonovo capoluogo,LUNI (ORTONOVO),04/06/19,"Ortonovo, Luni, SP","{'type': 'Point', 'coordinates': [10.05556000000007, 44.089150000000075]}","Ortonovo capoluogo, LUNI (ORTONOVO), SP, Liguria",POINT
Acquedotto Pistello,LUNI (ORTONOVO),04/06/19,"Ortonovo, Luni, SP","{'type': 'Point', 'coordinates': [10.05556000000007, 44.089150000000075]}","Pistello, LUNI (ORTONOVO), SP, Liguria",POINT
Acquedotto San Giuseppe,LUNI (ORTONOVO),20/03/19,"Via San Giuseppe, 19034, Luni, SP","{'type': 'Point', 'coordinates': [10.045576926201589, 44.08660242804482]}","San Giuseppe, LUNI (ORTONOVO), SP, Liguria",POINT
Acquedotto Fegina (Padre Semeria),MONTEROSSO,06/06/19,"Via Padre Giovanni Semeria, 19016, Monterosso al Mare, SP","{'type': 'Point', 'coordinates': [9.6452530560769, 44.14654029594872]}","Fegina (Padre Semeria), MONTEROSSO, SP, Liguria",POINT
Acquedotto Monte Albereto,MONTEROSSO,26/02/19,"Località Montealbereto, 19016, Monterosso al Mare, SP","{'type': 'Point', 'coordinates': [9.675302776625939, 44.16572044467482]}","Monte Albereto, MONTEROSSO, SP, Liguria",POINT
Acquedotto Casale,PIGNONE,07/03/19,"Casale, Pignone, SP","{'type': 'Point', 'coordinates': [9.712060000000065, 44.18945000000008]}","Casale, PIGNONE, SP, Liguria",POINT
Acquedotto Faggiona,PIGNONE,07/03/19,"Località Faggiona, 19020, Pignone, SP","{'type': 'Point', 'coordinates': [9.701495824744686, 44.1997382463048]}","Faggiona, PIGNONE, SP, Liguria",POINT
Acquedotto Pignone capoluogo,PIGNONE,07/03/19,"Pignone, SP","{'type': 'Point', 'coordinates': [9.726080000000024, 44.18022000000008]}","Pignone capoluogo, PIGNONE, SP, Liguria",POINT
Acquedotto Puin,PIGNONE,07/03/19,"Pignone, SP","{'type': 'Point', 'coordinates': [9.726080000000024, 44.18022000000008]}","Puin, PIGNONE, SP, Liguria",POINT
Acquedotto Villa,PIGNONE,14/10/19,"Via Villa, 19020, Pignone, SP","{'type': 'Point', 'coordinates': [9.7094030788596, 44.19032945788595]}","Villa, PIGNONE, SP, Liguria",POINT
Acquedotto Le Grazie,PORTOVENERE,22/03/19,"Le Grazie, Portovenere, SP","{'type': 'Point', 'coordinates': [9.836820000000046, 44.06979000000007]}","Le Grazie, PORTOVENERE, SP, Liguria",POINT
Acquedotto  Riccò capoluogo,RICCO' DEL GOLFO,09/01/19,"Via San Rocco, 19020, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.762785851435481, 44.13311025629988]}","Riccò capoluogo, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Bovecchio,RICCO' DEL GOLFO,09/01/19,"Bovecchio, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.741150000000061, 44.156210000000044]}","Bovecchio, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Carpena,RICCO' DEL GOLFO,21/10/19,"Carpena, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.765880000000038, 44.11621000000008]}","Carpena, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Falabiana,RICCO' DEL GOLFO,09/01/19,"Via Falabiana, 19020, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.746895645979468, 44.1515618978234]}","Falabiana, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Piandibarca,RICCO' DEL GOLFO,09/01/19,"Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.764490000000023, 44.15462000000008]}","Piandibarca, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Polverara,RICCO' DEL GOLFO,08/11/19,"Polverara, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.794170000000065, 44.16432000000003]}","Polverara, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Ponzò,RICCO' DEL GOLFO,01/04/19,"Ponzo, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.749830000000031, 44.156930000000045]}","Ponzò, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Quaratica,RICCO' DEL GOLFO,09/01/19,"Quaratica, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.764470000000074, 44.136600000000044]}","Quaratica, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Riccò del Golfo capoluogo,RICCO' DEL GOLFO,21/10/19,"Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.764490000000023, 44.15462000000008]}","Riccò del Golfo capoluogo, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto S. Benedetto,RICCO' DEL GOLFO,09/01/19,"San Benedetto, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.777520000000038, 44.134150000000034]}","S. Benedetto, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Valdipino,RICCO' DEL GOLFO,21/10/19,"Valdipino, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.751760000000047, 44.14880000000005]}","Valdipino, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Valgraveglia,RICCO' DEL GOLFO,21/10/19,"Valgraveglia, Riccò del Golfo di Spezia, SP","{'type': 'Point', 'coordinates': [9.782730000000072, 44.15673000000004]}","Valgraveglia, RICCO' DEL GOLFO, SP, Liguria",POINT
Acquedotto Groppo,RIOMAGGIORE,28/11/19,"Groppo, Riomaggiore, SP","{'type': 'Point', 'coordinates': [9.737500000000068, 44.11436000000003]}","Groppo, RIOMAGGIORE, SP, Liguria",POINT
Acquedotto Manarola,RIOMAGGIORE,23/07/19,"Manarola, Riomaggiore, SP","{'type': 'Point', 'coordinates': [9.730090000000075, 44.107470000000035]}","Manarola, RIOMAGGIORE, SP, Liguria",POINT
Acquedotto Riomaggiore capoluogo,RIOMAGGIORE,28/11/19,"Riomaggiore, SP","{'type': 'Point', 'coordinates': [9.743210000000033, 44.09991000000008]}","Riomaggiore capoluogo, RIOMAGGIORE, SP, Liguria",POINT
Acquedotto Volastra,RIOMAGGIORE,28/11/19,"Volastra, Riomaggiore, SP","{'type': 'Point', 'coordinates': [9.728860000000054, 44.116100000000074]}","Volastra, RIOMAGGIORE, SP, Liguria",POINT
Acquedotto Casoni,ROCCHETTA VARA,22/01/19,"Strada Provinciale dei Casoni, 19020, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.806149655242491, 44.28018172008595]}","Casoni, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Foce,ROCCHETTA VARA,22/01/19,"Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.75645000000003, 44.25212000000005]}","Foce, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Garbugliaga,ROCCHETTA VARA,22/01/19,"Località Garbugliaga, 19020, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.807947322575599, 44.228762151536245]}","Garbugliaga, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Manzile,ROCCHETTA VARA,22/01/19,"Località Manzile, 19020, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.770055934756321, 44.22722934128067]}","Manzile, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Molino Rotato,ROCCHETTA VARA,22/01/19,"Località Molino Rotato, 19020, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.777607714602832, 44.26933397434593]}","Molino Rotato, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Rocchetta capoluogo,ROCCHETTA VARA,22/01/19,"Via Rocchetta, 19020, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.776158197917203, 44.265346818247735]}","Rocchetta capoluogo, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Stadomelli,ROCCHETTA VARA,22/01/19,"Località Stadomelli, 19020, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.774435008805227, 44.22247641954421]}","Stadomelli, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Suvero Perfagliaga,ROCCHETTA VARA,22/01/19,"Suvero, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.778340000000071, 44.26696000000004]}","Suvero Perfagliaga, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Suvero Vicchieda,ROCCHETTA VARA,22/01/19,"Suvero, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.778340000000071, 44.26696000000004]}","Suvero Vicchieda, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Veppo,ROCCHETTA VARA,22/01/19,"Veppo, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.78899000000007, 44.25631000000004]}","Veppo, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Veppo Volpara,ROCCHETTA VARA,22/01/19,"Veppo, Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.78899000000007, 44.25631000000004]}","Veppo Volpara, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Ponzano,SANTO STEFANO MAGRA,22/11/19,"Santo Stefano di Magra, SP","{'type': 'Point', 'coordinates': [9.919900000000041, 44.16632000000004]}","Ponzano, SANTO STEFANO MAGRA, SP, Liguria",POINT
Acquedotto S. Stefano capoluogo,SANTO STEFANO MAGRA,18/09/19,"Viadotto Santo Stefano, 19037, Santo Stefano di Magra, SP","{'type': 'Point', 'coordinates': [9.914243599237633, 44.166070530403566]}","S. Stefano capoluogo, SANTO STEFANO MAGRA, SP, Liguria",POINT
Acquedotto Santo Stefano capoluogo,SANTO STEFANO MAGRA,23/01/19,"Viadotto Santo Stefano, 19037, Santo Stefano di Magra, SP","{'type': 'Point', 'coordinates': [9.914243599237633, 44.166070530403566]}","Santo Stefano capoluogo, SANTO STEFANO MAGRA, SP, Liguria",POINT
Acquedotto Sarzana capoluogo,SARZANA,12/09/19,"Sarzana, SP","{'type': 'Point', 'coordinates': [9.958860000000072, 44.111860000000036]}","Sarzana capoluogo, SARZANA, SP, Liguria",POINT
Acquedotto Airola,SESTA GODANO,29/01/19,"Airola, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.694560000000024, 44.321660000000065]}","Airola, SESTA GODANO, SP, Liguria",POINT
Acquedotto Airola inferiore,SESTA GODANO,13/06/19,"Via Airola Inferiore, 19020, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.69444504163968, 44.320874041639705]}","Airola inferiore, SESTA GODANO, SP, Liguria",POINT
Acquedotto Airola superiore,SESTA GODANO,29/01/19,"Via Airola Superiore, 19020, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.696365017067922, 44.32286281348947]}","Airola superiore, SESTA GODANO, SP, Liguria",POINT
Acquedotto Antessio,SESTA GODANO,17/06/19,"Antessio, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.708660000000066, 44.321120000000064]}","Antessio, SESTA GODANO, SP, Liguria",POINT
Acquedotto Bergassana,SESTA GODANO,17/06/19,"Bergassana, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.678310000000067, 44.26639000000006]}","Bergassana, SESTA GODANO, SP, Liguria",POINT
Acquedotto Ca'di Vara,SESTA GODANO,13/06/19,"Località Ca' di Vara, 19020, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.686091426184525, 44.24622261931284]}","Ca'di Vara, SESTA GODANO, SP, Liguria",POINT
Acquedotto Calabria,SESTA GODANO,13/06/19,"Calabria, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.701550000000054, 44.28964000000008]}","Calabria, SESTA GODANO, SP, Liguria",POINT
Acquedotto Chiusola,SESTA GODANO,17/06/19,"Chiusola, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.701540000000023, 44.33704000000006]}","Chiusola, SESTA GODANO, SP, Liguria",POINT
Acquedotto Codarmo,SESTA GODANO,17/06/19,"Via Codarmo, 19020, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.673728714374713, 44.29332355541713]}","Codarmo, SESTA GODANO, SP, Liguria",POINT
Acquedotto Cornice,SESTA GODANO,13/06/19,"Cornice, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.690130000000067, 44.251960000000054]}","Cornice, SESTA GODANO, SP, Liguria",POINT
Acquedotto Godano,SESTA GODANO,13/06/19,"Godano, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.690860000000043, 44.29325000000006]}","Godano, SESTA GODANO, SP, Liguria",POINT
Acquedotto Groppo,SESTA GODANO,17/06/19,"Groppo, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.664560000000051, 44.31280000000004]}","Groppo, SESTA GODANO, SP, Liguria",POINT
Acquedotto Mangia,SESTA GODANO,13/06/19,"Mangia, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.703310000000045, 44.257310000000075]}","Mangia, SESTA GODANO, SP, Liguria",POINT
Acquedotto Merzò,SESTA GODANO,13/06/19,"Merzo, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.697490000000073, 44.289810000000045]}","Merzò, SESTA GODANO, SP, Liguria",POINT
Acquedotto Oradoro,SESTA GODANO,30/01/19,"Via Oradoro, 19020, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.726096365097511, 44.299562611136515]}","Oradoro, SESTA GODANO, SP, Liguria",POINT
Acquedotto Orneto,SESTA GODANO,17/06/19,"Orneto, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.714570000000037, 44.35138000000006]}","Orneto, SESTA GODANO, SP, Liguria",POINT
Acquedotto Pignona,SESTA GODANO,13/06/19,"Pignona, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.69909000000007, 44.31492000000003]}","Pignona, SESTA GODANO, SP, Liguria",POINT
Acquedotto Rio,SESTA GODANO,17/06/19,"Rio, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.675090000000068, 44.30683000000005]}","Rio, SESTA GODANO, SP, Liguria",POINT
Acquedotto Rio Case sparse,SESTA GODANO,30/01/19,"Rio, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.675090000000068, 44.30683000000005]}","Rio Case sparse, SESTA GODANO, SP, Liguria",POINT
Acquedotto Roggiano,SESTA GODANO,13/06/19,"Roggiano, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.675110000000075, 44.28917000000007]}","Roggiano, SESTA GODANO, SP, Liguria",POINT
Acquedotto S.Maria,SESTA GODANO,30/01/19,"Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.674320000000023, 44.29437000000007]}","S.Maria, SESTA GODANO, SP, Liguria",POINT
Acquedotto Sanata Maria,SESTA GODANO,13/06/19,"Santa Maria, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.718520000000069, 44.29520000000008]}","Sanata Maria, SESTA GODANO, SP, Liguria",POINT
Acquedotto Scogna,SESTA GODANO,13/06/19,"Località Santa Maria Scogna, 19020, Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.718427705513188, 44.295312524540584]}","Scogna, SESTA GODANO, SP, Liguria",POINT
Acquedotto Serò,SESTA GODANO,07/01/19,"Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.674320000000023, 44.29437000000007]}","Serò, SESTA GODANO, SP, Liguria",POINT
Acquedotto Sesta Godano capoluogo,SESTA GODANO,17/06/19,"Sesta Godano, SP","{'type': 'Point', 'coordinates': [9.674320000000023, 44.29437000000007]}","Sesta Godano capoluogo, SESTA GODANO, SP, Liguria",POINT
Acquedotto Corniglia,VERNAZZA,31/07/19,"Corniglia, Vernazza, SP","{'type': 'Point', 'coordinates': [9.708750000000066, 44.120790000000056]}","Corniglia, VERNAZZA, SP, Liguria",POINT
Acquedotto San Bernardino,VERNAZZA,17/06/19,"Località San Bernardino, 19018, Vernazza, SP","{'type': 'Point', 'coordinates': [9.701688579717686, 44.13213982457746]}","San Bernardino, VERNAZZA, SP, Liguria",POINT
Acquedotto Vernazza capoluogo,VERNAZZA,26/02/19,"Vernazza, SP","{'type': 'Point', 'coordinates': [9.684870000000046, 44.13566000000003]}","Vernazza capoluogo, VERNAZZA, SP, Liguria",POINT
Acquedotto Prati,VEZZANO LIGURE,25/11/19,"Prati, Vezzano Ligure, SP","{'type': 'Point', 'coordinates': [9.88996000000003, 44.12782000000004]}","Prati, VEZZANO LIGURE, SP, Liguria",POINT
Acquedotto Valeriano,VEZZANO LIGURE,23/01/19,"Valeriano, Vezzano Ligure, SP","{'type': 'Point', 'coordinates': [9.855590000000063, 44.14937000000003]}","Valeriano, VEZZANO LIGURE, SP, Liguria",POINT
Acquedotto Vezzano basso,VEZZANO LIGURE,23/01/19,"Vezzano Ligure, SP","{'type': 'Point', 'coordinates': [9.884460000000047, 44.14143000000007]}","Vezzano basso, VEZZANO LIGURE, SP, Liguria",POINT
Acquedotto Debbio,ZIGNAGO,11/12/19,"Debbio, Zignago, SP","{'type': 'Point', 'coordinates': [9.744490000000042, 44.28806000000003]}","Debbio, ZIGNAGO, SP, Liguria",POINT
Acquedotto Pieve,ZIGNAGO,02/10/19,"Pieve di Zignago, Zignago, SP","{'type': 'Point', 'coordinates': [9.744890000000055, 44.27819000000005]}","Pieve, ZIGNAGO, SP, Liguria",POINT
Acquedotto Sasseta,ZIGNAGO,11/12/19,"Sasseta, Zignago, SP","{'type': 'Point', 'coordinates': [9.736920000000055, 44.29714000000007]}","Sasseta, ZIGNAGO, SP, Liguria",POINT
Acquedotto Serò,ZIGNAGO,11/12/19,"Sero, Zignago, SP","{'type': 'Point', 'coordinates': [9.737010000000055, 44.262410000000045]}","Serò, ZIGNAGO, SP, Liguria",POINT
Acquedotto Torpiana Via Canale,ZIGNAGO,11/12/19,"Via del Canale, 19020, Zignago, SP","{'type': 'Point', 'coordinates': [9.732985689673013, 44.310654]}","Torpiana Via Canale, ZIGNAGO, SP, Liguria",POINT
Acquedotto Torpiana zona Cimitero,ZIGNAGO,07/01/19,"Torpiana, Zignago, SP","{'type': 'Point', 'coordinates': [9.730630000000076, 44.310290000000066]}","Torpiana zona Cimitero, ZIGNAGO, SP, Liguria",POINT
Acquedotto Torpiana zona Via Canale,ZIGNAGO,07/01/19,"Via del Canale, 19020, Zignago, SP","{'type': 'Point', 'coordinates': [9.732985689673013, 44.310654]}","Torpiana zona Via Canale, ZIGNAGO, SP, Liguria",POINT
Acquedotto Torpiana zona cimitero,ZIGNAGO,11/12/19,"Torpiana, Zignago, SP","{'type': 'Point', 'coordinates': [9.730630000000076, 44.310290000000066]}","Torpiana zona cimitero, ZIGNAGO, SP, Liguria",POINT
Acquedotto Vezzola,ZIGNAGO,11/12/19,"Vezzola, Zignago, SP","{'type': 'Point', 'coordinates': [9.755910000000029, 44.277540000000045]}","Vezzola, ZIGNAGO, SP, Liguria",POINT
