alias_address,alias_city,data_report,geocode,geometry,georeferencingString,type
Acquedotto Ceparana,BOLANO,30/09/19,"Ceparana, Bolano, SP","{'type': 'Point', 'coordinates': [9.885020000000054, 44.16938000000005]}","Ceparana, BOLANO, SP, Liguria",POINT
Acquedotto Ceparana capoluogo,BOLANO,23/01/19,"Ceparana, Bolano, SP","{'type': 'Point', 'coordinates': [9.885020000000054, 44.16938000000005]}","Ceparana capoluogo, BOLANO, SP, Liguria",POINT
Acquedotto Bonassola  capoluogo,BONASSOLA,11/02/19,"Bonassola, SP","{'type': 'Point', 'coordinates': [9.585170000000062, 44.18222000000003]}","Bonassola  capoluogo, BONASSOLA, SP, Liguria",POINT
Acquedotto Fena,BONASSOLA,11/02/19,"Località Fena, 19011, Bonassola, SP","{'type': 'Point', 'coordinates': [9.58346195900838, 44.18983821311298]}","Fena, BONASSOLA, SP, Liguria",POINT
Acquedotto Montaretto,BONASSOLA,14/10/19,"Montaretto, Bonassola, SP","{'type': 'Point', 'coordinates': [9.57603000000006, 44.19607000000008]}","Montaretto, BONASSOLA, SP, Liguria",POINT
Acquedotto San Giorgio,BONASSOLA,11/02/19,"San Giorgio, Bonassola, SP","{'type': 'Point', 'coordinates': [9.584400000000073, 44.19354000000004]}","San Giorgio, BONASSOLA, SP, Liguria",POINT
Acquedotto Bocca Pignone,BORGHETTO VARA,17/01/19,"Bocca Pignone, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.753940000000057, 44.22097000000008]}","Bocca Pignone, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Borghetto Vara capoluogo,BORGHETTO VARA,25/03/19,"Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.720010000000059, 44.22281000000004]}","Borghetto Vara capoluogo, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Borghetto capoluogo,BORGHETTO VARA,17/01/19,"Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.720010000000059, 44.22281000000004]}","Borghetto capoluogo, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Cassana Chiesa,BORGHETTO VARA,16/10/19,"Cassana, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.689460000000054, 44.215850000000046]}","Cassana Chiesa, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Cassana Corneto,BORGHETTO VARA,16/10/19,"Cassana, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.689460000000054, 44.215850000000046]}","Cassana Corneto, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto L'Ago,BORGHETTO VARA,16/10/19,"L'Ago, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.674690000000055, 44.22752000000003]}","L'Ago, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Pogliasca,BORGHETTO VARA,16/10/19,"Pogliasca, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.687550000000044, 44.22779000000003]}","Pogliasca, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Ripalta,BORGHETTO VARA,17/01/19,"Ripalta, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.721060000000023, 44.21719000000007]}","Ripalta, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Termine di Roverano,BORGHETTO VARA,17/01/19,"Roverano, Borghetto di Vara, SP","{'type': 'Point', 'coordinates': [9.665280000000052, 44.23188000000005]}","Termine di Roverano, BORGHETTO VARA, SP, Liguria",POINT
Acquedotto Bozzolo,BRUGNATO,16/10/19,"Bozzolo, Brugnato, SP","{'type': 'Point', 'coordinates': [9.711530000000039, 44.24333000000007]}","Bozzolo, BRUGNATO, SP, Liguria",POINT
Acquedotto Brugnato capoluogo,BRUGNATO,16/10/19,"Brugnato, SP","{'type': 'Point', 'coordinates': [9.723900000000071, 44.23608000000007]}","Brugnato capoluogo, BRUGNATO, SP, Liguria",POINT
Acquedotto  S. Maria Cassorane,CALICE AL CORNOVIGLIO,13/02/19,"Località Santa Maria, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.847118805038548, 44.24901950314355]}","S. Maria Cassorane, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Borseda,CALICE AL CORNOVIGLIO,21/11/19,"Borseda, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.821120000000064, 44.24530000000004]}","Borseda, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Bruscarolo,CALICE AL CORNOVIGLIO,21/11/19,"Bruscarolo, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.863200000000063, 44.22235000000006]}","Bruscarolo, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Castello,CALICE AL CORNOVIGLIO,13/02/19,"Via Castello, 19020, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.841018591419385, 44.212883647854845]}","Castello, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
Acquedotto Debeduse,CALICE AL CORNOVIGLIO,21/11/19,"Debeduse, Calice al Cornoviglio, SP","{'type': 'Point', 'coordinates': [9.821870000000047, 44.25040000000007]}","Debeduse, CALICE AL CORNOVIGLIO, SP, Liguria",POINT
