alias_city,alias_address,georeferencingString,type,data_report
CALICE AL CORNOVIGLIO,Acquedotto Tranci,"Tranci, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Usurana Alta,"Usurana Alta, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Valdonica,"Valdonica, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Villagrossa,"Villagrossa, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CARRO,Acquedotto Agnola,"Agnola, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro Capoluogo Castellaro,"Carro Capoluogo Castellaro, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro Capoluogo Costa,"Carro Capoluogo Costa, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro capoluogo,"Carro capoluogo, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro capoluogo Confraternita,"Carro capoluogo Confraternita, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Carro capoluogo Municipio,"Carro capoluogo Municipio, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Carro capoluogo via Paganini,"Carro capoluogo via Paganini, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Castello,"Castello, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Cerreta,"Cerreta, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Debbio,"Debbio, CARRO, SP, Liguria",POINT,07/01/19
CARRO,Acquedotto Pavareto,"Pavareto, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Pavareto Rocche di Maggio,"Pavareto Rocche di Maggio, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Pera,"Pera, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Ponte S. Margherita,"Ponte S. Margherita, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Verdigliolo,"Verdigliolo, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Verdigliolo (Serbatoio Serracciana),"Verdigliolo (Serbatoio Serracciana), CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Ziona,"Ziona, CARRO, SP, Liguria",POINT,05/06/19
CARRO,Acquedotto Ziona (Pianesola),"Ziona (Pianesola), CARRO, SP, Liguria",POINT,05/06/19
CARRO,Acquedotto Ziona Massucasco,"Ziona Massucasco, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Ziona Muettola,"Ziona Muettola, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Carro Ponte S. Margherita,"Carro Ponte S. Margherita, CARRO, SP, Liguria",POINT,29/05/19
CASTELNUOVO MAGRA,Acquedotto Caprignano,"Caprignano, CASTELNUOVO MAGRA, SP, Liguria",POINT,06/02/19
CASTELNUOVO MAGRA,Acquedotto Castelnuovo capoluogo,"Castelnuovo capoluogo, CASTELNUOVO MAGRA, SP, Liguria",POINT,06/02/19
CASTELNUOVO MAGRA,Acquedotto Molino del Piano,"Molino del Piano, CASTELNUOVO MAGRA, SP, Liguria",POINT,06/02/19
FOLLO,Acquedotto  Pian di Follo,"Pian di Follo, FOLLO, SP, Liguria",POINT,26/03/19
FOLLO,Acquedotto Bottagna,"Bottagna, FOLLO, SP, Liguria",POINT,23/01/19
FOLLO,Acquedotto Pian di Follo,"Pian di Follo, FOLLO, SP, Liguria",POINT,20/06/19
FOLLO,Acquedotto Piana Battolla,"Piana Battolla, FOLLO, SP, Liguria",POINT,04/12/19
FOLLO,Acquedotto Sorbolo,"Sorbolo, FOLLO, SP, Liguria",POINT,20/06/19
FOLLO,Acquedotto Tivegna,"Tivegna, FOLLO, SP, Liguria",POINT,26/03/19
FOLLO,Acquedotto Tivegna Canale del monte,"Tivegna Canale del monte, FOLLO, SP, Liguria",POINT,20/06/19
FRAMURA,Acquedotto Anzo,"Anzo, FRAMURA, SP, Liguria",POINT,25/07/19
FRAMURA,Acquedotto Castagnola,"Castagnola, FRAMURA, SP, Liguria",POINT,25/07/19
FRAMURA,Acquedotto Costa,"Costa, FRAMURA, SP, Liguria",POINT,08/01/19
FRAMURA,Acquedotto Laviosa,"Laviosa, FRAMURA, SP, Liguria",POINT,25/07/19
FRAMURA,Acquedotto Ravecca,"Ravecca, FRAMURA, SP, Liguria",POINT,25/07/19
FRAMURA,Acquedotto Setta,"Setta, FRAMURA, SP, Liguria",POINT,25/07/19
FRAMURA,Acquedotto Tarì,"Tarì, FRAMURA, SP, Liguria",POINT,25/07/19
LA SPEZIA,Acquedotto La Spezia (P.zza S.Agostino),"La Spezia (P.zza S.Agostino), LA SPEZIA, SP, Liguria",POINT,28/03/19
LA SPEZIA,Acquedotto La Spezia capoluogo (Capitaneria),"La Spezia capoluogo (Capitaneria), LA SPEZIA, SP, Liguria",POINT,01/10/19
LA SPEZIA,Acquedotto Pitelli,"Pitelli, LA SPEZIA, SP, Liguria",POINT,17/10/19
LA SPEZIA,Acquedotto Ruffino,"Ruffino, LA SPEZIA, SP, Liguria",POINT,07/10/19
LERICI,Acquedotto Barcola,"Barcola, LERICI, SP, Liguria",POINT,28/03/19
LERICI,Acquedotto Lerici capoluogo,"Lerici capoluogo, LERICI, SP, Liguria",POINT,08/10/19
LERICI,Acquedotto Senato,"Senato, LERICI, SP, Liguria",POINT,20/02/19
LEVANTO,Acquedotto  Montale,"Montale, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Acquedotto  Vignana inferiore,"Vignana inferiore, LEVANTO, SP, Liguria",POINT,18/07/19
LEVANTO,Acquedotto Casella,"Casella, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Acquedotto Chiesanuova,"Chiesanuova, LEVANTO, SP, Liguria",POINT,17/07/19
LEVANTO,Acquedotto Fontona,"Fontona, LEVANTO, SP, Liguria",POINT,17/07/19
LEVANTO,Acquedotto Gallona,"Gallona, LEVANTO, SP, Liguria",POINT,17/07/19
LEVANTO,Acquedotto Groppo,"Groppo, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Acquedotto Lavaggiorosso,"Lavaggiorosso, LEVANTO, SP, Liguria",POINT,18/07/19
LEVANTO,Acquedotto Legnaro,"Legnaro, LEVANTO, SP, Liguria",POINT,17/07/19
LEVANTO,Acquedotto Levanto capoluogo,"Levanto capoluogo, LEVANTO, SP, Liguria",POINT,11/03/19
LEVANTO,Acquedotto Lizza,"Lizza, LEVANTO, SP, Liguria",POINT,18/07/19
LEVANTO,Acquedotto Montale,"Montale, LEVANTO, SP, Liguria",POINT,18/07/19
