alias_address,alias_city,ammoniaca,cloro_residuo,cloruro,conducibilita,data_report,ferro,fluoruri,nitrato,nitrito,ph,solfato
Capoluogoservizi ufficio tecnico,Acquedotto di Candelo,<0.05,<0.05,4.1,115,13/01/2020,30,<0.10,2.3,<0.05,<7.6,15
Capoluogo.Servizi igienici dell'ufficio tecnico.,Acquedotto di Candelo,<0.05,<0.05,2.6,118,15/10/2018,,<0.1,2.1,<0.05,7.6,10
CapoluogoServizi igienici del Municipio,Acquedotto di Casapinta,<0.05,0.20,4.8,80,27/03/2018,54,<0.1,11,<0.05,6.8,6
CapoluogoFontana del Parco Giochi,Acquedotto di Casapinta,<0.05,0.28,8.1,84,11/03/2020,14,<0.10,7.9,<0.05,6.9,5.3
CapoluogoFontana del Municipio,Acquedotto di Cerreto Castello,<0.05,0.17,6.2,96,05/11/2019,93,<0.10,7.4,<0.05,7.3,8.5
Capoluogo.Servizi scuola materna.,Acquedotto di Cerreto Castello,<0.05,<0.05,3.8,51,17/02/2020,75,<0.1,6.1,<0.05,7.1,4.3
CapoluogoFontana pubblica dei giardini di Via Pajetta-Amendola,Acquedotto di Cossato,<0.05,0.11,4.4,79,07/04/2020,114,0.13,5.4,0.07,7.3,4.7
CapoluogoFontana pubblica di Via Remo Pella,Acquedotto di Cossato,<0.05,0.30,3.1,59,18/03/2020,23,<0.10,5.2,<0.05,7.0,3.4
CapoluogoFontana pubblica di Via Vercellotto,Acquedotto di Cossato,<0.05,0.09,5.2,90,05/11/2019,36,<0.10,6.2,<0.05,7.4,6.0
Frazione BattianaFontana pubblica,Acquedotto di Cossato,<0.05,<0.05,4.2,97,17/02/2020,40,<0.1,6.7,<0.05,7.3,6.6
Frazione LorazzoFontana pubblica,Acquedotto di Cossato,<0.05,0.20,2.7,46,06/04/2020,45,<0.10,4.7,<0.05,6.7,3.7
Frazione LorazzoAsilo nido,Acquedotto di Cossato,<0.05,<0.05,2.9,47,05/04/2018,<5,<0.1,2.6,<0.05,8.2,2.5
Frazione SpolinaServizi igienici Scuola Materna,Acquedotto di Cossato,<0.05,0.09,9.4,268,17/02/2020,166,<0.1,4.8,<0.05,7.5,38
CapoluogoPotabilizzatore A.I.V.,Acquedotto di Cossato,<0.05,0.08,1.5,46,03/03/2015,33,<0.1,4.1,<0.05,6.9,2.7
Fraz. CastellengoFontana Cimitero,Acquedotto di Cossato,<0.05,<0.05,2.0,161,07/04/2020,43,<0.1,0.36,<0.05,8.2,11
CapoluogoFontana di Piazza Perotti,Acquedotto di Cossato,0.05,0.19,4.6,68,18/03/2020,50,<0.10,4.9,<0.05,7.0,3.8
CapoluogoPotabilizzatore AIV entrata filtri,Acquedotto di Cossato,<0.05,<0.05,2.1,44,27/04/2020,49,<0.10,3.8,<0.05,7.2,2.4
CapoluogoPotabilizzatore AIV uscita filtri,Acquedotto di Cossato,<0.05,0.30,2.3,45,27/04/2020,16,<0.10,3.6,<0.05,7.1,3.2
Frazione Spolinarubinetto cucina scuola materna,Acquedotto di Cossato,<0.05,<0.05,9.1,307,11/06/2019,76,<0.10,6.8,<0.05,7.6,38
CapoluogoServizi igienici Municipio,Acquedotto di Crosa,<0.05,0.25,7.6,79,08/02/2017,14,<0.1,7.5,<0.05,7.1,6.5
CapoluogoFontana Cimitero,Acquedotto di Crosa,<0.05,0.16,7.5,87,10/07/2019,8.5,<0.10,9.4,<0.05,7.4,6.0
CapoluogoServizi igienici Municipio,Acquedotto di Gaglianico,<0.05,<0.05,4.1,139,01/07/2019,43,<0.10,15,<0.05,7.5,5.4
CapoluogoServizi igienici delle scuole medie.,Acquedotto di Gaglianico,<0.05,<0.05,5.9,139,03/02/2020,58,<0.1,15,<0.05,7.3,5.7
CapoluogoServizi igienici Municipio,Acquedotto di Lessona,<0.05,0.12,1.7,43,05/02/2020,19,<0.10,3.9,<0.05,6.5,1.4
Capoluogofontana Via XI Febbraio,Acquedotto di Lessona,<0.05,0.30,8.3,56,03/09/2019,30,0.12,7.9,<0.05,7.4,10
Capoluogo.Fontana Municipio.,Acquedotto di Lessona,<0.05,0.20,3.3,59,03/09/2019,40,<0.1,4.0,<0.05,7.4,2.4
CapoluogoFontana di via dell'acqua.,Acquedotto di Lessona,<0.05,0.22,4.3,61,03/09/2019,42,<0.1,3.5,<0.05,7.4,3.6
CapoluogoFontana del Municipio,Acquedotto di Magnano,<0.05,0.21,0.97,36,11/02/2020,33,<0.1,1.5,0.05,7.0,1.8
Comunità di BoseServizi igienici della Comunità,Acquedotto di Magnano,<0.05,0.07,1.4,19,04/05/2020,17,<0.10,2.1,<0.05,6.7,3.5
Località BroglinaServizi igienici del ristorante,Acquedotto di Magnano,<0.05,<0.05,2.4,29,15/11/2017,12,<0.1,1.8,<0.05,7.3,2.2
Frazione Broglina.Fontana.,Acquedotto di Magnano,<0.05,0.12,2.0,29,10/10/2019,<5,<0.1,2.0,<0.05,7.3,2.1
