alias_address,alias_city,urlReport
Capoluogoservizi ufficio tecnico,Acquedotto di Candelo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14255
Capoluogo.Servizi igienici dell'ufficio tecnico.,Acquedotto di Candelo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13116
CapoluogoServizi igienici del Municipio,Acquedotto di Casapinta,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12514
CapoluogoFontana del Parco Giochi,Acquedotto di Casapinta,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14369
CapoluogoFontana del Municipio,Acquedotto di Cerreto Castello,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14160
Capoluogo.Servizi scuola materna.,Acquedotto di Cerreto Castello,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14326
CapoluogoFontana pubblica dei giardini di Via Pajetta-Amendola,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14442
CapoluogoFontana pubblica di Via Remo Pella,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14395
CapoluogoFontana pubblica di Via Vercellotto,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14161
Frazione BattianaFontana pubblica,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14327
Frazione LorazzoFontana pubblica,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14426
Frazione LorazzoAsilo nido,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12544
Frazione SpolinaServizi igienici Scuola Materna,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14328
CapoluogoPotabilizzatore A.I.V.,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=9187
Fraz. CastellengoFontana Cimitero,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14441
CapoluogoFontana di Piazza Perotti,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14396
CapoluogoPotabilizzatore AIV entrata filtri,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14495
CapoluogoPotabilizzatore AIV uscita filtri,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14496
Frazione Spolinarubinetto cucina scuola materna,Acquedotto di Cossato,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13704
CapoluogoServizi igienici Municipio,Acquedotto di Crosa,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11499
CapoluogoFontana Cimitero,Acquedotto di Crosa,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13825
CapoluogoServizi igienici Municipio,Acquedotto di Gaglianico,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13780
CapoluogoServizi igienici delle scuole medie.,Acquedotto di Gaglianico,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14285
CapoluogoServizi igienici Municipio,Acquedotto di Lessona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14292
Capoluogofontana Via XI Febbraio,Acquedotto di Lessona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13984
Capoluogo.Fontana Municipio.,Acquedotto di Lessona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13986
CapoluogoFontana di via dell'acqua.,Acquedotto di Lessona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13987
CapoluogoFontana del Municipio,Acquedotto di Magnano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14309
Comunità di BoseServizi igienici della Comunità,Acquedotto di Magnano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14515
Località BroglinaServizi igienici del ristorante,Acquedotto di Magnano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12252
Frazione Broglina.Fontana.,Acquedotto di Magnano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14106
"CapoluogoFontana pubblica, via Q. Sella",Acquedotto di Mosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14375
Frazione PistolesaFontana giardini via Roma .,Acquedotto di Mosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=10653
Frazione Pistolesa.Punto ASL.,Acquedotto di Mosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13793
CapoluogoFontana della piazza parrocchiale,Acquedotto di Muzzano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14306
CapoluogoServizi igienici Municipio,Acquedotto di Muzzano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12302
CapoluogoServizi igienici Municipio,Acquedotto di Occhieppo Inferiore,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14300
Capoluogo.Fontana di via Villa.,Acquedotto di Occhieppo Inferiore,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14419
"Capoluogo.Casa di riposo Cerino Zegna, cucina.",Acquedotto di Occhieppo Inferiore,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13345
CapoluogoServizi igienici Municipio,Acquedotto di Occhieppo Superiore,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14305
Frazione GalfioneLavatoio,Acquedotto di Occhieppo Superiore,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14165
CapoluogoFontana posta sulla piazza del municipio.,Acquedotto di Occhieppo Superiore,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14518
CapoluogoFontana del parco giochi,Acquedotto di Pettinengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=215
CapoluogoServizi igienici Municipio,Acquedotto di Pettinengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14230
Fraz.San FrancescoFontana Cimitero,Acquedotto di Pettinengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13857
Capoluogo.Fontana cimitero.,Acquedotto di Pettinengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13517
Capoluogofontana dei giardini di Via Bellia,Acquedotto di Pettinengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14123
Capoluogofontana dei giardini di Via Bellia,Acquedotto di Pettinengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14449
CapoluogoFontana pubblica,Acquedotto di Piatto,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14316
CapoluogoFontana del parco giochi,Acquedotto di Piedicavallo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14409
