alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,CASTELNUOVO BORMIDA,"Castelnuovo Bormida, AL","{'type': 'Point', 'coordinates': [8.545750000000055, 44.74341000000004]}","CASTELNUOVO BORMIDA, AL, Piemonte",POINT
Comune,CAVATORE,"Cavatore, AL","{'type': 'Point', 'coordinates': [8.45330000000007, 44.63280000000003]}","CAVATORE, AL, Piemonte",POINT
Comune,CESSOLE,"Cessole, Asti","{'type': 'Point', 'coordinates': [8.246050000000025, 44.651260000000036]}","CESSOLE, AL, Piemonte",POINT
Comune,CREMOLINO,"Cremolino, AL","{'type': 'Point', 'coordinates': [8.586200000000076, 44.63381000000004]}","CREMOLINO, AL, Piemonte",POINT
Comune,DENICE,"Denice, AL","{'type': 'Point', 'coordinates': [8.332930000000033, 44.59859000000006]}","DENICE, AL, Piemonte",POINT
Comune,FRASCARO,"Frascaro, AL","{'type': 'Point', 'coordinates': [8.53278000000006, 44.82716000000005]}","FRASCARO, AL, Piemonte",POINT
Comune,GAMALERO,"Gamalero, AL","{'type': 'Point', 'coordinates': [8.540980000000047, 44.80629000000005]}","GAMALERO, AL, Piemonte",POINT
Comune,GROGNARDO,"Grognardo, AL","{'type': 'Point', 'coordinates': [8.491630000000043, 44.631740000000036]}","GROGNARDO, AL, Piemonte",POINT
Comune,LOAZZOLO,"Loazzolo, Asti","{'type': 'Point', 'coordinates': [8.257730000000038, 44.67001000000005]}","LOAZZOLO, AL, Piemonte",POINT
Comune,MALVICINO,"Malvicino, AL","{'type': 'Point', 'coordinates': [8.414390000000026, 44.55916000000008]}","MALVICINO, AL, Piemonte",POINT
Comune,MELAZZO,"Melazzo, AL","{'type': 'Point', 'coordinates': [8.42697000000004, 44.644300000000044]}","MELAZZO, AL, Piemonte",POINT
Comune,MERANA,"Merana, AL","{'type': 'Point', 'coordinates': [8.298340000000053, 44.51854000000003]}","MERANA, AL, Piemonte",POINT
Comune,MOLARE,"Molare, AL","{'type': 'Point', 'coordinates': [8.599040000000059, 44.61891000000003]}","MOLARE, AL, Piemonte",POINT
Comune,MONTALDO BORMIDA,"Montaldo Bormida, AL","{'type': 'Point', 'coordinates': [8.58892000000003, 44.68321000000003]}","MONTALDO BORMIDA, AL, Piemonte",POINT
Comune,MONTECASTELLO,"Montecastello, AL","{'type': 'Point', 'coordinates': [8.687460000000044, 44.948830000000044]}","MONTECASTELLO, AL, Piemonte",POINT
Comune,MONTECHIARO D'ACQUI,"Montechiaro d'Acqui, AL","{'type': 'Point', 'coordinates': [8.37823000000003, 44.59444000000008]}","MONTECHIARO D'ACQUI, AL, Piemonte",POINT
Comune,MORBELLO,"Morbello, AL","{'type': 'Point', 'coordinates': [8.52624000000003, 44.60785000000004]}","MORBELLO, AL, Piemonte",POINT
Comune,MORSASCO,"Morsasco, AL","{'type': 'Point', 'coordinates': [8.55418000000003, 44.66676000000007]}","MORSASCO, AL, Piemonte",POINT
Comune,OLMO GENTILE,"Olmo Gentile, Asti","{'type': 'Point', 'coordinates': [8.249750000000063, 44.58641000000006]}","OLMO GENTILE, AL, Piemonte",POINT
Comune,ORSARA BORMIDA,"Orsara Bormida, AL","{'type': 'Point', 'coordinates': [8.562930000000051, 44.69115000000005]}","ORSARA BORMIDA, AL, Piemonte",POINT
Comune,PARETO,"Pareto, AL","{'type': 'Point', 'coordinates': [8.381950000000074, 44.51874000000004]}","PARETO, AL, Piemonte",POINT
Comune,PIETRA MARAZZI,"Pietra Marazzi, AL","{'type': 'Point', 'coordinates': [8.67127000000005, 44.944840000000056]}","PIETRA MARAZZI, AL, Piemonte",POINT
Comune,PIOVERA,"Piovera, Alluvioni Piovera, AL","{'type': 'Point', 'coordinates': [8.73589000000004, 44.959580000000074]}","PIOVERA, AL, Piemonte",POINT
Comune,PONTI,"Ponti, AL","{'type': 'Point', 'coordinates': [8.36325000000005, 44.63176000000004]}","PONTI, AL, Piemonte",POINT
Comune,PONZONE,"Ponzone, AL","{'type': 'Point', 'coordinates': [8.460770000000025, 44.59018000000003]}","PONZONE, AL, Piemonte",POINT
Comune,PRASCO,"Prasco, AL","{'type': 'Point', 'coordinates': [8.55424000000005, 44.640040000000056]}","PRASCO, AL, Piemonte",POINT
Comune,RIVARONE,"Rivarone, AL","{'type': 'Point', 'coordinates': [8.717630000000042, 44.97881000000007]}","RIVARONE, AL, Piemonte",POINT
Comune,ROCCAVERANO,"Roccaverano, Asti","{'type': 'Point', 'coordinates': [8.271880000000067, 44.59319000000005]}","ROCCAVERANO, AL, Piemonte",POINT
Comune,ROCCHETTA PALAFEA,"Rocchetta Palafea, Asti","{'type': 'Point', 'coordinates': [8.347200000000043, 44.706360000000075]}","ROCCHETTA PALAFEA, AL, Piemonte",POINT
Comune,SALE,"Sale, AL","{'type': 'Point', 'coordinates': [8.812140000000056, 44.982210000000066]}","SALE, AL, Piemonte",POINT
Comune,SAN GIORGIO SCARAMPI,"San Giorgio Scarampi, Asti","{'type': 'Point', 'coordinates': [8.242260000000044, 44.61071000000004]}","SAN GIORGIO SCARAMPI, AL, Piemonte",POINT
Comune,SEROLE,"Serole, Asti","{'type': 'Point', 'coordinates': [8.257970000000057, 44.55483000000004]}","SEROLE, AL, Piemonte",POINT
Comune,SESSAME,"Sessame, Asti","{'type': 'Point', 'coordinates': [8.337330000000065, 44.670900000000074]}","SESSAME, AL, Piemonte",POINT
Comune,SOLERO,"Solero, AL","{'type': 'Point', 'coordinates': [8.502820000000042, 44.91945000000004]}","SOLERO, AL, Piemonte",POINT
Comune,SPIGNO MONFERRATO,"Spigno Monferrato, AL","{'type': 'Point', 'coordinates': [8.332440000000076, 44.54254000000003]}","SPIGNO MONFERRATO, AL, Piemonte",POINT
Comune,TERZO D'ACQUI,"Terzo, AL","{'type': 'Point', 'coordinates': [8.420280000000048, 44.67070000000007]}","TERZO D'ACQUI, AL, Piemonte",POINT
Comune,TRISOBBIO,"Trisobbio, AL","{'type': 'Point', 'coordinates': [8.58573000000007, 44.65984000000003]}","TRISOBBIO, AL, Piemonte",POINT
Comune,VESIME,"Vesime, Asti","{'type': 'Point', 'coordinates': [8.22810000000004, 44.636010000000056]}","VESIME, AL, Piemonte",POINT
Comune,MONASTERO BORMIDA,"Monastero Bormida, Asti","{'type': 'Point', 'coordinates': [8.323000000000036, 44.64988000000005]}","MONASTERO BORMIDA, AL, Piemonte",POINT
