alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. Cimitero,URAGO D’OGLIO,<0.05,<1,259,89,<0.05,10,473,1° semestre 2019,27.3,<0.20,12.2,<5,30,<0.05,7.3,0.9,330,4.7,28
F.P. Piazza Marconi,URAGO D’OGLIO,<0.05,<1,259,89,<0.05,10,473,1° semestre 2019,27.3,<0.20,12.2,<5,30,<0.05,7.3,0.9,330,4.7,28
P.R. Località Persone,VALVESTINO,<0.05,<1,204,37,nan,2,294,1° semestre 2019,18,<0.20,21.5,<5,6.3,<0.05,7.8,<0.5,192,<2,6
P.R. Località Armo,VALVESTINO,<0.05,<1,204,37,nan,2,294,1° semestre 2019,18,<0.20,21.5,<5,6.3,<0.05,7.8,<0.5,192,<2,6
P.R. Località Bollone,VALVESTINO,<0.05,<1,204,37,nan,2,294,1° semestre 2019,18,<0.20,21.5,<5,6.3,<0.05,7.8,<0.5,192,<2,6
P.R. Località Moerna Cimitero,VALVESTINO,<0.05,<1,204,37,nan,2,294,1° semestre 2019,18,<0.20,21.5,<5,6.3,<0.05,7.8,<0.5,192,<2,6
F.P. Fraz. Monticelli,VEROLAVECCHIA,<0.05,3.3,287,66,<0.05,3,416,1° semestre 2019,22.2,<0.20,13.9,<5,1,<0.05,7.7,1.4,306,9.6,16
F.P. Via Ghislandi,VEROLAVECCHIA,<0.05,3.3,287,66,<0.05,3,416,1° semestre 2019,22.2,<0.20,13.9,<5,1,<0.05,7.7,1.4,306,9.6,16
F.P. Bompensiero,VILLACHIARA,<0.05,5.4,275,78,<0.05,4,432,1° semestre 2019,24.3,<0.20,11.7,<5,1,<0.05,7.5,1.2,305,5.7,26
F.P. Via Valurbes,ZONE,<0.05,<1,183,57,0.19,3,285,1° semestre 2019,14.9,<0.20,2.7,<5,6,<0.05,7.6,<0.5,213,3.3,6
F.P. Piazza Caduti,ZONE,<0.05,<1,183,57,0.19,3,285,1° semestre 2019,14.9,<0.20,2.7,<5,6,<0.05,7.6,<0.5,213,3.3,6
F.P. Piramidi,ZONE,<0.05,<1,183,57,0.19,3,285,1° semestre 2019,14.9,<0.20,2.7,<5,6,<0.05,7.6,<0.5,213,3.3,6
F.P. Via Dazze,ZONE,<0.05,<1,183,57,0.19,3,285,1° semestre 2019,14.9,<0.20,2.7,<5,6,<0.05,7.6,<0.5,213,3.3,6
