alias_city,alias_address,georeferencingString,type
DESENZANO DEL GARDA,P.R. Cimitero,"Cimitero, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
DESENZANO DEL GARDA,P.R. Loc. Colombare,"Località Colombare, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
DESENZANO DEL GARDA,P.R. Loc. Grole,"Località Grole, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
DESENZANO DEL GARDA,P.R. Piazza Malvezzi,"Piazza Malvezzi, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
DESENZANO DEL GARDA,P.R. Via Cassio,"Via Cassio, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
DESENZANO DEL GARDA,P.R. Via Gramsci,"Via Gramsci, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
DESENZANO DEL GARDA,P.R. Via Italia,"Via Italia, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. P.zza Brigata Alpina Orobica,"P.zza Brigata Alpina Orobica, EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. P.zza Cavour,"P.zza Cavour, EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. Via Adamello (parco giochi),"Via Adamello (parco giochi), EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. Via Bortolo Vidilini,"Via Bortolo Vidilini, EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. Via Canale,"Via Canale, EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. Via Cinque Martiri,"Via Cinque Martiri, EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. Via Nazionale,"Via Nazionale, EDOLO, Brescia,  Lombardia, Italia",POINT
EDOLO,F.P. Via San Gregorio,"Via San Gregorio, EDOLO, Brescia,  Lombardia, Italia",POINT
ERBUSCO,F.P Via Castello,"Via Castello, ERBUSCO, Brescia,  Lombardia, Italia",POINT
ERBUSCO,F.P Via Fermi,"Via Fermi, ERBUSCO, Brescia,  Lombardia, Italia",POINT
ERBUSCO,F.P Via Iseo,"Via Iseo, ERBUSCO, Brescia,  Lombardia, Italia",POINT
ERBUSCO,F.P Via Manzoni,"Via Manzoni, ERBUSCO, Brescia,  Lombardia, Italia",POINT
