alias_city,alias_address,urlReport,page,data_report
PISOGNE,F.P. Loc. Boschetta,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,3,1° semestre 2019
PISOGNE,F.P. Loc. Dossello,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,4,1° semestre 2019
PISOGNE,F.P. Pressò,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,5,1° semestre 2019
PISOGNE,F.P. Renzò,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,6,1° semestre 2019
PISOGNE,F.P. Siniga,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,7,1° semestre 2019
PISOGNE,F.P. Sonvico Superiore,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,8,1° semestre 2019
PISOGNE,F.P. Val Palot,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,9,1° semestre 2019
PISOGNE,F.P. Via don Boldini (civ 1 inizio via),https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,10,1° semestre 2019
PISOGNE,F.P. Via don Boldini (fondo via),https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,11,1° semestre 2019
PISOGNE,F.P. Via don Ceresetti,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,12,1° semestre 2019
PISOGNE,F.P. Via don Vogini,https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,13,1° semestre 2019
PISOGNE,F.P. Via Facchinetti (Toline),https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,14,1° semestre 2019
PISOGNE,F.P. Via Imavilla (Grignaghe),https://www.acquebresciane.it/public/dam/jcr:ab194edb-2e04-4a6f-83a9-9a1ead559368/Analisi_Acqua_Pisogne_1_sem_2019.pdf,15,1° semestre 2019
POLPENAZZE DEL GARDA,P.R. Via Castelletto,https://www.acquebresciane.it/public/dam/jcr:1240696e-be15-4c8a-b249-4443ebd5af1a/Analisi_Acqua_Polpenazze_1_sem_2019.pdf,0,1° semestre 2019
POLPENAZZE DEL GARDA,P.R. Via dei Prati,https://www.acquebresciane.it/public/dam/jcr:1240696e-be15-4c8a-b249-4443ebd5af1a/Analisi_Acqua_Polpenazze_1_sem_2019.pdf,1,1° semestre 2019
POLPENAZZE DEL GARDA,P.R. Via Novaglio,https://www.acquebresciane.it/public/dam/jcr:1240696e-be15-4c8a-b249-4443ebd5af1a/Analisi_Acqua_Polpenazze_1_sem_2019.pdf,2,1° semestre 2019
POMPIANO,F.P. Piazza S.Andrea,https://www.acquebresciane.it/public/dam/jcr:e90a3c56-e549-4c8c-b70d-e90275389ea9/Analisi_Acqua_Pompiano_1_sem_2019.pdf,0,1° semestre 2019
PONCARALE,F.P. Via Marcolini,https://www.acquebresciane.it/public/dam/jcr:18f6e9bf-8cb2-4af2-bef4-4ce26b76b61b/Analisi_Acqua_Poncarale_1_sem_2019.pdf,0,1° semestre 2019
