alias_city,alias_address,urlReport,page,data_report
TREMOSINE,P.R. Via Zanini (Vesio),https://www.acquebresciane.it/public/dam/jcr:5306de2c-7ed2-4a3e-8d57-e1334b3f909a/Analisi_Acqua_Tremosine_1_sem_2019.pdf,6,1° semestre 2019
TRENZANO,F.P. Scuole Trenzano,https://www.acquebresciane.it/public/dam/jcr:c5b384c9-bf30-4d29-ada2-ec3c28c967ec/Analisi_Acqua_Trenzano_1_sem_2019.pdf,0,1° semestre 2019
URAGO D’OGLIO,F.P. Cimitero,https://www.acquebresciane.it/public/dam/jcr:3d718419-b799-44bb-ac93-812271996b50/Analisi_Acqua_UragoDOglio_1_sem_2019.pdf,0,1° semestre 2019
URAGO D’OGLIO,F.P. Piazza Marconi,https://www.acquebresciane.it/public/dam/jcr:3d718419-b799-44bb-ac93-812271996b50/Analisi_Acqua_UragoDOglio_1_sem_2019.pdf,1,1° semestre 2019
VALVESTINO,P.R. Località Persone,https://www.acquebresciane.it/public/dam/jcr:1ee7e599-3afd-40ba-9dd6-5ce59e99de5c/Analisi_Acqua_Valvestino_1_sem_2019.pdf,0,1° semestre 2019
VALVESTINO,P.R. Località Armo,https://www.acquebresciane.it/public/dam/jcr:1ee7e599-3afd-40ba-9dd6-5ce59e99de5c/Analisi_Acqua_Valvestino_1_sem_2019.pdf,1,1° semestre 2019
VALVESTINO,P.R. Località Bollone,https://www.acquebresciane.it/public/dam/jcr:1ee7e599-3afd-40ba-9dd6-5ce59e99de5c/Analisi_Acqua_Valvestino_1_sem_2019.pdf,2,1° semestre 2019
VALVESTINO,P.R. Località Moerna Cimitero,https://www.acquebresciane.it/public/dam/jcr:1ee7e599-3afd-40ba-9dd6-5ce59e99de5c/Analisi_Acqua_Valvestino_1_sem_2019.pdf,3,1° semestre 2019
VEROLAVECCHIA,F.P. Fraz. Monticelli,https://www.acquebresciane.it/public/dam/jcr:ca7590b4-b5ad-4367-b1d1-96b46cf6d689/Analisi_Acqua_Verolavecchia_1_sem_2019.pdf,0,1° semestre 2019
VEROLAVECCHIA,F.P. Via Ghislandi,https://www.acquebresciane.it/public/dam/jcr:ca7590b4-b5ad-4367-b1d1-96b46cf6d689/Analisi_Acqua_Verolavecchia_1_sem_2019.pdf,1,1° semestre 2019
VILLACHIARA,F.P. Bompensiero,https://www.acquebresciane.it/public/dam/jcr:75b83f51-683a-4631-b372-362014fa7f50/Analisi_Acqua_Villachiara_1_sem_2019.pdf,0,1° semestre 2019
ZONE,F.P. Via Valurbes,https://www.acquebresciane.it/public/dam/jcr:15391d57-a0e1-4f40-89f4-068e8ba3b228/Analisi_Acqua_Zone_1_sem_2019.pdf,0,1° semestre 2019
ZONE,F.P. Piazza Caduti,https://www.acquebresciane.it/public/dam/jcr:15391d57-a0e1-4f40-89f4-068e8ba3b228/Analisi_Acqua_Zone_1_sem_2019.pdf,1,1° semestre 2019
ZONE,F.P. Piramidi,https://www.acquebresciane.it/public/dam/jcr:15391d57-a0e1-4f40-89f4-068e8ba3b228/Analisi_Acqua_Zone_1_sem_2019.pdf,2,1° semestre 2019
ZONE,F.P. Via Dazze,https://www.acquebresciane.it/public/dam/jcr:15391d57-a0e1-4f40-89f4-068e8ba3b228/Analisi_Acqua_Zone_1_sem_2019.pdf,3,1° semestre 2019
